"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Trinity House","Operations Directorate","TH03","Mechanic AB","29240","29240","Mechanic AB","4.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Seaman","24334","27890","Seaman","20.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Second Officer - Auxiliary","34207","38567","Second Officer - Auxiliary","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Seaman - Auxiliary","24334","27890","Seaman - Auxiliary","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Electronic Technical Officer - Auxiliary","39785","43082","Electronic Technical Officer - Auxiliary","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","Third Officer - Auxiliary","30674","31604","Third Officer - Auxiliary","2.00","Operational Delivery"
"Department for Transport","Trinity House","Finance & Support Service","TH04","C","19541","26035","Finance Administrator","3.60","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","C","19541","26035","HR Administrator","2.60","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","C","19541","26035","IT Help Desk Administrator","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","C","19541","26035","Supplies Officer","5.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","C","19541","26035","Purchasing Administrator","2.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","C","19541","26035","Receptionist","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","C","19541","26035","Light Dues Administrator","5.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","D","21826","29097","Light Dues Team Leader","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","D","21826","29097","HR Officer","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","D","21826","29097","Supplies Supervisor","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","E","27016","36026","Assistant Accountant","1.80","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","E","27016","36026","Supplies Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","E","27016","36026","Pension&Benefits Co-ordinator","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","E","27016","36026","Training Co-ordinator","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","E","27016","36026","IT Support Officer","2.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","E","27016","36026","Buyer","1.80","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","Personnel Administration Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","IT Support Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","IT Project Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","Purchasing Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","Senior IT Support Officer","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","IT Network Engineer","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","IT Project Co-ordinator","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","F","33590","47985","Communications Officer","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM1","39306","56150","Employee Relations & Communications Manager","0.86","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM1","39306","56150","GLF Accountant","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM1","39306","56150","IT Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM1","39306","56150","Management Accountant","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM1","39306","56150","Financial Accountant","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM2","45721","70000","HR & Planning Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM2","45721","70000","Financial Manager","1.00","Finance"
"Department for Transport","Trinity House","Finance & Support Service","TH04","SM2","45721","70000","Procurement Manager","1.00","Finance"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Assistant to Engineer & Operations Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Lighthouse Technican","17.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Buoy Yard Team Member Craft","6.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Senior Buoy Yard Team Member","3.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Project Assistant","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Engineering Administrator","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Buoy Yard Team Member","11.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Light House Support Team Member","3.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Fops Administrator","3.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Marine Support Assistant","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","C","19541","26035","Commercial Administrator","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","D","21826","29097","Design Technican","3.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","D","21826","29097","Assistant Planner","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","D","21826","29097","PA to Director of Operations & Finance","0.81","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","D","21826","29097","Commercial Team Leader","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","E","27016","36026","Operations Officer","6.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","E","27016","36026","Design Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","E","27016","36026","Assistant Design Engineer","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","E","27016","36026","Senior Technician","7.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","E","27016","36026","Light House Support Team Leader","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","E","27016","36026","Buoy Yard Supervisor","2.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","E","27016","36026","Planning Assistant","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","Senior Project Engineer","3.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","Project Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","Operations Systems Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","Design & Support Engineer","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","Project Engineer","6.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","Technical Manager","3.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","CDM Co-ordinator & Installation Supervisor","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","F","33590","47985","Senior Planner","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Commercial Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Programme Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Engineering Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Technical Superintendent","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Planning Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Technical Services Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Buoy Operations Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Lighthouse Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Engineering Superintendent","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM1","39306","56150","Marine Superintendent","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM2","45721","70000","Engineering & Operations Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM2","45721","70000","Marine Operations Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Operations Directorate","TH03","SM2","45721","70000","Engineering & Project Delivery Manager","1.00","Operational Delivery"
"Department for Transport","Trinity House","Navigation Directorate","TH02","E","27016","36026","Local Aids To Navigation Officer","1.00","Other"
"Department for Transport","Trinity House","Navigation Directorate","TH02","E","27016","36026","Navigation Support Officer","1.00","Other"
"Department for Transport","Trinity House","Navigation Directorate","TH02","E","27016","36026","Hydrography & Charting Officer","1.00","Other"
"Department for Transport","Trinity House","Navigation Directorate","TH02","F","33590","47985","Local Seamarks Auditor","1.00","Other"
"Department for Transport","Trinity House","Navigation Directorate","TH02","F","33590","47985","Navigation Services Officer","1.00","Other"
"Department for Transport","Trinity House","Navigation Directorate","TH02","SM1","39306","56150","Inspector of Seamarks","1.00","Other"
"Department for Transport","Trinity House","Navigation Directorate","TH02","SM2","45721","70000","Navigation Manager","1.00","Other"
"Department for Transport","Trinity House","Chief Executive","TH01","C","19541","26035","Lights Techinician","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","C","19541","26035","Receptionist/Administrator","2.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","C","19541","26035","Management Systems Support Officer","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","C","19541","26035","Public Relations & Records Assistant","0.60","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","D","21826","29097","Secretary and PA","0.76","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","D","21826","29097","Team Administrator","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","D","21826","29097","Assistant to Health & Safety Manager","1.60","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","E","27016","36026","PA to Executive Chairman","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","E","27016","36026","Legal & Support Team Leader","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","E","27016","36026","Development Engineer","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","F","33590","47985","Principal Development Engineer (Systems)","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","F","33590","47985","Health & Safety Manager","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","F","33590","47985","Estates & Property Manager","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","F","33590","47985","Project Manager","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","F","33590","47985","Research & Development Engineer","2.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","F","33590","47985","Public Relations & Records Manager","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","F","33590","47985","Audit & Performance Manager","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","SM1","39306","56150","Principal Development Engineer","3.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","SM1","39306","56150","Legal Advisor","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","SM1","39306","56150","Risk Manager","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","SM2","45721","70000","Legal & Risk Manager","1.00","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","SM2","45721","70000","Research Director","0.50","Policy"
"Department for Transport","Trinity House","Chief Executive","TH01","SM2","45721","70000","RRNAV Manager","1.00","Policy"
