CASE REFERENCE ,CASE DATE,SERVICE TYPE,CLASSIFICATION,CASE TEXT,ADDRESS,DECISION TARGET DATE,STATUS,CODETEXT,GEO X,GEO Y ,DECISION DATE,DECISION,DECISION TYPE,DECISION NOTICE DATE,APPEAL DECISION DATE,PUBLIC CONSULTATION START DATE,PUBLIC CONSULTATION END DATE,WARD
17/20001/TPO,10/01/2017,TPO,TPO,Fell one tree (Tree Preservation Order),"25 Trenance Gardens
Greetland
Elland
West Yorkshire
HX4 8NN
",07/03/2017,4,4,408041,421134,07/03/2017,4,DEL,07/03/2017,,18/01/2017,14/02/2017,4
12/00583/DISC2,13/01/2017,DISC2,DISC,Submission of information to Discharge Conditions on application 12/00583 - conditions 1 and 2,"Former Garage Site Junction Of Ogden Lane And
Rastrick Common
Brighouse
Calderdale

",10/03/2017,PCOMP,PCOMP,414050,421629,15/03/2017,PCOMP,,15/03/2017,,,,11
17/00031/HSE,13/01/2017,HSE,Q21,Replacement porch,"Woodcroft
1A Briscoe Lane
Greetland
Elland
Calderdale
HX4 8JT
",20/03/2017,1,1,408861,421262,14/03/2017,1,DEL,14/03/2017,,31/01/2017,20/03/2017,4
17/22003/TCA,16/01/2017,TCA,TCA,Prune one tree and fell one tree (Tree in a Conservation Area),"2 Thorn Bank
Luddenden
Halifax
West Yorkshire
HX2 6NQ
",27/02/2017,40,40,403919,426191,24/02/2017,40,DEL,24/02/2017,,,17/02/2017,7
17/00075/COU,17/01/2017,COU,Q20,Change of use of ground floor from residential (C1) to Cafe (A3),"103 Northgate
Halifax
Calderdale
HX1 1XF
",14/03/2017,1,1,409314,425585,14/03/2017,1,DEL,14/03/2017,,,03/03/2017,16
17/00076/LBC,17/01/2017,LBC,Q23,Change of use of ground floor from residential (C1) to Cafe (A3) (Listed Building Consent),"103 Northgate
Halifax
Calderdale
HX1 1XF
",03/04/2017,3,3,409314,425585,14/03/2017,3,DEL,14/03/2017,,,17/03/2017,16
17/00152/HSE,02/02/2017,HSE,Q21,Two dormer windows,"1 Redcar Street
Halifax
West Yorkshire
HX1 4QZ
",30/03/2017,1,1,407597,425454,22/03/2017,1,DEL,22/03/2017,,10/02/2017,03/03/2017,17
17/00170/HSE,13/02/2017,HSE,Q21,Single storey study to front elevation,"14 Field Top
Bailiff Bridge
Brighouse
Calderdale
HD6 4EQ
",25/04/2017,1,1,414911,425444,18/04/2017,1,DTA,18/04/2017,,16/03/2017,13/04/2017,5
17/00208/HSE,20/02/2017,HSE,Q21,Single Storey Side and Rear Extension,"4 Ashlea Avenue
Brighouse
Calderdale
HD6 3SR
",17/04/2017,1,1,414877,421893,10/04/2017,1,DEL,10/04/2017,,07/03/2017,17/04/2017,11
17/00181/HSE,22/02/2017,HSE,,Single storey rear extension,"46 Salisbury Place
Boothtown
Halifax
West Yorkshire
HX3 6ND
",,,APPRET,408809,426465,,,,,,,,16
16/20194/TPO,05/10/2016,TPO,TPO,Prune one tree (Tree Preservation Order),"Greenleaves
15 Marldon Road
Northowram
Halifax
West Yorkshire
HX3 7BP
",30/11/2016,4,4,411305,426298,25/11/2016,4,DEL,28/11/2016,,14/10/2016,04/11/2016,8
16/01353/FUL,17/10/2016,FUL,Q18,Extension to existing industrial building and re-cladding of existing,"Crown Works
Dewsbury Road
Elland
Calderdale
HX5 9BG
",23/01/2017,1,1,411456,420817,20/01/2017,1,DEL,23/01/2017,,07/12/2016,03/01/2017,3
16/01354/HSE,17/10/2016,HSE,Q21,Proposed extension to garden store,"3 Chapel Street
Norwood Green
Brighouse
Calderdale
HX3 8QU
",27/12/2016,1,1,413736,427008,23/12/2016,1,DEL,23/12/2016,,11/11/2016,02/12/2016,5
16/01355/LBC,17/10/2016,LBC,,"Formation of new door, porch and replacement windows (Listed Building Consent)","Hey End Barn
Shield Hall Lane
Sowerby
Sowerby Bridge
Calderdale
HX2 6JN
",,,APPRET,403263,423903,,,,,,,,7
16/01356/HSE,13/10/2016,HSE,Q21,Extension to shed,"2 Elms Court
Illingworth
Halifax
Calderdale
HX2 8HX
",20/12/2016,1,1,407229,428061,09/12/2016,1,DEL,12/12/2016,,07/11/2016,28/11/2016,9
16/20196/TPO,07/10/2016,TPO,TPO,Prune three trees (Tree Preservation Order),"Land Opposite
Laurel Terrace
Stainland
Elland
West Yorkshire

",02/12/2016,4,4,407948,419600,30/11/2016,4,DEL,30/11/2016,,18/10/2016,11/11/2016,4
16/01363/HSE,17/10/2016,HSE,Q21,Single storey rear extension and first floor side extension,"156 Keighley Road
Illingworth
Halifax
Calderdale
HX2 9DN
",12/12/2016,1,1,407162,428596,21/12/2016,1,DEL,22/12/2016,,27/10/2016,17/11/2016,6
16/01364/192,17/10/2016,192,Q26,Single storey extension and conversion of integral garage to form study (Lawful Development Certificate),"5 Carr House
Dean House Lane
Luddenden
Sowerby Bridge
Calderdale
HX2 6TN
",12/12/2016,44,44,404094,427361,12/12/2016,44,DEL,12/12/2016,,,18/11/2016,7
16/42046/42DAYS,18/10/2016,42DAYS,,"Prior approval application for proposed single storey extension to rear, extending out by 4 metres, maximum height 4 metres, 2.8 metres to eaves","27 Shelf Moor
Shelf
Halifax
Calderdale
HX3 7PW
",22/11/2016,18,18,412314,429172,11/11/2016,18,,11/11/2016,,18/10/2016,10/11/2016,8
16/20198/TPO,11/10/2016,TPO,TPO,Fell one tree (Tree Preservation Order),"244 Halifax Road
Brighouse
West Yorkshire
HD6 2QG
",06/12/2016,14,14,413253,424211,02/12/2016,14,DEL,05/12/2016,,19/10/2016,16/11/2016,1
15/00375/NMA3,09/08/2017,NMA3,NMA,"Non Material Amendment to Planning Application 15/00375 - Replacement of Grasscrete surfacing with permeable tarmac for parking spaces nos. 10,11,12 & 13 indicated on my approved Drawing No.10105/15/01B.","Former The Cobbett Centre
Village Street
Norwood Green
Brighouse
Calderdale

",05/09/2017,,PCO,413770,427032,,,,,,,30/08/2017,5
15/00518/DISC1,14/08/2017,DISC1,DISC,Submission of information to discharge conditions on application 15/00518 - Condition 3,"11 St Giles Road
Lightcliffe
Brighouse
Calderdale
HX3 8BG
",16/10/2017,,PCO,413086,425125,,,,,,,05/09/2017,5
17/20101/TPO,23/06/2017,TPO,TPO,Prune two trees (Tree Preservation Order),"8 Stonecroft Mount
Sowerby Bridge
Calderdale
HX6 2SB
",18/08/2017,4,4,406506,424514,18/08/2017,4,DEL,18/08/2017,,,,14
17/01045/HSE,21/08/2017,HSE,,Proposed dormer conversion,"25 Park Place West
Lightcliffe
Halifax 
HX3 8BB",,,REC,413148,425295,,,,,,,,
17/20148/TPO,23/08/2017,TPO,,"Two sycamore trees situated in the rear garden to be trimmed due to excessive shading and close proximity to dwelling. Due to the positioning of the trees in the rear garden, branches block sunlight and also some branches angle into rear garden where children play that raises concerns of safety.","7 The Sycamores 
Wakefield Road
Lightcliffe
Brighouse
HX3 8UH",,,REC,,,,,,,,,,
17/01058/HSE,24/08/2017,HSE,,Single storey rear extension,"57 Victoria Avenue
Elland
Calderdale
HX5 0AZ
",,,REC,410399,420838,,,,,,,,3
17/00362/FUL,21/03/2017,FUL,Q18,Install 1 no. external roller shutter door with heavy duty double skinned lath at bottom of shutter and 1 no. internal sliding grille.,"7 - 11 Market Street
Halifax
Calderdale
HX1 1PB
",20/06/2017,1,1,409428,425177,15/06/2017,1,DEL,15/06/2017,,,09/06/2017,16
17/00367/HSE,22/03/2017,HSE,Q21,Demolition of existing garage to facilitate two storey rear extension and single storey side extension,"43 Green Park Road
Halifax
West Yorkshire
HX3 0SN
",05/06/2017,1,1,409353,422903,01/06/2017,1,DEL,01/06/2017,,27/04/2017,14/06/2017,13
17/00377/COU,23/03/2017,COU,Q20,Change of use at first floor from office accommodation(B1) to residential accommodation (C3) self contained flat.,"2A New Road
Mytholmroyd
Hebden Bridge
Calderdale
HX7 5DZ
",18/05/2017,1,1,401243,425953,18/05/2017,1,DEL,18/05/2017,,10/04/2017,05/05/2017,7
17/00378/HSE,23/03/2017,HSE,Q21,Removal of existing canopy and replacement with glazed link extension,"Barkisland Hall
Stainland Road
Barkisland
Sowerby Bridge
Calderdale
HX4 0AG
",08/06/2017,1,1,406070,419933,15/08/2017,1,DEL,15/08/2017,,05/05/2017,16/06/2017,12
17/00379/LBC,23/03/2017,LBC,Q23,Removal of existing canopy and replacement with glazed link extension (Listed Building Consent),"Barkisland Hall
Stainland Road
Barkisland
Sowerby Bridge
Calderdale
HX4 0AG
",08/06/2017,3,3,406070,419933,15/08/2017,3,DEL,15/08/2017,,05/05/2017,16/06/2017,12
17/00380/HSE,23/03/2017,HSE,Q21,Internal alterations of existing cottages and reducing land levels to the rear elevation,"Barkisland Hall
Stainland Road
Barkisland
Sowerby Bridge
Calderdale
HX4 0AG
",13/06/2017,,PCO,406070,419933,,,,,,09/05/2017,06/06/2017,12
17/00381/LBC,23/03/2017,LBC,Q23,Full Planning and Listed Building Application for internal alterations of existing cottages and reducing land levels to the rear elevation,"Barkisland Hall
Stainland Road
Barkisland
Sowerby Bridge
Calderdale
HX4 0AG
",13/06/2017,,PCO,406070,419933,,,,,,09/05/2017,12/09/2017,12
17/00402/HSE,27/03/2017,HSE,Q21,Demolition of existing attached garage to facilitate a two storey side extension and porch to front,"45 Kings Lea
Copley
Halifax
Calderdale
HX3 0UU
",22/05/2017,1,1,408929,422608,19/05/2017,1,DEL,19/05/2017,,11/04/2017,05/06/2017,13
17/00404/FUL,27/03/2017,FUL,Q13,Conversion of Barn to dwelling,"Intake Farm
Stainland Dean
Stainland
Elland
Calderdale
HX4 9QA
",11/08/2017,,PCO,406568,418368,,,,,,21/06/2017,08/08/2017,4
17/00384/COU,24/03/2017,COU,Q20,"Change of use from three self contained flats to a single residential dwelling house.
","10 Park Road
Halifax
West Yorkshire

",19/05/2017,1,1,408619,424943,15/05/2017,1,DEL,15/05/2017,,12/04/2017,12/05/2017,10
99/00061/NMA,20/03/2017,NMA,NMA,Non material amendment to application 99/00061 - Amend plans to allow repositioning of facilities building,"Land To Side & Rear Of
Ashgrove 
Elland Road
Elland
West Yorkshire
",10/04/2017,NMAR,NMAR,412140,422395,24/04/2017,NMAR,DEL,24/04/2017,,,,1
17/00411/FUL,28/03/2017,FUL,Q18,Alter an existing window to create a door and install fire escape,"13 New Road
Hebden Bridge
Calderdale
HX7 8AD
",19/06/2017,1,1,399367,427105,15/06/2017,1,DEL,15/06/2017,,11/05/2017,09/06/2017,2
16/00331/DISC1,21/03/2017,DISC1,DISC,"Submission of information to Discharge Conditions on application 16/00221- conditions 1,2,3,4,5,6,7,8  9","Rostherne 
295 Willowfield Road
Halifax
Calderdale
HX2 7NF",17/05/2017,PCOMP,PCOMP,406631,424600,24/05/2017,PCOMP,,24/05/2017,,,20/04/2017,14
16/01014/DISC1,08/03/2017,DISC1,NMA,Submission of information to Discharge Conditions on application 16/01014 - Condition 2,"28 Elmfield Terrace
Halifax
Calderdale
HX1 3EB
",25/05/2017,PCOMP,PCOMP,408534,424134,08/08/2017,PCOMP,,08/08/2017,,,,13
15/01029/NMA2,27/03/2017,NMA2,NMA,Non Material Amendment to application 15/01029 - Reduction in the scale of the Lidl store footprint resulting in a decrease in the gross and sales floorspace. Car park aisle widths and landscaping buffers have been widened as a result. Trolley Bay and pedestrian route from Halifax Road to store entrance moved. Position of Electric Vehicle Charging Points and plant compound identified. Details of surface finishes and boundary treatment providedfootprint,"Land On
Hope Street
Todmorden
Calderdale

",17/04/2017,,PCO,394108,424153,,,,,,,18/05/2017,2
17/00425/FUL,30/03/2017,FUL,Q18,"Sub-division of existing retail unit, new store entrance and service door to rear","Unit 2
Pellon Lane Retail Park
Pellon Lane
Halifax
West Yorkshire
HX1 5HQ
",25/05/2017,1,1,408505,425555,26/05/2017,1,DEL,26/05/2017,,24/04/2017,19/05/2017,10
16/00390/DISC1,03/04/2017,DISC1,DISC,"Submission of information to Discharge Conditions on application 16/00390 - Conditions 1,2  3","Brighouse Fire Station
Lister Street
Brighouse
Calderdale
HD6 2AH
",29/05/2017,PCOMP,PCOMP,414191,423136,08/05/2017,PCOMP,,08/05/2017,,,,1
17/00469/OUT,10/04/2017,OUT,Q13,Demolition of buildings to facilitate residential development of maximum five dwellings (Outline),"Barns South Of Davey Hall
Davey Lane
Blackshaw Head
Hebden Bridge
Calderdale

",23/06/2017,16,16,395684,427448,14/07/2017,16,DEL,14/07/2017,,,26/06/2017,2
17/00184/LBC,22/02/2017,LBC,Q23,Single storey rear extension (Listed Building Consent),"46 Salisbury Place
Boothtown
Halifax
West Yorkshire
HX3 6ND
",19/04/2017,3,3,408809,426465,25/04/2017,3,DEL,25/04/2017,,10/03/2017,24/04/2017,16
16/00241/NMA,22/02/2017,NMA,,Non Material Amendment to application 16/00241 - Alterations to south elevation forming covered balcony to bedroom and removal of pitched roof to conservatory to allow for additional window into master bedroom,"Whinneyfield Close
Whinney Field
Halifax
Calderdale
HX3 0BQ
",28/04/2017,NMAR,NMAR,409317,423728,24/04/2017,NMAR,DEL,24/04/2017,,,,13
17/00197/HSE,22/02/2017,HSE,Q21,Two storey extension to rear and single storey extension to side (Revised Scheme to 16/00886),"69 Stonelea
Barkisland
Sowerby Bridge
West Yorkshire
HX4 0HD
",19/04/2017,1,1,405401,420103,19/04/2017,1,DEL,19/04/2017,,10/03/2017,04/04/2017,12
17/00268/FUL,24/02/2017,FUL,Q20,Change of use from nightclub (Sui Generis) to Bistro (A3) / fast food takeaway (A5)(Part retrospective),"2 Waterhouse Street
Halifax
Calderdale
HX1 1UQ
",22/05/2017,1,1,409235,425236,25/05/2017,1,DEL,25/05/2017,,20/04/2017,24/05/2017,16
17/00269/192,03/03/2017,192,Q26,Replacement dormer to rear (Lawful Development Certificate),"69 The Grove
Hipperholme
Brighouse
Calderdale
HX3 8JN
",28/04/2017,44,44,412624,426090,25/04/2017,44,DEL,25/04/2017,,,14/04/2017,5
17/00271/HSE,03/03/2017,HSE,Q21,Two storey extension and raised patio to rear,"39 Blackley Road
Elland
Calderdale
HX5 0TB
",16/05/2017,1,1,409971,420235,09/05/2017,1,DEL,10/05/2017,,10/04/2017,24/04/2017,3
17/00272/192,03/03/2017,192,Q26,Single storey extension to rear (Lawful Development Certificate),"462 Bradford Road
Brighouse
West Yorkshire
HD6 4ED
",28/04/2017,38,38,414808,425518,18/04/2017,38,DEL,19/04/2017,,,14/04/2017,5
17/00274/HSE,03/03/2017,HSE,Q21,Alteration from flat roof to pitched roof on existing single storey rear extension,"Fairfield
90 Pinnar Lane
Southowram
Halifax
Calderdale
HX3 9QH
",22/05/2017,1,1,410986,423946,19/05/2017,1,DEL,19/05/2017,,11/04/2017,05/05/2017,16
17/00306/HSE,08/03/2017,HSE,Q21,Demolition of existing single storey side extension to facilitate single storey rear extension and two storey side extension,"8 Hullen Edge Gardens
Elland
West Yorkshire
HX5 0QR
",03/05/2017,1,1,409841,420638,13/06/2017,1,COMM,15/06/2017,,31/05/2017,07/06/2017,3
16/01370/COU,19/10/2016,COU,Q20,Change of use from B8 (Storage and distribution)  to mixed use A1 (Hairdressers) & Sui Generis (Beauty Parlour or Salon),"Unit 1
Slitheroe Works
Oldham Road
Ripponden
Sowerby Bridge
Calderdale
HX6 4EW
",29/12/2016,1,1,403466,418755,06/01/2017,1,DEL,06/01/2017,,15/11/2016,09/01/2017,12
16/01371/HSE,19/10/2016,HSE,Q21,Single storey extension to side,"116 Oak Avenue
Todmorden
West Yorkshire
OL14 5PD
",19/12/2016,1,1,393350,425083,19/12/2016,1,DEL,19/12/2016,,31/10/2016,25/11/2016,15
16/40014/AGR,21/10/2016,AGR,,Vacant agricultural barn,"Lower Burnt Moor Farm Barn Off
Wicking Lane
Soyland
Sowerby Bridge
Calderdale

",,,APPRET,402504,421694,,,,,,,,12
16/20205/TPO,24/10/2016,TPO,TNO,Remove trees within 500mm of the retaining wall,"Land West Of 95
Oxford Lane
Siddal
Halifax
Calderdale

",19/12/2016,14,14,410019,423317,08/12/2016,14,DEL,08/12/2016,,04/11/2016,29/11/2016,16
16/01410/COU,28/10/2016,COU,Q20,"Repair, alteration and change of use of Illingworth Gaol & stocks and the adjoining former co-operative shop to form an Educational Heritage Centre","Former Lock Up
121 Keighley Road
Illingworth
Halifax
Calderdale

",04/01/2017,1,1,407078,428395,04/01/2017,1,DEL,04/01/2017,,,29/12/2016,6
16/01411/LBC,28/10/2016,LBC,Q23,"Repair, alteration and change of use of Illingworth Gaol & stocks and the adjoining former co-operative shop to form an Educational Heritage Centre (Listed Building Consent)","Former Lock Up
121 Keighley Road
Illingworth
Halifax
Calderdale

",04/01/2017,3,3,407078,428395,04/01/2017,3,DEL,04/01/2017,,,23/12/2016,6
16/01413/HSE,28/10/2016,HSE,Q21,Single storey extension to the North elevation.,"28 Newton Park
Brighouse
West Yorkshire
HD6 2LW
",23/12/2016,1,1,413599,424528,16/12/2016,1,DEL,16/12/2016,,09/11/2016,02/12/2016,5
17/20039/TPO,08/03/2017,TPO,TPO,Prune one tree (Tree Preservation Order),"Land Off
Farrar Mill Lane
Salterhebble
Halifax
West Yorkshire

",03/05/2017,4,4,409803,423389,25/04/2017,4,DEL,25/04/2017,,28/03/2017,21/04/2017,16
16/01496/DISC1,30/03/2017,DISC1,DISC,Submission of information to Discharge Conditions on application 16/01496 - conditions 1 and 2,"6 Garnet Street
Hebden Bridge
Calderdale
HX7 6AL
",25/05/2017,PCOMP,PCOMP,399087,427245,26/05/2017,PCOMP,,26/05/2017,,,,2
17/00422/HSE,30/03/2017,HSE,Q21,Removal of existing conservatory and new two storey rear extension,"12 Green Park Avenue
Halifax
Calderdale
HX3 0SR
",19/06/2017,1,1,409433,422898,13/06/2017,1,DEL,13/06/2017,,10/05/2017,09/06/2017,13
17/20045/TPO,20/03/2017,TPO,TPO,Prune trees (Tree Preservation Order),"33 And 35 Halifax Road
Brighouse
West Yorkshire
HD6 2AA
",15/05/2017,4,4,414139,423033,08/05/2017,4,DEL,08/05/2017,,05/04/2017,28/04/2017,1
17/00421/HSE,05/04/2017,HSE,Q21,Conversion and extension of existing stable block to create single storey and two storey extension to dwelling,"Winterburn Hill Barn
Winterburn Lane
Warley
Halifax
Calderdale
HX2 7SH
",27/06/2017,,PCO,405289,424749,,,,,,16/05/2017,21/06/2017,7
17/00446/FUL,23/03/2017,FUL,Q13,Detached dwelling,"16 Well Royd Avenue
Halifax
Calderdale
HX2 0LN
",18/05/2017,,PCO,406461,425347,,,,,,10/04/2017,05/05/2017,17
17/20047/TPO,20/03/2017,TPO,TPO,Fell one tree (Tree Preservation Order),"36 Carr Field Drive
Luddenden
Sowerby Bridge
Calderdale
HX2 6RJ
",15/05/2017,14,14,404035,425916,11/05/2017,14,DEL,11/05/2017,,06/04/2017,10/05/2017,7
17/00458/FUL,06/04/2017,FUL,Q13,Dwelling,"Land Adjacent To 6
Lea Close
Brighouse
Calderdale

",02/06/2017,1,1,414255,423626,02/06/2017,1,DEL,02/06/2017,,26/04/2017,17/05/2017,1
17/00405/HSE,05/04/2017,HSE,Q21,Conservatory to rear,"1 The Crescent
Southowram
Halifax
Calderdale
HX3 9NX
",31/05/2017,1,1,410573,424676,31/05/2017,1,DEL,31/05/2017,,26/04/2017,19/05/2017,16
17/00431/HSE,07/04/2017,HSE,Q21,Balcony to rear,"157 Huddersfield Road
Halifax
West Yorkshire
HX3 0AH
",05/07/2017,11,11,409450,423700,11/07/2017,11,DEL,11/07/2017,,24/05/2017,23/06/2017,13
10/01400/DISC7,20/04/2017,DISC7,,"Submission of information to Discharge Conditions on application 10/01400 - conditions 1,2,3,4,5,6,7,10,11,14,23,24,27","Gannex Mill
Dewsbury Road
Elland
Calderdale

",,,APPRET,411338,420830,,,,,,,,3
17/22022/TCA,29/03/2017,TCA,TCA,Fell one tree and prune one tree,"11 Clover Hill Road
Halifax
Calderdale
HX1 2YH
",10/05/2017,40,40,408820,424133,08/05/2017,40,DEL,08/05/2017,,,15/05/2017,13
17/00542/LBC,26/04/2017,LBC,Q23,Installation of solar panels to East elevation (Application to regularise works already carried out) (Listed Building Consent),"Hill House Cottage
Raw Lane
Mytholmroyd
Hebden Bridge
West Yorkshire
HX7 5RF
",25/07/2017,3,3,401176,426696,25/07/2017,3,DEL,25/07/2017,,08/06/2017,19/07/2017,7
17/20056/TPO,06/04/2017,TPO,TPO,Prune two trees and fell one tree (Tree Preservation Order),"Woodland On Riverbank Adjacent To
18 Tufters Fold
Bailiff Bridge
Brighouse
West Yorkshire

",01/06/2017,4,4,414603,425410,30/05/2017,4,DEL,30/05/2017,,26/04/2017,24/05/2017,5
17/00549/FUL,26/04/2017,FUL,Q13,Conversion and alterations to existing building to form two dwellings,"Bearnshaw Tower Farm
Carr Road
Todmorden
Calderdale
OL14 7ES
",21/06/2017,,PCO,390495,425807,,,,,,12/05/2017,09/06/2017,15
02/01648/DEVAC,19/04/2017,DEVAC,,Submission of information for the Local Planning Authority to consider if the development is acceptable,"2 Burlees Lane
Wadsworth
Hebden Bridge
Calderdale
HX7 8PR
",14/06/2017,REPLY,REPLY,400306,427080,18/07/2017,REPLY,DEL,18/07/2017,,,,2
17/00544/FUL,03/05/2017,FUL,Q18,Detached dormer bungalow,"2 Danebury Road
Brighouse
West Yorkshire
HD6 3TD
",13/07/2017,1,1,414959,422092,01/08/2017,1,DEL,01/08/2017,,26/05/2017,27/07/2017,11
17/00552/COU,28/04/2017,COU,Q20,"Change of use to part of the property for office space, taxi and private hire office, base station control centre","87 Surrey Street
Halifax
Calderdale
HX1 3UF
",21/07/2017,1,1,407558,424609,21/07/2017,1,DEL,21/07/2017,,07/06/2017,12/07/2017,10
16/01169/DISC1,04/05/2017,DISC1,DISC,"Submission of details to comply with conditions to permission 16/01169. Nos 3, 4, 10 and 11","Ferney Lee Primary School
Ferney Lee Road
Todmorden
Calderdale
OL14 5NR
",29/06/2017,,PCO,393384,424960,,,,,,,01/06/2017,15
17/10008/ADV,09/03/2017,ADV,Q22,"Replacement of the existing 'HSBC' signage with 'HSBC UK' equivalents two fascia signs, two  hanging signs and five various non illuminated signs
","23 Market Street
Brighouse
Calderdale
HD6 1AR
",04/05/2017,4,4,414534,422787,18/04/2017,4,DEL,18/04/2017,,,21/04/2017,1
17/00445/LBC,04/04/2017,LBC,Q23,Proposed repair works to stone work to front elevation (Listed Building Consent),"54 Castle Hill
Towngate
Sowerby
Sowerby Bridge
Calderdale
HX6 1JD
",30/05/2017,,PCO,403992,423282,,,,,,,16/06/2017,12
17/00326/HSE,13/03/2017,HSE,,Change Cart Arch doors to Glazed frame with door,"3 Free School Lane
Halifax
Calderdale
HX1 2PR
",,,APPRET,409273,424062,,,,,,,,13
17/00338/FUL,16/03/2017,FUL,Q18,Two and a half storey side and rear extensions to create a ground floor commercial unit (A2 use) and a first floor apartment,"369 Skircoat Green Road
Halifax
Calderdale
HX3 0RP
",16/05/2017,11,11,409166,422915,16/05/2017,11,DEL,16/05/2017,,03/04/2017,01/05/2017,13
17/00251/FUL,16/03/2017,FUL,Q18,Construction of shelter/safezone (retrospective),"Land South Of Edgerton House
Hey Lane
Outlane
Elland
Calderdale

",07/06/2017,1,1,406093,416845,02/06/2017,1,DEL,02/06/2017,,,25/06/2017,12
17/00482/COU,12/04/2017,COU,Q20,Change of use of  vacant office (B1) to an Auction Room (A1 Sui Generis),"Office Suite D07
D Mill
Dean Clough
Halifax
Calderdale
HX3 5AX
",08/06/2017,1,1,409124,425759,02/06/2017,1,DEL,02/06/2017,,,16/06/2017,16
16/00989/NMA,11/04/2017,NMA,NMA,Non material amendment to application 16/00989 -  Increasing the size of the building,"Junction Of Battinson Road And
Queens Road
King Cross
Halifax
Calderdale

",02/05/2017,NMAA,NMAA,407918,425511,13/06/2017,NMAA,DEL,13/06/2017,,,27/04/2017,10
17/00513/HSE,19/04/2017,HSE,Q21,"Single storey rear extension and dormers to front and rear
","6 Spring Grove
Halifax
Calderdale
HX1 4TG
",04/07/2017,1,1,407301,425237,03/07/2017,1,DEL,03/07/2017,,23/05/2017,13/06/2017,17
17/00504/HSE,10/04/2017,HSE,Q21,Single storey rear extension,"11 Willowfield View
Halifax
West Yorkshire
HX2 7LR
",05/06/2017,1,1,406708,424828,05/06/2017,1,DEL,05/06/2017,,28/04/2017,19/05/2017,17
17/00515/192,11/04/2017,192,Q26,Extension to existing conservatory (Lawful development certificate),"31 Hoults Lane
Greetland
Elland
West Yorkshire
HX4 8HW
",29/06/2017,36,36,409184,421505,28/06/2017,36,DEL,28/06/2017,,,09/06/2017,4
