"X..energy..MeV.","n..cm2.g.1."
14.5,1.90227002511826e-07
14.6,2.13725327744585e-07
14.7,2.37651332354783e-07
14.8,2.62005015974961e-07
14.9,2.11210191075062e-07
15,1.60464463080997e-07
15.1,1.40848543895815e-07
15.2,1.20798223134185e-07
15.3,1.11743813978527e-07
15.4,1.02649792846224e-07
15.5,1.05338956940744e-07
15.6,1.08043965228219e-07
15.7,1.08521131895776e-07
15.8,1.08998298874534e-07
15.9,1.09475466164492e-07
16,1.09952633765651e-07
16.1,1.10385130178809e-07
16.2,1.10817625651413e-07
16.3,1.11250120183463e-07
16.4,1.11682613774959e-07
16.5,1.12115106425902e-07
16.6,1.12124537637692e-07
16.7,1.12133968828714e-07
16.8,1.12143399998965e-07
16.9,1.12152831148447e-07
17,1.1216226227716e-07
17.1,1.126118672396e-07
17.2,1.13061144434432e-07
17.3,1.13510093861657e-07
17.4,1.13958715521274e-07
17.5,1.14407009413284e-07
17.6,1.15522818516007e-07
17.7,1.16629944923876e-07
17.8,1.17728388636892e-07
17.9,1.18818149655054e-07
18,1.19899227978363e-07
18.1,1.21986750615952e-07
18.2,1.2405855890074e-07
18.3,1.26114652832728e-07
18.4,1.28155032411915e-07
18.5,1.30179697638302e-07
18.6,1.30858045006661e-07
18.7,1.31525085635097e-07
18.8,1.32180819523612e-07
18.9,1.32825246672206e-07
19,1.33458367080878e-07
19.1,1.34863196132771e-07
19.2,1.36252840934347e-07
19.3,1.37627301485605e-07
19.4,1.38986577786545e-07
19.5,1.40330669837167e-07
19.6,1.42496984316841e-07
19.7,1.44644249566772e-07
19.8,1.46772465586961e-07
19.9,1.48881632377406e-07
20,1.50971749938109e-07
20.1,1.53989661236709e-07
20.2,1.56986574197673e-07
20.3,1.59962488821001e-07
20.4,1.62917405106693e-07
20.5,1.65851323054748e-07
20.6,1.69578747026944e-07
20.7,1.73274536011832e-07
20.8,1.76938690009412e-07
20.9,1.80571209019684e-07
21,1.84172093042649e-07
21.1,1.8873123938292e-07
21.2,1.932563574512e-07
21.3,1.97747447247491e-07
21.4,2.02204508771793e-07
21.5,2.06627542024105e-07
21.6,2.11647772252054e-07
21.7,2.16618998775605e-07
21.8,2.21541221594756e-07
21.9,2.26414440709508e-07
22,2.31238656119861e-07
22.1,2.36656520480749e-07
22.2,2.42027244934654e-07
22.3,2.47350829481576e-07
22.4,2.52627274121515e-07
22.5,2.57856578854471e-07
22.6,2.6707430574709e-07
22.7,2.76221332445109e-07
22.8,2.85297658948528e-07
22.9,2.94303285257347e-07
23,3.03238211371566e-07
23.1,3.1375647279535e-07
23.2,3.24228348680531e-07
23.3,3.34653839027106e-07
23.4,3.45032943835079e-07
23.5,3.55365663104447e-07
23.6,3.64020889776974e-07
23.7,3.72610460162889e-07
23.8,3.56423912856401e-07
23.9,3.40223006962419e-07
24,3.24007741832074e-07
24.1,3.04199114648178e-07
24.2,2.84361313322335e-07
24.3,2.64494337854545e-07
24.4,2.44598188244809e-07
24.5,2.24672864493127e-07
24.6,2.25997035776006e-07
24.7,2.27322693725939e-07
24.8,2.28649838342927e-07
24.9,2.29978469626969e-07
25,2.31308587578066e-07
25.1,2.34515158755633e-07
25.2,2.3773572172936e-07
25.3,2.40970276499246e-07
25.4,2.44218823065292e-07
25.5,2.47481361427496e-07
25.6,2.5075789158586e-07
25.7,2.54048413540384e-07
25.8,2.57352927291066e-07
25.9,2.60671432837908e-07
26,2.64003930180909e-07
26.1,2.66059904245934e-07
26.2,2.68123852063763e-07
26.3,2.70195773634395e-07
26.4,2.72275668957829e-07
26.5,2.74363538034066e-07
26.6,2.76459380863106e-07
26.7,2.78563197444948e-07
26.8,2.80674987779594e-07
26.9,2.82794751867042e-07
27,2.84922489707293e-07
27.1,2.85588366536651e-07
27.2,2.86249158789683e-07
27.3,2.86904866466389e-07
27.4,2.87555489566769e-07
27.5,2.88201028090824e-07
27.6,2.88841482038552e-07
27.7,2.89476851409954e-07
27.8,2.90107136205031e-07
27.9,2.90732336423781e-07
28,2.91352452066206e-07
28.1,2.8880746213432e-07
28.2,2.86228918062832e-07
28.3,2.83616819851743e-07
28.4,2.80971167501051e-07
28.5,2.78291961010758e-07
28.6,2.75579200380862e-07
28.7,2.72832885611365e-07
28.8,2.70053016702266e-07
28.9,2.67239593653565e-07
29,2.64392616465262e-07
29.1,2.6213569501136e-07
29.2,2.59850770939571e-07
29.3,2.57537844249898e-07
29.4,2.55196914942338e-07
29.5,2.52827983016893e-07
29.6,2.50431048473563e-07
29.7,2.48006111312347e-07
29.8,2.45553171533245e-07
29.9,2.43072229136258e-07
30,2.40563284121385e-07
30.1,2.38401241414927e-07
30.2,2.36222539926898e-07
30.3,2.34027179657297e-07
30.4,2.31815160606124e-07
30.5,2.29586482773379e-07
30.6,2.27341146159062e-07
30.7,2.25079150763172e-07
30.8,2.22800496585711e-07
30.9,2.20505183626678e-07
31,2.18193211886073e-07
31.1,2.16564831471982e-07
31.2,2.14919411892927e-07
31.3,2.13256953148909e-07
31.4,2.11577455239928e-07
31.5,2.09880918165983e-07
31.6,2.08167341927074e-07
31.7,2.06436726523203e-07
31.8,2.04689071954367e-07
31.9,2.02924378220569e-07
32,2.01142645321806e-07
32.1,1.99741309328235e-07
32.2,1.98327036765058e-07
32.3,1.96899827632276e-07
32.4,1.95459681929889e-07
32.5,1.94006599657897e-07
32.6,1.925405808163e-07
32.7,1.91061625405097e-07
32.8,1.8956973342429e-07
32.9,1.88064904873878e-07
33,1.8654713975386e-07
33.1,1.85330128649516e-07
33.2,1.8410332122088e-07
33.3,1.82866717467952e-07
33.4,1.81620317390732e-07
33.5,1.80364120989219e-07
33.6,1.79098128263414e-07
33.7,1.77822339213318e-07
33.8,1.76536753838929e-07
33.9,1.75241372140248e-07
34,1.73936194117274e-07
34.1,1.72868151880468e-07
34.2,1.71792666952832e-07
34.3,1.70709739334367e-07
34.4,1.69619369025072e-07
34.5,1.68521556024947e-07
34.6,1.67416300333993e-07
34.7,1.66303601952209e-07
34.8,1.65183460879595e-07
34.9,1.64055877116152e-07
35,1.62920850661879e-07
35.1,1.61975018248908e-07
35.2,1.61023483392742e-07
35.3,1.60066246093379e-07
35.4,1.59103306350821e-07
35.5,1.58134664165067e-07
35.6,1.57160319536117e-07
35.7,1.56180272463971e-07
35.8,1.5519452294863e-07
35.9,1.54203070990093e-07
36,1.53205916588359e-07
36.1,1.52361869784359e-07
36.2,1.51513416044551e-07
36.3,1.50660555368936e-07
36.4,1.49803287757513e-07
36.5,1.48941613210283e-07
36.6,1.48075531727245e-07
36.7,1.472050433084e-07
36.8,1.46330147953747e-07
36.9,1.45450845663287e-07
37,1.44567136437019e-07
37.1,1.43809312186794e-07
37.2,1.43048030129811e-07
37.3,1.4228329026607e-07
37.4,1.41515092595572e-07
37.5,1.40743437118316e-07
37.6,1.39968323834302e-07
37.7,1.3918975274353e-07
37.8,1.38407723846001e-07
37.9,1.37622237141714e-07
38,1.36833292630669e-07
38.1,1.36149139748295e-07
38.2,1.35462228937739e-07
38.3,1.34772560199002e-07
38.4,1.34080133532083e-07
38.5,1.33384948936982e-07
38.6,1.326870064137e-07
38.7,1.31986305962236e-07
38.8,1.31282847582591e-07
38.9,1.30576631274764e-07
39,1.29867657038756e-07
39.1,1.29248398889625e-07
39.2,1.28626898431667e-07
39.3,1.28003155664882e-07
39.4,1.2737717058927e-07
39.5,1.2674894320483e-07
39.6,1.26118473511563e-07
39.7,1.25485761509469e-07
39.8,1.24850807198548e-07
39.9,1.24213610578799e-07
40,1.23574171650223e-07
40.1,1.23044106059578e-07
40.2,1.2251233169008e-07
40.3,1.21978848541732e-07
40.4,1.21443656614532e-07
40.5,1.20906755908481e-07
40.6,1.20368146423579e-07
40.7,1.19827828159826e-07
40.8,1.19285801117221e-07
40.9,1.18742065295765e-07
41,1.18196620695458e-07
41.1,1.176494673163e-07
41.2,1.1710060515829e-07
41.3,1.16550034221429e-07
41.4,1.15997754505717e-07
41.5,1.15443766011153e-07
41.6,1.14888068737738e-07
41.7,1.14330662685472e-07
41.8,1.13771547854355e-07
41.9,1.13210724244386e-07
42,1.12648191855567e-07
42.1,1.1220287059986e-07
42.2,1.11756298296406e-07
42.3,1.11308474945204e-07
42.4,1.10859400546254e-07
42.5,1.10409075099556e-07
42.6,1.0995749860511e-07
42.7,1.09504671062915e-07
42.8,1.09050592472973e-07
42.9,1.08595262835283e-07
43,1.08138682149845e-07
43.1,1.07680850416658e-07
43.2,1.07221767635724e-07
43.3,1.06761433807042e-07
43.4,1.06299848930611e-07
43.5,1.05837013006433e-07
43.6,1.05372926034507e-07
43.7,1.04907588014832e-07
43.8,1.0444099894741e-07
43.9,1.03973158832239e-07
44,1.03504067669321e-07
44.1,1.03125503634354e-07
44.2,1.02745970399628e-07
44.3,1.02365467965141e-07
44.4,1.01983996330895e-07
44.5,1.0160155549689e-07
44.6,1.01218145463125e-07
44.7,1.008337662296e-07
44.8,1.00448417796315e-07
44.9,1.0006210016327e-07
45,9.96748133304662e-08
45.1,9.92865572979023e-08
45.2,9.88973320655787e-08
45.3,9.85071376334954e-08
45.4,9.81159740016523e-08
45.5,9.77238411700496e-08
45.6,9.73307391386872e-08
45.7,9.69366679075651e-08
45.8,9.65416274766832e-08
45.9,9.61456178460416e-08
46,9.57486390156404e-08
46.1,9.54236917215426e-08
46.2,9.50979526379377e-08
46.3,9.47714217648258e-08
46.4,9.44440991022068e-08
46.5,9.41159846500807e-08
46.6,9.37870784084475e-08
46.7,9.34573803773072e-08
46.8,9.31268905566599e-08
46.9,9.27956089465055e-08
47,9.2463535546844e-08
47.1,9.21306703576753e-08
47.2,9.17970133789997e-08
47.3,9.14625646108169e-08
47.4,9.1127324053127e-08
47.5,9.07912917059301e-08
47.6,9.04544675692261e-08
47.7,9.0116851643015e-08
47.8,8.97784439272968e-08
47.9,8.94392444220715e-08
48,8.90992531273392e-08
48.1,8.88178341063511e-08
48.2,8.85357432167333e-08
48.3,8.8252980458486e-08
48.4,8.7969545831609e-08
48.5,8.76854393361024e-08
48.6,8.74006609719662e-08
48.7,8.71152107392003e-08
48.8,8.68290886378048e-08
48.9,8.65422946677797e-08
49,8.62548288291249e-08
49.1,8.59666911218406e-08
49.2,8.56778815459266e-08
49.3,8.53884001013829e-08
49.4,8.50982467882097e-08
49.5,8.48074216064068e-08
49.6,8.45159245559743e-08
49.7,8.42237556369121e-08
49.8,8.39309148492204e-08
49.9,8.3637402192899e-08
50,8.3343217667948e-08
50.1,8.31029923206527e-08
50.2,8.28621927922867e-08
50.3,8.26208190828501e-08
50.4,8.23788711923429e-08
50.5,8.21363491207652e-08
50.6,8.18932528681168e-08
50.7,8.16495824343978e-08
50.8,8.14053378196081e-08
50.9,8.11605190237479e-08
51,8.09151260468171e-08
51.1,8.06691588888157e-08
51.2,8.04226175497436e-08
51.3,8.0175502029601e-08
51.4,7.99278123283877e-08
51.5,7.96795484461038e-08
51.6,7.94307103827494e-08
51.7,7.91812981383243e-08
51.8,7.89313117128286e-08
51.9,7.86807511062623e-08
52,7.84296163186254e-08
52.1,7.82070340883339e-08
52.2,7.79839215102943e-08
52.3,7.77602785845063e-08
52.4,7.75361053109701e-08
52.5,7.73114016896857e-08
52.6,7.70861677206531e-08
52.7,7.68604034038722e-08
52.8,7.66341087393431e-08
52.9,7.64072837270657e-08
53,7.61799283670401e-08
53.1,7.59520426592663e-08
53.2,7.57236266037442e-08
53.3,7.54946802004739e-08
53.4,7.52652034494554e-08
53.5,7.50351963506887e-08
53.6,7.48046589041736e-08
53.7,7.45735911099104e-08
53.8,7.43419929678989e-08
53.9,7.41098644781392e-08
54,7.38772056406313e-08
54.1,7.36654996021145e-08
54.2,7.34532911612891e-08
54.3,7.32405803181552e-08
54.4,7.30273670727127e-08
54.5,7.28136514249617e-08
54.6,7.2599433374902e-08
54.7,7.23847129225338e-08
54.8,7.2169490067857e-08
54.9,7.19537648108717e-08
55,7.17375371515777e-08
55.1,7.15208070899752e-08
55.2,7.13035746260641e-08
55.3,7.10858397598445e-08
55.4,7.08676024913162e-08
55.5,7.06488628204794e-08
55.6,7.04296207473341e-08
55.7,7.02098762718801e-08
55.8,6.99896293941176e-08
55.9,6.97688801140465e-08
56,6.95476284316668e-08
56.1,6.93941889372232e-08
56.2,6.92403611814326e-08
56.3,6.90861451642949e-08
56.4,6.89315408858103e-08
56.5,6.87765483459785e-08
56.6,6.86211675447998e-08
56.7,6.8465398482274e-08
56.8,6.83092411584012e-08
56.9,6.81526955731813e-08
57,6.79957617266144e-08
57.1,6.78384396187005e-08
57.2,6.76807292494395e-08
57.3,6.75226306188315e-08
57.4,6.73641437268764e-08
57.5,6.72052685735744e-08
57.6,6.70460051589252e-08
57.7,6.68863534829291e-08
57.8,6.67263135455859e-08
57.9,6.65658853468957e-08
58,6.64050688868585e-08
58.1,6.63234950732329e-08
58.2,6.62416706425126e-08
58.3,6.61595955946972e-08
58.4,6.6077269929787e-08
58.5,6.59946936477819e-08
58.6,6.59118667486819e-08
58.7,6.5828789232487e-08
58.8,6.57454610991972e-08
58.9,6.56618823488124e-08
59,6.55780529813328e-08
59.1,6.54939729967583e-08
59.2,6.54096423950888e-08
59.3,6.53250611763245e-08
59.4,6.52402293404652e-08
59.5,6.51551468875111e-08
59.6,6.50698138174621e-08
59.7,6.49842301303181e-08
59.8,6.48983958260793e-08
59.9,6.48123109047455e-08
60,6.47259753663168e-08
60.1,6.46853400778589e-08
60.2,6.46445337960044e-08
60.3,6.46035565207535e-08
60.4,6.45624082521061e-08
60.5,6.45210889900622e-08
60.6,6.44795987346218e-08
60.7,6.44379374857849e-08
60.8,6.43961052435515e-08
60.9,6.43541020079216e-08
61,6.43119277788952e-08
61.1,6.42695825564723e-08
61.2,6.4227066340653e-08
61.3,6.41843791314371e-08
61.4,6.41415209288248e-08
61.5,6.4098491732816e-08
61.6,6.40552915434106e-08
61.7,6.40119203606088e-08
61.8,6.39683781844105e-08
61.9,6.39246650148157e-08
62,6.38807808518244e-08
62.1,6.38747564091371e-08
62.2,6.38686270665018e-08
62.3,6.38623928239184e-08
62.4,6.3856053681387e-08
62.5,6.38496096389075e-08
62.6,6.38430606964799e-08
62.7,6.38364068541043e-08
62.8,6.38296481117807e-08
62.9,6.3822784469509e-08
63,6.38158159272893e-08
63.1,6.38087424851215e-08
63.2,6.38015641430057e-08
63.3,6.37942809009418e-08
63.4,6.37868927589298e-08
63.5,6.37793997169698e-08
63.6,6.37718017750618e-08
63.7,6.37640989332057e-08
63.8,6.37562911914016e-08
63.9,6.37483785496494e-08
64,6.37403610079491e-08
64.1,6.37592731531633e-08
64.2,6.37781287184087e-08
64.3,6.37969277036855e-08
64.4,6.38156701089936e-08
64.5,6.3834355934333e-08
64.6,6.38529851797037e-08
64.7,6.38715578451057e-08
64.8,6.3890073930539e-08
64.9,6.39085334360037e-08
65,6.39269363614996e-08
65.1,6.39452827070269e-08
65.2,6.39635724725855e-08
65.3,6.39818056581754e-08
65.4,6.39999822637966e-08
65.5,6.40181022894491e-08
65.6,6.4036165735133e-08
65.7,6.40541726008481e-08
65.8,6.40721228865946e-08
65.9,6.40900165923724e-08
66,6.41078537181814e-08
66.1,6.41281545188726e-08
66.2,6.41484083090151e-08
66.3,6.4168615088609e-08
66.4,6.41887748576543e-08
66.5,6.4208887616151e-08
66.6,6.4228953364099e-08
66.7,6.42489721014985e-08
66.8,6.42689438283494e-08
66.9,6.42888685446516e-08
67,6.43087462504052e-08
67.1,6.43285769456103e-08
67.2,6.43483606302667e-08
67.3,6.43680973043745e-08
67.4,6.43877869679337e-08
67.5,6.44074296209442e-08
67.6,6.44270252634062e-08
67.7,6.44465738953196e-08
67.8,6.44660755166843e-08
67.9,6.44855301275004e-08
68,6.4504937727768e-08
68.1,6.45204866414417e-08
68.2,6.45359893011391e-08
68.3,6.45514457068602e-08
68.4,6.45668558586051e-08
68.5,6.45822197563737e-08
68.6,6.45975374001659e-08
68.7,6.46128087899819e-08
68.8,6.46280339258217e-08
68.9,6.46432128076851e-08
69,6.46583454355723e-08
69.1,6.46734318094832e-08
69.2,6.46884719294178e-08
69.3,6.47034657953761e-08
69.4,6.47184134073581e-08
69.5,6.47333147653639e-08
69.6,6.47481698693934e-08
69.7,6.47629787194466e-08
69.8,6.47777413155235e-08
69.9,6.47924576576241e-08
70,6.48071277457485e-08
70.1,6.48153063315069e-08
70.2,6.48234413140509e-08
70.3,6.48315326933806e-08
70.4,6.48395804694959e-08
70.5,6.48475846423968e-08
70.6,6.48555452120833e-08
70.7,6.48634621785554e-08
70.8,6.48713355418132e-08
70.9,6.48791653018566e-08
71,6.48869514586856e-08
71.1,6.48946940123002e-08
71.2,6.49023929627005e-08
71.3,6.49100483098864e-08
71.4,6.49176600538579e-08
71.5,6.4925228194615e-08
71.6,6.49327527321577e-08
71.7,6.49402336664861e-08
71.8,6.49476709976001e-08
71.9,6.49550647254997e-08
72,6.49624148501849e-08
72.1,6.49697213716558e-08
72.2,6.49769842899122e-08
72.3,6.49842036049543e-08
72.4,6.4991379316782e-08
72.5,6.49985114253954e-08
72.6,6.50055999307943e-08
72.7,6.50126448329789e-08
72.8,6.50196461319491e-08
72.9,6.50266038277049e-08
73,6.50335179202463e-08
73.1,6.50403884095734e-08
73.2,6.50472152956861e-08
73.3,6.50539985785844e-08
73.4,6.50607382582683e-08
73.5,6.50674343347379e-08
73.6,6.5074086807993e-08
73.7,6.50806956780338e-08
73.8,6.50872609448602e-08
73.9,6.50937826084723e-08
74,6.51002606688699e-08
74.1,6.51066951260532e-08
74.2,6.51130859800221e-08
74.3,6.51194332307766e-08
74.4,6.51257368783168e-08
74.5,6.51319969226425e-08
74.6,6.51382133637539e-08
74.7,6.51443862016509e-08
74.8,6.51505154363336e-08
74.9,6.51566010678018e-08
75,6.51626430960557e-08
75.1,6.5159730536223e-08
75.2,6.51567790136943e-08
75.3,6.51537885284695e-08
75.4,6.51507590805487e-08
75.5,6.51476906699318e-08
75.6,6.51445832966189e-08
75.7,6.51414369606099e-08
75.8,6.51382516619048e-08
75.9,6.51350274005037e-08
76,6.51317641764066e-08
76.1,6.51284619896133e-08
76.2,6.51251208401241e-08
76.3,6.51217407279388e-08
76.4,6.51183216530574e-08
76.5,6.511486361548e-08
76.6,6.51113666152065e-08
76.7,6.5107830652237e-08
76.8,6.51042557265714e-08
76.9,6.51006418382097e-08
77,6.5096988987152e-08
77.1,6.50932971733983e-08
77.2,6.50895663969485e-08
77.3,6.50857966578026e-08
77.4,6.50819879559607e-08
77.5,6.50781402914227e-08
77.6,6.50742536641887e-08
77.7,6.50703280742586e-08
77.8,6.50663635216325e-08
77.9,6.50623600063103e-08
78,6.50583175282921e-08
78.1,6.50542360875778e-08
78.2,6.50501156841674e-08
78.3,6.5045956318061e-08
78.4,6.50417579892586e-08
78.5,6.50375206977601e-08
78.6,6.50332444435655e-08
78.7,6.50289292266749e-08
78.8,6.50245750470882e-08
78.9,6.50201819048055e-08
79,6.50157497998267e-08
79.1,6.50112787321519e-08
79.2,6.5006768701781e-08
79.3,6.5002219708714e-08
79.4,6.4997631752951e-08
79.5,6.4993004834492e-08
79.6,6.49883389533369e-08
79.7,6.49836341094857e-08
79.8,6.49788903029385e-08
79.9,6.49741075336952e-08
80,6.49692858017559e-08
80.1,6.49564014188051e-08
80.2,6.4943482699156e-08
80.3,6.49305296428087e-08
80.4,6.4917542249763e-08
80.5,6.4904520520019e-08
80.6,6.48914644535767e-08
80.7,6.48783740504362e-08
80.8,6.48652493105973e-08
80.9,6.48520902340601e-08
81,6.48388968208246e-08
81.1,6.48256690708909e-08
81.2,6.48124069842588e-08
81.3,6.47991105609284e-08
81.4,6.47857798008998e-08
81.5,6.47724147041728e-08
81.6,6.47590152707475e-08
81.7,6.4745581500624e-08
81.8,6.47321133938021e-08
81.9,6.47186109502819e-08
82,6.47050741700635e-08
82.1,6.46915030531467e-08
82.2,6.46778975995316e-08
82.3,6.46642578092183e-08
82.4,6.46505836822066e-08
82.5,6.46368752184967e-08
82.6,6.46231324180884e-08
82.7,6.46093552809818e-08
82.8,6.4595543807177e-08
82.9,6.45816979966739e-08
83,6.45678178494724e-08
83.1,6.45539033655726e-08
83.2,6.45399545449746e-08
83.3,6.45259713876782e-08
83.4,6.45119538936836e-08
83.5,6.44979020629906e-08
83.6,6.44838158955994e-08
83.7,6.44696953915098e-08
83.8,6.4455540550722e-08
83.9,6.44413513732358e-08
84,6.44271278590514e-08
84.1,6.44128700081686e-08
84.2,6.43985778205876e-08
84.3,6.43842512963082e-08
84.4,6.43698904353306e-08
84.5,6.43554952376547e-08
84.6,6.43410657032804e-08
84.7,6.43266018322079e-08
84.8,6.4312103624437e-08
84.9,6.42975710799679e-08
85,6.42830041988005e-08
85.1,6.43713792894476e-08
85.2,6.44597998474259e-08
85.3,6.45482658727355e-08
85.4,6.46367773653762e-08
85.5,6.47253343253482e-08
85.6,6.48139367526514e-08
85.7,6.49025846472858e-08
85.8,6.49912780092514e-08
85.9,6.50800168385482e-08
86,6.51688011351762e-08
86.1,6.52576308991355e-08
86.2,6.53465061304259e-08
86.3,6.54354268290475e-08
86.4,6.55243929950004e-08
86.5,6.56134046282845e-08
86.6,6.57024617288998e-08
86.7,6.57915642968462e-08
86.8,6.58807123321239e-08
86.9,6.59699058347328e-08
87,6.6059144804673e-08
87.1,6.61484292419443e-08
87.2,6.62377591465468e-08
87.3,6.63271345184806e-08
87.4,6.64165553577455e-08
87.5,6.65060216643417e-08
87.6,6.65955334382691e-08
87.7,6.66850906795276e-08
87.8,6.67746933881174e-08
87.9,6.68643415640384e-08
88,6.69540352072907e-08
88.1,6.70437743178741e-08
88.2,6.71335588957887e-08
88.3,6.72233889410346e-08
88.4,6.73132644536116e-08
88.5,6.74031854335199e-08
88.6,6.74931518807594e-08
88.7,6.758316379533e-08
88.8,6.76732211772319e-08
88.9,6.7763324026465e-08
89,6.78534723430293e-08
89.1,6.79436661269249e-08
89.2,6.80339053781516e-08
89.3,6.81241900967095e-08
89.4,6.82145202825987e-08
89.5,6.83048959358191e-08
89.6,6.83953170563706e-08
89.7,6.84857836442534e-08
89.8,6.85762956994674e-08
89.9,6.86668532220126e-08
90,6.8757456211889e-08
90.1,6.87160918179587e-08
90.2,6.86746940807333e-08
90.3,6.86332630002128e-08
90.4,6.85917985763972e-08
90.5,6.85503008092864e-08
90.6,6.85087696988805e-08
90.7,6.84672052451795e-08
90.8,6.84256074481834e-08
90.9,6.83839763078921e-08
91,6.83423118243057e-08
91.1,6.83006139974242e-08
91.2,6.82588828272476e-08
91.3,6.82171183137758e-08
91.4,6.81753204570089e-08
91.5,6.81334892569469e-08
91.6,6.80916247135897e-08
91.7,6.80497268269375e-08
91.8,6.80077955969901e-08
91.9,6.79658310237475e-08
92,6.79238331072099e-08
92.1,6.78818018473771e-08
92.2,6.78397372442492e-08
92.3,6.77976392978262e-08
92.4,6.7755508008108e-08
92.5,6.77133433750947e-08
92.6,6.76711453987863e-08
92.7,6.76289140791828e-08
92.8,6.75866494162842e-08
92.9,6.75443514100904e-08
93,6.75020200606015e-08
93.1,6.74596553678174e-08
93.2,6.74172573317383e-08
93.3,6.7374825952364e-08
93.4,6.73323612296946e-08
93.5,6.728986316373e-08
93.6,6.72473317544704e-08
93.7,6.72047670019156e-08
93.8,6.71621689060657e-08
93.9,6.71195374669207e-08
94,6.70768726844805e-08
94.1,6.70341745587452e-08
94.2,6.69914430897148e-08
94.3,6.69486782773893e-08
94.4,6.69058801217686e-08
94.5,6.68630486228528e-08
94.6,6.68201837806419e-08
94.7,6.67772855951358e-08
94.8,6.67343540663347e-08
94.9,6.66913891942384e-08
95,6.66483909788469e-08
95.1,6.66039901682632e-08
95.2,6.65595629948448e-08
95.3,6.65151094585917e-08
95.4,6.64706295595038e-08
95.5,6.64261232975814e-08
95.6,6.63815906728242e-08
95.7,6.63370316852324e-08
95.8,6.62924463348059e-08
95.9,6.62478346215447e-08
96,6.62031965454488e-08
96.1,6.61585321065183e-08
96.2,6.6113841304753e-08
96.3,6.60691241401531e-08
96.4,6.60243806127185e-08
96.5,6.59796107224493e-08
96.6,6.59348144693453e-08
96.7,6.58899918534067e-08
96.8,6.58451428746334e-08
96.9,6.58002675330254e-08
97,6.57553658285828e-08
97.1,6.57104377613054e-08
97.2,6.56654833311934e-08
97.3,6.56205025382467e-08
97.4,6.55754953824653e-08
97.5,6.55304618638493e-08
97.6,6.54854019823985e-08
97.7,6.54403157381131e-08
97.8,6.5395203130993e-08
97.9,6.53500641610383e-08
98,6.53048988282488e-08
98.1,6.52597071326247e-08
98.2,6.52144890741659e-08
98.3,6.51692446528724e-08
98.4,6.51239738687442e-08
98.5,6.50786767217814e-08
98.6,6.50333532119838e-08
98.7,6.49880033393516e-08
98.8,6.49426271038847e-08
98.9,6.48972245055832e-08
99,6.48517955444469e-08
99.1,6.4806340220476e-08
99.2,6.47608585336704e-08
