"""Url""",Comments,Date,F10,F11,F12,F13,F14,F15,F9,Productid,"ProductType""ProductDescription""",Time,Price,Qty
"""Take your favorite hikes all winter long with these easy-to-use snowshoes. Best of all",this boxed set helps you save money and includes everything you need to get started: snowshoes,19/03/2018,"""https://www.example.com/product/ZN_6172.html""",,,,,,"hiking poles and a tough snowshoe storage bag.""",ZN-6172,Men's Snowshoes Set,30/12/1899 06:30:00,30.79,0
"Pro Freshwater""","""This tippet is field tested in a variety of situations",20/03/2018,"and is guaranteed to perform under the worst weather conditions.""","""https://www.example.com/product/YY_2057.html""",,,,,from spring creeks to tidal rips,YY-2057,"""Tippet Material",30/12/1899 06:45:00,43.4,0
"""Ideal for kayaking",paddle boarding and surfing,21/03/2018,"while 2 mm thickness on your arms and legs ensures your range of motion is at its best.""","""https://www.example.com/product/BH_5486.html""",,,,,this wetsuit covers your core in 3 mm neoprene for maximum warmth,BH-5486,Women's Wet Suit,30/12/1899 07:00:00,0.91,1
"Tall""","""Industry-leading insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional boots.""",22/03/2018,,,,,,,"""https://www.example.com/product/BH_1732.html""",BH-1732,"""Waterproof Boots",30/12/1899 07:15:00,65.46,3
"""This pair of water-resistant",remote-controlled heated insoles features thermal technology engineered to keep your feet warm,24/03/2018,"to avoid sweating and freezing.""","""https://www.example.com/product/BH_4480.html""",,,,,not hot,BH-4480,"""Heated Insoles""",30/12/1899 07:45:00,51.42,0
"Pants""","""Our exclusive wool performance fabric makes these pants an ideal base layer for cool-weather sports.""",25/03/2018,,,,,,,"""https://www.example.com/product/BH_1061.html""",BH-1061,"""Base Layer",30/12/1899 08:00:00,62.55,0
"Camo""","""This camo quarter-zip hoodie is an extremely versatile mid layer thats great for all hunting seasons. Its made from warm",26/03/2018,"""https://www.example.com/product/ON_7017.html""",,,,,,"breathable fleece and features an innovative lightweight hood with a built-in face mask.""",ON-7017,"""Quarter-Zip Hoodie",30/12/1899 08:15:00,0.9,2
Traditional Fit,"Short-Sleeve""",27/03/2018,stains,shrinking,fading and pilling,"our resilient tee keeps its shape wash after wash.""","""https://www.example.com/product/ON_1026.html""",,"""Made of soft cotton that resists wrinkles",ON-1026,"""Tee",30/12/1899 08:30:00,20.65,3
"""Just as good today as it was back then",our kids' retro fleece pullover combines our soft,28/03/2018,"stretchy fleece with cool colorblock designs and our logo.""","""https://www.example.com/product/AN_6109.html""",,,,,warm,AN-6109,Kids' Pullover,30/12/1899 08:45:00,18.58,4
"""This lightweight fitness vest allows excellent freedom of movement while resisting wind and light rain",making it perfect for running,29/03/2018,"cycling or walks around town.""","""https://www.example.com/product/AN_9272.html""",,,,,hiking,AN-9272,Women's Essential Running Vest,30/12/1899 09:00:00,57.75,3
"Extra-Large""","""We kept the heritage-inspired design of our spacious rolling duffle",30/03/2018,"""https://www.example.com/product/AN_1646.html""",,,,,,"then added thoughtful details like easy-rolling spinner wheels.""",AN-1646,"""Rolling Duffle",30/12/1899 09:15:00,78.74,0
"Slightly Fitted Short-Sleeve Stripe""","""Lightweight and breathable",31/03/2018,"perfect for summer.""","""https://www.example.com/product/AN_9388.html""",,,,,this colorful shirt will be a warm-weather mainstay year after year. Light and comfortable,AN-9388,"""Linen Shirt",30/12/1899 09:30:00,64.02,0
"10""""""","""The original boot",13/04/2018,wet weather,"with the addition of a waterproof liner and warm insulation.""","""https://www.example.com/product/YY_9611.html""",,,,made since 1912. Now with even more protection from cold,YY-9611,"""Women's Hunting Shoes",30/12/1899 11:00:00,3.79,4
"Leather/Nubuck""","""Our finest leather Men's slip-on penny loafers are handstitched from supple",14/04/2018,"""https://www.example.com/product/RI_1639.html""",,,,,,"fine-grain nubuck leather that molds to your foot for a custom-like feel.""",RI-1639,"""Men's Loafers",30/12/1899 11:15:00,25.14,12
"""Designed with FAST fun in mind",these super cool kids' sneakers feature a sleek,16/04/2018,"action-packed comfort.""","""https://www.example.com/product/RI_3655.html""",,,,,engineered mesh upper and award-winning cushioning for all-day,RI-3655,Kids' Sneaker,30/12/1899 11:45:00,45.12,15
Short Sleeve,"Graphic""",17/04/2018,this quick-drying kids' rashguard blocks the sun,"but not the summer fun.""","""https://www.example.com/product/CC_5271.html""",,,,"""With its great coverage and UPF 50+ sun protection",CC-5271,"""Kids' Shirt",30/12/1899 12:00:00,38.81,16
"""Designed specifically for mountain biking",the cycling shorts are built with performance features such as breathable,18/04/2018,with a casual,"relaxed fit for comfort on and off the bike.""","""https://www.example.com/product/CC_9916.html""",,,,moisture-wicking fabric and chamois padding,CC-9916,Men's Biking Shorts,30/12/1899 12:15:00,75.06,9
"""Our lightest",most compact 2-person cookset nests together to save space. Includes a stove,19/04/2018,2 bowls,"2-12.5 oz. double-wall insulated mugs and 2 folding sporks.""","""https://www.example.com/product/YY_7121.html""",,,,a two-liter hard anodized aluminum pot with clear strainer lid,YY-7121,Backpacking Stove Kit,30/12/1899 12:30:00,67.64,9
"Combination Cable""","""This luggage lock helps keep your belongings secure while traveling. Allows your luggage to go through airport security and arrive at your destination fully locked.""",20/04/2018,,,,,,,"""https://www.example.com/product/YY_8954.html""",YY-8954,"""Travel Lock",30/12/1899 12:45:00,64.19,15
"""Here","when we call something good we mean it: just one touch of these soft men's boot slippers and you'll understand why.""",21/04/2018,,,,,,,"""https://www.example.com/product/YY_8239.html""",YY-8239,Men's Boots,30/12/1899 13:00:00,72,8
"""We used performance-packed swim fabric to create board shorts that keep up during the most rigorous adventures","with enough style for heading into town afterward.""",23/04/2018,,,,,,,"""https://www.example.com/product/BH_2268.html""",BH-2268,Men's Shorts,30/12/1899 13:30:00,43.61,26
"""This portable game center will provide hours of fun at your barbecue",tailgate,25/04/2018,"you can take it anywhere.""","""https://www.example.com/product/BH_4482.html""",,,,,beach trip and more. With easy set-up and take-down,BH-4482,Portable Game Center,30/12/1899 14:00:00,53.95,16
"Leather Mesh""","""The classic alpine hiker is back",26/04/2018,"""https://www.example.com/product/HK_4191.html""",,,,,,"with retro style and all-day comfort you'll want to wear beyond the trail.""",HK-4191,"""Women's Waterproof Hiking Boots",30/12/1899 14:15:00,3.35,22
"""Inspired by the legendary comfort of our slippers","we designed these warm slipper booties to be so cozy you'll never want to take them off. The durable knit lambswool upper is lined with toasty fleece that wraps your feet in luxury.""",29/04/2018,,,,,,,"""https://www.example.com/product/AN_5829.html""",AN-5829,Women's Booties,30/12/1899 15:00:00,2.86,30
"""An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture.""","""https://www.example.com/product/BH_7941.html""",13/05/2018,,,,,,,,BH-7941,Cotton/Linen Ragg Sweater,30/12/1899 18:45:00,64.17,24
"""This unique bundle includes the wood-burning camp Stove",Portable Grill,15/05/2018,"""https://www.example.com/product/HK_8027.html""",,,,,,"Kettle Pot with Coffee Press and a USB Lantern.""",HK-8027,Camp Stove Bundle with Coffee Press,30/12/1899 19:15:00,26.62,18
"""An exclusive","these colorblocked sandals are an absolutely beautiful and incredibly comfortable addition to your warm-weather wardrobe.""",18/05/2018,,,,,,,"""https://www.example.com/product/AN_2099.html""",AN-2099,Sandals,30/12/1899 20:00:00,64.14,30
"Plaid""","""Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.""",19/05/2018,,,,,,,"""https://www.example.com/product/AN_5746.html""",AN-5746,"""Flannel Tunic",30/12/1899 20:15:00,83.75,33
"""Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating","even when wet.""",20/05/2018,,,,,,,"""https://www.example.com/product/AN_5136.html""",AN-5136,Ragg Wool Hat,30/12/1899 20:30:00,39.41,16
"""Spend more time relaxing outside with our low-maintenance coffee table. Like all of our furniture",it won't chip,21/05/2018,"warp or crack.""","""https://www.example.com/product/ZN_5503.html""",,,,,peel,ZN-5503,Coffee Table,30/12/1899 20:45:00,88.45,21
"""This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection","the highest possible.""",22/05/2018,,,,,,,"""https://www.example.com/product/ZN_4103.html""",ZN-4103,Baseball Hat,30/12/1899 21:00:00,68.74,19
"Print""","""With four reclining positions and backpack straps for easy carrying",23/05/2018,"""https://www.example.com/product/GN_1741.html""",,,,,,"this is the most comfortable and convenient folding beach chair we've ever offered.""",GN-1741,"""Beach Chair",30/12/1899 21:15:00,48.05,2
"""Designed to be the ultimate reversible jacket with two great options. We took the cozy comfort of plush fleece and combined it with the ultralight warmth of our insulation.""","""https://www.example.com/product/GN_5567.html""",24/05/2018,,,,,,,,GN-5567,Men's Reversible Jacket,30/12/1899 21:30:00,26.87,1
"Print""","""With flattering coverage",25/05/2018,"our best-value one-piece bathing suit is designed for sun and surf. Made from premium Italian swim fabric in fun wave print.""","""https://www.example.com/product/GN_3028.html""",,,,,amazing stay-put shape and quick-dry comfort,GN-3028,"""Swimwear",30/12/1899 21:45:00,12.98,0
"""You wont find a sandal with better control or support than this. Its loaded with features like secure double-strap webbing","a podiatrist-certified footbed and a toe loop for extra forefoot stability.""",26/05/2018,,,,,,,"""https://www.example.com/product/YY_4147.html""",YY-4147,Women's Sandals,30/12/1899 22:00:00,11.06,2
"""Designed to resist wind and water","these click-to-fit ear warmers are made with insulation for even more warmth during outdoor activities.""",27/05/2018,,,,,,,"""https://www.example.com/product/WH_3118.html""",WH-3118,Men's Ear Warmer,30/12/1899 22:15:00,31.06,0
Traditional Fit,"Long-Sleeve""",28/05/2018,stains,shrinking,fading and pilling,"our resilient tee keeps its shape wash after wash.""","""https://www.example.com/product/WH_2859.html""",,"""Made of soft cotton that resists wrinkles",WH-2859,"""Tee",30/12/1899 22:30:00,72.91,1
"Two-Pack""","""Collapsed or extended",30/05/2018,making them handy to bring on hikes and camping trips,"and easy to keep on hand in case of a power outage.""","""https://www.example.com/product/CC_2828.html""",,,,our lightweight camp lights take up minimal space,CC-2828,"""Camp Light",30/12/1899 23:00:00,79.36,1
"""This lightweight","ventilated version of the best-selling trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions.""",31/05/2018,,,,,,,"""https://www.example.com/product/HK_9973.html""",HK-9973,Women's Ventilated Hiking Shoes,30/12/1899 15:30:00,39.49,3
"""Inspired by watches worn by World War II infantrymen",this updated design makes it easy to tell time at a glance. New smaller size is perfect for men and women who want a classic field watch that's perfect for all occasions,21/06/2018,"""https://www.example.com/product/CC_5815.html""",,,,,,"both indoor and outdoor.""",CC-5815,Field Watch,30/12/1899 23:15:00,13.57,1
"""These great cargo capris pants for women are designed for performance",with built-in UPF 50+ to keep you cool,22/06/2018,"and protected from the sun while you're out enjoying it.""","""https://www.example.com/product/YY_2632.html""",,,,,dry,YY-2632,Women's Capris,30/12/1899 23:30:00,27.84,1
"""This girls' fitness tee controls moisture and odor: all at a great price",perfect for camp,23/06/2018,"""https://www.example.com/product/YY_1196.html""",,,,,,"sports and play.""",YY-1196,Girls' Tee,30/12/1899 23:45:00,90.15,0
"Two-Pack""","""Made of moisture-wicking merino wool with nylon for durability and spandex for shape-retaining stretch",24/06/2018,"form-fitting men's chino socks offer all-day comfort at home or work.""","""https://www.example.com/product/YY_1894.html""",,,,,these soft,YY-1894,"""Men's Socks",30/12/1899 00:00:00,13.52,0
"""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.""","""https://www.example.com/product/BH_1861.html""",26/06/2018,,,,,,,,BH-1861,Women's Socks,30/12/1899 00:30:00,82.12,0
"Stripe""","""Bring light",27/06/2018,"""https://www.example.com/product/RI_7731.html""",,,,,,"texture and classic style to any space with this coast-inspired striped ceramic table lamp.""",RI-7731,"""Ceramic Lamp",30/12/1899 17:15:00,65.13,1
"""Parents and little ones alike swear by this warm weatherproofing. Just pull these kids' handle boots on and seal the cold","wet weather out.""",29/06/2018,,,,,,,"""https://www.example.com/product/ZN_7072.html""",ZN-7072,Kids' High Handles Boots,30/12/1899 10:00:00,88.21,1
"""Were proud to offer the National Park collectible patch",featuring an embroidered scene of a breathtaking,30/06/2018,"""https://www.example.com/product/GN_1306.html""",,,,,,"rugged coastline.""",GN-1306,National Park Patch,30/12/1899 10:15:00,78.95,2
"""We combined details with your everyday needs to create this: an exceptional quality tote with a laptop compartment and enough room for all your other essentials.""","""https://www.example.com/product/GN_7767.html""",13/07/2018,,,,,,,,GN-7767,Men's Versatile Tote,30/12/1899 10:30:00,25.88,1
"""Run a 5K",rock hop at the shore,14/07/2018,"quick drying and comfortably cushioned for whatever your day has in store.""","""https://www.example.com/product/GN_4624.html""",,,,,window shop in town - these summer slip-on sneakers do it all. They're breathable,GN-4624,Summer Slip-On Sneakers,30/12/1899 10:45:00,24.52,0
"""Designed after the most popular adult hydration pack","this hydration pack measures up to your kids' trail hydration needs and your highest expectations.""",15/07/2018,,,,,,,"""https://www.example.com/product/RI_7676.html""",RI-7676,Kids' Hydration Pack,30/12/1899 16:45:00,7.49,20
"""These sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection","great for fishermen who spend a lot of time on the water.""",16/07/2018,,,,,,,"""https://www.example.com/product/RI_5314.html""",RI-5314,Fishing Sunglasses,30/12/1899 17:00:00,76.26,3
"""The perfect complement to any summertime style: this fedora hat offers UPF 50+ protection and won't crunch or bend during your travels.""","""https://www.example.com/product/YY_7734.html""",17/07/2018,,,,,,,,YY-7734,Havana Hat,30/12/1899 16:30:00,73.42,0
"""With proprietary construction",a front profile of only 9mm and weighing only 2.4 oz.,18/07/2018,"""https://www.example.com/product/BH_7744.html""",,,,,,"this bright headlamp sits comfortably on your forehead without bouncing or slipping.""",BH-7744,Headlamp,30/12/1899 17:30:00,56.76,1
"Print""","""Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer: for comfort as the days and months get colder.""",19/07/2018,,,,,,,"""https://www.example.com/product/YY_8580.html""",YY-8580,"""Underwear",30/12/1899 17:45:00,6.31,1
"""With ski-inspired style and a toasty",fleece-lined earband,20/07/2018,"""https://www.example.com/product/BH_7918.html""",,,,,,"staying warm on the slopes has never looked cooler.""",BH-7918,Kids' Jumper Hat,30/12/1899 18:00:00,63.7,1
"""This pair of water-resistant",remote-controlled heated insoles features thermal technology engineered to keep your feet warm,22/07/2018,"to avoid sweating and freezing.""","""https://www.example.com/product/BH_1085.html""",,,,,not hot,BH-1085,Heated Insoles,30/12/1899 18:30:00,85.07,1
"10"""" Shearling-Lined""","""With waterproof leather outside and soft",24/07/2018,our lined Boots are very possibly the coolest,"warmest boots ever. Handcrafted right here.""","""https://www.example.com/product/GN_2043.html""",,,,plush shearling inside,GN-2043,"""Men's Boots",30/12/1899 16:00:00,23.25,6
