"""ProductDescription""","""Url""",Comments,Date,F10,F11,F12,F13,F14,F15,Product Type,Productid,Time,Price,Qty
"""Designed with FAST fun in mind",these super cool kids' sneakers feature a sleek,engineered mesh upper and award-winning cushioning for all-day,16/04/2018,"action-packed comfort.""","""https://www.example.com/product/RI_3655.html""",,,,,Kids' Sneaker,RI-3655,30/12/1899 11:45:00,45.12,15
Short Sleeve,"Graphic""","""With its great coverage and UPF 50+ sun protection",17/04/2018,this quick-drying kids' rashguard blocks the sun,"but not the summer fun.""","""https://www.example.com/product/CC_5271.html""",,,,"""Kids' Shirt",CC-5271,30/12/1899 12:00:00,38.81,16
"""Designed specifically for mountain biking",the cycling shorts are built with performance features such as breathable,moisture-wicking fabric and chamois padding,18/04/2018,with a casual,"relaxed fit for comfort on and off the bike.""","""https://www.example.com/product/CC_9916.html""",,,,Men's Biking Shorts,CC-9916,30/12/1899 12:15:00,75.06,9
"""Our lightest",most compact 2-person cookset nests together to save space. Includes a stove,a two-liter hard anodized aluminum pot with clear strainer lid,19/04/2018,2 bowls,"2-12.5 oz. double-wall insulated mugs and 2 folding sporks.""","""https://www.example.com/product/YY_7121.html""",,,,Backpacking Stove Kit,YY-7121,30/12/1899 12:30:00,67.64,9
"Combination Cable""","""This luggage lock helps keep your belongings secure while traveling. Allows your luggage to go through airport security and arrive at your destination fully locked.""","""https://www.example.com/product/YY_8954.html""",20/04/2018,,,,,,,"""Travel Lock",YY-8954,30/12/1899 12:45:00,64.19,15
"""Here","when we call something good we mean it: just one touch of these soft men's boot slippers and you'll understand why.""","""https://www.example.com/product/YY_8239.html""",21/04/2018,,,,,,,Men's Boots,YY-8239,30/12/1899 13:00:00,72,8
"""We used performance-packed swim fabric to create board shorts that keep up during the most rigorous adventures","with enough style for heading into town afterward.""","""https://www.example.com/product/BH_2268.html""",23/04/2018,,,,,,,Men's Shorts,BH-2268,30/12/1899 13:30:00,43.61,26
"""This portable game center will provide hours of fun at your barbecue",tailgate,beach trip and more. With easy set-up and take-down,25/04/2018,"you can take it anywhere.""","""https://www.example.com/product/BH_4482.html""",,,,,Portable Game Center,BH-4482,30/12/1899 14:00:00,53.95,16
"Leather Mesh""","""The classic alpine hiker is back","with retro style and all-day comfort you'll want to wear beyond the trail.""",26/04/2018,"""https://www.example.com/product/HK_4191.html""",,,,,,"""Women's Waterproof Hiking Boots",HK-4191,30/12/1899 14:15:00,3.35,22
"""Inspired by the legendary comfort of our slippers","we designed these warm slipper booties to be so cozy you'll never want to take them off. The durable knit lambswool upper is lined with toasty fleece that wraps your feet in luxury.""","""https://www.example.com/product/AN_5829.html""",29/04/2018,,,,,,,Women's Booties,AN-5829,30/12/1899 15:00:00,2.86,30
"""An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture.""","""https://www.example.com/product/BH_7941.html""",,13/05/2018,,,,,,,Cotton/Linen Ragg Sweater,BH-7941,30/12/1899 18:45:00,64.17,24
"""This unique bundle includes the wood-burning camp Stove",Portable Grill,"Kettle Pot with Coffee Press and a USB Lantern.""",15/05/2018,"""https://www.example.com/product/HK_8027.html""",,,,,,Camp Stove Bundle with Coffee Press,HK-8027,30/12/1899 19:15:00,26.62,18
"""An exclusive","these colorblocked sandals are an absolutely beautiful and incredibly comfortable addition to your warm-weather wardrobe.""","""https://www.example.com/product/AN_2099.html""",18/05/2018,,,,,,,Sandals,AN-2099,30/12/1899 20:00:00,64.14,30
"Plaid""","""Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.""","""https://www.example.com/product/AN_5746.html""",19/05/2018,,,,,,,"""Flannel Tunic",AN-5746,30/12/1899 20:15:00,83.75,33
"""Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating","even when wet.""","""https://www.example.com/product/AN_5136.html""",20/05/2018,,,,,,,Ragg Wool Hat,AN-5136,30/12/1899 20:30:00,39.41,16
"""Spend more time relaxing outside with our low-maintenance coffee table. Like all of our furniture",it won't chip,peel,21/05/2018,"warp or crack.""","""https://www.example.com/product/ZN_5503.html""",,,,,Coffee Table,ZN-5503,,88.45,21
"""This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection","the highest possible.""","""https://www.example.com/product/ZN_4103.html""",22/05/2018,,,,,,,Baseball Hat,ZN-4103,30/12/1899 21:00:00,68.74,19
"Print""","""With four reclining positions and backpack straps for easy carrying","this is the most comfortable and convenient folding beach chair we've ever offered.""",23/05/2018,"""https://www.example.com/product/GN_1741.html""",,,,,,"""Beach Chair",GN-1741,30/12/1899 21:15:00,48.05,2
"""Designed to be the ultimate reversible jacket with two great options. We took the cozy comfort of plush fleece and combined it with the ultralight warmth of our insulation.""","""https://www.example.com/product/GN_5567.html""",,24/05/2018,,,,,,,Men's Reversible Jacket,GN-5567,30/12/1899 21:30:00,26.87,1
"Print""","""With flattering coverage",amazing stay-put shape and quick-dry comfort,25/05/2018,"our best-value one-piece bathing suit is designed for sun and surf. Made from premium Italian swim fabric in fun wave print.""","""https://www.example.com/product/GN_3028.html""",,,,,"""Swimwear",GN-3028,30/12/1899 21:45:00,12.98,0
"""You wont find a sandal with better control or support than this. Its loaded with features like secure double-strap webbing","a podiatrist-certified footbed and a toe loop for extra forefoot stability.""","""https://www.example.com/product/YY_4147.html""",26/05/2018,,,,,,,Women's Sandals,YY-4147,30/12/1899 22:00:00,11.06,2
"""Designed to resist wind and water","these click-to-fit ear warmers are made with insulation for even more warmth during outdoor activities.""","""https://www.example.com/product/WH_3118.html""",27/05/2018,,,,,,,Men's Ear Warmer,WH-3118,30/12/1899 22:15:00,31.06,0
Traditional Fit,"Long-Sleeve""","""Made of soft cotton that resists wrinkles",28/05/2018,stains,shrinking,fading and pilling,"our resilient tee keeps its shape wash after wash.""","""https://www.example.com/product/WH_2859.html""",,"""Tee",WH-2859,30/12/1899 22:30:00,72.91,1
"Two-Pack""","""Collapsed or extended",our lightweight camp lights take up minimal space,30/05/2018,making them handy to bring on hikes and camping trips,"and easy to keep on hand in case of a power outage.""","""https://www.example.com/product/CC_2828.html""",,,,"""Camp Light",CC-2828,30/12/1899 23:00:00,79.36,1
"""This lightweight","ventilated version of the best-selling trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions.""","""https://www.example.com/product/HK_9973.html""",31/05/2018,,,,,,,Women's Ventilated Hiking Shoes,HK-9973,30/12/1899 15:30:00,39.49,3
"""Inspired by watches worn by World War II infantrymen",this updated design makes it easy to tell time at a glance. New smaller size is perfect for men and women who want a classic field watch that's perfect for all occasions,"both indoor and outdoor.""",21/06/2018,"""https://www.example.com/product/CC_5815.html""",,,,,,Field Watch,CC-5815,30/12/1899 23:15:00,13.57,1
"""These great cargo capris pants for women are designed for performance",with built-in UPF 50+ to keep you cool,dry,22/06/2018,"and protected from the sun while you're out enjoying it.""","""https://www.example.com/product/YY_2632.html""",,,,,Women's Capris,YY-2632,30/12/1899 23:30:00,27.84,1
"""This girls' fitness tee controls moisture and odor: all at a great price",perfect for camp,"sports and play.""",23/06/2018,"""https://www.example.com/product/YY_1196.html""",,,,,,Girls' Tee,YY-1196,30/12/1899 23:45:00,90.15,0
"Two-Pack""","""Made of moisture-wicking merino wool with nylon for durability and spandex for shape-retaining stretch",these soft,24/06/2018,"form-fitting men's chino socks offer all-day comfort at home or work.""","""https://www.example.com/product/YY_1894.html""",,,,,"""Men's Socks",YY-1894,30/12/1899 00:00:00,13.52,0
"""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.""","""https://www.example.com/product/BH_1861.html""",,26/06/2018,,,,,,,Women's Socks,BH-1861,30/12/1899 00:30:00,82.12,0
"Stripe""","""Bring light","texture and classic style to any space with this coast-inspired striped ceramic table lamp.""",27/06/2018,"""https://www.example.com/product/RI_7731.html""",,,,,,"""Ceramic Lamp",RI-7731,30/12/1899 17:15:00,65.13,1
"""Parents and little ones alike swear by this warm weatherproofing. Just pull these kids' handle boots on and seal the cold","wet weather out.""","""https://www.example.com/product/ZN_7072.html""",29/06/2018,,,,,,,Kids' High Handles Boots,ZN-7072,30/12/1899 10:00:00,88.21,1
"""Were proud to offer the National Park collectible patch",featuring an embroidered scene of a breathtaking,"rugged coastline.""",30/06/2018,"""https://www.example.com/product/GN_1306.html""",,,,,,National Park Patch,GN-1306,30/12/1899 10:15:00,78.95,2
"""We combined details with your everyday needs to create this: an exceptional quality tote with a laptop compartment and enough room for all your other essentials.""","""https://www.example.com/product/GN_7767.html""",,13/07/2018,,,,,,,Men's Versatile Tote,GN-7767,30/12/1899 10:30:00,25.88,1
"""Run a 5K",rock hop at the shore,window shop in town - these summer slip-on sneakers do it all. They're breathable,14/07/2018,"quick drying and comfortably cushioned for whatever your day has in store.""","""https://www.example.com/product/GN_4624.html""",,,,,Summer Slip-On Sneakers,GN-4624,30/12/1899 10:45:00,24.52,0
"""Designed after the most popular adult hydration pack","this hydration pack measures up to your kids' trail hydration needs and your highest expectations.""","""https://www.example.com/product/RI_7676.html""",15/07/2018,,,,,,,Kids' Hydration Pack,RI-7676,30/12/1899 16:45:00,7.49,20
"""These sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection","great for fishermen who spend a lot of time on the water.""","""https://www.example.com/product/RI_5314.html""",16/07/2018,,,,,,,Fishing Sunglasses,RI-5314,30/12/1899 17:00:00,76.26,3
"""The perfect complement to any summertime style: this fedora hat offers UPF 50+ protection and won't crunch or bend during your travels.""","""https://www.example.com/product/YY_7734.html""",,17/07/2018,,,,,,,Havana Hat,YY-7734,30/12/1899 16:30:00,73.42,0
"""With proprietary construction",a front profile of only 9mm and weighing only 2.4 oz.,"this bright headlamp sits comfortably on your forehead without bouncing or slipping.""",18/07/2018,"""https://www.example.com/product/BH_7744.html""",,,,,,Headlamp,BH-7744,30/12/1899 17:30:00,56.76,1
"Print""","""Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer: for comfort as the days and months get colder.""","""https://www.example.com/product/YY_8580.html""",19/07/2018,,,,,,,"""Underwear",YY-8580,30/12/1899 17:45:00,6.31,1
"""With ski-inspired style and a toasty",fleece-lined earband,"staying warm on the slopes has never looked cooler.""",20/07/2018,"""https://www.example.com/product/BH_7918.html""",,,,,,Kids' Jumper Hat,BH-7918,30/12/1899 18:00:00,63.7,1
"""This pair of water-resistant",remote-controlled heated insoles features thermal technology engineered to keep your feet warm,not hot,22/07/2018,"to avoid sweating and freezing.""","""https://www.example.com/product/BH_1085.html""",,,,,Heated Insoles,BH-1085,30/12/1899 18:30:00,85.07,1
"10"""" Shearling-Lined""","""With waterproof leather outside and soft",plush shearling inside,24/07/2018,our lined Boots are very possibly the coolest,"warmest boots ever. Handcrafted right here.""","""https://www.example.com/product/GN_2043.html""",,,,"""Men's Boots",GN-2043,30/12/1899 16:00:00,23.25,6
