Comments,Date,Product Description,Product Type,Productid,Time,URL,Price,Qty
,28/05/2018,"Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.","Tee, Traditional Fit, Long-Sleeve",WH-2859,30/12/1899 22:30:00,https://www.example.com/product/WH_2859.html,72.91,1
,30/05/2018,"Collapsed or extended, our lightweight camp lights take up minimal space, making them handy to bring on hikes and camping trips, and easy to keep on hand in case of a power outage.","Camp Light, Two-Pack",CC-2828,30/12/1899 23:00:00,https://www.example.com/product/CC_2828.html,79.36,1
,31/05/2018,"This lightweight, ventilated version of the best-selling trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions.",Women's Ventilated Hiking Shoes,HK-9973,30/12/1899 15:30:00,https://www.example.com/product/HK_9973.html,39.49,3
,21/06/2018,"Inspired by watches worn by World War II infantrymen, this updated design makes it easy to tell time at a glance. New smaller size is perfect for men and women who want a classic field watch that's perfect for all occasions, both indoor and outdoor.",Field Watch,CC-5815,30/12/1899 23:15:00,https://www.example.com/product/CC_5815.html,13.57,1
,22/06/2018,"These great cargo capris pants for women are designed for performance, with built-in UPF 50+ to keep you cool, dry, and protected from the sun while you're out enjoying it.",Women's Capris,YY-2632,30/12/1899 23:30:00,https://www.example.com/product/YY_2632.html,27.84,1
,23/06/2018,"This girls' fitness tee controls moisture and odor: all at a great price, perfect for camp, sports and play.",Girls' Tee,YY-1196,30/12/1899 23:45:00,https://www.example.com/product/YY_1196.html,90.15,0
,24/06/2018,"Made of moisture-wicking merino wool with nylon for durability and spandex for shape-retaining stretch, these soft, form-fitting men's chino socks offer all-day comfort at home or work.","Men's Socks, Two-Pack",YY-1894,30/12/1899 00:00:00,https://www.example.com/product/YY_1894.html,13.52,0
,26/06/2018,These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.,Women's Socks,BH-1861,30/12/1899 00:30:00,https://www.example.com/product/BH_1861.html,82.12,0
,27/06/2018,"Bring light, texture and classic style to any space with this coast-inspired striped ceramic table lamp.","Ceramic Lamp, Stripe",RI-7731,30/12/1899 17:15:00,https://www.example.com/product/RI_7731.html,65.13,1
,29/06/2018,"Parents and little ones alike swear by this warm weatherproofing. Just pull these kids' handle boots on and seal the cold, wet weather out.",Kids' High Handles Boots,ZN-7072,30/12/1899 10:00:00,https://www.example.com/product/ZN_7072.html,88.21,1
,30/06/2018,https://www.example.com/product/GN_1306.html,"National Park Patch""Were proud to offer the National Park collectible patch, featuring an embroidered scene of a breathtaking, rugged coastline.""",GN-1306,30/12/1899 10:15:00,,78.95,2
,13/07/2018,We combined details with your everyday needs to create this: an exceptional quality tote with a laptop compartment and enough room for all your other essentials.,Men's Versatile Tote,GN-7767,30/12/1899 10:30:00,https://www.example.com/product/GN_7767.html,25.88,1
,14/07/2018,"Run a 5K, rock hop at the shore, window shop in town - these summer slip-on sneakers do it all. They're breathable, quick drying and comfortably cushioned for whatever your day has in store.",Summer Slip-On Sneakers,GN-4624,30/12/1899 10:45:00,https://www.example.com/product/GN_4624.html,24.52,0
,15/07/2018,"Designed after the most popular adult hydration pack, this hydration pack measures up to your kids' trail hydration needs and your highest expectations.",Kids' Hydration Pack,RI-7676,30/12/1899 16:45:00,https://www.example.com/product/RI_7676.html,7.49,20
,16/07/2018,"These sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection, great for fishermen who spend a lot of time on the water.",Fishing Sunglasses,RI-5314,30/12/1899 17:00:00,https://www.example.com/product/RI_5314.html,76.26,3
,17/07/2018,The perfect complement to any summertime style: this fedora hat offers UPF 50+ protection and won't crunch or bend during your travels.,Havana Hat,YY-7734,30/12/1899 16:30:00,https://www.example.com/product/YY_7734.html,73.42,0
,18/07/2018,"With proprietary construction, a front profile of only 9mm and weighing only 2.4 oz., this bright headlamp sits comfortably on your forehead without bouncing or slipping.",Headlamp,BH-7744,30/12/1899 17:30:00,https://www.example.com/product/BH_7744.html,56.76,1
,19/07/2018,Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer: for comfort as the days and months get colder.,"Underwear, Print",YY-8580,30/12/1899 17:45:00,https://www.example.com/product/YY_8580.html,6.31,1
,20/07/2018,"With ski-inspired style and a toasty, fleece-lined earband, staying warm on the slopes has never looked cooler.",Kids' Jumper Hat,BH-7918,30/12/1899 18:00:00,https://www.example.com/product/BH_7918.html,63.7,1
,22/07/2018,"This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.",Heated Insoles,BH-1085,30/12/1899 18:30:00,https://www.example.com/product/BH_1085.html,85.07,1
,24/07/2018,"With waterproof leather outside and soft, plush shearling inside, our lined Boots are very possibly the coolest, warmest boots ever. Handcrafted right here.","Men's Boots, 10"" Shearling-Lined",GN-2043,30/12/1899 16:00:00,https://www.example.com/product/GN_2043.html,23.25,6
