Comments,Date,F6,Product Description,Product Type,Productid,Time,URL,Price,Qty
,26/02/2018,"Kids' Sweater Fleece, Hooded",https://www.example.com/product/ZN_4777.html,"With its fleece warmth, sweatshirt styling, and fun colorblocking, our updated kids' Sweater Fleece is the perfect layer for the classroom and the world outside of it.",ZN-4777,30/12/1899 04:15:00,,34.14,2
,27/02/2018,"Women's Hikers, Low Ventilated",https://www.example.com/product/ZN_2049.html,"Youll be light on your feet with these ultralightweight, breathable hikers. But dont let the comfortable, airy construction fool you: they deliver all the protection and stability you expect from a trail shoe.",ZN-2049,30/12/1899 04:30:00,,83.32,0
,28/02/2018,"Women's Comfort Cycling Jersey, Short-Sleeve",https://www.example.com/product/GN_5043.html,"This women's quarter-zip cycling shirt is our most popular cycling jersey, thanks in part to sun protection that's built right in. With a more relaxed look and fit than most cycling apparel.",GN-5043,30/12/1899 04:45:00,,69.07,3
,13/03/2018,"Men's Boxer, 5"" Inseam",https://www.example.com/product/GN_9860.html,"Perfect for a day on the bonefish flats, these boxers are breathable, quick drying and just may become your everyday underwear.",GN-9860,30/12/1899 05:00:00,,24.86,0
,14/03/2018,"Kids' Mountain Bike, 24""",https://www.example.com/product/YY_2600.html,"An easy-to-ride mountain bike that not only proves to be great fun for all the kids, but also offers great durability and stability.",YY-2600,30/12/1899 05:15:00,,90.99,1
,15/03/2018,Leather Sofa,https://www.example.com/product/YY_4017.html,Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.,YY-4017,30/12/1899 05:30:00,,69.52,1
,16/03/2018,Girls' Waterproof 3-in-1 Jacket,https://www.example.com/product/RI_9156.html,"This 3-in-1 girls' jacket offers three great options for one great price, so she'll stay warm, dry and comfortable whatever the weather.",RI-9156,30/12/1899 05:45:00,,53.62,1
,17/03/2018,Women's No-Show Socks,https://www.example.com/product/RI_9121.html,These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.,RI-9121,30/12/1899 06:00:00,,9.81,1
,18/03/2018,Kids' Hat,https://www.example.com/product/RI_7338.html,"Let your kids show their spirit for adventure with our fun trucker-style hat, ready to go from trailhead to bus stop and back.",RI-7338,30/12/1899 06:15:00,,43.53,1
,19/03/2018,Men's Snowshoes Set,https://www.example.com/product/ZN_6172.html,"Take your favorite hikes all winter long with these easy-to-use snowshoes. Best of all, this boxed set helps you save money and includes everything you need to get started: snowshoes, hiking poles and a tough snowshoe storage bag.",ZN-6172,30/12/1899 06:30:00,,30.79,0
,20/03/2018,"Tippet Material, Pro Freshwater",https://www.example.com/product/YY_2057.html,"This tippet is field tested in a variety of situations, from spring creeks to tidal rips, and is guaranteed to perform under the worst weather conditions.",YY-2057,30/12/1899 06:45:00,,43.4,0
,21/03/2018,Women's Wet Suit,https://www.example.com/product/BH_5486.html,"Ideal for kayaking, paddle boarding and surfing, this wetsuit covers your core in 3 mm neoprene for maximum warmth, while 2 mm thickness on your arms and legs ensures your range of motion is at its best.",BH-5486,30/12/1899 07:00:00,,0.91,1
,22/03/2018,"Waterproof Boots, Tall",https://www.example.com/product/BH_1732.html,Industry-leading insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional boots.,BH-1732,30/12/1899 07:15:00,,65.46,3
,24/03/2018,Heated Insoles,https://www.example.com/product/BH_4480.html,"This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.",BH-4480,30/12/1899 07:45:00,,51.42,0
,25/03/2018,"Base Layer, Pants",https://www.example.com/product/BH_1061.html,Our exclusive wool performance fabric makes these pants an ideal base layer for cool-weather sports.,BH-1061,30/12/1899 08:00:00,,62.55,0
,26/03/2018,"Quarter-Zip Hoodie, Camo",https://www.example.com/product/ON_7017.html,"This camo quarter-zip hoodie is an extremely versatile mid layer thats great for all hunting seasons. Its made from warm, breathable fleece and features an innovative lightweight hood with a built-in face mask.",ON-7017,30/12/1899 08:15:00,,0.9,2
,27/03/2018,"Tee, Traditional Fit, Short-Sleeve",https://www.example.com/product/ON_1026.html,"Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.",ON-1026,30/12/1899 08:30:00,,20.65,3
,28/03/2018,Kids' Pullover,https://www.example.com/product/AN_6109.html,"Just as good today as it was back then, our kids' retro fleece pullover combines our soft, warm, stretchy fleece with cool colorblock designs and our logo.",AN-6109,30/12/1899 08:45:00,,18.58,4
,29/03/2018,Women's Essential Running Vest,https://www.example.com/product/AN_9272.html,"This lightweight fitness vest allows excellent freedom of movement while resisting wind and light rain, making it perfect for running, hiking, cycling or walks around town.",AN-9272,30/12/1899 09:00:00,,57.75,3
,30/03/2018,"Rolling Duffle, Extra-Large",https://www.example.com/product/AN_1646.html,"We kept the heritage-inspired design of our spacious rolling duffle, then added thoughtful details like easy-rolling spinner wheels.",AN-1646,30/12/1899 09:15:00,,78.74,0
,31/03/2018,"Linen Shirt, Slightly Fitted Short-Sleeve Stripe",https://www.example.com/product/AN_9388.html,"Lightweight and breathable, this colorful shirt will be a warm-weather mainstay year after year. Light and comfortable, perfect for summer.",AN-9388,30/12/1899 09:30:00,,64.02,0
,13/04/2018,"Women's Hunting Shoes, 10""",https://www.example.com/product/YY_9611.html,"The original boot, made since 1912. Now with even more protection from cold, wet weather, with the addition of a waterproof liner and warm insulation.",YY-9611,30/12/1899 11:00:00,,3.79,4
,14/04/2018,"Men's Loafers, Leather/Nubuck",https://www.example.com/product/RI_1639.html,"Our finest leather Men's slip-on penny loafers are handstitched from supple, fine-grain nubuck leather that molds to your foot for a custom-like feel.",RI-1639,30/12/1899 11:15:00,,25.14,12
,16/04/2018,Kids' Sneaker,https://www.example.com/product/RI_3655.html,"Designed with FAST fun in mind, these super cool kids' sneakers feature a sleek, engineered mesh upper and award-winning cushioning for all-day, action-packed comfort.",RI-3655,30/12/1899 11:45:00,,45.12,15
,17/04/2018,"Kids' Shirt, Short Sleeve, Graphic",https://www.example.com/product/CC_5271.html,"With its great coverage and UPF 50+ sun protection, this quick-drying kids' rashguard blocks the sun, but not the summer fun.",CC-5271,30/12/1899 12:00:00,,38.81,16
,18/04/2018,Men's Biking Shorts,https://www.example.com/product/CC_9916.html,"Designed specifically for mountain biking, the cycling shorts are built with performance features such as breathable, moisture-wicking fabric and chamois padding, with a casual, relaxed fit for comfort on and off the bike.",CC-9916,30/12/1899 12:15:00,,75.06,9
,19/04/2018,Backpacking Stove Kit,https://www.example.com/product/YY_7121.html,"Our lightest, most compact 2-person cookset nests together to save space. Includes a stove, a two-liter hard anodized aluminum pot with clear strainer lid, 2 bowls, 2-12.5 oz. double-wall insulated mugs and 2 folding sporks.",YY-7121,30/12/1899 12:30:00,,67.64,9
,20/04/2018,"Travel Lock, Combination Cable",https://www.example.com/product/YY_8954.html,This luggage lock helps keep your belongings secure while traveling. Allows your luggage to go through airport security and arrive at your destination fully locked.,YY-8954,30/12/1899 12:45:00,,64.19,15
,21/04/2018,Men's Boots,https://www.example.com/product/YY_8239.html,"Here, when we call something good we mean it: just one touch of these soft men's boot slippers and you'll understand why.",YY-8239,30/12/1899 13:00:00,,72,8
,23/04/2018,Men's Shorts,https://www.example.com/product/BH_2268.html,"We used performance-packed swim fabric to create board shorts that keep up during the most rigorous adventures, with enough style for heading into town afterward.",BH-2268,30/12/1899 13:30:00,,43.61,26
,25/04/2018,Portable Game Center,https://www.example.com/product/BH_4482.html,"This portable game center will provide hours of fun at your barbecue, tailgate, beach trip and more. With easy set-up and take-down, you can take it anywhere.",BH-4482,30/12/1899 14:00:00,,53.95,16
,26/04/2018,"Women's Waterproof Hiking Boots, Leather Mesh",https://www.example.com/product/HK_4191.html,"The classic alpine hiker is back, with retro style and all-day comfort you'll want to wear beyond the trail.",HK-4191,30/12/1899 14:15:00,,3.35,22
,29/04/2018,Women's Booties,https://www.example.com/product/AN_5829.html,"Inspired by the legendary comfort of our slippers, we designed these warm slipper booties to be so cozy you'll never want to take them off. The durable knit lambswool upper is lined with toasty fleece that wraps your feet in luxury.",AN-5829,30/12/1899 15:00:00,,2.86,30
,13/05/2018,Cotton/Linen Ragg Sweater,https://www.example.com/product/BH_7941.html,An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture.,BH-7941,30/12/1899 18:45:00,,64.17,24
,15/05/2018,Camp Stove Bundle with Coffee Press,https://www.example.com/product/HK_8027.html,"This unique bundle includes the wood-burning camp Stove, Portable Grill, Kettle Pot with Coffee Press and a USB Lantern.",HK-8027,30/12/1899 19:15:00,,26.62,18
,18/05/2018,Sandals,https://www.example.com/product/AN_2099.html,"An exclusive, these colorblocked sandals are an absolutely beautiful and incredibly comfortable addition to your warm-weather wardrobe.",AN-2099,30/12/1899 20:00:00,,64.14,30
,19/05/2018,"Flannel Tunic, Plaid",https://www.example.com/product/AN_5746.html,Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.,AN-5746,30/12/1899 20:15:00,,83.75,33
,20/05/2018,Ragg Wool Hat,https://www.example.com/product/AN_5136.html,"Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating, even when wet.",AN-5136,30/12/1899 20:30:00,,39.41,16
,21/05/2018,Coffee Table,https://www.example.com/product/ZN_5503.html,"Spend more time relaxing outside with our low-maintenance coffee table. Like all of our furniture, it won't chip, peel, warp or crack.",ZN-5503,30/12/1899 20:45:00,,88.45,21
,22/05/2018,Baseball Hat,https://www.example.com/product/ZN_4103.html,"This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection, the highest possible.",ZN-4103,30/12/1899 21:00:00,,68.74,19
,23/05/2018,"Beach Chair, Print",https://www.example.com/product/GN_1741.html,"With four reclining positions and backpack straps for easy carrying, this is the most comfortable and convenient folding beach chair we've ever offered.",GN-1741,30/12/1899 21:15:00,,48.05,2
,24/05/2018,Men's Reversible Jacket,https://www.example.com/product/GN_5567.html,Designed to be the ultimate reversible jacket with two great options. We took the cozy comfort of plush fleece and combined it with the ultralight warmth of our insulation.,GN-5567,30/12/1899 21:30:00,,26.87,1
,25/05/2018,"Swimwear, Print",https://www.example.com/product/GN_3028.html,"With flattering coverage, amazing stay-put shape and quick-dry comfort, our best-value one-piece bathing suit is designed for sun and surf. Made from premium Italian swim fabric in fun wave print.",GN-3028,30/12/1899 21:45:00,,12.98,0
,26/05/2018,Women's Sandals,https://www.example.com/product/YY_4147.html,"You wont find a sandal with better control or support than this. Its loaded with features like secure double-strap webbing, a podiatrist-certified footbed and a toe loop for extra forefoot stability.",YY-4147,30/12/1899 22:00:00,,11.06,2
,27/05/2018,Men's Ear Warmer,https://www.example.com/product/WH_3118.html,"Designed to resist wind and water, these click-to-fit ear warmers are made with insulation for even more warmth during outdoor activities.",WH-3118,30/12/1899 22:15:00,,31.06,0
,28/05/2018,"Tee, Traditional Fit, Long-Sleeve",https://www.example.com/product/WH_2859.html,"Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.",WH-2859,30/12/1899 22:30:00,,72.91,1
,30/05/2018,"Camp Light, Two-Pack",https://www.example.com/product/CC_2828.html,"Collapsed or extended, our lightweight camp lights take up minimal space, making them handy to bring on hikes and camping trips, and easy to keep on hand in case of a power outage.",CC-2828,30/12/1899 23:00:00,,79.36,1
,31/05/2018,Women's Ventilated Hiking Shoes,https://www.example.com/product/HK_9973.html,"This lightweight, ventilated version of the best-selling trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions.",HK-9973,30/12/1899 15:30:00,,39.49,3
,21/06/2018,Field Watch,https://www.example.com/product/CC_5815.html,"Inspired by watches worn by World War II infantrymen, this updated design makes it easy to tell time at a glance. New smaller size is perfect for men and women who want a classic field watch that's perfect for all occasions, both indoor and outdoor.",CC-5815,30/12/1899 23:15:00,,13.57,1
,22/06/2018,Women's Capris,https://www.example.com/product/YY_2632.html,"These great cargo capris pants for women are designed for performance, with built-in UPF 50+ to keep you cool, dry, and protected from the sun while you're out enjoying it.",YY-2632,30/12/1899 23:30:00,,27.84,1
,23/06/2018,Girls' Tee,https://www.example.com/product/YY_1196.html,"This girls' fitness tee controls moisture and odor: all at a great price, perfect for camp, sports and play.",YY-1196,30/12/1899 23:45:00,,90.15,0
,24/06/2018,"Men's Socks, Two-Pack",https://www.example.com/product/YY_1894.html,"Made of moisture-wicking merino wool with nylon for durability and spandex for shape-retaining stretch, these soft, form-fitting men's chino socks offer all-day comfort at home or work.",YY-1894,30/12/1899 00:00:00,,13.52,0
,26/06/2018,Women's Socks,https://www.example.com/product/BH_1861.html,These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.,BH-1861,30/12/1899 00:30:00,,82.12,0
,27/06/2018,"Ceramic Lamp, Stripe",https://www.example.com/product/RI_7731.html,"Bring light, texture and classic style to any space with this coast-inspired striped ceramic table lamp.",RI-7731,30/12/1899 17:15:00,,65.13,1
,29/06/2018,Kids' High Handles Boots,https://www.example.com/product/ZN_7072.html,"Parents and little ones alike swear by this warm weatherproofing. Just pull these kids' handle boots on and seal the cold, wet weather out.",ZN-7072,30/12/1899 10:00:00,,88.21,1
,30/06/2018,National Park Patch,https://www.example.com/product/GN_1306.html,"Were proud to offer the National Park collectible patch, featuring an embroidered scene of a breathtaking, rugged coastline.",GN-1306,30/12/1899 10:15:00,,78.95,2
,13/07/2018,Men's Versatile Tote,https://www.example.com/product/GN_7767.html,We combined details with your everyday needs to create this: an exceptional quality tote with a laptop compartment and enough room for all your other essentials.,GN-7767,30/12/1899 10:30:00,,25.88,1
,14/07/2018,Summer Slip-On Sneakers,https://www.example.com/product/GN_4624.html,"Run a 5K, rock hop at the shore, window shop in town - these summer slip-on sneakers do it all. They're breathable, quick drying and comfortably cushioned for whatever your day has in store.",GN-4624,30/12/1899 10:45:00,,24.52,0
,15/07/2018,Kids' Hydration Pack,https://www.example.com/product/RI_7676.html,"Designed after the most popular adult hydration pack, this hydration pack measures up to your kids' trail hydration needs and your highest expectations.",RI-7676,30/12/1899 16:45:00,,7.49,20
,16/07/2018,Fishing Sunglasses,https://www.example.com/product/RI_5314.html,"These sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection, great for fishermen who spend a lot of time on the water.",RI-5314,30/12/1899 17:00:00,,76.26,3
,17/07/2018,Havana Hat,https://www.example.com/product/YY_7734.html,The perfect complement to any summertime style: this fedora hat offers UPF 50+ protection and won't crunch or bend during your travels.,YY-7734,30/12/1899 16:30:00,,73.42,0
,18/07/2018,Headlamp,https://www.example.com/product/BH_7744.html,"With proprietary construction, a front profile of only 9mm and weighing only 2.4 oz., this bright headlamp sits comfortably on your forehead without bouncing or slipping.",BH-7744,30/12/1899 17:30:00,,56.76,1
,19/07/2018,"Underwear, Print",https://www.example.com/product/YY_8580.html,Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer: for comfort as the days and months get colder.,YY-8580,30/12/1899 17:45:00,,6.31,1
,20/07/2018,Kids' Jumper Hat,https://www.example.com/product/BH_7918.html,"With ski-inspired style and a toasty, fleece-lined earband, staying warm on the slopes has never looked cooler.",BH-7918,30/12/1899 18:00:00,,63.7,1
,22/07/2018,Heated Insoles,https://www.example.com/product/BH_1085.html,"This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.",BH-1085,30/12/1899 18:30:00,,85.07,1
,24/07/2018,"Men's Boots, 10"" Shearling-Lined",https://www.example.com/product/GN_2043.html,"With waterproof leather outside and soft, plush shearling inside, our lined Boots are very possibly the coolest, warmest boots ever. Handcrafted right here.",GN-2043,30/12/1899 16:00:00,,23.25,6
