Wakefield Council Purchase Card Spend for Quarter 1st July 2018 to 30th September 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Purpose of Spend,Type,TransNo,Seq No,Payment Date,Net Amount,Irrecoverable VAT,Merchant Category,P-Card Tran,Contract,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ADASS.ORG.UK,Conference Expenses,Revenue,26/09/2018,161044,127,475.00,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,BUSINESS,8,Corporate and Democratic Core,ADASS.ORG.UK,Member Training & Development,Revenue,06/08/2018,161031,297,475.00,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,BUSINESS,8,Corporate and Democratic Core,ADASS.ORG.UK,Member Training & Development,Revenue,06/08/2018,161031,296,475.00,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ADIDAS GROUP,Clothing,Revenue,27/07/2018,161030,21,27.46,Nil,SPORTS APPAREL RIDING APPAREL STORES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ADIDAS GROUP,Clothing,Revenue,28/09/2018,161045,133,39.96,Nil,SPORTS APPAREL RIDING APPAREL STORES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ADIDAS GROUP,Clothing,Revenue,27/07/2018,161030,6,39.95,Nil,SPORTS APPAREL RIDING APPAREL STORES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ADIDAS GROUP,Clothing,Revenue,28/09/2018,161045,98,15.79,Nil,SPORTS APPAREL RIDING APPAREL STORES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,AGE CO ADVISORS,First Aid,Revenue,10/08/2018,161032,187,15.31,Nil,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,AGORA PUBLICATIONS,Printing & Stationery,Revenue,10/08/2018,161032,212,54.12,Nil,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,AGORA PUBLICATIONS,Books & Other Publications,Revenue,28/09/2018,161045,363,54.12,Nil,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,AIR KINGS LTD,Holidays & Outings,Revenue,31/08/2018,161037,63,24.75,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,AIR KINGS LTD,Holidays & Outings,Revenue,29/08/2018,161036,71,19.80,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,AIR KINGS LTD,Holidays & Outings,Revenue,26/09/2018,161044,141,27.80,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,AIR KINGS LTD,Holidays & Outings,Revenue,29/08/2018,161036,79,27.80,Nil,EATING PLACES RESTAURANTS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,AIREDALE COMPUTERS,Repairs - Reactive,Revenue,27/07/2018,161030,93,198.00,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,AIREDALE COMPUTERS,Computer Equipment - Hardware,Revenue,28/09/2018,161045,242,40.00,Nil,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALAMS BEAUTIFUL BLINDS,Furniture,Revenue,11/09/2018,161039,43,33.33,Nil,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALAMS BEAUTIFUL BLINDS,Furniture,Revenue,11/09/2018,161039,52,66.67,Nil,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Premises Cleaning,Revenue,27/07/2018,161030,109,2.63,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Premises Cleaning,Revenue,28/09/2018,161045,381,8.73,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Premises Cleaning,Revenue,07/09/2018,161038,201,12.41,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Premises Cleaning,Revenue,07/09/2018,161038,439,13.87,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Premises Cleaning,Revenue,14/08/2018,161033,91,15.73,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Premises Cleaning,Revenue,28/09/2018,161045,423,6.45,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Equipment,Revenue,28/09/2018,161045,244,7.48,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,REGENCULT,L,Cultural and Related Services,ALDI,Equipment,Revenue,07/09/2018,161038,418,9.25,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,REGENCULT,L,Cultural and Related Services,ALDI,Equipment,Revenue,10/08/2018,161032,306,7.66,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Consumable Items,Revenue,06/08/2018,161031,371,9.94,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,520,1.62,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,14/08/2018,161033,151,8.57,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,519,9.21,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,13/07/2018,161024,201,1.07,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,135,0.89,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,27/07/2018,161030,111,8.13,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,23/07/2018,161026,1048,9.48,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,23/07/2018,161026,1047,55.51,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,27/07/2018,161030,110,70.94,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,383,5.45,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,382,63.22,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,17/08/2018,161034,120,2.08,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,17/07/2018,161025,163,3.88,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,131,4.85,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,283,4.87,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,17/08/2018,161034,107,10.42,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,17/08/2018,161034,171,20.74,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,282,26.34,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,09/07/2018,161022,1145,5.77,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,09/07/2018,161022,1144,69.33,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,17/07/2018,161025,257,1.55,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,17/07/2018,161025,189,3.08,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,276,3.43,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,17/07/2018,161025,190,4.03,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,277,4.38,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,96,4.90,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,224,47.34,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,201,1.42,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,202,49.39,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,27/07/2018,161030,144,2.79,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,27/07/2018,161030,118,5.63,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,246,6.72,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,245,62.57,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,27/07/2018,161030,143,77.69,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,09/07/2018,161022,843,4.30,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,336,8.42,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,09/07/2018,161022,842,76.63,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,335,83.89,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,315,1.42,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,213,4.59,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,314,56.86,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,CHILDYOU,4,Children´s and Education Services,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,212,93.82,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,355,1.09,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,07/09/2018,161038,40,4.74,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,07/09/2018,161038,43,4.74,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,14/09/2018,161041,518,4.74,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,322,5.45,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,14/09/2018,161041,467,5.53,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,09/07/2018,161022,868,5.53,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,24/08/2018,161035,221,5.53,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,418,6.32,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,550,6.32,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,07/09/2018,161038,470,6.32,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,14/08/2018,161033,132,6.32,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,09/07/2018,161022,1328,6.54,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,24/08/2018,161035,270,6.54,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,354,7.11,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,14/09/2018,161041,477,7.63,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,14/08/2018,161033,143,7.63,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,215,7.63,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,175,7.63,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,332,7.90,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,373,7.90,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,13/07/2018,161024,304,7.90,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,206,7.90,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,09/07/2018,161022,1329,7.90,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,24/08/2018,161035,257,7.90,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,28/09/2018,161045,333,8.72,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,551,8.72,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,06/08/2018,161031,334,8.72,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,7,Adult Social Care,ALDI,Purchase of Food & Drink,Revenue,24/08/2018,161035,386,8.72,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,13/07/2018,161024,298,9.48,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
Wakefield MDC,E08000036,30/09/2018,ADULTS,Z,BVACOP Not Applicable,ALDI,Purchase of Food & Drink,Revenue,11/09/2018,161039,174,9.48,Nil,GROCERY STORES SUPERMARKETS,GPC,Not Yet Available,,,,,,
