Diffusion tube,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
CRH2,2004,62,,,59,68,26,60,66,63,64,57,59
CRH3,2004,72,49,54,61,70,42,60,74,64,46,69,74
CRH4,2004,43,,49,31,39,27,34,44,38,43,34,50
CRH5,2004, ,,41,38,38,19,36,39,37,48,48,51
CRH6,2004,51,,41,42,40,27,31,34,28,43,,49
CRH7,2004,38,43,34,25,28,9,,,,38,40,40
CS1,2004,56,50,62,,54,24,40,51,18,72,44,59
CS2,2004,52,47,46,40,41,22,41,51,35,41,34,53
CS3,2004,47,50,41,38,44,20,35,35,33,49,34,47
CS4,2004,59,49,44,37,39,17,30,38,38,38,34,37
CS5,2004,45,,40,26,31,15,,,31,31,20,44
CS6,2004,,,,,,,,,,,,
DR1,2004,53,61,62,64,59,35,48,47,51,49,43,57
LF1,2004,57,59,64,59,62,26,53,47,48,,32,51
WR1,2004,61,75,56,51,57,50,55,53,50,54,43,41
C01,2004,18,18,20,14,12,7,12,16,15,23,20,24
C02,2004,,,,,,,,,,,,
C03,2004,47,46,42,42,43,44,36,42,29,47,38,44
C04,2004,,,,,,,,,,,,
C05,2004,43,46,49,35,39,26,34,38,39,45,29,48
C06,2004,,,,,,,,,,,,
C07,2004,,,,65,66,50,61,60,61,71,46,59
C08,2004,25,26,24,15,19,13,16,16,14,26,18,26
C09,2004,51,,,,,,,48,48,59,42,50
C10,2004,70,54,57,51,46,14,,52,62,75,46,74
C11,2004,,,,,,,,,,,,
C12,2004,36,36,36,27,28,13,26,29,28,32,26,32
C13,2004,,,,,,,,,,,,
C14,2004,,,27,24,30,17,27,29,22,23,26,37
C15,2004,,,49,49,94,23,44,38,39,29,30,43
C16,2004,,,,,,,,,,,,
C17,2004,50,43,44,37,42,37,42,42,36,40,37,44
C18,2004,40,38,34,30,36,30,34,38,29,40,36,40
C19,2004,38,40,30,,,,27,32,26,33,29,40
N01 (ug/m3),2004,53,42,38,49,41,38,44,,43,46,52,43
N02 (ug/m3),2004,30,29,31,17,23,16,24,12,23,31,29,29
N03 (ug/m3),2004,61,55,53,59,,35,54,53,51,59,60,53
NO4 (ug/m3),2004,36,34,35,33,22,19,27,31,26,33,35,37
HB1,2004,58,57,57,56,57,28,51,44,53,58,41,51
GH1,2004,28,28,27,58,67,25,60,51,53,57,34,57
GH2,2004,28,29,23,57,64,29,58,52,53,51,36,57
GH3,2004,30,29,29,67,63,46,57,52,38,61,48,58
AT1,2004,73,53,65,55,37,33,43,49,51,56,32,57
HTA M,2004,88,99,85,67,84,33,75,65,73,60,48,85
HTA F,2004,,,,,,,,,,,,
CB1,2004,,,,,,,,,,,,
CB2,2004,,,,,,,,,,,,
CB3,2004,,,,,,,,,,,,
HP1,2004,,,,,,,,,,,,
HP2,2004,73,60,57,47,53,19,48,44,51,58,39,109
HP3,2004,,,,,,,,,,,,
HP4,2004,,,,,,,,,,,,
HP5,2004,,,,,,,,,,,,
NB1,2004,56,65,58,41,42,23,33,42,41,59,45,65
NB2,2004,33,47,34,36,34,20,,41,24,41,31,44
KX1,2004,53,52,53,,48,,36,50,47,53,39,50
KX2,2004,,,,,,,,,,,,
HTA H,2004,22,49,47,59,64,44,47,43,53,55,39,52
KH1,2004,30,25,17,18,19,15,18,21,19,22,21,31
KH2,2004,81,85,52,53,68,52,62,57,50,46,49,73
KH3,2004,38,30,24,25,21,10,23,18,23,33,20,32
HCF1,2004,38,36,41,34,38,23,32,29,42,47,24,39
WC1,2004,37,33,37,29,35,33,39,34,39,39,29,38
HB2,2004,48,51,54,38,42,39,38,39,62,51,37,55
HB3,2004,40,34,35,22,22,46,,,22,35,28,36
HB4,2004,48,50,41,35,36,26,37,38,39,41,42,48
HB5,2004,40,45,39,41,40,15,33,36,37,27,34,45
CRH1,2004,73,67,64,63,65,35,55,44,64,50,43,66
CRH2,2004,62,,,59,68,26,60,66,63,64,57,59
CRH3,2004,72,49,54,61,70,42,60,74,64,46,69,74
CRH4,2004,43,,49,31,39,27,34,44,38,43,34,50
CRH5,2004, ,,41,38,38,19,36,39,37,48,48,51
CRH6,2004,51,,41,42,40,27,31,34,28,43,,49
CRH7,2004,38,43,34,25,28,9,,,,38,40,40
CS1,2004,56,50,62,,54,24,40,51,18,72,44,59
CS2,2004,52,47,46,40,41,22,41,51,35,41,34,53
CS3,2004,47,50,41,38,44,20,35,35,33,49,34,47
CS4,2004,59,49,44,37,39,17,30,38,38,38,34,37
CS5,2004,45,,40,26,31,15,,,31,31,20,44
CS6,2004,,,,,,,,,,,,
DR1,2004,53,61,62,64,59,35,48,47,51,49,43,57
LF1,2004,57,59,64,59,62,26,53,47,48,,32,51
WR1,2004,61,75,56,51,57,50,55,53,50,54,43,41
C03,2005,29,39,45,38,41,41,21,39,40,44,56,55
C05,2005,41,38,38,26,36,35,,,,51,48,77
C07,2005,61,62,5,66,56,62,62,56,50,81,79,41
C10,2005,43,49,52,56,54,43,38,43,66,,,
C12,2005,30,38,29,30,26,31,22,18,27,34,43,52
C14,2005,33,35,29,29,21,25,28,25,26,,,
C15,2005,47,45,51,45,39,41,39,37,46,51,54,46
C17,2005,47,48,77,43,33,36,34,38,44,43,58,49
C18,2005,40,42,39,33,30,22,32,30,37,,,
C19,2005,33,39,27,30,24,7,26,25,32,39,57,44
N01 (ug/m3),2005,50,45,38,41,33,34,36,35,39,44,37,
N02 (ug/m3),2005,24,28,23,24,15,19,21,18,21,33,25,30
N03 (ug/m3),2005,49,50,45,51,34,49,46,37,52,61,42,52
NO4 (ug/m3),2005,28,34,,25,17,19,22,18,26,34,22,37
HB1,2005,58,54,59,42,43,53,43,43,43,60,66,51
HB2,2005,51,53,55,40,40,35,35,36,45,63,59,38
HB3,2005,31,27,34,30,22,25,,53,27,37,44,37
HB4,2005,41,47,43,33,34,36,33,29,36,43,,27
HB5,2005,40,41,51,47,34,,,38,36,49,54,51
GH1,2005,67,47,52,52,37,53,62,54,46,44,75,68
GH2,2005,62,77,64,44,36,54,59,58,46,50,82,99
GH3,2005,49,74,3,63,52,63,54,55,54,51,78,48
AT1,2005,60,63,51,53,43,55,35,49,56,,,
HTA M,2005,75,81,60,65,49,81,18,75,93,77,108,60
HTA H,2005,49,38,68,63,75,41,54,52,52,42,69,73
HP2,2005,59,42,57,52,39,50,55,48,50,57,72,64
KX1,2005,47,40,48,36,29,49,38,40,41,61,63,53
KH1,2005,30,24,43,14,17,21,21,22,18,,,
KH2,2005,62,70,25,0,20,66,58,64,55,59,,
KH3,2005,22,26,24,18,19,23,19,15,23,,,
HCF1,2005,37,33,12,25,19,33,36,33,45,,,
CRH1,2005,63,59,57,68,47,56,50,55,65,78,81,62
CRH2,2005,75,48,50,46,54,61,53,53,60,91,114,76
CRH3,2005,72,59,60,50,59,66,59,66,56,82,85,77
CRH4,2005,0,43,40,38,33,32,37,33,44,55,58,43
CRH5,2005,0,0,31,35,33,37,34,33,41,53,57,76
CRH6,2005,43,52,46,27,23,27,25,31,40,50,44,63
CS1,2005,41,54,30,53,42,49,49,42,51,,,
CS2,2005,42,37,35,48,39,40,43,35,40,63,60,
CS3,2005,38,35,32,40,27,39,41,34,34,43,47,74
CS4,2005,46,40,49,42,0,32,32,32,35,54,58,53
CS5,2005,39,36,29,28,21,20,28,24,35,,,
DR1,2005,59,48,63,48,47,56,53,52,54,50,66,71
LF1,2005,55,65,57,50,55,60,60,49,57,67,67,64
WR1,2005,45,54,52,43,40,49,46,42,58,71,74,64
NBS1,2005,38,34,30,43,20,23,23,20,25,37,44,40
NBS2,2005,34,31,37,30,18,23,20,19,30,46,43,42
WV1,2005,58,56,47,43,34,40,40,40,45,51,68,80
WV2,2005,43,44,45,38,32,37,32,29,39,55,82,55
WV3,2005,40,49,48,43,4,42,34,29,38,61,54,55
WV4,2005,30,4,36,28,20,24,23,22,27,39,41,38
WV5,2005,35,10,30,24,15,25,23,15,30,42,34,34
CV1,2005,,,,,34,31,38,29,42,63,59,53
CV2,2005,,,,,17,22,16,12,15,24,26,27
CV3,2005,,,,,12,12,31,20,28,33,42,8
CV4,2005,,,,,44,35,40,43,45,74,70,57
CV5,2005,,,,,30,38,38,31,31,54,46,54
BS1,2005,,,,,,36,51,55,56,73,89,71
BS2,2005,,,,,,38,59,50,63,72,74,64
BS3,2005,,,,,,39,54,51,66,76,56,75
SC1,2005,,,,,,,,,,56,40,40
SC2,2005,,,,,,,,,,47,42,45
SC3,2005,,,,,,,,,,58,71,66
SC4,2005,,,,,,,,,,52,37,44
BH1,2005,,,,,,,,,,70,64,55
BH2,2005,,,,,,,,,,62,74,71
BH3,2005,,,,,,,,,,70,70,55
BH4,2005,,,,,,,,,,52,82,54
BH5,2005,,,,,,,,,,76,75,62
LMR1,2005,,,,,,,,,,,48,64
C03,2006,38,42,40,,,,,,,,,
C05,2006,55,41,41,28,37,33,22,28,37,41,33,65
C07,2006,87,69,57,77,68,69,73,,,,,
C12,2006,49,37,34,,,,,,,,,
C15,2006,50,50,51,,,,,,,,,
C17,2006,55,42,41,,,,,,,,,
C19,2006,47,34,37,,,,,,,,,
N01 (ug/m3),2006,,,,,,,,,,,,
N02 (ug/m3),2006,25,27,,,,,,,,,,
N03 (ug/m3),2006,,,,,,,,,,,,
NO4 (ug/m3),2006,6,32,,,,,,,,,,
HB1,2006,63,63,60,59,59,57,52,46,51,58,63,67
HB2,2006,62,49,58,49,44,38,40,33,40,55,49,42
HB3,2006,46,24,30,23,24,23,22,20,26,32,38,37
HB4,2006,60,47,41,39,47,45,36,41,40,47,55,35
HB5,2006,58,45,44,45,45,42,34,37,38,48,49,22
HB6,2006,59,48,53,42,51,45,42,38,43,52,47,42
GH1,2006,72,69,53,62,58,51,57,40,58,61,54,45
GH2,2006,69,69,65,67,61,47,63,47,61,55,36,54
GH3,2006,68,74,71,69,58,41,54,46,48,62,40,47
HTA M,2006,94,117,85,,,,,,,,,
HTA H,2006,58,64,54,60,63,57,58,47,43,52,44,48
HP2,2006,72,53,45,51,50,48,43,24,74,67,63,63
KX1,2006,62,53,55,,,,,,,,,
CRH1,2006,81,73,81,30,69,70,68,58,62,68,73,60
CRH2,2006,76,62,66,49,58,61,46,52,64,70,75,34
CRH3,2006,85,,,,,,,,,,,
CRH4,2006,62,29,46,36,46,35,33,31,45,48,45,47
CRH5,2006,56,,,,,,,,,,,
CRH6,2006,61,,,,,,,,,,,
CS2,2006,51,46,49,38,49,43,48,36,48,55,58,46
CS3,2006,57,34,47,,,,,,,,,
CS4,2006,60,40,50,,,,,,,,,
DR1,2006,74,62,63,,,,,,,,,
LF1,2006,64,43,61,48,56,60,60,49,33,63,51,42
WR1,2006,79,49,69,52,56,44,47,47,57,64,62,56
WV1,2006,71,40,53,49,45,47,34,37,50,60,63,39
WV2,2006,56,48,41,34,41,37,,,,,,
WV3,2006,63,36,60,34,47,43,,,,,,
WV4,2006,43,34,33,23,33,22,,,,,,
WV5,2006,42,37,37,,,,,,,,,
CV1,2006,56,46,57,41,45,,,,,,,
CV2,2006,27,19,24,16,15,,,,,,,
CV3,2006,43,36,36,27,33,27,,,,,,
CV4,2006,69,49,57,46,56,45,51,,,,,
CV5,2006,54,43,52,38,42,31,36,,,,,
BS1,2006,72,61,44,,43,69,63,55,64,42,73,74
BS2,2006,79,57,53,62,57,71,66,59,67,67,62,36
BS3,2006,79,63,65,,23,73,58,56,68,68,62,53
SC1,2006,52,38,42,21,36,30,36,22,29,37,38,48
SC2,2006,47,33,42,24,37,26,29,,35,68,32,55
SC3,2006,82,77,86,54,68,75,60,57,67,89,75,52
SC4,2006,49,31,35,32,33,30,35,25,35,40,41,35
BH1,2006,61,51,55,42,51,43,36,46,,,,
BH2,2006,65,56,47,39,50,48,32,44,,,,
BH3,2006,72,66,57,49,75,51,43,43,52,65,62,54
BH4,2006,44,48,53,38,40,35,34,31,,,,
BH5,2006,54,62,44,53,61,46,39,46,,68,59,59
LMR1,2006,49,44,41,61,43,42,37,37,38,44,46,36
AQ1,2006,,35,42,27,33,30,30,26,38,39,34,42
AQ2,2006,,30,31,20,24,21,19,21,29,33,35,39
AQ3,2006,,29,33,15,24,3,21,18,10,31,27,44
AQ4,2006,,51,39,29,37,25,25,25,29,44,40,33
AQ5,2006,,35,38,32,37,30,31,26,31,38,0,91
AQ6,2006,,47,54,57,53,59,52,5,56,57,63,56
AQ7,2006,,33,34,27,28,45,21,24,28,43,41,43
AQ8,2006,,49,42,37,44,22,13,39,40,49,1,35
AQ9,2006,,29,34,9,27,20,19,20,26,34,33,51
AQ10,2006,,67,66,50,65,45,40,59,50,68,59,41
AQ11,2006,,42,44,46,38,50,38,43,47,50,55,30
AQ12,2006,,44,32,34,39,32,28,31,40,42,50,75
AQ13,2006,,43,36,31,29,24,23,23,30,39,42,42
AQ14,2006,,78,67,58,64,,59,54,71,69,71,52
AQ15,2006,,39,47,36,41,28,35,28,37,41,39,56
AQ16,2006,,30,40,31,34,28,26,31,32,38,35,61
AQ17,2006,,37,41,33,31,,,,,,,
AQ18,2006,,43,42,33,28,40,38,33,38,48,36,41
AT1,2006,,,,54,58,61,38,41,61,63,73,62
SB1,2006,,,,,,,,,69,79,73,81
SB2,2006,,,,,,,24,21,29,30,34,50
SB3,2006,,,,,,,58,45,64,66,7,33
SB4,2006,,,,,,,,,,,,
SB5,2006,,,,,,,55,45,52,60,50,42
SB6,2006,,,,,,,44,46,55,55,69,68
SB7,2006,,,,,,,44,45,42,48,50,45
SB8,2006,,,,,,,,34,36,44,47,47
SB9,2006,,,,,,,47,52,54,56,59,47
SB10,2006,,,,,,,24,25,30,31,31,42
SB11,2006,,,,,,,41,36,40,44,48,44
SB12,2006,,,,,,,46,46,52,62,52,58
SB13,2006,,,,,,,25,41,48,49,57,45
SB14,2006,,,,,,,53,26,31,38,38,58
SB15,2006,,,,,,,,45,55,60,55,57
SB16,2006,,,,,,,39,40,,56,54,35
SB17,2006,,,,,,,53,42,42,55,51,48
SB12A,2006,,,,,,,40,42,54,57,57,45
LF2,2006,,,,,,,,,47,50,51,71
LF3,2006,,,,,,,,,42,41,44,45
LF4,2006,,,,,,,,,28,28,34,30
LF5,2006,,,,,,,,,65,60,43,48
LF6,2006,,,,,,,,,,42,41,55
LF7,2006,,,,,,,,,,58,40,71
HQ1,2006,,,,,,,,,75,72,80,93
HQ2,2006,,,,,,,,,34,34,36,41
HQ3,2006,,,,,,,,,51,56,50,45
HQ4,2006,,,,,,,,,39,36,39,80
HQ5,2006,,,,,,,,,38,43,39,40
HQ6,2006,,,,,,,,,36,42,38,66
HQ7,2006,,,,,,,,,39,52,51,64
HQ8,2006,,,,,,,,,30,38,32,53
BE1,2006,,,,,,,,,61,56,37,37
BE2,2006,,,,,,,,,71,70,55,65
BE3,2006,,,,,,,,,33,36,29,34
BE4,2006,,,,,,,,,73,62,49,60
ER1,2006,,,,,,,,,57,50,45,41
HXR1,2006,,,,,,,,,64,64,62,44
LSL1,2006,,,,,,,,,70,70,62,53
WR2,2006,,,,,,,,,54,61,61,54
WR3,2006,,,,,,,,,43,59,48,47
BML1,2006,,,,,,,,,35,38,26,39
BG1,2006,,,,,,,,,47,52,44,49
BG2,2006,,,,,,,,,53,60,55,51
BG3,2006,,,,,,,,,64,58,57,56
SC5,2006,,,,,,,,,52,56,49,56
SB18,2006,,,,,,,,,36,52,57,45
C05,2007,34,44,37,42,35,33,32,30,,53,50,57
HB1,2007,56,71,60,50,52,60,52,48,,58,64,68
HB2,2007,51,67,50,48,35,36,40,25,,52,67,56
HB3,2007,28,35,30,28,22,21,18,20,,31,37,39
HB4,2007,44,54,50,41,44,34,36,40,,51,54,48
HB5,2007,43,48,41,43,42,39,35,36,,47,49,51
HB6,2007,43,58,51,43,47,47,44,42,,58,58,58
GH1,2007,45,64,54,38,36,42,29,36,34,52,43,58
GH2,2007,32,70,52,44,37,45,27,35,33,53,46,56
GH3,2007,31,65,53,44,34,42,28,29,34,52,48,53
HTA H,2007,41,50,60,59,52,48,41,49,51,60,59,51
HP2,2007,55,72,62,48,,40,47,52,,,,
CRH1,2007,65,67,68,69,73,71,67,54,64,,78,80
CRH2,2007,62,76,54,61,57,64,56,54,60,90,82,88
CRH4,2007,39,53,46,47,41,47,36,35,38,58,50,53
CS2,2007,44,58,49,44,43,41,38,33,41,63,43,67
WV1,2007,41,39,46,46,35,39,35,36,38,52,56,52
BS1,2007,46,52,62,59,59,56,55,57,62,79,72,75
BS2,2007,59,76,70,64,59,56,51,58,62,77,74,42
BS3,2007,54,63,62,63,54,57,52,60,61,80,64,76
SC1,2007,29,32,29,35,31,41,20,29,29,42,38,48
SC2,2007,27,47,33,25,29,36,20,26,28,42,36,47
SC3,2007,44,84,66,63,65,30,58,70,65,84,76,72
SC4,2007,36,47,36,36,27,34,25,28,30,42,39,47
SC5,2007,33,61,54,56,52,60,39,50,47,61,53,60
BH1,2007,,,,,,,,,,,,
BH2,2007,,,,,,,,,,,,
BH3,2007,62,72,65,62,59,46,53,50,58,62,58,69
BH4,2007,,,,,,,,,,,,
BH5,2007,53,62,65,57,44,49,53,53,54,69,62,50
LMR1,2007,41,51,49,39,38,37,35,38,43,52,51,51
AQ1,2007,28,46,37,32,30,32,23,27,29,41,40,42
AQ2,2007,28,44,31,22,28,19,20,21,24,36,37,46
AQ3,2007,22,30,27,28,23,29,18,21,,62,29,41
AQ4,2007,49,44,44,35,50,34,22,29,30,48,45,62
AQ5,2007,58,60,58,52,60,51,47,55,60,73,66,46
AQ6,2007,30,45,,35,,27,29,28,29,43,39,43
AQ7,2007,29,44,30,43,28,26,25,22,28,43,42,42
AQ8,2007,39,47,40,41,37,40,37,36,39,51,46,53
AQ9,2007,32,30,29,30,26,26,22,22,25,40,38,45
AQ10,2007,64,70,,89,67,51,59,58,,,78,70
AQ11,2007,53,66,45,41,45,38,39,37,,111,64,55
AQ12,2007,44,53,39,39,30,24,33,30,34,149,48,50
AQ13,2007,38,48,37,32,27,27,23,27,30,41,45,41
AQ14,2007,64,70,62,72,68,44,46,60,62,76,66,78
AQ15,2007,,50,37,40,35,36,28,29,30,45,41,49
AQ16,2007,33,46,38,31,25,25,24,29,28,43,42,48
AQ17,2007,,,,,,,,,,,,
AQ18,2007,40,43,43,36,37,36,30,33,38,52,50,53
AT1,2007,47,64,60,54,,,,,,,,
SB1,2007,61,67,69,65,65,72,64,59,61,85,77,70
SB2,2007,41,50,38,34,30,23,27,24,31,44,42,46
SB3,2007,43,67,60,63,53,67,44,47,49,74,62,66
SB4,2007,,,,,,,,,,,,
SB5,2007,45,59,57,58,53,54,46,45,53,73,59,65
SB6,2007,60,65,61,62,59,57,52,43,57,67,74,60
SB7,2007,46,56,53,55,48,45,46,37,47,52,57,50
SB8,2007,39,48,50,42,38,41,31,34,36,50,43,55
SB9,2007,54,61,52,59,59,51,48,45,52,58,63,66
SB10,2007,28,42,32,31,26,27,19,21,22,35,33,42
SB11,2007,32,46,42,42,40,46,36,39,39,53,51,49
SB12,2007,41,62,57,53,46,53,42,45,44,63,56,63
SB12A,2007,43,59,53,,,,,,,,,
SB13,2007,45,53,51,55,50,44,40,42,49,60,57,59
SB14,2007,34,49,36,28,27,27,25,25,29,42,42,
SB15,2007,43,59,52,46,47,45,44,45,46,53,56,66
SB16,2007,43,55,53,58,43,51,41,39,47,60,54,53
SB17,2007,48,59,53,61,36,45,43,41,44,54,59,57
SB18,2007,53,61,56,44,40,38,34,34,33,52,57,60
LF1,2007,50,50,61,70,60,68,55,50,,67,63,69
LF2,2007,48,55,50,44,36,46,41,41,,45,55,48
LF3,2007,37,50,40,38,38,32,24,28,,47,52,37
LF4,2007,28,37,29,28,24,23,20,20,,32,30,30
LF5,2007,37,66,,,,41,31,27,,52,47,
LF6,2007,35,46,39,34,34,44,,,,,,
LF7,2007,37,42,42,46,45,45,,,,,,
HQ1,2007,50,71,67,71,60,59,68,66,,80,72,65
HQ2,2007,29,46,34,33,24,28,29,31,,42,37,
HQ3,2007,47,58,,56,49,57,24,40,,55,44,61
HQ4,2007,27,44,40,92,33,35,23,29,,34,39,59
HQ5,2007,38,51,41,,,,,,,,,
HQ6,2007,35,48,36,38,35,30,27,27,,44,40,49
HQ7,2007,54,50,48,33,,,,,,,,
HQ8,2007,31,41,33,31,28,24,25,25,,39,23,46
BE1,2007,40,63,53,51,47,56,29,40,44,65,57,63
BE2,2007,55,53,59,51,52,43,46,46,50,72,60,73
BE3,2007,28,43,34,30,22,26,19,20,24,39,19,42
BE4,2007,56,69,58,58,59,64,58,49,68,81,19,75
ER1,2007,39,51,45,43,45,54,37,39,42,58,43,42
HXR1,2007,51,55,30,47,57,69,57,62,68,77,60,69
LSL1,2007,51,61,58,54,47,63,51,58,61,74,68,72
WR1,2007,56,76,66,59,56,47,47,47,56,77,81,74
WR2,2007,42,63,54,53,52,38,38,44,43,60,54,52
WR3,2007,38,61,48,50,40,46,24,36,35,55,56,57
BML1,2007,26,43,37,32,22,28,26,26,31,45,45,50
BG1,2007,40,54,43,40,41,34,35,36,,48,51,57
BG2,2007,38,50,,,46,49,47,35,49,66,64,54
BG3,2007,41,65,59,57,57,48,47,49,51,66,69,67
AT2,2007,,,,,46,36,39,43,43,62,58,61
BH20,2007,,,,,,,54,51,54,77,80,80
BH22,2007,,,,,,,54,53,,156,68,79
HQ9,2007,,,,,,,,,,,,65
LF8,2007,,,,,,,,,,,,38
HH1,2007,,,,,,,,,,,,62
C05,2008,48,54,36,,,,,,,,,
HB1,2008,64,68,57,66,57,49,50,48,62,49,62,66
HB2,2008,59,68,46,48,37,39,47,46,27,,,
HB3,2008,35,48,25,25,24,18,21,26,41,29,35,44
HB4,2008,50,62,46,44,29,34,38,41,55,46,53,59
HB5,2008,47,48,38,,,,,,,,,
HB6,2008,50,63,46,60,54,34,47,47,73,44,46,48
GH1,2008,48,55,33,,,,,,,,,
GH2,2008,50,53,35,,,,,,,,,
GH3,2008,49,50,35,,,,,,,,,
HTA H,2008,53,59,51,56,52,48,42,45,49,51,55,
HH1,2008,54,64,48,54,56,52,50,48,53,45,40,59
CRH1,2008,76,79,64,83,88,66,69,65,41,61,78,84
CRH2,2008,80,87,55,74,63,57,60,67,41,,,
CRH4,2008,50,57,40,26,53,32,36,39,27,40,45,59
CS2,2008,59,62,44,42,46,38,41,36,25,47,54,65
WV1,2008,48,61,45,,,,,,,,,
BS1,2008,68,79,62,83,78,54,54,57,66,55,50,67
BS2,2008,69,85,56,68,79,48,49,56,67,56,34,71
BS3,2008,70,82,59,69,79,42,54,54,61,51,61,54
BS4,2008,52,73,39,48,28,27,27,41,42,49,56,66
BS5,2008,55,82,45,48,22,26,27,41,43,45,53,56
BS6,2008,55,66,43,47,23,36,43,41,43,48,54,57
SC1,2008,41,48,22,,,,,,,,,
SC2,2008,40,48,26,,,,,,,,,
SC3,2008,66,75,53,66,84,57,65,62,68,,,
SC4,2008,46,51,31,32,35,25,31,33,37,33,37,39
SC5,2008,57,64,37,57,70,47,50,47,51,43,53,56
BH1,2008,,,,,,,,,,,,
BH2,2008,,,,,,,,,,,,
BH3,2008,67,61,65,74,,55,58,,51,61,63,74
BH4,2008,,,,,,,,,,,,
BH5,2008,65,69,,,,,,,,,,
LMR1,2008,46,34,47,48,33,39,40,38,43,42,46,55
AQ1,2008,23,46,30,35,45,24,25,26,19,,,
AQ2,2008,32,40,27,28,27,18,20,23,12,,,
AQ3,2008,29,36,22,28,31,19,21,22,16,,,
AQ4,2008,46,53,43,43,34,21,27,30,20,40,47,54
AQ5,2008,64,79,58,62,48,29,30,33,17,30,35,42
AQ6,2008,37,46,26,38,37,62,54,41,34,,,
AQ7,2008,37,46,31,,,,,,,,,
AQ8,2008,38,51,30,69,27,44,38,44,26,44,47,52
AQ9,2008,34,47,25,,,,,,,,,
AQ10,2008,69,84,60,56,61,63,61,60,40,71,83,82
AQ11,2008,51,66,51,58,35,43,42,51,28,,,
AQ12,2008,42,51,41,41,30,34,30,41,21,37,45,54
AQ13,2008,40,49,35,42,22,29,25,33,17,,,
AQ14,2008,70,78,55,75,78,60,59,63,37,,,
AQ15,2008,39,41,31,40,49,32,32,26,22,33,37,45
AQ16,2008,35,40,31,33,28,28,26,29,19,32,37,47
AQ18,2008,40,56,34,43,41,35,35,38,23,36,45,52
AT1,2008,,,,,,,,,,,,
SB1,2008,70,75,57,78,80,63,56,61,70,67,71,52
SB2,2008,44,49,36,,,25,,27,41,35,39,48
SB3,2008,50,67,46,68,76,45,59,57,32,,,
SB5,2008,64,64,47,63,64,46,50,52,58,53,59,61
SB6,2008,60,65,40,69,54,53,40,56,54,,,
SB7,2008,50,59,49,51,46,30,35,38,55,53,57,87
SB8,2008,42,53,35,44,54,5,32,39,44,37,50,54
SB9,2008,53,62,57,56,41,50,52,47,47,,,
