id,catid,knv,hid,k,com
35,209092,72,84563,1,68
35,209092,72,268541,1,68
35,209092,72,125805,1,70
36,199398,12,199398,1,10
36,199398,12,201651,1,11
36,199398,12,1006738,1,11
37,103473,18,103473,1,15
37,103473,18,6853704,1,16
37,103473,18,545180,1,17
37,103473,18,639877,1,17
38,639877,18,639877,1,13
38,639877,18,2846377,1,14
38,639877,18,87672,1,14
38,639877,18,1080298,1,14
38,639877,18,84938,1,16
38,639877,18,383150,1,14
39,318875,8,318875,1,5
39,318875,8,1877421,1,6
39,318875,8,2862191,1,6
39,318875,8,10341813,1,6
40,1107621,3,1107621,1,2
40,1107621,3,7646477,1,3
41,131884,22,131884,1,19
41,131884,22,4359459,1,20
41,131884,22,145624,1,20
41,131884,22,2770711,1,21
42,4359459,5,4359459,1,4
42,4359459,5,717628,1,5
43,805810,8,805810,1,6
43,805810,8,344113,1,7
43,805810,8,266649,1,7
44,109499,12,109499,1,8
44,109499,12,85569,1,9
44,109499,12,9184281,1,11
44,109499,12,871495,1,9
44,109499,12,9228513,1,10
45,8986929,3,8986929,1,2
45,8986929,3,481516,1,3
46,1393962,14,1393962,1,13
46,1393962,14,82492,1,14
47,11781499,3,11781499,1,2
47,11781499,3,7247275,1,3
48,150454,8,150454,1,5
48,150454,8,144579,1,7
48,150454,8,332150,1,6
48,150454,8,84695,1,6
49,332150,12,332150,1,10
49,332150,12,1014315,1,11
49,332150,12,84953,1,11
50,4145951,3,4145951,1,2
50,4145951,3,114656,1,3
51,294904,8,294904,1,4
51,294904,8,151187,1,5
51,294904,8,7642096,1,5
51,294904,8,457086,1,5
51,294904,8,2921319,1,5
52,436733,6,436733,1,4
52,436733,6,1070055,1,5
52,436733,6,799888,1,5
53,99315,28,99315,1,27
53,99315,28,4013163,1,28
54,599536,19,599536,1,16
54,599536,19,165719,1,17
54,599536,19,165080,1,19
54,599536,19,84971,1,17
55,302817,13,302817,1,9
55,302817,13,1385315,1,10
55,302817,13,302962,1,11
55,302817,13,182942,1,11
55,302817,13,799888,1,10
56,1018229,2,1018229,1,2
57,5841159,3,5841159,1,1
57,5841159,3,744507,1,2
57,5841159,3,154212,1,2
58,7533435,3,7533435,1,1
58,7533435,3,1921949,1,2
58,7533435,3,7533434,1,2
59,157841,19,157841,1,17
59,157841,19,81545,1,18
59,157841,19,1393962,1,18
60,1407527,7,1407527,1,2
60,1407527,7,5881305,1,3
60,1407527,7,4281074,1,3
60,1407527,7,4282264,1,4
60,1407527,7,177710,1,3
60,1407527,7,701972,1,6
61,3064810,4,3064810,1,3
61,3064810,4,88806,1,4
62,7250587,3,7250587,1,1
62,7250587,3,1423313,1,3
62,7250587,3,7247275,1,2
63,8312353,13,8312353,1,6
63,8312353,13,10661462,1,7
63,8312353,13,8007308,1,7
63,8312353,13,84695,1,11
63,8312353,13,1610815,1,8
63,8312353,13,610752,1,7
63,8312353,13,8421227,1,8
63,8312353,13,7192816,1,7
64,1439642,3,1439642,1,2
64,1439642,3,1423313,1,3
65,158851,32,158851,1,29
65,158851,32,85441,1,31
65,158851,32,149284,1,30
65,158851,32,99727,1,31
66,1223076,10,1223076,1,8
66,1223076,10,586597,1,9
66,1223076,10,256829,1,9
67,374808,15,374808,1,13
67,374808,15,158851,1,14
67,374808,15,6083320,1,14
68,794574,26,794574,1,23
68,794574,26,840412,1,25
68,794574,26,182884,1,24
68,794574,26,1070055,1,24
69,547027,21,547027,1,19
69,547027,21,2770685,1,20
69,547027,21,5837221,1,20
70,981107,7,981107,1,6
70,981107,7,7315412,1,7
71,2687341,5,2687341,1,4
71,2687341,5,465968,1,5
72,2866860,8,2866860,1,6
72,2866860,8,84976,1,8
72,2866860,8,599536,1,7
73,1215236,6,1215236,1,4
73,1215236,6,1216178,1,5
73,1215236,6,656692,1,5
74,1192295,14,1192295,1,12
74,1192295,14,373415,1,13
74,1192295,14,1080298,1,13
75,185021,13,185021,1,9
75,185021,13,490246,1,10
75,185021,13,165719,1,11
75,185021,13,599536,1,10
75,185021,13,856055,1,10
76,84529,17,84529,1,15
76,84529,17,104860,1,16
76,84529,17,82492,1,16
77,256829,10,256829,1,9
77,256829,10,158851,1,10
78,3447552,18,3447552,1,14
78,3447552,18,158851,1,15
78,3447552,18,904364,1,15
78,3447552,18,3403103,1,16
78,3447552,18,3525371,1,15
79,5623125,3,5623125,1,1
79,5623125,3,5623735,1,2
79,5623125,3,99484,1,3
80,616312,4,616312,1,2
80,616312,4,9510438,1,3
80,616312,4,99484,1,3
81,1041509,7,1041509,1,4
81,1041509,7,3602823,1,7
81,1041509,7,3552628,1,5
81,1041509,7,3552621,1,5
82,927851,7,927851,1,4
82,927851,7,497287,1,5
82,927851,7,2007660,1,7
82,927851,7,497442,1,5
83,96227,4,96227,1,2
83,96227,4,9288826,1,3
83,96227,4,126056,1,3
84,126056,13,126056,1,11
84,126056,13,1023211,1,12
84,126056,13,1205892,1,12
85,8168837,3,8168837,1,2
85,8168837,3,8162286,1,3
86,431796,4,431796,1,2
86,431796,4,202774,1,3
86,431796,4,469373,1,3
87,168584,29,168584,1,23
87,168584,29,87637,1,25
87,168584,29,869704,1,24
87,168584,29,1111979,1,24
87,168584,29,7913397,1,24
87,168584,29,5545482,1,24
87,168584,29,9849865,1,24
88,9976322,2,9976322,1,1
88,9976322,2,5825523,1,2
89,4082519,57,4082519,1,55
89,4082519,57,202688,1,56
89,4082519,57,4994631,1,56
90,3921391,23,3921391,1,21
90,3921391,23,1398124,1,22
90,3921391,23,774401,1,22
91,1597938,5,1597938,1,4
91,1597938,5,4790805,1,5
92,84286,19,84286,1,17
92,84286,19,1351474,1,18
92,84286,19,223124,1,18
93,1921949,5,1921949,1,4
93,1921949,5,5789878,1,5
94,1189417,13,1189417,1,11
94,1189417,13,86274,1,12
94,1189417,13,84694,1,12
95,3662268,3,3662268,1,2
95,3662268,3,738139,1,3
96,4958999,6,4958999,1,4
96,4958999,6,202688,1,5
96,4958999,6,214921,1,5
97,884066,11,884066,1,7
97,884066,11,1298163,1,8
97,884066,11,844381,1,8
97,884066,11,5455737,1,8
97,884066,11,612503,1,8
98,869678,8,869678,1,5
98,869678,8,1961197,1,6
98,869678,8,5613168,1,6
98,869678,8,6831782,1,6
99,133095,14,133095,1,10
99,133095,14,84915,1,11
99,133095,14,8393721,1,11
99,133095,14,1136556,1,11
99,133095,14,2279420,1,11
100,1472308,6,1472308,1,1
100,1472308,6,4037272,1,2
100,1472308,6,10744310,1,2
100,1472308,6,2702495,1,3
100,1472308,6,2846563,1,2
100,1472308,6,2307115,1,2
101,3475402,3,3475402,1,2
101,3475402,3,2306579,1,3
102,2306640,2,2306640,1,1
102,2306640,2,2306579,1,2
103,11068309,3,11068309,1,2
103,11068309,3,1099091,1,3
104,800040,7,800040,1,3
104,800040,7,84976,1,7
104,800040,7,302695,1,5
104,800040,7,84971,1,6
104,800040,7,7090560,1,4
105,581596,10,581596,1,7
105,581596,10,158371,1,8
105,581596,10,551378,1,8
105,581596,10,2872293,1,8
106,3733699,7,3733699,1,4
106,3733699,7,83991,1,5
106,3733699,7,3880883,1,5
106,3733699,7,11358033,1,5
107,584190,21,584190,1,17
107,584190,21,704810,1,18
107,584190,21,615466,1,18
107,584190,21,365616,1,19
107,584190,21,360926,1,21
108,7642516,5,7642516,1,3
108,7642516,5,7642533,1,4
108,7642516,5,7652338,1,4
109,606377,11,606377,1,6
109,606377,11,2984830,1,7
109,606377,11,584190,1,7
109,606377,11,146683,1,8
109,606377,11,108811,1,8
109,606377,11,6681838,1,7
110,2432160,4,2432160,1,1
110,2432160,4,10961971,1,2
110,2432160,4,360926,1,3
110,2432160,4,6681838,1,2
111,10838057,2,10838057,1,1
111,10838057,2,149299,1,2
112,139614,11,139614,1,9
112,139614,11,342193,1,10
112,139614,11,87130,1,10
113,185468,9,185468,1,5
113,185468,9,321858,1,6
113,185468,9,4097239,1,6
113,185468,9,623074,1,6
113,185468,9,750950,1,6
114,390899,23,390899,1,20
114,390899,23,1438533,1,21
114,390899,23,342193,1,21
114,390899,23,86501,1,21
115,1114911,20,1114911,1,17
115,1114911,20,716720,1,18
115,1114911,20,9671624,1,18
115,1114911,20,96239,1,18
116,6320313,5,6320313,1,2
116,6320313,5,1439605,1,3
116,6320313,5,95606,1,3
116,6320313,5,7342535,1,3
117,2862191,9,2862191,1,7
117,2862191,9,293687,1,8
117,2862191,9,924138,1,8
118,322205,11,322205,1,9
118,322205,11,2841721,1,10
118,322205,11,4013345,1,10
119,198757,42,198757,1,40
119,198757,42,1798999,1,41
119,198757,42,6050706,1,41
120,8171094,4,8171094,1,2
120,8171094,4,8170127,1,3
120,8171094,4,8162372,1,3
121,96803,8,96803,1,7
121,96803,8,924138,1,8
122,1763061,6,1763061,1,3
122,1763061,6,1921949,1,4
122,1763061,6,2020491,1,4
122,1763061,6,9510438,1,4
123,3256976,3,3256976,1,2
123,3256976,3,2020499,1,3
