"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Objective Value";"Valid?";"ReturnCode";"CompTime"
"Dim.  9";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.00598749669807";"0.976510337060574";"0.967743098104231";"0.942866983009337";"0.930440331844288";"1.00679086320224";"0.928774018295849";"1.03154845426153";"0.971382101227588";"0.977308438857565";"1.06405608891368";"0.997313858809704";"0.999666319082377";"0.996205086798547";"0.999085010813509";"0.987261146496815";"1.04100300902708";"0.998406467410315";"0.996040039599604";"1.05548946621129";"0.983292887810342";"42050";"FALSE";"OPTIMAL";"1.84029006958008"
"Dim.  10";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.02033987848904";"0.98000965328614";"0.986556620774166";"0.971223021582734";"0.993379068283344";"0.966699349965501";"0.933807374265969";"1.04942742044992";"0.949773457770205";"0.931601811627692";"1.07648488228499";"1.01087047762948";"0.969134515119917";"0.995236172789665";"0.99530028281484";"0.981138278200123";"1.02210631895687";"0.98344280772669";"0.997433358999743";"0.986223569592079";"0.969105842822475";"42027";"FALSE";"OPTIMAL";"2.50099086761475"
"Dim.  11";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.03240292330721";"1.01729547099992";"0.986772868161176";"0.981555181386805";"0.986678366305041";"0.982423648182445";"0.95881436503815";"0.986828407187797";"0.992913294349998";"0.930307791847675";"0.999083774847628";"1.06085788634265";"0.999457768508863";"0.999434800161486";"0.959241390783564";"0.970166426957058";"1.04349047141424";"0.962454817521085";"0.994940050599494";"1.00356882459035";"0.991366436438305";"41982";"FALSE";"OPTIMAL";"1.53285694122314"
"Dim.  12";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.00827683367086";"1.02871852626498";"1.04180782815541";"0.96054645645186";"0.998923101467773";"0.998692668046628";"0.958614628690129";"0.986330511926855";"0.977733028695349";"0.908494315555966";"0.992949049914353";"0.98342147234114";"0.985359749739312";"0.998748486071861";"0.980951588753951";"0.99749332237518";"1.03626880641926";"1.01096039488515";"0.999816668499982";"1.01181933305192";"0.996266567108456";"41889";"FALSE";"OPTIMAL";"9.63630986213684"
"Dim.  13";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0.997314431628071";"0.995736465288392";"1.01492106970374";"1.01687586101332";"0.962029355456286";"0.9590006173512";"0.975032956497423";"0.974652604897479";"0.975332068311195";"0.958683797023755";"0.998526072580966";"0.976622177453202";"0.998248175182482";"0.997577714977796";"0.997837298286475";"0.984014793507294";"1.05468405215647";"0.995491468770648";"0.999413339199941";"0.990252887677962";"0.965279074108643";"41845";"FALSE";"OPTIMAL";"5.80882000923157"
"Dim.  14";"1";"1";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0.967332922426697";"1.0166921406162";"0.989403878036474";"1.03007806520741";"0.9819719208679";"0.987798235101863";"0.959972835856669";"0.998325261395012";"0.990977035975681";"0.992513171272761";"0.973110783571685";"0.998740871317049";"0.997956204379562";"0.998546628986677";"0.998045250374314";"0.951756728991165";"0.995626880641926";"0.968362548097478";"0.990613427199061";"1.03050769407882";"0.966865783087549";"41741";"FALSE";"OPTIMAL";"13.1130890846252"
"Dim.  15";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1.02359778110416";"0.956841766551364";"0.996936495350681";"1.02200367365682";"0.985322271857052";"1.01158441369793";"0.959253785003795";"0.990358937219934";"0.980985942764202";"0.948793788705056";"0.997809026809545";"0.993200705112062";"0.99570385818561";"0.996083972547436";"0.953044418565962";"0.974933223751798";"0.994383149448345";"0.994908469042714";"0.990356763099036";"0.991711117080471";"0.994773193951839";"41712";"FALSE";"OPTIMAL";"24.3937301635742"
"Dim.  16";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1.02958527780224";"0.999195559488376";"1.03697830317884";"1.0283560385734";"0.984883535417996";"0.951410829066347";"0.964007510086686";"0.965283121350654";"0.985052085350269";"0.977493298826139";"0.980759271800183";"0.998363132712163";"0.999874869655892";"0.998829228905935";"0.993137581101314";"0.939305527018697";"0.995867602808425";"0.970772280306269";"0.991970080299197";"0.994435703595687";"0.929858129550121";"41664";"FALSE";"OPTIMAL";"44.4342150688171"
"Dim.  17";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0.982565818437968";"0.990306491834929";"0.993656743314352";"1.00619929588244";"0.997327696234844";"0.991429712750118";"0.983302041305477";"1.03150319105599";"0.976300197498354";"0.987475737129125";"0.996693622276222";"0.992571140770587";"0.99895724713243";"0.998223657650384";"0.989768757278323";"0.989973289500719";"0.989287863590772";"0.982898674647285";"0.997616690499762";"0.98867953490157";"0.948618629830129";"41622";"FALSE";"OPTIMAL";"58.9327850341797"
"Dim.  18";"1";"1";"0";"0";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1.03169851193097";"0.988416056632612";"0.992935918690983";"1.02785856421246";"0.995253669432036";"0.959654283327886";"0.970399073223345";"0.979722083917983";"0.960151802656547";"0.951289398280802";"0.999681312990479";"0.983085704692353";"0.990656934306569";"0.996972143722245";"0.97587755781068";"0.992479967125539";"0.97925777331996";"0.969450814256287";"0.987130128698713";"0.99950113204651";"0.992953145417211";"41591";"FALSE";"OPTIMAL";"74.6593890190125"
"Dim.  19";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0.994584837545126";"0.969592148660607";"0.991998846680603";"1.00267870809735";"0.987914805360562";"0.978102189781022";"0.938321415731235";"0.983071561127959";"0.941060295085776";"0.99865976522784";"0.997888698561925";"0.996348526819441";"0.998790406673618";"0.997739200645943";"0.971261021460656";"0.97879597287857";"0.979458375125376";"1.00890046251312";"0.99079675869908";"0.99658467324149";"0.988986372969946";"41583";"FALSE";"OPTIMAL";"69.1357569694519"
"Dim.  20";"1";"1";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0.975961961785683";"0.968747486123401";"0.979312333309306";"0.99181080667381";"0.995891831525207";"0.988052438537241";"0.975752007350298";"0.996650522790024";"0.999031870812841";"0.983547462796931";"0.993626259809585";"0.963946948711492";"0.999833159541189";"0.996366572466694";"0.98756446514723";"0.985247585781796";"0.99542627883651";"0.968362548097478";"0.990540094599054";"0.997735906980314";"0.979932798207952";"41528";"TRUE";"OPTIMAL";"84.0246350765228"
"Dim.  21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
