Created as New Dataset,Sample 012 By Analyst Date Wednesday, January 20 2016
cm-1,A
3065.00,0.0225
3064.00,0.0227
3063.00,0.0228
3062.00,0.0229
3061.00,0.0229
3060.00,0.0230
3059.00,0.0230
3058.00,0.0231
3057.00,0.0231
3056.00,0.0230
3055.00,0.0230
3054.00,0.0229
3053.00,0.0229
3052.00,0.0228
3051.00,0.0227
3050.00,0.0226
3049.00,0.0226
3048.00,0.0225
3047.00,0.0225
3046.00,0.0226
3045.00,0.0227
3044.00,0.0228
3043.00,0.0230
3042.00,0.0231
3041.00,0.0233
3040.00,0.0235
3039.00,0.0237
3038.00,0.0239
3037.00,0.0239
3036.00,0.0240
3035.00,0.0239
3034.00,0.0238
3033.00,0.0237
3032.00,0.0234
3031.00,0.0232
3030.00,0.0229
3029.00,0.0226
3028.00,0.0223
3027.00,0.0220
3026.00,0.0217
3025.00,0.0215
3024.00,0.0213
3023.00,0.0211
3022.00,0.0209
3021.00,0.0208
3020.00,0.0207
3019.00,0.0206
3018.00,0.0205
3017.00,0.0205
3016.00,0.0205
3015.00,0.0205
3014.00,0.0206
3013.00,0.0207
3012.00,0.0209
3011.00,0.0211
3010.00,0.0213
3009.00,0.0215
3008.00,0.0218
3007.00,0.0220
3006.00,0.0223
3005.00,0.0225
3004.00,0.0228
3003.00,0.0231
3002.00,0.0234
3001.00,0.0237
3000.00,0.0240
2999.00,0.0244
2998.00,0.0247
2997.00,0.0252
2996.00,0.0256
2995.00,0.0262
2994.00,0.0268
2993.00,0.0274
2992.00,0.0282
2991.00,0.0290
2990.00,0.0298
2989.00,0.0307
2988.00,0.0317
2987.00,0.0328
2986.00,0.0339
2985.00,0.0351
2984.00,0.0363
2983.00,0.0376
2982.00,0.0390
2981.00,0.0404
2980.00,0.0420
2979.00,0.0435
2978.00,0.0452
2977.00,0.0469
2976.00,0.0486
2975.00,0.0504
2974.00,0.0522
2973.00,0.0541
2972.00,0.0560
2971.00,0.0578
2970.00,0.0596
2969.00,0.0613
2968.00,0.0629
2967.00,0.0644
2966.00,0.0657
2965.00,0.0668
2964.00,0.0678
2963.00,0.0685
2962.00,0.0690
2961.00,0.0694
2960.00,0.0697
2959.00,0.0699
2958.00,0.0700
2957.00,0.0701
2956.00,0.0703
2955.00,0.0705
2954.00,0.0707
2953.00,0.0710
2952.00,0.0714
2951.00,0.0719
2950.00,0.0723
2949.00,0.0729
2948.00,0.0735
2947.00,0.0742
2946.00,0.0749
2945.00,0.0757
2944.00,0.0766
2943.00,0.0776
2942.00,0.0787
2941.00,0.0799
2940.00,0.0813
2939.00,0.0828
2938.00,0.0845
2937.00,0.0863
2936.00,0.0883
2935.00,0.0905
2934.00,0.0928
2933.00,0.0952
2932.00,0.0977
2931.00,0.1002
2930.00,0.1027
2929.00,0.1052
2928.00,0.1077
2927.00,0.1100
2926.00,0.1122
2925.00,0.1141
2924.00,0.1158
2923.00,0.1173
2922.00,0.1185
2921.00,0.1194
2920.00,0.1199
2919.00,0.1202
2918.00,0.1202
2917.00,0.1198
2916.00,0.1192
2915.00,0.1183
2914.00,0.1172
2913.00,0.1160
2912.00,0.1147
2911.00,0.1132
2910.00,0.1118
2909.00,0.1103
2908.00,0.1087
2907.00,0.1071
2906.00,0.1054
2905.00,0.1037
2904.00,0.1021
2903.00,0.1004
2902.00,0.0987
2901.00,0.0971
2900.00,0.0956
2899.00,0.0941
2898.00,0.0927
2897.00,0.0914
2896.00,0.0901
2895.00,0.0890
2894.00,0.0879
2893.00,0.0868
2892.00,0.0858
2891.00,0.0848
2890.00,0.0837
2889.00,0.0827
2888.00,0.0817
2887.00,0.0807
2886.00,0.0798
2885.00,0.0789
2884.00,0.0781
2883.00,0.0774
2882.00,0.0769
2881.00,0.0765
2880.00,0.0764
2879.00,0.0764
2878.00,0.0765
2877.00,0.0768
2876.00,0.0771
2875.00,0.0776
2874.00,0.0781
2873.00,0.0786
2872.00,0.0791
2871.00,0.0795
2870.00,0.0797
2869.00,0.0798
2868.00,0.0797
2867.00,0.0794
2866.00,0.0789
2865.00,0.0784
2864.00,0.0778
2863.00,0.0771
2862.00,0.0764
2861.00,0.0758
2860.00,0.0753
2859.00,0.0748
2858.00,0.0744
2857.00,0.0741
2856.00,0.0738
2855.00,0.0735
2854.00,0.0732
2853.00,0.0730
2852.00,0.0727
2851.00,0.0724
2850.00,0.0719
2849.00,0.0714
2848.00,0.0708
2847.00,0.0701
2846.00,0.0694
2845.00,0.0687
2844.00,0.0679
2843.00,0.0670
2842.00,0.0661
2841.00,0.0649
2840.00,0.0637
2839.00,0.0623
2838.00,0.0608
2837.00,0.0592
2836.00,0.0575
2835.00,0.0557
2834.00,0.0538
2833.00,0.0519
2832.00,0.0501
2831.00,0.0482
2830.00,0.0464
2829.00,0.0447
2828.00,0.0431
2827.00,0.0417
2826.00,0.0404
2825.00,0.0392
2824.00,0.0382
2823.00,0.0373
2822.00,0.0365
2821.00,0.0357
2820.00,0.0350
2819.00,0.0344
2818.00,0.0339
2817.00,0.0333
2816.00,0.0328
2815.00,0.0324
2814.00,0.0319
2813.00,0.0315
2812.00,0.0311
2811.00,0.0307
2810.00,0.0303
2809.00,0.0299
2808.00,0.0296
2807.00,0.0293
2806.00,0.0289
2805.00,0.0286
2804.00,0.0283
2803.00,0.0280
2802.00,0.0276
2801.00,0.0273
2800.00,0.0270
2799.00,0.0266
2798.00,0.0263
2797.00,0.0260
2796.00,0.0257
2795.00,0.0254
2794.00,0.0251
2793.00,0.0248
2792.00,0.0245
2791.00,0.0242
2790.00,0.0239
2789.00,0.0237
2788.00,0.0234
2787.00,0.0232
2786.00,0.0229
2785.00,0.0226
2784.00,0.0224
2783.00,0.0222
2782.00,0.0220
2781.00,0.0218
2780.00,0.0216
2779.00,0.0214
2778.00,0.0212
2777.00,0.0210
2776.00,0.0209
2775.00,0.0207
2774.00,0.0205
2773.00,0.0204
2772.00,0.0203
2771.00,0.0202
2770.00,0.0201
2769.00,0.0200
2768.00,0.0199
2767.00,0.0198
2766.00,0.0197
2765.00,0.0196
2764.00,0.0196
2763.00,0.0195
2762.00,0.0194
2761.00,0.0193
2760.00,0.0193
2759.00,0.0192
2758.00,0.0191
2757.00,0.0191
2756.00,0.0190
2755.00,0.0190
2754.00,0.0189
2753.00,0.0188
2752.00,0.0188
2751.00,0.0187
2750.00,0.0186
2749.00,0.0186
2748.00,0.0185
2747.00,0.0185
2746.00,0.0184
2745.00,0.0184
2744.00,0.0184
2743.00,0.0183
2742.00,0.0183
2741.00,0.0183
2740.00,0.0182
2739.00,0.0182
2738.00,0.0182
2737.00,0.0182
2736.00,0.0182
2735.00,0.0182
2734.00,0.0182
2733.00,0.0182
2732.00,0.0182
2731.00,0.0182
2730.00,0.0182
2729.00,0.0181
2728.00,0.0181
2727.00,0.0181
2726.00,0.0180
2725.00,0.0180
2724.00,0.0180
2723.00,0.0180
2722.00,0.0179
2721.00,0.0179
2720.00,0.0179
2719.00,0.0178
2718.00,0.0178
2717.00,0.0177
2716.00,0.0176
2715.00,0.0175
2714.00,0.0175
2713.00,0.0174
2712.00,0.0173
2711.00,0.0172
2710.00,0.0172
2709.00,0.0171
2708.00,0.0170
2707.00,0.0170
2706.00,0.0169
2705.00,0.0168
2704.00,0.0168
2703.00,0.0167
2702.00,0.0166
2701.00,0.0166
2700.00,0.0165
2699.00,0.0165
2698.00,0.0164
2697.00,0.0164
2696.00,0.0164
2695.00,0.0163
2694.00,0.0163
2693.00,0.0162
2692.00,0.0162
2691.00,0.0162
2690.00,0.0161
2689.00,0.0161
2688.00,0.0161
2687.00,0.0161
2686.00,0.0160
2685.00,0.0160
2684.00,0.0159
2683.00,0.0159
2682.00,0.0159
2681.00,0.0158
2680.00,0.0158
2679.00,0.0158
2678.00,0.0158
2677.00,0.0157
2676.00,0.0157
2675.00,0.0157
2674.00,0.0156
2673.00,0.0156
2672.00,0.0156
2671.00,0.0155
2670.00,0.0155
2669.00,0.0155
2668.00,0.0154
2667.00,0.0154
2666.00,0.0154
2665.00,0.0153
2664.00,0.0153
2663.00,0.0153
2662.00,0.0153
2661.00,0.0152
2660.00,0.0152
2659.00,0.0152
2658.00,0.0151
2657.00,0.0151
2656.00,0.0151
2655.00,0.0151
2654.00,0.0150
2653.00,0.0150
2652.00,0.0150
2651.00,0.0149
2650.00,0.0149
2649.00,0.0149
2648.00,0.0148
2647.00,0.0148
2646.00,0.0147
2645.00,0.0147
2644.00,0.0147
2643.00,0.0147
2642.00,0.0147
2641.00,0.0146
2640.00,0.0146
2639.00,0.0146
2638.00,0.0146
2637.00,0.0146
2636.00,0.0146
2635.00,0.0145
2634.00,0.0145
2633.00,0.0145
2632.00,0.0145
2631.00,0.0145
2630.00,0.0145
2629.00,0.0145
2628.00,0.0145
2627.00,0.0145
2626.00,0.0145
2625.00,0.0145
2624.00,0.0145
2623.00,0.0145
2622.00,0.0145
2621.00,0.0145
2620.00,0.0145
2619.00,0.0144
2618.00,0.0144
2617.00,0.0144
2616.00,0.0145
2615.00,0.0145
2614.00,0.0145
2613.00,0.0144
2612.00,0.0144
2611.00,0.0144
2610.00,0.0144
