"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Load";"Objective Value";"Valid?";"ReturnCode";"CompTime"
"Dim.  9";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0.998296059637913";"0.913541711207081";"0.935384987698141";"0.970284821832231";"0.998597764671918";"0.94676738502555";"0.976003973864201";"0.97776079480321";"0.978304310590922";"0.979525015279839";"0.99858540610633";"0.999148249428431";"0.999440757587055";"1.00528434826371";"0.978906999041227";"1.02330306422855";"1.0484458017822";"1.03584521384929";"1.00568900126422";"1.0293424887221";"1.04992364618818";"1.01233025077064";"0.983811459980423";"42166";"FALSE";"OPTIMAL";"2.06221890449524"
"Dim.  10";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"1";"0.994462193823216";"0.99525377346389";"0.968216835397088";"0.995725617524968";"1.01579576854869";"0.961697400577649";"0.956822437048642";"0.978181123423768";"0.9236980547286";"0.996900375447481";"0.999331997327989";"0.984399515847044";"0.9989933636567";"0.966496513049105";"0.999480664749121";"1.09665381266327";"1.06141488516086";"1.00562118126273";"1.01580278128951";"0.961635195017765";"1.04166177219155";"0.950762309422644";"0.996912883066034";"42117";"FALSE";"OPTIMAL";"2.40606093406677"
"Dim.  11";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0.991948881789137";"0.961474323342028";"0.937764691646836";"0.993300727467017";"1.00164968862127";"0.983337036214175";"0.979175423178327";"0.975429881543752";"0.927490722238082";"1.04060071596961";"0.984910998467523";"0.985834043125476";"0.999888151517411";"1.00233661657919";"1.03371684244167";"0.998507277024506";"1.00041835752834";"1.03739307535642";"1.0046618204804";"1.03061998482973";"0.97270840675046";"1.02195284512205";"0.995256381296589";"42049";"FALSE";"OPTIMAL";"1.25387191772461"
"Dim.  12";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"0.999105431309904";"0.979133706760166";"0.941314080587263";"0.980559779704903";"0.937518043469295";"0.885936458564763";"0.992701845554239";"1.01746274359954";"0.976346804779577";"1.00213917750808";"0.999764234351055";"0.97857174877841";"0.998657818208933";"0.92598317636063";"1.05912432086929";"0.99759505742837";"1.04459691252144";"1.00765784114053";"0.980325537294564";"1.02259571240369";"1.06703473119543";"0.993501624593851";"0.99984940893005";"42002";"FALSE";"OPTIMAL";"4.27593183517456"
"Dim.  13";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0.965878594249201";"0.964381921580365";"0.892913322308716";"0.994287123422794";"0.991421619169382";"0.947522772717174";"0.958389056589355";"0.945777607948032";"0.987806370050161";"1.01261678162927";"0.999214114503517";"0.999148249428431";"0.991797777943479";"0.972427924365519";"1.05173378076063";"0.998051167226438";"1.0602434840815";"0.979266802443992";"0.960651074589128";"1.06722823266398";"1.04522495007635";"0.98412896775806";"0.99984940893005";"41938";"FALSE";"OPTIMAL";"6.40019798278809"
"Dim.  14";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0.99297124600639";"0.956514302817805";"0.99257855039729";"0.998931404381242";"0.929846991380377";"0.981648522550544";"0.955561499369531";"0.968360718379824";"0.997226866767261";"1.0184667772636";"0.999096231679044";"0.992468731788228";"0.996830959659981";"0.990797325472715";"0.998881431767338";"0.985528880043123";"1.06685353302933";"1.04077393075356";"0.990320796460177";"1.04275619785221";"1.00027409060652";"0.943305840206615";"0.999698817860101";"41862";"FALSE";"OPTIMAL";"4.93965697288513"
"Dim.  15";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0.987987220447284";"0.998375165690341";"0.990924857822773";"0.993177427972545";"0.970759269187941";"0.940279937791602";"0.904168736387605";"0.954451662208636";"0.924432119407855";"1.02536453331005";"0.999685645801407";"0.977854485139194";"0.998695101036463";"0.995901933999569";"1.01673857462448";"0.996434050669652";"0.971468016566958";"1.00272912423625";"1.00952117572693";"1.01513034452473";"0.998120521555268";"0.977047404815463";"0.999510579022664";"41816";"FALSE";"OPTIMAL";"5.66040396690369"
"Dim.  16";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"0.992374866879659";"0.993714456749476";"0.954624289113863";"0.970038222843286";"0.973357528766445";"0.908731393023772";"0.962248290092087";"0.975697363393198";"0.932221361282166";"0.99668209202829";"0.989311957247829";"0.987537544268615";"0.998247707106107";"0.999137249263067";"1.00978747203579";"0.99788530911805";"0.99397565159185";"1.00285132382892";"1.01655341340076";"1.01616831011218";"0.984415991229101";"0.999125218695326";"0.996348166553723";"41777";"FALSE";"OPTIMAL";"6.2768828868866"
"Dim.  17";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0.982279020234292";"0.953906016162826";"0.972734239503086";"0.992684229994657";"0.982801996123232";"0.933570317707176";"0.906996293607428";"0.986664119220481";"0.931242608376494";"0.995547018248494";"0.995913395418288";"0.988703097682342";"0.99895608082917";"0.989431303472572";"1.00707094918504";"0.982875150308911";"1.02016483286617";"0.992953156822811";"0.99905183312263";"0.973212503493153";"1.00939739222366";"0.981337998833625";"0.999623522325126";"41715";"FALSE";"OPTIMAL";"8.95331907272339"
"Dim.  18";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0.982279020234292";"0.944541839483474";"0.970636873311015";"0.973655008014467";"0.935497174908236";"0.929793379249056";"0.979939627832333";"0.988765762323271";"0.970637412829819";"0.997991792543438";"0.991905379386223";"0.973237100461739";"0.99794944448587";"0.960601049680063";"0.979626078619367";"1";"0.984520771451282";"0.996089613034623";"0.984592288242731";"1.03776597868178";"0.988018324914836";"1.01087228192952";"0.989797455010918";"41659";"FALSE";"OPTIMAL";"22.6040060520172"
"Dim.  19";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0.993184238551651";"0.997177919356908";"0.963901101117251";"0.956680777608812";"0.975790819482823";"0.969162408353699";"0.978602269687822";"0.996255254107757";"0.881815586640023";"0.999869029948485";"0.987897363354159";"0.974133680010759";"0.997763030348222";"0.988568552735639";"0.98993288590604";"0.997926773645147";"0.998995941931975";"0.988309572301426";"1.0257585335019";"0.999321330192822";"0.974666196797055";"0.996834124802133";"0.989420977336044";"41626";"FALSE";"OPTIMAL";"44.1888070106506"
"Dim.  20";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0.997145899893504";"0.945568050626416";"0.936595006655104";"0.943980929678188";"0.962098403926259";"0.914907798267052";"0.919758511329334";"0.994764998089415";"0.92239305085437";"0.97847725486772";"0.9930056190813";"0.975523378311741";"0.99694280814257";"0.954561794521533";"0.963007350591243";"0.992909565866401";"0.992678743253985";"0.997148676171079";"0.989688685208597";"0.98546848177572";"1.00066564861584";"1.00312421894526";"0.998757623672916";"41606";"FALSE";"OPTIMAL";"44.8789150714874"
"Dim.  21";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"0.995867944621938";"0.974387480224056";"0.949421207598919";"0.936747359335827";"0.998144100301068";"0.946545212175072";"0.939513201635398";"0.964157432174245";"0.97190163533298";"0.982100759626299";"0.997052929388188";"0.995337786345094";"0.995749757661621";"0.958516068732475";"0.979346436561202";"0.989716797279927";"0.991465506421788";"0.965621181262729";"0.996009797724399";"0.998163599345283";"1.04984533458632";"0.98625343664084";"0.999021158045328";"41519";"FALSE";"OPTIMAL";"113.421856880188"
"Dim.  22";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"0.990841320553781";"0.940009406935477";"0.948856532085669";"0.978751387119313";"0.94510661112715";"0.954454565652077";"0.919414619235031";"0.991325945739396";"0.930834794665797";"0.975857853837423";"0.991237376714213";"0.984534002779397";"0.994593990008202";"0.990941117262204";"0.987655800575264";"0.976738400298545";"0.996987825795925";"1.00615071283096";"0.992691213653603";"0.993053614914767";"0.991111633188457";"0.979171873698242";"0.983096152398163";"41491";"FALSE";"OPTIMAL";"174.565614938736"
