"ID:GO:0030141      Name:secretory granule"
"C=354; O=129; E=41.15; R=3.13; PValue=0e+00; FDR=0e+00"
"userid","Gene Symbol","Gene Name","Entrez Gene"
"SFTPD","SFTPD","surfactant protein D","6441"
"TEKT3","TEKT3","tektin 3","64518"
"SPINK8","SPINK8","serine peptidase inhibitor, Kazal type 8 (putative)","646424"
"FABP9","FABP9","fatty acid binding protein 9","646480"
"SLC2A4","SLC2A4","solute carrier family 2 member 4","6517"
"SFTPA1","SFTPA1","surfactant protein A1","653509"
"ZG16","ZG16","zymogen granule protein 16","653808"
"SNCA","SNCA","synuclein alpha","6622"
"SPAM1","SPAM1","sperm adhesion molecule 1","6677"
"SPARC","SPARC","secreted protein acidic and cysteine rich","6678"
"SPP2","SPP2","secreted phosphoprotein 2","6694"
"SYT4","SYT4","synaptotagmin 4","6860"
"SYT5","SYT5","synaptotagmin 5","6861"
"TBXA2R","TBXA2R","thromboxane A2 receptor","6915"
"TCP11","TCP11","t-complex 11","6954"
"TF","TF","transferrin","7018"
"LEFTY2","LEFTY2","left-right determination factor 2","7044"
"THBS2","THBS2","thrombospondin 2","7058"
"SERPING1","SERPING1","serpin family G member 1","710"
"TRH","TRH","thyrotropin releasing hormone","7200"
"SCGB1A1","SCGB1A1","secretoglobin family 1A member 1","7356"
"VEGFC","VEGFC","vascular endothelial growth factor C","7424"
"CA4","CA4","carbonic anhydrase 4","762"
"ZP2","ZP2","zona pellucida glycoprotein 2","7783"
"RND2","RND2","Rho family GTPase 2","8153"
"SPACA1","SPACA1","sperm acrosome associated 1","81833"
"TEX101","TEX101","testis expressed 101","83639"
"ACRBP","ACRBP","acrosin binding protein","84519"
"ACTN2","ACTN2","actinin alpha 2","88"
"LACRT","LACRT","lacritin","90070"
"CD36","CD36","CD36 molecule","948"
"CARTPT","CARTPT","CART prepropeptide","9607"
"SV2B","SV2B","synaptic vesicle glycoprotein 2B","9899"
