Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date
,64096095,"95 Ovenden Road, Ovenden, Halifax, HX3 5RQ",,3950,0,11/12/01
Transaxle Services Ltd,64148700,"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",,355,171.82,01/30/98
,64148701,"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",,1775,0,04/01/00
Calderdale Engineering Services Ltd,29108700,"1a Brooke Street, Brighouse, HD6 3DT","Unit 5 Grantham Works, Grantham Road, Halifax, HX3 6PL",2550,1234.2,04/01/98
,29140038,"Longroyde Surgery, 38 Castle Avenue, Brighouse, HD6 3HT",,6000,2904,04/01/90
L Rowland & Co [Retail] Ltd,29156705,"35 Church Lane, Brighouse, HD6 1AT","Whitehouse Industrial Estate, Rivington Road, Preston Brook, Runcorn, WA7 3DJ",10250,4961,05/06/91
,56052709,"Elland Library, Coronation Street, Elland, HX5 0DF",,5300,0,10/03/01
,64188702,"Bedford Street Works, Bedford Street, Halifax, HX1 5DL",,5800,0,04/01/90
,64188706,"Bedford Street Garage, 16a Bedford Street, Halifax, HX1 5DL",,2325,0,04/01/97
C N C Services Ltd,64596702,"Clay House Mills, Clay House Lane, Greetland, Halifax             HX4 8AW",,9500,2682.61,04/01/90
,29092703,"Railway Arch No. 3, Bridge End, Brighouse, HD6 3DH",,2850,0,12/10/96
,29096001,"1 Bridge Road, Brighouse, HD6 1EP",,10750,0,07/24/95
,56076710,"Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,6500,262.16,06/21/99
,64656703,"Caravan Site (No 1), Plane Trees Farm, Northowram, Halifax             HX3 7SA",,1000,0,04/01/92
,29160004,"4 Church Street, Brighouse, HD6 3NF",,6300,152.46,12/13/93
,29188700,"Scout Meeting Rooms, Coach Road, Brighouse, HD6 2LN",,4000,0,04/01/90
,29196005,"5A Commercial Street, Brighouse, HD6 1AF",,11250,5445,06/07/98
,56084709,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",,8600,4162.4,04/01/90
,56084714,"Quebec Works, Elland Lane, Elland, HX5 9DU",,9000,2178,04/01/90
,64660053,"53 Commercial Street, Halifax, HX1 1BE",,7700,1056.06,04/01/90
,64660072,"72 Commercial Street, Halifax, HX1 2JE",,3050,0,04/01/90
,56132725,"Bankfield House, Huddersfield Road, Elland, HX5 9DW",,11750,5687,04/01/90
,64288713,"Market Stall 13-14, Market Hall, Borough Market, Halifax             HX1 1DZ",,4850,0,04/01/92
Ellmac Ltd,64288734,"Market Stall 61-62, Market Hall, Borough Market, Halifax             HX1 1DZ","Unit 2, 565 Duttons Way, Shadsworth, Blackburn, BB1 2PT",6500,3146,04/01/92
,64288765,"Market Stall 125, 125A 126A, Market Hall, Borough Market, Halifax              HX1 1DZ",,3950,0,04/01/92
Calderdale Mbc Children & Young People's Services,64696700,"Cousin Lane, Halifax, HX2 8AD","Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",3450,1669.8,04/01/93
,64728702,"R/O Orange Tree, Cross Street, Halifax, HX1 1XB",,5000,2420,08/25/90
Vodafone Ltd,65788714,"Miall Street Mills, Miall Street, Halifax, HX1 4AE","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",8900,4307.6,04/01/99
,69144028,"28 Union Street, Halifax, HX1 1PR",,10750,0,09/01/96
,69144031,"31 Union Street, Halifax, HX1 1PR",,10250,3513.48,04/01/90
,69216009,"9 Wade House Road, Shelf, Halifax, HX3 7PF",,5100,0,04/01/90
,69216706,"Shelf Youth Centre, Wade House Road, Shelf, Halifax             HX3 7PF",,4900,487.06,04/01/90
,68444717,"West Vale Garage, Saddleworth Road, Greetland, Halifax             HX4 8BA",,2500,0,04/01/90
,68444732,"Garage Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8PE",,1625,0,03/01/98
Perrys Motor Sales Ltd,69240706,"Adj Copley Motors Ltd, Wakefield Road, Copley, Halifax             HX3 0UA","Suite One, 500 Pavilion Drive, Northampton Business Park, Brackmills Northampton, NN4 7YJ",3250,1573,04/01/98
Regeneration And Development,69244703,"Opp 6 Wakefield Road, Hipperholme, Halifax, HX3 8AA","Parking Services, Mulcture House, Mulcture Hall Road, Halifax, HX1 1SP",2000,968,04/01/90
,69264718,"1 Wards End, Halifax, HX1 1DD",,7300,765.57,02/01/99
,68132704,"Atlas Garage, Old Lane, Halifax, HX3 6TF",,2225,0,04/01/90
,64792701,"Broad Fold Park, Dean House Lane, Luddenden, Halifax              HX2 6TP",,2550,0,04/01/90
,64812704,"Denholmegate Road, Hipperholme, Halifax, HX3 8JR",,2250,0,04/01/90
,64836704,"Lower New Yard, Dog Lane, Stainland, Halifax             HX4 9QD",,3300,0,04/01/90
Bank Of Scotland Plc,64840706,"A T M, Calderdale Royal Hospital, Dryclough Lane, Halifax              HX3 0PE","Lloyds Banking Group, C/O Cbre Corporate Outsourcing Ltd, Cornwall Court, 19 Cornwall Street, Birmingham, B3 2DT",8300,4017.2,04/01/01
,65412300,"300 Huddersfield Road, Halifax, HX3 0PF",,2900,0,04/01/90
,68568701,"Siddal Ex Servicemans Club, Siddal Lane, Halifax, HX3 9JS",,10000,3226.68,04/01/90
,65484700,"Keighley Road, Halifax, HX2 8AR",,7800,697.79,04/01/90
,68224046,"46 Parkinson Lane, Halifax, HX1 3XL",,3650,0,10/13/90
,65516198,"198 King Cross Road, Halifax, HX1 3JP",,5500,2662,04/01/90
,68632710,"14 South Parade, Halifax, HX1 2LY",,5800,230.61,10/01/94
Cosmadent Dental Laboratory Ltd,65080702,"Opp 82 Fern Street, Boothtown, Halifax, HX3 6NP","Simpson Street, Boothtown, Halifax, HX3 6PA",420,203.28,04/01/99
Hawkhead Bray & Son Ltd,68248721,"Lower Ground Floor Unit 5, Phoebe Lane Industrial Est., Halifax, HX3 9EX","Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",560,271.04,04/01/90
,68248732,"Unit 16, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,4050,0,04/01/00
,68704009,"9 Square, Bradford Road, Northowram, Halifax              HX3 7HW",,2750,0,04/01/90
,65616708,"Adj Whitehall Hotel, Leeds Road, Hipperholme, Halifax             HX3 8ND",,4400,0,11/04/01
,68844038,"36/38 Stirling Street, Halifax, HX1 2TN",,4600,0,04/01/90
,65188701,"Gordon Street, Boothtown, Halifax, HX3 6NU",,4850,0,04/01/90
,68324700,"Centenary Works, Ramsden Street, Wheatley, Halifax             HX3 5JB",,2700,0,04/01/90
C & S Electrical Wholesalers Ltd,65752706,"Unit 4, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",,8800,1987.51,06/07/02
,69084052,"52 Towngate, Northowram, Halifax, HX3 7DX",,4100,0,04/01/90
Calderdale Mbc Director Of Leisure Services,29384132,"Brighouse Cemetery, 132 Lightcliffe Road, Brighouse, HD6 2HY","Fao Pam Smithies, Westgate House, Westgate, Halifax, HX1 1PS",7300,3533.2,05/24/02
,76256702,"Canal Works, Hebble End, Hebden Bridge, HX7 6HJ",,4300,0,04/01/90
,77340723,"Yard Caravan & Premises, Mearclough Road, Sowerby Bridge, HX6 3LF",,1600,0,04/01/90
,78152709,"Fielden Centre, Ewood Lane, Todmorden, OL14 7DD",,3150,0,06/01/01
,78176706,"Unit 6, Dancroft Industrial Units, Gauxholme Fold, Todmorden           OL14 7PW",,2125,0,04/01/97
Althams Travel Services Ltd,78192015,"15 Halifax Road, Todmorden, OL14 5AG","Netherwood Road, Burnley, BB10 2AN",7000,3388,04/01/90
,29140003,"Castle Avenue Fisheries, Castle Avenue, Brighouse, HD6 3HT",,2650,0,04/01/03
Vodafone Ltd,76242702,"Gr 40172 425510, Top Land Country Business Pk, Mytholmroyd, Hebden Bridge        HX7 5RU","C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",5600,2710.4,01/01/98
,78192117,"117 Halifax Road, Todmorden, OL14 5BE",,2850,0,04/01/90
,78076038,"38 Burnley Road, Todmorden, OL14 5EZ",,2400,0,04/05/03
O & W Crawshaw Ltd,77396700,"Castle Quarry, Nursery Lane, Ripponden, Sowerby Bridge      HX6 4PD","Castle Quarry, Nursery Lane, Ripponden, Sowerby Bridge, HX6 4PD",11000,5324,04/01/90
,77408019,"19 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DN",,1900,0,11/01/94
,76360028,"28 Market Street, Hebden Bridge, HX7 6AA",,5300,0,04/01/90
Everything Everywhere Ltd,77520701,"Telecommunication Mast, Site Ref W Y K 0157, Sparkhouse Lane, Sowerby Bridge       HX6 3QU","C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",3750,1815,09/01/98
,78286700,"Longfield Stables, Middle Longfield Farm, Longfield Road, Todmorden           OL14 6LX",,11000,4436.65,04/01/91
R J M Todmorden Ltd,78368700,"Caldervale Mill, Pudsey Road, Todmorden, OL14 8NJ",,6500,262.16,04/01/90
,69304004,"4 Waterhouse Street, Halifax, HX1 1UQ",,5900,0,12/08/95
,76408020,"22 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,1075,0,08/01/93
,76408706,"2a New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,3850,0,04/01/93
Sutcliffe Farrar And Co Ltd,76444700,"Banksfield Clothing Works, Mytholmroyd, Hebden Bridge, HX7 5NR",,5900,0,04/01/90
Simprint Ltd,77600721,"14 Town Hall Street, Sowerby Bridge, HX6 2EA","14 Town Hall Street, Sowerby Bridge, HX6 2EA",4200,0,04/01/90
,77604021,"21 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",,2650,0,04/01/90
,77612702,"Tuel Lane Fisheries, Tuel Lane, Sowerby Bridge, HX6 2EL",,1275,0,02/22/00
,78400708,"Angus Firth Ltd, Hollins Mill, Rochdale Road, Todmorden           OL14 6SA",,10750,4119.58,09/17/94
,69360703,"Clifton House, West Parade, Halifax, HX1 2EQ",,9900,3115.5,04/01/90
,76508719,"Units 1 & 2, Bridge Gate Shopping Centre, 46 Bridge Gate, Hebden Bridge        HX7 7ET",,7900,0,01/01/97
,77632703,"Walker Lane, Sowerby Bridge, HX6 2AR",,4200,0,07/15/91
,78444706,"32 Stansfield Road, Todmorden, OL14 5DL",,10000,4840,07/22/02
,69420010,"10 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",,2800,0,03/13/00
,76560707,"Windsor Garage, Victoria Road, Hebden Bridge, HX7 8JX",,4000,0,04/01/90
,76004700,"Acres Lane, Heptonstall, Hebden Bridge, HX7 7LT",,6800,675.92,04/01/90
,76576705,"13 West End, Hebden Bridge, HX7 8JP",,2300,0,11/12/94
Joseph Sutcliffe & Son Ltd,77664700,"8a Willow Street, Sowerby Bridge, HX6 2BU","8A Willow Street, Sowerby Bridge, HX6 2BU",6100,2952.4,04/01/90
Arqiva Ltd,78012702,"Transmitter Station, Site Ref 49308, Ashenhurst Road, Todmorden           OL14 5PQ","P O Box 6079, Wolverhampton, WV1 9RA",6100,2952.4,01/01/02
,77060701,"R/O Norland School, Berry Moor Road, Norland, Sowerby Bridge      HX6 3RN",,1775,176.44,04/01/90
,77082700,"Gatelands Farm Caravan Site, Bowood Lane, Triangle, Sowerby Bridge      HX6 3DU",,450,217.8,10/31/97
,77108704,"Unit 4 Hill Crest Garage, Burnley Road, Sowerby Bridge, HX6 2TL",,2175,0,04/01/90
,78076728,"Roebuck Inn, Burnley Road, Todmorden, OL14 8PY",,4100,1984.4,03/11/95
Trafficmaster Plc,76084702,"Trafficmaster 6446, Burnley Road, Hebden Bridge, HX7 8AZ","University Way, Cranfield, Bedfordshire, MK43 0TR",140,67.76,04/01/98
Calder High School,76088717,"Ewood Holmes, Mytholmroyd, Hebden Bridge, HX7 5QN","Calder High School, Midgley Road, Mytholmroyd, Hebden Bridge, HX7 5QN",3250,1573,04/01/02
J & S Taylor Ltd,77160720,"Corporation Mill, Corporation Street, Sowerby Bridge, HX6 2QQ",,1100,0,01/15/98
,78076767,"Waggon & Horses Inn, 752 Burnley Road, Todmorden, OL14 8LF",,8100,0,04/01/98
,78076772,"801 Burnley Road, Todmorden, OL14 7EF",,2325,0,04/01/90
,77240710,"Manchester House, 107 Halifax Road, Ripponden, Sowerby Bridge      HX6 4DA",,2800,0,07/11/00
,78120703,"Dalton Street, Todmorden, OL14 5HJ",,1925,0,04/01/90
,76180700,"Dale View, Mytholmroyd, Hebden Bridge, HX7 5DU",,640,0,04/01/90
,77276007,"7 Hollins Mill Lane, Sowerby Bridge, HX6 2QG",,5400,2613.6,04/01/90
Packaging World Ltd,77284702,"Holme Iron Works, Holmes Road, Sowerby Bridge, HX6 3LE",,6500,0,08/05/02
,68472109,"109 Savile Park Road, Halifax, HX1 2XR",,9200,2374.81,09/24/05
,65264762,"31 Hanson Lane, Halifax, HX1 5NX",,1450,0,11/20/02
Second Halifax Housing Ltd,65516160,"Greycourt House, 160 King Cross Road, Halifax, HX1 3LN","Greycourt House, 160 King Cross Road, Halifax, HX1 3LN",1175,0,04/01/04
,64836702,"Dog Lane Mills, Dog Lane, Stainland, Halifax              HX4 9PZ",,3850,1913.45,04/01/01
Admedia Ltd,29308715,"B/D No 2427-2433 E/Bound M62, Hartshead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX","320 Regent Street, London, W1B 3BE",3550,1718.2,04/01/04
Davley Fabrications Ltd,68536707,"Drakes Industrial Estate, Shay Lane, Halifax, HX3 6RL",,2800,1355.2,03/01/05
,76088710,"Unit 3 Brier Hey, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5PF",,7900,1210.78,02/02/05
Calderdale Mbc Leisure Services,77348754,"Mill Fold Playing Fields, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ","Fao Shabbir Suleman, Westgate House, Westgate, Halifax, HX1 1PS",455,220.22,04/01/04
Taylors & Co [Hairdressers] Ltd,29048727,"12 Bethel Street, Brighouse, HD6 1JN","Taylors Hair Studio, 12 Bethel Street, Brighouse, HD6 1JN",7100,3436.4,06/28/05
,65328704,"Lord Nelson Inn, 15 High Street, Luddenden, Halifax             HX2 6PX",,8800,2186.8,11/27/03
G Goulden Property,77644727,"Haulage Yard, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW","164 Halifax Road, Ripponden, Halifax, HX6 4AH",4000,0,08/01/04
,79046701,"Lee Hill Equestrian Centre, Lee Hill Farm, Swan Lane, Outlane              HD3 3YH",,2750,0,04/01/05
Motorist Discount Centre Ltd,68308780,"359/361 Queens Road, Halifax, HX1 4PY",,7500,3630,04/01/00
,65808715,"Unit 7, Mill Lane, Halifax, HX3 6TR",,4650,0,04/01/05
,64288707,"Market Stall 1-4, Market Hall, Borough Market, Halifax             HX1 1DZ",,4100,0,04/01/05
The Langhorne Pharmacy Ltd,76088804,"Ground Floor, Mytholmroyd Medical Centre, Burnley Road, Mytholmroyd          HX7 5LF",,5100,2468.4,08/09/04
Nature Cameras Ltd,29064702,"3b Bonegate Road, Brighouse, HD6 1TQ","Fao Mr David Turner, 3b Bonegate Road, Brighouse, HD6 1TQ",5800,0,11/19/05
,69244704,"41 Wakefield Road, Hipperholme, Halifax, HX3 8AQ",,2900,0,02/29/04
,69536030,"30 Woolshops, Halifax, HX1 1RU",,11250,5445,04/01/03
,64288783,"Balcony Store 11, Borough Market, Halifax, HX1 1DZ",,660,319.44,04/01/05
Calderdale Mbc,68252727,"29 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2500,0,10/11/04
,77378700,"Clough Moor Farm, New Clough Road, Norland, Sowerby Bridge      HX6 3RD",,1500,0,05/24/03
The Association Of Colleges,56224729,"4 Crown Yard, Southgate, Elland, HX5 0DQ","2-5 Stedham Place, (Off New Oxford Street), London, WC1A 1HU",5200,2516.8,06/09/03
,56076712,"Unit E Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,3650,0,05/01/03
,68080702,"5a Old Lane, Halifax, HX3 6TD",,500,0,04/01/04
,76088762,"11 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1375,0,04/01/01
,29084627,"627 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,3900,0,02/14/04
,68236010,"10 Pellon Lane, Halifax, HX1 5SP",,7300,3533.2,01/05/04
Chief Environmental Health Officer,78076832,"Public Convenience, Brook Street, Todmorden, OL14 5DS","Fao Wendy Backhouse, Northgate House, Northgate, Halifax, HX1 1UN",3700,1790.8,04/01/03
Landowne Ltd,64748007,"7 Crossley Street, Halifax, HX1 1UG","Fao Marjorie Binns, The Estate Office, Ashgrove House, Elland Road, Elland, HX5 9JB",9700,0,04/01/01
,68452349,"349 Salterhebble Hill, Halifax, HX3 0QA",,4900,0,07/07/03
,69372701,"West View Garage, Boothtown, Halifax, HX3 6PG",,4650,2311.05,07/01/03
,64660065,"65 Commercial Street, Halifax, HX1 1BE",,8500,1714.18,05/26/03
,64592136,"136 Claremount Road, Halifax, HX3 6JQ",,2950,0,09/01/03
,68708023,"23 Square Road, Halifax, HX1 1QG",,10000,3226.68,04/01/04
,65104702,"197A Gibbet Street &, Halifax, HX1 5JN",,3900,0,06/16/05
Dean Clough Ltd,64788833,"Office Suite D160, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",3100,1500.4,04/01/03
D Hall Electrical Services Ltd,65164032,"Unit 2 Mount Street, Halifax, HX1 5DD",,8800,1987.51,03/04/03
,64288016,"16 Borough Market, Halifax, HX1 1DY",,2125,0,03/15/04
Fenton Road Garage Ltd,65072713,"Units 1 & 7 Arden Works, Fenton Road, Halifax, HX1 3PP","Mr Ian Baxter, 14B Newlands Road, Warley, Halifax, HX2 7RE",4400,0,12/01/02
,64288006,"6 Borough Market, Halifax, HX1 1DY",,4300,2081.2,11/01/04
,64284710,"38 Boothtown Road, Halifax, HX3 6NE",,1925,0,07/30/05
,64784885,"Unit B1A, Dean Clough Industrial Park, Halifax, HX3 5AX",,3500,0,02/27/03
Hawkhead Bray & Son Ltd,68248736,"Unit 19A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX","Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",570,0,11/01/02
Primesight Ltd,65180707,"Advertising Right, Adj Undercliffe Service Stn, Godley Lane, Shibden              HX3 6XG","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",240,116.16,04/01/05
Dryclough Lane Garage Ltd,64840708,"Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD","Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD",10250,3513.48,07/01/04
,68308237,"237 Queens Road, Halifax, HX1 4NJ",,3400,0,12/20/03
,76300002,"2 Hope Street, Hebden Bridge, HX7 8AG",,4450,0,05/01/04
Arqiva Ltd,68926701,"Telecommunications Mast, Ref 10468 Tinker Hey Farm, North Dean Road, Greetland            HX4 8QA","P O Box 6079, Wolverhampton, WV1 9RA",11000,5324,04/01/04
C.M.S Training Services Ltd,77128715,"Unit A, 1ST Floor, Salt Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",,10500,3812.47,05/17/04
Veni Vidi (Ophth) Ltd,64778784,"Office Suite E 213/219, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E 213/219, Dean Clough Mills, Halifax, HX3 5AX",10250,4961,07/01/04
Heathleigh Ltd,56220770,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA","Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,0,09/01/05
Harmsworth Townley & Co Ltd,78524703,"Melting Pot Glass Works, White Hart Fold, Todmorden, OL14 7BD","The Melting Pot, White Hart Fold, Todmorden, Lancashire, OL14 7BD",8000,1290.65,09/02/05
,76360038,"38 Market Street, Hebden Bridge, HX7 6AA",,3300,0,05/01/04
,68248745,"Unit 35, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,4100,0,07/19/04
,64284051,"51 Boothtown Road, Halifax, HX3 6NE",,6000,0,11/26/04
Chiropody Express Ltd,29452729,"Office 12 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ","11 Owler Ings Road, Brighouse, HD6 1EJ",2225,0,06/11/05
Cullingworth Commercials & Freight Services Ltd,69388707,"Mezzanine Office 6 & 7, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY","Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",3500,1694,12/06/03
,29404008,"8 Market Street, Brighouse, HD6 1AP",,5600,0,05/26/04
,69470033,"33 Willow Mount, Shelf, Halifax, HX3 7QH",,3550,0,01/01/05
,56132080,"80 Huddersfield Road, Elland, HX5 9AA",,4050,0,01/12/05
,29404002,"2 Market Street, Brighouse, HD6 1AP",,3550,1718.2,08/14/05
Northern Broadsides Theatre Company,64788814,"Office Suite E 112, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E135, Dean Clough Office Park, Dean Clough, Halifax, HX3 5AX",2850,283.29,04/01/04
Calderdale Mbc,68252757,"19 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2550,0,01/27/07
Airwave Solutions Ltd,76260704,"02, Telecommunication Mast, Site Ref WY0169A, Height Road, Hebden Bridge        HX7 8PH","P O Box 6079, Wolverhampton, WV1 9RA",8100,3920.4,04/01/05
Everything Everywhere Ltd,78248707,"Orange Telecommunication, Mast, Ref  Wyk 7056, Kebs Road, Todmorden           OL14 8SD","C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",5600,2710.4,04/01/05
Airwave Solutions Ltd,76572703,"02  Telecommunication Mast, Site Ref  WY040A, Walshaw Lane, Hebden Bridge        HX7 7AX","P O Box 6079, Wolverhampton, WV1 9RA",5400,2613.6,04/01/05
Eco Heat & Power Ltd,76456002,"2 Sandbed, Halifax Road, Hebden Bridge, HX7 6PT",,5400,0,09/01/07
,78416711,"Unit 11A Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DA",,4450,0,12/21/07
Scorpion Event Production Ltd,56196715,"Unit 3, Wellington Business Centre, Quebec Street, Elland              HX5 9AS","Raw End Farm, Sowerby Lane, Luddendenfoot, Halifax, HX2 6LA",8200,1455.36,09/01/07
,76176721,"3a Crown Street, Hebden Bridge, HX7 8EH",,5400,2683.8,12/07/08
Foxvale Ltd,65344736,"The Old Boiler House, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,6100,49.22,04/01/08
,77652027,"27 Wharf Street, Sowerby Bridge, HX6 2LA",,6800,438.82,04/07/08
