# energy (MeV), n (cm2 g-1)
15,0.000000160464463081
15.1,0.00000014084854389582
15.2,0.00000012079822313419
15.3,0.00000011174381397853
15.4,0.00000010264979284622
15.5,0.00000010533895694074
15.6,0.00000010804396522822
15.7,0.00000010852113189578
15.8,0.00000010899829887453
15.9,0.00000010947546616449
16,0.00000010995263376565
16.1,0.00000011038513017881
16.2,0.00000011081762565141
16.3,0.00000011125012018346
16.4,0.00000011168261377496
16.5,0.0000001121151064259
16.6,0.00000011212453763769
16.7,0.00000011213396882871
16.8,0.00000011214339999897
16.9,0.00000011215283114845
17,0.00000011216226227716
17.1,0.0000001126118672396
17.2,0.00000011306114443443
17.3,0.00000011351009386166
17.4,0.00000011395871552127
17.5,0.00000011440700941328
17.6,0.00000011552281851601
17.7,0.00000011662994492388
17.8,0.00000011772838863689
17.9,0.00000011881814965505
18,0.00000011989922797836
18.1,0.00000012198675061595
18.2,0.00000012405855890074
18.3,0.00000012611465283273
18.4,0.00000012815503241192
18.5,0.0000001301796976383
18.6,0.00000013085804500666
18.7,0.0000001315250856351
18.8,0.00000013218081952361
18.9,0.00000013282524667221
19,0.00000013345836708088
19.1,0.00000013486319613277
19.2,0.00000013625284093435
19.3,0.00000013762730148561
19.4,0.00000013898657778655
19.5,0.00000014033066983717
19.6,0.00000014249698431684
19.7,0.00000014464424956677
19.8,0.00000014677246558696
19.9,0.00000014888163237741
20,0.00000015097174993811
20.1,0.00000015398966123671
20.2,0.00000015698657419767
20.3,0.000000159962488821
20.4,0.00000016291740510669
20.5,0.00000016585132305475
20.6,0.00000016957874702694
20.7,0.00000017327453601183
20.8,0.00000017693869000941
20.9,0.00000018057120901968
21,0.00000018417209304265
21.1,0.00000018873123938292
21.2,0.0000001932563574512
21.3,0.00000019774744724749
21.4,0.00000020220450877179
21.5,0.00000020662754202411
21.6,0.00000021164777225205
21.7,0.00000021661899877561
21.8,0.00000022154122159476
21.9,0.00000022641444070951
22,0.00000023123865611986
22.1,0.00000023665652048075
22.2,0.00000024202724493465
22.3,0.00000024735082948158
22.4,0.00000025262727412152
22.5,0.00000025785657885447
22.6,0.00000026707430574709
22.7,0.00000027622133244511
22.8,0.00000028529765894853
22.9,0.00000029430328525735
23,0.00000030323821137157
23.1,0.00000031375647279535
23.2,0.00000032422834868053
23.3,0.00000033465383902711
23.4,0.00000034503294383508
23.5,0.00000035536566310445
23.6,0.00000036402088977697
23.7,0.00000037261046016289
23.8,0.0000003564239128564
23.9,0.00000034022300696242
24,0.00000032400774183207
24.1,0.00000030419911464818
24.2,0.00000028436131332234
24.3,0.00000026449433785455
24.4,0.00000024459818824481
24.5,0.00000022467286449313
24.6,0.00000022599703577601
24.7,0.00000022732269372594
24.8,0.00000022864983834293
24.9,0.00000022997846962697
25,0.00000023130858757807
25.1,0.00000023451515875563
25.2,0.00000023773572172936
25.3,0.00000024097027649925
25.4,0.00000024421882306529
25.5,0.0000002474813614275
25.6,0.00000025075789158586
25.7,0.00000025404841354038
25.8,0.00000025735292729107
25.9,0.00000026067143283791
26,0.00000026400393018091
26.1,0.00000026605990424593
26.2,0.00000026812385206376
26.3,0.0000002701957736344
26.4,0.00000027227566895783
26.5,0.00000027436353803407
26.6,0.00000027645938086311
26.7,0.00000027856319744495
26.8,0.00000028067498777959
26.9,0.00000028279475186704
27,0.00000028492248970729
27.1,0.00000028558836653665
27.2,0.00000028624915878968
27.3,0.00000028690486646639
27.4,0.00000028755548956677
27.5,0.00000028820102809082
27.6,0.00000028884148203855
27.7,0.00000028947685140995
27.8,0.00000029010713620503
27.9,0.00000029073233642378
28,0.00000029135245206621
28.1,0.00000028880746213432
28.2,0.00000028622891806283
28.3,0.00000028361681985174
28.4,0.00000028097116750105
28.5,0.00000027829196101076
28.6,0.00000027557920038086
28.7,0.00000027283288561137
28.8,0.00000027005301670227
28.9,0.00000026723959365357
29,0.00000026439261646526
29.1,0.00000026213569501136
29.2,0.00000025985077093957
29.3,0.0000002575378442499
29.4,0.00000025519691494234
29.5,0.00000025282798301689
29.6,0.00000025043104847356
29.7,0.00000024800611131235
29.8,0.00000024555317153325
29.9,0.00000024307222913626
30,0.00000024056328412139
30.1,0.00000023840124141493
30.2,0.0000002362225399269
30.3,0.0000002340271796573
30.4,0.00000023181516060612
30.5,0.00000022958648277338
30.6,0.00000022734114615906
30.7,0.00000022507915076317
30.8,0.00000022280049658571
30.9,0.00000022050518362668
31,0.00000021819321188607
31.1,0.00000021656483147198
31.2,0.00000021491941189293
31.3,0.00000021325695314891
31.4,0.00000021157745523993
31.5,0.00000020988091816598
31.6,0.00000020816734192707
31.7,0.0000002064367265232
31.8,0.00000020468907195437
31.9,0.00000020292437822057
32,0.00000020114264532181
32.1,0.00000019974130932824
32.2,0.00000019832703676506
32.3,0.00000019689982763228
32.4,0.00000019545968192989
32.5,0.0000001940065996579
32.6,0.0000001925405808163
32.7,0.0000001910616254051
32.8,0.00000018956973342429
32.9,0.00000018806490487388
33,0.00000018654713975386
33.1,0.00000018533012864952
33.2,0.00000018410332122088
33.3,0.00000018286671746795
33.4,0.00000018162031739073
33.5,0.00000018036412098922
33.6,0.00000017909812826341
33.7,0.00000017782233921332
33.8,0.00000017653675383893
33.9,0.00000017524137214025
34,0.00000017393619411727
34.1,0.00000017286815188047
34.2,0.00000017179266695283
34.3,0.00000017070973933437
34.4,0.00000016961936902507
34.5,0.00000016852155602495
34.6,0.00000016741630033399
34.7,0.00000016630360195221
34.8,0.0000001651834608796
34.9,0.00000016405587711615
35,0.00000016292085066188
35.1,0.00000016197501824891
35.2,0.00000016102348339274
35.3,0.00000016006624609338
35.4,0.00000015910330635082
35.5,0.00000015813466416507
35.6,0.00000015716031953612
35.7,0.00000015618027246397
35.8,0.00000015519452294863
35.9,0.00000015420307099009
36,0.00000015320591658836
36.1,0.00000015236186978436
36.2,0.00000015151341604455
36.3,0.00000015066055536894
36.4,0.00000014980328775751
36.5,0.00000014894161321028
36.6,0.00000014807553172725
36.7,0.0000001472050433084
36.8,0.00000014633014795375
36.9,0.00000014545084566329
37,0.00000014456713643702
37.1,0.00000014380931218679
37.2,0.00000014304803012981
37.3,0.00000014228329026607
37.4,0.00000014151509259557
37.5,0.00000014074343711832
37.6,0.0000001399683238343
37.7,0.00000013918975274353
37.8,0.000000138407723846
37.9,0.00000013762223714171
38,0.00000013683329263067
38.1,0.0000001361491397483
38.2,0.00000013546222893774
38.3,0.000000134772560199
38.4,0.00000013408013353208
38.5,0.00000013338494893698
38.6,0.0000001326870064137
38.7,0.00000013198630596224
38.8,0.00000013128284758259
38.9,0.00000013057663127476
39,0.00000012986765703876
39.1,0.00000012924839888963
39.2,0.00000012862689843167
39.3,0.00000012800315566488
39.4,0.00000012737717058927
39.5,0.00000012674894320483
39.6,0.00000012611847351156
39.7,0.00000012548576150947
39.8,0.00000012485080719855
39.9,0.0000001242136105788
40,0.00000012357417165022
40.1,0.00000012304410605958
40.2,0.00000012251233169008
40.3,0.00000012197884854173
40.4,0.00000012144365661453
40.5,0.00000012090675590848
40.6,0.00000012036814642358
40.7,0.00000011982782815983
40.8,0.00000011928580111722
40.9,0.00000011874206529577
41,0.00000011819662069546
41.1,0.0000001176494673163
41.2,0.00000011710060515829
41.3,0.00000011655003422143
41.4,0.00000011599775450572
41.5,0.00000011544376601115
41.6,0.00000011488806873774
41.7,0.00000011433066268547
41.8,0.00000011377154785436
41.9,0.00000011321072424439
42,0.00000011264819185557
42.1,0.00000011220287059986
42.2,0.00000011175629829641
42.3,0.0000001113084749452
42.4,0.00000011085940054625
42.5,0.00000011040907509956
42.6,0.00000010995749860511
42.7,0.00000010950467106292
42.8,0.00000010905059247297
42.9,0.00000010859526283528
43,0.00000010813868214985
43.1,0.00000010768085041666
43.2,0.00000010722176763572
43.3,0.00000010676143380704
43.4,0.00000010629984893061
43.5,0.00000010583701300643
43.6,0.00000010537292603451
43.7,0.00000010490758801483
43.8,0.00000010444099894741
43.9,0.00000010397315883224
44,0.00000010350406766932
44.1,0.00000010312550363435
44.2,0.00000010274597039963
44.3,0.00000010236546796514
44.4,0.0000001019839963309
44.5,0.00000010160155549689
44.6,0.00000010121814546313
44.7,0.0000001008337662296
44.8,0.00000010044841779632
44.9,0.00000010006210016327
45,0.00000009967481333047
45.1,0.0000000992865572979
45.2,0.00000009889733206558
45.3,0.0000000985071376335
45.4,0.00000009811597400165
45.5,0.00000009772384117005
45.6,0.00000009733073913869
45.7,0.00000009693666790757
45.8,0.00000009654162747668
45.9,0.00000009614561784604
46,0.00000009574863901564
46.1,0.00000009542369172154
46.2,0.00000009509795263794
46.3,0.00000009477142176483
46.4,0.00000009444409910221
46.5,0.00000009411598465008
46.6,0.00000009378707840845
46.7,0.00000009345738037731
46.8,0.00000009312689055666
46.9,0.00000009279560894651
47,0.00000009246353554684
47.1,0.00000009213067035768
47.2,0.000000091797013379
47.3,0.00000009146256461082
47.4,0.00000009112732405313
47.5,0.00000009079129170593
47.6,0.00000009045446756923
47.7,0.00000009011685164302
47.8,0.0000000897784439273
47.9,0.00000008943924442207
48,0.00000008909925312734
48.1,0.00000008881783410635
48.2,0.00000008853574321673
48.3,0.00000008825298045849
48.4,0.00000008796954583161
48.5,0.0000000876854393361
48.6,0.00000008740066097197
48.7,0.0000000871152107392
48.8,0.0000000868290886378
48.9,0.00000008654229466778
49,0.00000008625482882913
49.1,0.00000008596669112184
49.2,0.00000008567788154593
49.3,0.00000008538840010138
49.4,0.00000008509824678821
49.5,0.00000008480742160641
49.6,0.00000008451592455597
49.7,0.00000008422375563691
49.8,0.00000008393091484922
49.9,0.0000000836374021929
50,0.00000008334321766795
50.1,0.00000008310299232065
50.2,0.00000008286219279229
50.3,0.00000008262081908285
50.4,0.00000008237887119234
50.5,0.00000008213634912077
50.6,0.00000008189325286812
50.7,0.0000000816495824344
50.8,0.00000008140533781961
50.9,0.00000008116051902375
51,0.00000008091512604682
51.1,0.00000008066915888882
51.2,0.00000008042261754974
51.3,0.0000000801755020296
51.4,0.00000007992781232839
51.5,0.0000000796795484461
51.6,0.00000007943071038275
51.7,0.00000007918129813832
51.8,0.00000007893131171283
51.9,0.00000007868075110626
52,0.00000007842961631863
52.1,0.00000007820703408833
52.2,0.00000007798392151029
52.3,0.00000007776027858451
52.4,0.00000007753610531097
52.5,0.00000007731140168969
52.6,0.00000007708616772065
52.7,0.00000007686040340387
52.8,0.00000007663410873934
52.9,0.00000007640728372707
53,0.00000007617992836704
53.1,0.00000007595204265927
53.2,0.00000007572362660374
53.3,0.00000007549468020047
53.4,0.00000007526520344946
53.5,0.00000007503519635069
53.6,0.00000007480465890417
53.7,0.00000007457359110991
53.8,0.0000000743419929679
53.9,0.00000007410986447814
54,0.00000007387720564063
54.1,0.00000007366549960211
54.2,0.00000007345329116129
54.3,0.00000007324058031816
54.4,0.00000007302736707271
54.5,0.00000007281365142496
54.6,0.0000000725994333749
54.7,0.00000007238471292253
54.8,0.00000007216949006786
54.9,0.00000007195376481087
55,0.00000007173753715158
55.1,0.00000007152080708998
55.2,0.00000007130357462606
55.3,0.00000007108583975984
55.4,0.00000007086760249132
55.5,0.00000007064886282048
55.6,0.00000007042962074733
55.7,0.00000007020987627188
55.8,0.00000006998962939412
55.9,0.00000006976888011405
56,0.00000006954762843167
56.1,0.00000006939418893722
56.2,0.00000006924036118143
56.3,0.00000006908614516429
56.4,0.00000006893154088581
56.5,0.00000006877654834598
56.6,0.0000000686211675448
56.7,0.00000006846539848227
56.8,0.0000000683092411584
56.9,0.00000006815269557318
57,0.00000006799576172661
57.1,0.0000000678384396187
57.2,0.00000006768072924944
57.3,0.00000006752263061883
57.4,0.00000006736414372688
57.5,0.00000006720526857357
57.6,0.00000006704600515893
57.7,0.00000006688635348293
57.8,0.00000006672631354559
57.9,0.0000000665658853469
58,0.00000006640506888686
58.1,0.00000006632349507323
58.2,0.00000006624167064251
58.3,0.0000000661595955947
58.4,0.00000006607726992979
58.5,0.00000006599469364778
58.6,0.00000006591186674868
58.7,0.00000006582878923249
58.8,0.0000000657454610992
58.9,0.00000006566188234881
59,0.00000006557805298133
59.1,0.00000006549397299676
59.2,0.00000006540964239509
59.3,0.00000006532506117632
59.4,0.00000006524022934047
59.5,0.00000006515514688751
59.6,0.00000006506981381746
59.7,0.00000006498423013032
59.8,0.00000006489839582608
59.9,0.00000006481231090475
60,0.00000006472597536632
60.1,0.00000006468534007786
60.2,0.000000064644533796
60.3,0.00000006460355652075
60.4,0.00000006456240825211
60.5,0.00000006452108899006
60.6,0.00000006447959873462
60.7,0.00000006443793748578
60.8,0.00000006439610524355
60.9,0.00000006435410200792
61,0.0000000643119277789
61.1,0.00000006426958255647
61.2,0.00000006422706634065
61.3,0.00000006418437913144
61.4,0.00000006414152092882
61.5,0.00000006409849173282
61.6,0.00000006405529154341
61.7,0.00000006401192036061
61.8,0.00000006396837818441
61.9,0.00000006392466501482
62,0.00000006388078085182
62.1,0.00000006387475640914
62.2,0.0000000638686270665
62.3,0.00000006386239282392
62.4,0.00000006385605368139
62.5,0.00000006384960963891
62.6,0.00000006384306069648
62.7,0.0000000638364068541
62.8,0.00000006382964811178
62.9,0.00000006382278446951
63,0.00000006381581592729
63.1,0.00000006380874248512
63.2,0.00000006380156414301
63.3,0.00000006379428090094
63.4,0.00000006378689275893
63.5,0.00000006377939971697
63.6,0.00000006377180177506
63.7,0.00000006376409893321
63.8,0.0000000637562911914
63.9,0.00000006374837854965
64,0.00000006374036100795
64.1,0.00000006375927315316
64.2,0.00000006377812871841
64.3,0.00000006379692770369
64.4,0.00000006381567010899
64.5,0.00000006383435593433
64.6,0.0000000638529851797
64.7,0.00000006387155784511
64.8,0.00000006389007393054
64.9,0.000000063908533436
65,0.0000000639269363615
65.1,0.00000006394528270703
65.2,0.00000006396357247259
65.3,0.00000006398180565818
65.4,0.0000000639999822638
65.5,0.00000006401810228945
65.6,0.00000006403616573513
65.7,0.00000006405417260085
65.8,0.00000006407212288659
65.9,0.00000006409001659237
66,0.00000006410785371818
66.1,0.00000006412815451887
66.2,0.00000006414840830902
66.3,0.00000006416861508861
66.4,0.00000006418877485765
66.5,0.00000006420888761615
66.6,0.0000000642289533641
66.7,0.0000000642489721015
66.8,0.00000006426894382835
66.9,0.00000006428886854465
67,0.00000006430874625041
67.1,0.00000006432857694561
67.2,0.00000006434836063027
67.3,0.00000006436809730437
67.4,0.00000006438778696793
67.5,0.00000006440742962094
67.6,0.00000006442702526341
67.7,0.00000006444657389532
67.8,0.00000006446607551668
67.9,0.0000000644855301275
68,0.00000006450493772777
68.1,0.00000006452048664144
68.2,0.00000006453598930114
68.3,0.00000006455144570686
68.4,0.00000006456685585861
68.5,0.00000006458221975637
68.6,0.00000006459753740017
68.7,0.00000006461280878998
68.8,0.00000006462803392582
68.9,0.00000006464321280769
69,0.00000006465834543557
69.1,0.00000006467343180948
69.2,0.00000006468847192942
69.3,0.00000006470346579538
69.4,0.00000006471841340736
69.5,0.00000006473331476536
69.6,0.00000006474816986939
69.7,0.00000006476297871945
69.8,0.00000006477774131552
69.9,0.00000006479245765762
70,0.00000006480712774575
70.1,0.00000006481530633151
70.2,0.00000006482344131405
70.3,0.00000006483153269338
70.4,0.0000000648395804695
70.5,0.0000000648475846424
70.6,0.00000006485554521208
70.7,0.00000006486346217856
70.8,0.00000006487133554181
70.9,0.00000006487916530186
71,0.00000006488695145869
71.1,0.0000000648946940123
71.2,0.0000000649023929627
71.3,0.00000006491004830989
71.4,0.00000006491766005386
71.5,0.00000006492522819462
71.6,0.00000006493275273216
71.7,0.00000006494023366649
71.8,0.0000000649476709976
71.9,0.0000000649550647255
72,0.00000006496241485018
72.1,0.00000006496972137166
72.2,0.00000006497698428991
72.3,0.00000006498420360495
72.4,0.00000006499137931678
72.5,0.0000000649985114254
72.6,0.00000006500559993079
72.7,0.00000006501264483298
72.8,0.00000006501964613195
72.9,0.0000000650266038277
73,0.00000006503351792025
73.1,0.00000006504038840957
73.2,0.00000006504721529569
73.3,0.00000006505399857858
73.4,0.00000006506073825827
73.5,0.00000006506743433474
73.6,0.00000006507408680799
73.7,0.00000006508069567803
73.8,0.00000006508726094486
73.9,0.00000006509378260847
74,0.00000006510026066887
74.1,0.00000006510669512605
74.2,0.00000006511308598002
74.3,0.00000006511943323078
74.4,0.00000006512573687832
74.5,0.00000006513199692264
74.6,0.00000006513821336375
74.7,0.00000006514438620165
74.8,0.00000006515051543633
74.9,0.0000000651566010678
75,0.00000006516264309606
75.1,0.00000006515973053622
75.2,0.00000006515677901369
75.3,0.00000006515378852847
75.4,0.00000006515075908055
75.5,0.00000006514769066993
75.6,0.00000006514458329662
75.7,0.00000006514143696061
75.8,0.0000000651382516619
75.9,0.0000000651350274005
76,0.00000006513176417641
76.1,0.00000006512846198961
76.2,0.00000006512512084012
76.3,0.00000006512174072794
76.4,0.00000006511832165306
76.5,0.00000006511486361548
76.6,0.00000006511136661521
76.7,0.00000006510783065224
76.8,0.00000006510425572657
76.9,0.00000006510064183821
77,0.00000006509698898715
77.1,0.0000000650932971734
77.2,0.00000006508956639695
77.3,0.0000000650857966578
77.4,0.00000006508198795596
77.5,0.00000006507814029142
77.6,0.00000006507425366419
77.7,0.00000006507032807426
77.8,0.00000006506636352163
77.9,0.00000006506236000631
78,0.00000006505831752829
78.1,0.00000006505423608758
78.2,0.00000006505011568417
78.3,0.00000006504595631806
78.4,0.00000006504175798926
78.5,0.00000006503752069776
78.6,0.00000006503324444357
78.7,0.00000006502892922667
78.8,0.00000006502457504709
78.9,0.00000006502018190481
79,0.00000006501574979983
79.1,0.00000006501127873215
79.2,0.00000006500676870178
79.3,0.00000006500221970871
79.4,0.00000006499763175295
79.5,0.00000006499300483449
79.6,0.00000006498833895334
79.7,0.00000006498363410949
79.8,0.00000006497889030294
79.9,0.0000000649741075337
80,0.00000006496928580176
80.1,0.00000006495640141881
80.2,0.00000006494348269916
80.3,0.00000006493052964281
80.4,0.00000006491754224976
80.5,0.00000006490452052002
80.6,0.00000006489146445358
80.7,0.00000006487837405044
80.8,0.0000000648652493106
80.9,0.00000006485209023406
81,0.00000006483889682082
81.1,0.00000006482566907089
81.2,0.00000006481240698426
81.3,0.00000006479911056093
81.4,0.0000000647857798009
81.5,0.00000006477241470417
81.6,0.00000006475901527075
81.7,0.00000006474558150062
81.8,0.0000000647321133938
81.9,0.00000006471861095028
82,0.00000006470507417006
82.1,0.00000006469150305315
82.2,0.00000006467789759953
82.3,0.00000006466425780922
82.4,0.00000006465058368221
82.5,0.0000000646368752185
82.6,0.00000006462313241809
82.7,0.00000006460935528098
82.8,0.00000006459554380718
82.9,0.00000006458169799667
83,0.00000006456781784947
83.1,0.00000006455390336557
83.2,0.00000006453995454497
83.3,0.00000006452597138768
83.4,0.00000006451195389368
83.5,0.00000006449790206299
83.6,0.0000000644838158956
83.7,0.00000006446969539151
83.8,0.00000006445554055072
83.9,0.00000006444135137324
84,0.00000006442712785905
84.1,0.00000006441287000817
84.2,0.00000006439857782059
84.3,0.00000006438425129631
84.4,0.00000006436989043533
84.5,0.00000006435549523765
84.6,0.00000006434106570328
84.7,0.00000006432660183221
84.8,0.00000006431210362444
84.9,0.00000006429757107997
85,0.0000000642830041988
85.1,0.00000006437137928945
85.2,0.00000006445979984743
85.3,0.00000006454826587274
85.4,0.00000006463677736538
85.5,0.00000006472533432535
85.6,0.00000006481393675265
85.7,0.00000006490258464729
85.8,0.00000006499127800925
85.9,0.00000006508001683855
86,0.00000006516880113518
86.1,0.00000006525763089914
86.2,0.00000006534650613043
86.3,0.00000006543542682905
86.4,0.000000065524392995
86.5,0.00000006561340462828
86.6,0.0000000657024617289
86.7,0.00000006579156429685
86.8,0.00000006588071233212
86.9,0.00000006596990583473
87,0.00000006605914480467
87.1,0.00000006614842924194
87.2,0.00000006623775914655
87.3,0.00000006632713451848
87.4,0.00000006641655535775
87.5,0.00000006650602166434
87.6,0.00000006659553343827
87.7,0.00000006668509067953
87.8,0.00000006677469338812
87.9,0.00000006686434156404
88,0.00000006695403520729
88.1,0.00000006704377431787
88.2,0.00000006713355889579
88.3,0.00000006722338894103
88.4,0.00000006731326445361
88.5,0.00000006740318543352
88.6,0.00000006749315188076
88.7,0.00000006758316379533
88.8,0.00000006767322117723
88.9,0.00000006776332402647
89,0.00000006785347234303
89.1,0.00000006794366612692
89.2,0.00000006803390537815
89.3,0.00000006812419009671
89.4,0.0000000682145202826
89.5,0.00000006830489593582
89.6,0.00000006839531705637
89.7,0.00000006848578364425
89.8,0.00000006857629569947
89.9,0.00000006866685322201
90,0.00000006875745621189
90.1,0.00000006871609181796
90.2,0.00000006867469408073
90.3,0.00000006863326300021
90.4,0.0000000685917985764
90.5,0.00000006855030080929
90.6,0.00000006850876969888
90.7,0.00000006846720524518
90.8,0.00000006842560744818
90.9,0.00000006838397630789
91,0.00000006834231182431
91.1,0.00000006830061399742
91.2,0.00000006825888282725
91.3,0.00000006821711831378
91.4,0.00000006817532045701
91.5,0.00000006813348925695
91.6,0.00000006809162471359
91.7,0.00000006804972682694
91.8,0.00000006800779559699
91.9,0.00000006796583102375
92,0.00000006792383310721
92.1,0.00000006788180184738
92.2,0.00000006783973724425
92.3,0.00000006779763929783
92.4,0.00000006775550800811
92.5,0.00000006771334337509
92.6,0.00000006767114539879
92.7,0.00000006762891407918
92.8,0.00000006758664941628
92.9,0.00000006754435141009
93,0.0000000675020200606
93.1,0.00000006745965536782
93.2,0.00000006741725733174
93.3,0.00000006737482595236
93.4,0.00000006733236122969
93.5,0.00000006728986316373
93.6,0.00000006724733175447
93.7,0.00000006720476700192
93.8,0.00000006716216890607
93.9,0.00000006711953746692
94,0.00000006707687268448
94.1,0.00000006703417455875
94.2,0.00000006699144308971
94.3,0.00000006694867827739
94.4,0.00000006690588012177
94.5,0.00000006686304862285
94.6,0.00000006682018378064
94.7,0.00000006677728559514
94.8,0.00000006673435406633
94.9,0.00000006669138919424
95,0.00000006664839097885
95.1,0.00000006660399016826
95.2,0.00000006655956299484
95.3,0.00000006651510945859
95.4,0.0000000664706295595
95.5,0.00000006642612329758
95.6,0.00000006638159067282
95.7,0.00000006633703168523
95.8,0.00000006629244633481
95.9,0.00000006624783462154
96,0.00000006620319654545
96.1,0.00000006615853210652
96.2,0.00000006611384130475
96.3,0.00000006606912414015
96.4,0.00000006602438061272
96.5,0.00000006597961072245
96.6,0.00000006593481446935
96.7,0.00000006588999185341
96.8,0.00000006584514287463
96.9,0.00000006580026753303
97,0.00000006575536582858
97.1,0.00000006571043776131
97.2,0.00000006566548333119
97.3,0.00000006562050253825
97.4,0.00000006557549538247
97.5,0.00000006553046186385
97.6,0.0000000654854019824
97.7,0.00000006544031573811
97.8,0.00000006539520313099
97.9,0.00000006535006416104
98,0.00000006530489882825
98.1,0.00000006525970713262
98.2,0.00000006521448907417
98.3,0.00000006516924465287
98.4,0.00000006512397386874
98.5,0.00000006507867672178
98.6,0.00000006503335321198
98.7,0.00000006498800333935
98.8,0.00000006494262710388
98.9,0.00000006489722450558
99,0.00000006485179554445
99.1,0.00000006480634022048
99.2,0.00000006476085853367
99.3,0.00000006471535048403
99.4,0.00000006466981607156
99.5,0.00000006462425529625
99.6,0.0000000645786681581
99.7,0.00000006453305465712
99.8,0.00000006448741479331
99.9,0.00000006444174856666
100,0.00000006439605597718
