Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/04/2011,Professional fees,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),732013,"18,000.00",
Department of Health,Department of Health,01/04/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),732013,"25,925.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CITY AND HACKNEY TEACHING PCT,HAFS-10501,"38,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CORNWALL & ISLES OF SCILLY PCT,HAFS-10502,"82,200,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),COUNTY DURHAM PCT,HAFS-10503,"82,483,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),COVENTRY TEACHING PCT,HAFS-10504,"55,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CROYDON PCT,HAFS-10505,"50,000,000.00",
Department of Health,Department of Health,01/04/2011,CFH Prepay & accrue inc (ST),More than one directorate,CSC COMPUTER SCIENCES LTD,CHAPS1/4/11,"200,000,000.00",
Department of Health,Department of Health,01/04/2011,Addition Clearing - IT,NHS Chief Information Officer,CSC COMPUTER SCIENCES LTD,CHAPS1/4/11.,"316,317.01",
Department of Health,Department of Health,01/04/2011,Addition Clearing - IT,NHS Chief Information Officer,CSC COMPUTER SCIENCES LTD,CHAPS1/4/11.,"4,548,371.01",
Department of Health,Department of Health,01/04/2011,Addition Clearing - IT,NHS Chief Information Officer,CSC COMPUTER SCIENCES LTD,CHAPS1/4/11.,"5,800,971.98",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),CUMBRIA PCT,HAFS-10506,"90,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DARLINGTON PCT,HAFS-10507,"15,671,000.00",
Department of Health,Department of Health,01/04/2011,Service charge,NHS FINANCE PERFORMANCE & OPERATIONS,DEAN CLOUGH LTD,10982,"30,937.48",
Department of Health,Department of Health,01/04/2011,Rent of Land & Buildings (non-PFI operating lease),NHS FINANCE PERFORMANCE & OPERATIONS,DEAN CLOUGH LTD,10791,"210,200.33",
Department of Health,Department of Health,01/04/2011,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,DEPARTMENT FOR TRANSPORT (DFT),9300099002,"5,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DERBY CITY PCT,HAFS-10508,"35,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DERBYSHIRE COUNTY PCT,HAFS-10509,"93,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DEVON PCT,HAFS-10510,"92,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DONCASTER PCT,HAFS-10511,"46,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DORSET PCT,HAFS-10512,"58,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),DUDLEY PCT,HAFS-10513,"42,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EALING PCT,HAFS-10514,"42,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST LANCASHIRE PCT,HAFS-10515,"46,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST MIDLANDS SHA,HAFS-10516,"35,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST OF ENGLAND SHA,HAFS-10517,"62,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST RIDING OF YORKSHIRE PCT,HAFS-10518,"32,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EAST SUSSEX DOWNS & WEALD PCT,HAFS-10519,"42,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),EASTERN & COASTAL KENT PCT,HAFS-10520,"100,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ENFIELD PCT,HAFS-10521,"26,000,000.00",
Department of Health,Department of Health,01/04/2011,Computer Software/License,INFORMATICS,ERNST & YOUNG LLP,12707084,"65,000.00",
Department of Health,Department of Health,01/04/2011,External Consultancy Fees,INFORMATICS,ERNST & YOUNG LLP,12707084,"530,240.89",
Department of Health,Department of Health,01/04/2011,Travel & subsistence staff,FINANCE & OPERATIONS (DM),EXPOTEL HOTEL RESERVATIONS LTD,702278,"-113,158.23",
Department of Health,Department of Health,01/04/2011,Travel & subsistence staff,FINANCE & OPERATIONS (DM),EXPOTEL HOTEL RESERVATIONS LTD,702278,92.16,
Department of Health,Department of Health,01/04/2011,Conferences & seminars,FINANCE & OPERATIONS (DM),EXPOTEL HOTEL RESERVATIONS LTD,702278,"80,827.31",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GATESHEAD PCT,HAFS-10522,"24,600,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GLOUCESTERSHIRE PCT,HAFS-10523,"82,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GREAT YARMOUTH AND WAVENY PCT,HAFS-10524,"26,800,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),GREENWICH TEACHING PCT,HAFS-10525,"33,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HALTON & ST HELENS PCT,HAFS-10526,"52,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAMMERSMITH AND FULHAM PCT,HAFS-10527,"34,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAMPSHIRE PCT,HAFS-10528,"142,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARINGEY TEACHING PCT,HAFS-10529,"51,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARROW PCT,HAFS-10530,"30,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HARTLEPOOL PCT,HAFS-10531,"13,400,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HASTINGS & ROTHER PCT,HAFS-10532,"25,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HAVERING PCT COMMISSIONING,HAFS-10533,"48,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-10366,"4,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEART OF BIRMINGHAM TEACHING PCT,HAFS-10367,"46,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEREFORDSHIRE PCT,HAFS-10368,"29,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HERTFORDSHIRE PCT,HAFS-10369,"135,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-10370,"27,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HILLINGDON PCT,HAFS-10371,"29,300,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HOUNSLOW PCT,HAFS-10372,"35,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),HULL PCT,HAFS-10373,"37,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ISLE OF WIGHT NHS PCT,HAFS-10374,"15,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ISLINGTON PCT,HAFS-10375,"40,514,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KENSINGTON AND CHELSEA PCT,HAFS-10376,"28,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KINGSTON PCT,HAFS-10377,"21,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KIRKLEES PCT,HAFS-10378,"43,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),KNOWSLEY PCT,HAFS-10379,"25,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LAMBETH PCT,HAFS-10380,"50,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEEDS PCT,HAFS-10381,"120,256,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEICESTER CITY PCT,HAFS-10382,"33,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEICESTERSHIRE COUNTY & RUTLAND PCT,HAFS-10383,"55,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LEWISHAM PCT,HAFS-10384,"39,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LINCOLNSHIRE PCT,HAFS-10385,"90,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LIVERPOOL PCT,HAFS-10386,"65,615,000.00",
Department of Health,Department of Health,01/04/2011,Contactor/ Staff Subsitution,COMMISSIONING,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,50019330,"-68,295.50",
Department of Health,Department of Health,01/04/2011,Contactor/ Staff Subsitution,COMMISSIONING,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,50019330,"68,295.50",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LONDON SHA,HAFS-10387,"150,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),LUTON TEACHING PCT,HAFS-10388,"23,200,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MANCHESTER PCT,HAFS-10389,"75,000,000.00",
Department of Health,Department of Health,01/04/2011,Professional fees,COMMISSIONING,MARKET AND OPINION RESEARCH INTERNATIONAL LTD,11000360,"153,916.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MEDWAY TEACHING PCT,HAFS-10390,"32,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MID ESSEX PCT,HAFS-10391,"35,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MIDDLESBOROUGH PCT,HAFS-10392,"22,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),MILTON KEYNES PCT,HAFS-10393,"26,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-10394,"5,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),HAFS-10395,"1,693,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NEWCASTLE PCT,HAFS-10396,"35,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NEWHAM PCT,HAFS-10397,"51,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-10398,"47,010,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev ND In RAB,FINANCE & OPERATIONS (DM),NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-10399,"1,671,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,HAFS-10400,"3,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NHS LITIGATION AUTHORITY,HAFS-10401,"70,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORFOLK PCT,HAFS-10402,"90,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST ESSEX PCT,HAFS-10403,"32,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-10404,"25,100,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH EAST SHA,HAFS-10405,"26,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH LANCASHIRE PCT,HAFS-10406,"40,144,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH LINCOLNSHIRE PCT,HAFS-10407,"20,100,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH SOMERSET PCT,HAFS-10408,"30,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH STAFFORDSHIRE PCT,HAFS-10409,"22,250,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH TYNESIDE PCT,HAFS-10410,"30,100,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH WEST SHA,HAFS-10411,"59,400,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTH YORKSHIRE & YORK PCT,HAFS-10412,"93,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTHAMPTONSHIRE PCT,HAFS-10413,"75,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NORTHUMBERLAND CARE TRUST,HAFS-10414,"41,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NOTTINGHAM CITY PCT,HAFS-10415,"35,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),NOTTINGHAMSHIRE COUNTY TEACHING PCT,HAFS-10416,"75,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),OLDHAM PCT,HAFS-10417,"29,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),OXFORDSHIRE PCT,HAFS-10418,"78,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PETERBOROUGH PCT,HAFS-10419,"21,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PLYMOUTH TEACHING PCT,HAFS-10420,"33,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),PORTSMOUTH CITY TEACHING PCT,HAFS-10421,"29,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),REDBRIDGE PCT,HAFS-10422,"35,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),REDCAR AND CLEVELAND PCT,HAFS-10423,"20,300,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),RICHMOND AND TWICKENHAM PCT,HAFS-10424,"21,000,000.00",
Department of Health,Department of Health,01/04/2011,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,ROSLIN INSTITUTE,Z0020627,"43,299.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),ROTHERHAM PCT,HAFS-10425,"33,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SALFORD PCT,HAFS-10426,"31,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SANDWELL PCT,HAFS-10427,"43,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SEFTON PCT,HAFS-10428,"42,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SHEFFIELD PCT,HAFS-10429,"65,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SHROPSHIRE COUNTY PCT,HAFS-10430,"34,230,000.00",
Department of Health,Department of Health,01/04/2011,Raw materials & consumables,NHS MEDICAL DIRECTOR,SIGMA PHARMACEUTICALS PLC,I107435,"171,998.95",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOLIHULL PCT,HAFS-10431,"27,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOMERSET PCT,HAFS-10432,"57,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH BIRMINGHAM PCT,HAFS-10433,"48,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH CENTRAL SHA,HAFS-10434,"28,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH EAST COAST SHA,HAFS-10435,"32,000,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH EAST ESSEX PCT,HAFS-10436,"38,500,000.00",
Department of Health,Department of Health,01/04/2011,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),SOUTH GLOUCESTERSHIRE PCT,HAFS-10437,"32,500,000.00",
Department of Health,Department of Health,01/04/2011,Contactor/ Staff Subsitution,HEALTH PROTECTION AND IMPROVEMENT,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0054166,"264,138.75",
Department of Health,Department of Health,01/04/2011,Professional fees,HEALTH PROTECTION AND IMPROVEMENT,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0054166,"-264,138.75",
Department of Health,Department of Health,01/04/2011,Professional fees,HEALTH PROTECTION AND IMPROVEMENT,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0055618,"-172,078.93",
