,Overall,Percentage
04 / 2016 / csv,3,3.82622802788555e-06
02 / 2015 / csv,3,3.82622802788555e-06
"html, xml",3,3.82622802788555e-06
asp,3,3.82622802788555e-06
06 / 2015 / csv,2,2.550818685257033e-06
rtf / pdf,2,2.550818685257033e-06
htm,2,2.550818685257033e-06
ms word,2,2.550818685257033e-06
11 / 2017 / csv,2,2.550818685257033e-06
pdf/a-2,2,2.550818685257033e-06
xml / zip,2,2.550818685257033e-06
htmlhtml,2,2.550818685257033e-06
xsd,2,2.550818685257033e-06
datex ii,2,2.550818685257033e-06
map,2,2.550818685257033e-06
database,2,2.550818685257033e-06
cvc,2,2.550818685257033e-06
07 / 2017 / csv,2,2.550818685257033e-06
mif,2,2.550818685257033e-06
07 / 2016 / csv,2,2.550818685257033e-06
tbx,2,2.550818685257033e-06
avi,2,2.550818685257033e-06
pdf/word,2,2.550818685257033e-06
htlm,2,2.550818685257033e-06
08 / 2016 / csv,2,2.550818685257033e-06
08 / 2017 / csv,2,2.550818685257033e-06
06 / 2017 / csv,2,2.550818685257033e-06
grd,2,2.550818685257033e-06
07 / 2015 / csv,2,2.550818685257033e-06
xls / zip,2,2.550818685257033e-06
xslx,2,2.550818685257033e-06
08 / 2015 / csv,2,2.550818685257033e-06
xlb,2,2.550818685257033e-06
bag,2,2.550818685257033e-06
text/csv; charset=utf-8,2,2.550818685257033e-06
skos rdf,2,2.550818685257033e-06
11 / 2015 / csv,1,1.2754093426285166e-06
7 / pdf,1,1.2754093426285166e-06
web application,1,1.2754093426285166e-06
11 / 2016 / csv,1,1.2754093426285166e-06
web-optimised pdf,1,1.2754093426285166e-06
vpf,1,1.2754093426285166e-06
vsv,1,1.2754093426285166e-06
12 / 2016 / csv,1,1.2754093426285166e-06
2 / pdf,1,1.2754093426285166e-06
waf,1,1.2754093426285166e-06
_xlsx,1,1.2754093426285166e-06
mar 2015 / csv,1,1.2754093426285166e-06
xl5x,1,1.2754093426285166e-06
11 / 2014_0 / csv,1,1.2754093426285166e-06
website with resources,1,1.2754093426285166e-06
04 / 2017 / csv,1,1.2754093426285166e-06
05 / 2015 / csv,1,1.2754093426285166e-06
zip-kml,1,1.2754093426285166e-06
06 / 2014_0 / csv,1,1.2754093426285166e-06
zip / zip,1,1.2754093426285166e-06
zip / xlsm,1,1.2754093426285166e-06
/ pdf,1,1.2754093426285166e-06
xsls,1,1.2754093426285166e-06
xml / html / tab / zip,1,1.2754093426285166e-06
08 / 2014 / csv,1,1.2754093426285166e-06
xlx,1,1.2754093426285166e-06
xlsx / zip,1,1.2754093426285166e-06
09 / 2015 / csv,1,1.2754093426285166e-06
0_v2 / pdf,1,1.2754093426285166e-06
"xls, csv, ods",1,1.2754093426285166e-06
01 / 2015_0 / csv,1,1.2754093426285166e-06
application/msaccess,1,1.2754093426285166e-06
1 / 15 / csv,1,1.2754093426285166e-06
1 / csv,1,1.2754093426285166e-06
1 / ods,1,1.2754093426285166e-06
1 / pdf,1,1.2754093426285166e-06
word/pdf,1,1.2754093426285166e-06
word doc,1,1.2754093426285166e-06
1 / xls,1,1.2754093426285166e-06
wep page,1,1.2754093426285166e-06
application/json; charset=utf-8,1,1.2754093426285166e-06
03 / 2017 / csv,1,1.2754093426285166e-06
application/vnd.ms-excel.sheet.macroenabled.12,1,1.2754093426285166e-06
"pdf, xls",1,1.2754093426285166e-06
iati,1,1.2754093426285166e-06
human readable header file,1,1.2754093426285166e-06
open date site,1,1.2754093426285166e-06
http,1,1.2754093426285166e-06
pd,1,1.2754093426285166e-06
pdf / zip,1,1.2754093426285166e-06
"html, csv",1,1.2754093426285166e-06
application/vnd.ms-office,1,1.2754093426285166e-06
powerbi,1,1.2754093426285166e-06
h,1,1.2754093426285166e-06
gtfs,1,1.2754093426285166e-06
prj,1,1.2754093426285166e-06
py,1,1.2754093426285166e-06
gml / zip,1,1.2754093426285166e-06
jan 2015 / csv,1,1.2754093426285166e-06
jar,1,1.2754093426285166e-06
jsonl,1,1.2754093426285166e-06
jsp,1,1.2754093426285166e-06
/ csv,1,1.2754093426285166e-06
od / ods,1,1.2754093426285166e-06
jul 2014 / csv,1,1.2754093426285166e-06
oct 2014 / csv,1,1.2754093426285166e-06
nov 2014 / csv,1,1.2754093426285166e-06
"kml, .tab, .csv, .shp",1,1.2754093426285166e-06
kmx,1,1.2754093426285166e-06
n/a,1,1.2754093426285166e-06
laz,1,1.2754093426285166e-06
lpk,1,1.2754093426285166e-06
mp4,1,1.2754093426285166e-06
message/rfc822,1,1.2754093426285166e-06
mapinfo tab,1,1.2754093426285166e-06
r,1,1.2754093426285166e-06
geodatabase,1,1.2754093426285166e-06
flat raster binary,1,1.2754093426285166e-06
csv / pdf,1,1.2754093426285166e-06
argis,1,1.2754093426285166e-06
audio/mpeg,1,1.2754093426285166e-06
text/xml; charset=utf-8,1,1.2754093426285166e-06
aug 2014 / csv,1,1.2754093426285166e-06
text/pdf,1,1.2754093426285166e-06
text/html;charset=utf-8,1,1.2754093426285166e-06
text/html;charset=iso-8859-1,1,1.2754093426285166e-06
cav,1,1.2754093426285166e-06
cif,1,1.2754093426285166e-06
crv,1,1.2754093426285166e-06
"tab, .kml, .shp, .json",1,1.2754093426285166e-06
cs,1,1.2754093426285166e-06
svg,1,1.2754093426285166e-06
maps,1,1.2754093426285166e-06
spreadsheet,1,1.2754093426285166e-06
flash,1,1.2754093426285166e-06
csv feed,1,1.2754093426285166e-06
soap,1,1.2754093426285166e-06
shx,1,1.2754093426285166e-06
dataset,1,1.2754093426285166e-06
dbase,1,1.2754093426285166e-06
servicio web,1,1.2754093426285166e-06
sep 2014 / csv,1,1.2754093426285166e-06
dec 2014 / csv,1,1.2754093426285166e-06
djvu,1,1.2754093426285166e-06
dsv,1,1.2754093426285166e-06
esri geoservice,1,1.2754093426285166e-06
esri shape,1,1.2754093426285166e-06
excell,1,1.2754093426285166e-06
feb 2015 / csv,1,1.2754093426285166e-06
04 / 2015 / csv,1,1.2754093426285166e-06
