"##Temp./¡ãC",Time/min,"tan d(1.000 Hz)","E'(1.000 Hz)/MPa","E""(1.000 Hz)/MPa"
" 45.75539"," 5.78667",6.9018e-002,5218.90079,360.15174
" 45.99380"," 5.83667",6.9200e-002,5210.97256,360.54482
" 46.23379"," 5.88667",6.9381e-002,5202.84228,360.91146
" 46.47467"," 5.93667",6.9560e-002,5194.53500,361.25898
" 46.71615"," 5.98667",6.9740e-002,5186.07110,361.59419
" 46.95824"," 6.03667",6.9921e-002,5177.46695,361.92359
" 47.20095"," 6.08667",7.0104e-002,5168.73531,362.25355
" 47.44411"," 6.13667",7.0290e-002,5159.88574,362.59045
" 47.68777"," 6.18667",7.0480e-002,5150.92469,362.94086
" 47.93221"," 6.23667",7.0676e-002,5141.85592,363.31164
" 48.17794"," 6.28667",7.0878e-002,5132.68006,363.71021
" 48.42480"," 6.33667",7.1089e-002,5123.39474,364.14472
" 48.67265"," 6.38667",7.1311e-002,5113.99435,364.62430
" 48.92171"," 6.43667",7.1545e-002,5104.46960,365.15938
" 49.17263"," 6.48667",7.1794e-002,5094.80694,365.76209
" 49.42660"," 6.53667",7.2061e-002,5084.98891,366.44615
" 49.68346"," 6.58667",7.2346e-002,5075.01650,367.21418
" 49.94179"," 6.63667",7.2649e-002,5064.90880,368.05838
" 50.20068"," 6.68667",7.2967e-002,5054.68130,368.97314
" 50.45946"," 6.73667",7.3301e-002,5044.34559,369.95517
" 50.71747"," 6.78667",7.3650e-002,5033.91034,371.00326
" 50.97452"," 6.83667",7.4015e-002,5023.38112,372.11814
" 51.23075"," 6.88667",7.4397e-002,5012.76109,373.30232
" 51.48587"," 6.93667",7.4798e-002,5002.05109,374.56015
" 51.73907"," 6.98667",7.5218e-002,4991.24970,375.89779
" 51.98933"," 7.03667",7.5661e-002,4980.35332,377.32335
" 52.23766"," 7.08667",7.6129e-002,4969.35604,378.84707
" 52.48497"," 7.13667",7.6625e-002,4958.24953,380.48153
" 52.73163"," 7.18667",7.7154e-002,4947.02281,382.24200
" 52.97769"," 7.23667",7.7720e-002,4935.66192,384.14686
" 53.22318"," 7.28667",7.8330e-002,4924.14935,386.21819
" 53.46816"," 7.33667",7.8991e-002,4912.46393,388.48239
" 53.71255"," 7.38667",7.9710e-002,4900.57928,390.97126
" 53.95608"," 7.43667",8.0498e-002,4888.46334,393.72313
" 54.19820"," 7.48667",8.1368e-002,4876.07681,396.78448
" 54.43825"," 7.53667",8.2330e-002,4863.38161,400.19844
" 54.67709"," 7.58667",8.3378e-002,4850.39015,403.93906
" 54.91585"," 7.63667",8.4500e-002,4837.12617,407.96186
" 55.15564"," 7.68667",8.5686e-002,4823.60343,412.23185
" 55.39806"," 7.73667",8.6930e-002,4809.82690,416.72182
" 55.64408"," 7.78667",8.8224e-002,4795.79356,421.41114
" 55.89187"," 7.83667",8.9567e-002,4781.49270,426.28484
" 56.13982"," 7.88667",9.0953e-002,4766.90660,431.33280
" 56.38642"," 7.93667",9.2382e-002,4752.00956,436.54958
" 56.62972"," 7.98667",9.3853e-002,4736.76806,441.93399
" 56.86996"," 8.03667",9.5366e-002,4721.13993,447.48905
" 57.10895"," 8.08667",9.6923e-002,4705.07343,453.22198
" 57.34793"," 8.13667",9.8525e-002,4688.50525,459.14473
" 57.58814"," 8.18667","    0.10018",4671.36060,465.27359
" 57.83048"," 8.23667","    0.10189",4653.54833,471.63080
" 58.07412"," 8.28667","    0.10365",4634.95986,478.24459
" 58.31818"," 8.33667","    0.10549",4615.46487,485.15048
" 58.56192"," 8.38667","    0.10741",4594.90574,492.39292
" 58.80452"," 8.43667","    0.10942",4573.09111,500.02723
" 59.04491"," 8.48667","    0.11154",4549.80543,508.11595
" 59.28341"," 8.53667","    0.11377",4525.04565,516.64750
" 59.52131"," 8.58667","    0.11611",4498.95686,525.55648
" 59.75964"," 8.63667","    0.11855",4471.64094,534.78825
" 59.99965"," 8.68667","    0.12109",4443.16056,544.29754
" 60.24284"," 8.73667","    0.12375",4413.53974,554.04792
" 60.48843"," 8.78667","    0.12653",4382.77062,564.00918
" 60.73508"," 8.83667","    0.12944",4350.81344,574.15674
" 60.98191"," 8.88667","    0.13250",4317.59651,584.47106
" 61.22808"," 8.93667","    0.13574",4283.01629,594.93665
" 61.47293"," 8.98667","    0.13916",4246.93607,605.54159
" 61.71698"," 9.03667","    0.14281",4209.18200,616.27745
" 61.96088"," 9.08667","    0.14672",4169.53840,627.13926
" 62.20521"," 9.13667","    0.15092",4127.74293,638.12506
" 62.45067"," 9.18667","    0.15547",4083.47938,649.23592
" 62.69724"," 9.23667","    0.16043",4036.36496,660.47673
" 62.94424"," 9.28667","    0.16585",3985.94133,671.85548
" 63.19113"," 9.33667","    0.17183",3931.65379,683.38469
" 63.43732"," 9.38667","    0.17846",3872.82986,695.08176
" 63.68200"," 9.43667","    0.18587",3808.65336,706.96956
" 63.92473"," 9.48667","    0.19411",3738.71015,719.04602
" 64.16661"," 9.53667","    0.20307",3663.77492,731.23899
" 64.40866"," 9.58667","    0.21264",3584.65531,743.46603
" 64.65194"," 9.63667","    0.22272",3502.02880,755.64276
" 64.89803"," 9.68667","    0.23323",3416.46976,767.68104
" 65.14680"," 9.73667","    0.24411",3328.46668,779.48768
" 65.39669"," 9.78667","    0.25530",3238.44772,790.96135
" 65.64654"," 9.83667","    0.26674",3146.78420,801.99178
" 65.89519"," 9.88667","    0.27840",3053.80623,812.45683
" 66.14138"," 9.93667","    0.29023",2959.81320,822.21965
" 66.38572"," 9.98667","    0.30219",2865.07923,831.12590
" 66.62913",10.03667,"    0.31427",2769.85781,839.00011
" 66.87207",10.08667,"    0.32643",2674.39009,845.64096
" 67.11481",10.13667,"    0.33865",2578.91213,850.81558
" 67.35745",10.18667,"    0.35090",2483.65787,854.25286
" 67.59998",10.23667,"    0.36316",2388.86365,855.63465
" 67.84233",10.28667,"    0.37541",2294.77684,854.58437
" 68.08438",10.33667,"    0.38762",2201.66623,850.65276
" 68.32588",10.38667,"    0.39978",2109.82291,843.29876
" 68.56658",10.43667,"    0.41186",2019.51201,832.03921
" 68.80699",10.48667,"    0.42384",1930.67240,817.23071
" 69.04791",10.53667,"    0.43573",1843.16437,799.45144
" 69.29036",10.58667,"    0.44750",1756.89545,779.18888
" 69.53604",10.63667,"    0.45913",1671.81407,756.85920
" 69.78625",10.68667,"    0.47060",1587.90278,732.82178
" 70.03885",10.73667,"    0.48188",1505.17603,707.39105
" 70.29189",10.78667,"    0.49292",1423.68141,680.84685
" 70.54356",10.83667,"    0.50370",1343.49818,653.44192
" 70.79152",10.88667,"    0.51416",1264.73671,625.40800
" 71.03434",10.93667,"    0.52424",1187.54336,596.96240
" 71.27463",10.98667,"    0.53389",1112.10028,568.31197
" 71.51464",11.03667,"    0.54302",1038.63139,539.65831
" 71.75643",11.08667,"    0.55156"," 967.41025",511.20312
" 72.00247",11.13667,"    0.55938"," 898.76641",483.15244
" 72.25223",11.18667,"    0.56639"," 833.09417",455.72107
" 72.50433",11.23667,"    0.57243"," 770.86754",429.13901
" 72.75815",11.28667,"    0.57733"," 712.65869",403.65875
" 73.01359",11.33667,"    0.58090"," 659.15882",379.56279
" 73.27112",11.38667,"    0.58288"," 611.20224",357.17182
" 73.53089",11.43667,"    0.58317"," 569.16877",336.64527
" 73.79160",11.48667,"    0.58199"," 532.28257",317.74832
" 74.05209",11.53667,"    0.57957"," 499.76475",300.24243
" 74.31108",11.58667,"    0.57609"," 470.96868",283.93161
" 74.56674",11.63667,"    0.57171"," 445.35298",268.65389
" 74.81869",11.68667,"    0.56657"," 422.46160",254.27510
" 75.06840",11.73667,"    0.56078"," 401.90920",240.68461
" 75.31657",11.78667,"    0.55444"," 383.36888",227.79169
" 75.56328",11.83667,"    0.54763"," 366.56207",215.52238
" 75.80808",11.88667,"    0.54043"," 351.25118",203.81736
" 76.05080",11.93667,"    0.53290"," 337.23420",192.63089
" 76.29167",11.98667,"    0.52511"," 324.33973",181.92952
" 76.52996",12.03667,"    0.51709"," 312.42301",171.69117
" 76.76356",12.08667,"    0.50890"," 301.36371",161.90531
" 76.99005",12.13667,"    0.50057"," 291.06337",152.57266
" 77.21188",12.18667,"    0.49215"," 281.44428",143.70586
" 77.43160",12.23667,"    0.48366"," 272.44903",135.33071
" 77.65106",12.28667,"    0.47514"," 264.04038",127.48760
" 77.87208",12.33667,"    0.46661"," 256.20183",120.23349
" 78.09685",12.38667,"    0.45811"," 248.93803",113.64285
" 78.32596",12.43667,"    0.44964"," 242.22136",107.71821
" 78.55792",12.48667,"    0.44120"," 235.97154",102.36142
" 78.79226",12.53667,"    0.43280"," 230.11949"," 97.48541"
" 79.02945",12.58667,"    0.42444"," 224.60898"," 93.01850"
" 79.27107",12.63667,"    0.41611"," 219.39402"," 88.90124"
" 79.51694",12.68667,"    0.40782"," 214.43714"," 85.08418"
" 79.76449",12.73667,"    0.39957"," 209.70807"," 81.52619"
" 80.01175",12.78667,"    0.39137"," 205.18257"," 78.19292"
" 80.25660",12.83667,"    0.38322"," 200.84155"," 75.05578"
" 80.49661",12.88667,"    0.37513"," 196.67067"," 72.09117"
" 80.73312",12.93667,"    0.36711"," 192.65996"," 69.27993"
" 80.96809",12.98667,"    0.35918"," 188.80349"," 66.60674"
" 81.20265",13.03667,"    0.35133"," 185.09918"," 64.05982"
" 81.43768",13.08667,"    0.34360"," 181.54933"," 61.63100"
" 81.67347",13.13667,"    0.33600"," 178.16023"," 59.31522"
" 81.90979",13.18667,"    0.32854"," 174.94299"," 57.11095"
" 82.14664",13.23667,"    0.32126"," 171.91406"," 55.02026"
" 82.38416",13.28667,"    0.31419"," 169.09606"," 53.04914"
" 82.62277",13.33667,"    0.30737"," 166.51874"," 51.20796"
" 82.86270",13.38667,"    0.30080"," 164.19271"," 49.49892"
" 83.10363",13.43667,"    0.29447"," 162.08552"," 47.90435"
" 83.34556",13.48667,"    0.28834"," 160.16674"," 46.40789"
" 83.58891",13.53667,"    0.28238"," 158.41213"," 44.99639"
" 83.83469",13.58667,"    0.27658"," 156.80267"," 43.65938"
" 84.08319",13.63667,"    0.27092"," 155.32346"," 42.38850"
" 84.33365",13.68667,"    0.26539"," 153.96332"," 41.17727"
" 84.58619",13.73667,"    0.25998"," 152.71427"," 40.02081"
" 84.84196",13.78667,"    0.25470"," 151.57120"," 38.91565"
" 85.10272",13.83667,"    0.24954"," 150.53171"," 37.85964"
" 85.36646",13.88667,"    0.24450"," 149.59608"," 36.85188"
" 85.63061",13.93667,"    0.23959"," 148.76719"," 35.89271"
" 85.89280",13.98667,"    0.23482"," 148.05067"," 34.98370"
" 86.14985",14.03667,"    0.23020"," 147.45514"," 34.12776"
" 86.40135",14.08667,"    0.22575"," 146.99252"," 33.32926"
" 86.64979",14.13667,"    0.22149"," 146.67852"," 32.59421"
" 86.89673",14.18667,"    0.21745"," 146.53334"," 31.93055"
" 87.14322",14.23667,"    0.21367"," 146.58253"," 31.34851"
" 87.39015",14.28667,"    0.21018"," 146.85822"," 30.86108"
" 87.63813",14.33667,"    0.20700"," 147.37850"," 30.47527"
" 87.88732",14.38667,"    0.20411"," 148.11401"," 30.17780"
" 88.13834",14.43667,"    0.20144"," 149.03400"," 29.95466"
" 88.39265",14.48667,"    0.19897"," 150.11371"," 29.79414"
" 88.65307",14.53667,"    0.19666"," 151.33315"," 29.68638"
" 88.91935",14.58667,"    0.19449"," 152.67633"," 29.62301"
" 89.18817",14.63667,"    0.19243"," 154.13067"," 29.59682"
" 89.45715",14.68667,"    0.19045"," 155.68643"," 29.60158"
" 89.72396",14.73667,"    0.18855"," 157.33652"," 29.63183"
" 89.98601",14.78667,"    0.18670"," 159.07618"," 29.68274"
" 90.24443",14.83667,"    0.18489"," 160.90285"," 29.74999"
" 90.50113",14.88667,"    0.18310"," 162.81608"," 29.82966"
" 90.75716",14.93667,"    0.18132"," 164.81762"," 29.91815"
" 91.01312",14.98667,"    0.17953"," 166.91151"," 30.01208"
" 91.26918",15.03667,"    0.17772"," 169.10414"," 30.10825"
" 91.52503",15.08667,"    0.17588"," 171.40462"," 30.20355"
" 91.78027",15.13667,"    0.17399"," 173.82523"," 30.29487"
" 92.03432",15.18667,"    0.17203"," 176.38193"," 30.37905"
" 92.28624",15.23667,"    0.16999"," 179.09494"," 30.45277"
" 92.53477",15.28667,"    0.16784"," 181.98547"," 30.51293"
" 92.78124",15.33667,"    0.16560"," 185.04097"," 30.56016"
" 93.02807",15.38667,"    0.16328"," 188.23434"," 30.59673"
" 93.27789",15.43667,"    0.16089"," 191.54287"," 30.62458"
" 93.53448",15.48667,"    0.15846"," 194.94727"," 30.64542"
" 93.80297",15.53667,"    0.15599"," 198.43096"," 30.66073"
" 94.08032",15.58667,"    0.15350"," 201.97955"," 30.67188"
" 94.36139",15.63667,"    0.15099"," 205.58043"," 30.68010"
" 94.64277",15.68667,"    0.14848"," 209.22227"," 30.68657"
" 94.92118",15.73667,"    0.14598"," 212.89471"," 30.69242"
" 95.19418",15.78667,"    0.14350"," 216.58824"," 30.69876"
" 95.46358",15.83667,"    0.14104"," 220.29379"," 30.70673"
" 95.73040",15.88667,"    0.13863"," 224.00265"," 30.71748"
" 95.99426",15.93667,"    0.13627"," 227.70628"," 30.73225"
" 96.25366",15.98667,"    0.13398"," 231.39594"," 30.75239"
" 96.50950",16.03667,"    0.13178"," 235.06259"," 30.77936"
" 96.76349",16.08667,"    0.12968"," 238.69652"," 30.81483"
" 97.01661",16.13667,"    0.12770"," 242.28742"," 30.86071"
" 97.26957",16.18667,"    0.12588"," 245.82350"," 30.91922"
" 97.52298",16.23667,"    0.12424"," 249.29186"," 30.99285"
" 97.77710",16.28667,"    0.12278"," 252.69110"," 31.08173"
" 98.03199",16.33667,"    0.12147"," 256.03065"," 31.18348"
" 98.28809",16.38667,"    0.12029"," 259.31913"," 31.29603"
" 98.54635",16.43667,"    0.11922"," 262.56291"," 31.41765"
" 98.80830",16.48667,"    0.11824"," 265.76741"," 31.54686"
" 99.07304",16.53667,"    0.11735"," 268.93692"," 31.68244"
" 99.33903",16.58667,"    0.11652"," 272.07433"," 31.82329"
" 99.60527",16.63667,"    0.11575"," 275.18217"," 31.96849"
" 99.87091",16.68667,"    0.11504"," 278.26200"," 32.11721"
100.13539,16.73667,"    0.11436"," 281.31452"," 32.26869"
100.39903,16.78667,"    0.11372"," 284.34010"," 32.42230"
100.66190,16.83667,"    0.11312"," 287.33800"," 32.57740"
100.92364,16.88667,"    0.11254"," 290.30713"," 32.73343"
101.18358,16.93667,"    0.11199"," 293.24533"," 32.88984"
101.44221,16.98667,"    0.11146"," 296.14977"," 33.04610"
101.70043,17.03667,"    0.11095"," 299.01675"," 33.20169"
101.95902,17.08667,"    0.11046"," 301.84102"," 33.35605"
102.21884,17.13667,"    0.10998"," 304.61633"," 33.50863"
102.48116,17.18667,"    0.10953"," 307.33487"," 33.65881"
102.74616,17.23667,"    0.10909"," 309.99446"," 33.80642"
103.01226,17.28667,"    0.10867"," 312.60226"," 33.95191"
103.27817,17.33667,"    0.10827"," 315.16424"," 34.09568"
103.54251,17.38667,"    0.10788"," 317.68512"," 34.23812"
103.80336,17.43667,"    0.10750"," 320.16831"," 34.37958"
104.06053,17.48667,"    0.10713"," 322.61624"," 34.52037"
104.31608,17.53667,"    0.10678"," 325.03057"," 34.66081"
104.57162,17.58667,"    0.10644"," 327.41178"," 34.80118"
104.82872,17.63667,"    0.10611"," 329.75985"," 34.94180"
105.08952,17.68667,"    0.10579"," 332.07399"," 35.08297"
105.35408,17.73667,"    0.10549"," 334.35230"," 35.22500"
105.62006,17.78667,"    0.10521"," 336.59242"," 35.36823"
105.88570,17.83667,"    0.10494"," 338.79093"," 35.51302"
106.14906,17.88667,"    0.10470"," 340.94335"," 35.65978"
106.40861,17.93667,"    0.10447"," 343.04433"," 35.80896"
106.66604,17.98667,"    0.10428"," 345.08685"," 35.96106"
106.92319,18.03667,"    0.10412"," 347.06273"," 36.11668"
107.18183,18.08667,"    0.10399"," 348.96166"," 36.27647"
107.44417,18.13667,"    0.10390"," 350.77121"," 36.44124"
107.71347,18.18667,"    0.10386"," 352.47659"," 36.61194"
107.99023,18.23667,"    0.10388"," 354.07514"," 36.78871"
108.27076,18.28667,"    0.10393"," 355.58264"," 36.97069"
108.55253,18.33667,"    0.10402"," 357.01333"," 37.15706"
108.83346,18.38667,"    0.10415"," 358.37893"," 37.34715"
109.11126,18.43667,"    0.10429"," 359.68945"," 37.54038"
109.38530,18.48667,"    0.10446"," 360.95320"," 37.73628"
109.65666,18.53667,"    0.10465"," 362.17732"," 37.93445"
109.92529,18.58667,"    0.10486"," 363.36786"," 38.13454"
110.18990,18.63667,"    0.10508"," 364.53005"," 38.33623"
110.44810,18.68667,"    0.10530"," 365.66849"," 38.53930"
110.70211,18.73667,"    0.10554"," 366.78702"," 38.74349"
110.95578,18.78667,"    0.10579"," 367.88914"," 38.94862"
111.21284,18.83667,"    0.10604"," 368.97790"," 39.15453"
111.47862,18.88667,"    0.10630"," 370.05588"," 39.36104"
111.75423,18.93667,"    0.10656"," 371.12550"," 39.56803"
112.03483,18.98667,"    0.10682"," 372.18883"," 39.77538"
112.31679,19.03667,"    0.10709"," 373.24773"," 39.98298"
112.59700,19.08667,"    0.10736"," 374.30388"," 40.19074"
"",,,,
