Comments,Date,Price,Product Description,Product Type,Productid,Qty,Time,URL
,13/05/2018,$64.17,An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture.,Cotton/Linen Ragg Sweater,BH-7941,24,18:45,https://www.example.com/product/BH_7941.html
,15/05/2018,$26.62,"This unique bundle includes the wood-burning camp Stove, Portable Grill, Kettle Pot with Coffee Press and a USB Lantern.",Camp Stove Bundle with Coffee Press,HK-8027,18,19:15,https://www.example.com/product/HK_8027.html
,18/05/2018,$64.14,"An exclusive, these colorblocked sandals are an absolutely beautiful and incredibly comfortable addition to your warm-weather wardrobe.",Sandals,AN-2099,30,20:00,https://www.example.com/product/AN_2099.html
,19/05/2018,$83.75,Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.,"Flannel Tunic, Plaid",AN-5746,33,20:15,https://www.example.com/product/AN_5746.html
,20/05/2018,$39.41,"Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating, even when wet.",Ragg Wool Hat,AN-5136,16,20:30,https://www.example.com/product/AN_5136.html
,21/05/2018,$88.45,"Spend more time relaxing outside with our low-maintenance coffee table. Like all of our furniture, it won't chip, peel, warp or crack.",Coffee Table,ZN-5503,21,20:45,https://www.example.com/product/ZN_5503.html
,22/05/2018,$68.74,"This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection, the highest possible.",Baseball Hat,ZN-4103,19,21:00,https://www.example.com/product/ZN_4103.html
,23/05/2018,$48.05,"With four reclining positions and backpack straps for easy carrying, this is the most comfortable and convenient folding beach chair we've ever offered.","Beach Chair, Print",GN-1741,2,21:15,https://www.example.com/product/GN_1741.html
,24/05/2018,$26.87,Designed to be the ultimate reversible jacket with two great options. We took the cozy comfort of plush fleece and combined it with the ultralight warmth of our insulation.,Men's Reversible Jacket,GN-5567,1,21:30,https://www.example.com/product/GN_5567.html
,25/05/2018,$12.98,"With flattering coverage, amazing stay-put shape and quick-dry comfort, our best-value one-piece bathing suit is designed for sun and surf. Made from premium Italian swim fabric in fun wave print.","Swimwear, Print",GN-3028,0,21:45,https://www.example.com/product/GN_3028.html
,26/05/2018,$11.06,"You wont find a sandal with better control or support than this. Its loaded with features like secure double-strap webbing, a podiatrist-certified footbed and a toe loop for extra forefoot stability.",Women's Sandals,YY-4147,2,22:00,https://www.example.com/product/YY_4147.html
,27/05/2018,$31.06,"Designed to resist wind and water, these click-to-fit ear warmers are made with insulation for even more warmth during outdoor activities.",Men's Ear Warmer,WH-3118,0,22:15,https://www.example.com/product/WH_3118.html
,28/05/2018,$72.91,"Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.","Tee, Traditional Fit, Long-Sleeve",WH-2859,1,22:30,https://www.example.com/product/WH_2859.html
this updated design makes it easy to tell time at a glance. New smaller size is perfect for men and women who want a classic field watch that's perfect for all occasions,30/05/2018,our lightweight camp lights take up minimal space,"and easy to keep on hand in case of a power outage."",""https://www.example.com/product/CC_2828.html"",
31/05/2018,15:30,3,HK-9973,$39.49,Women's Ventilated Hiking Shoes,""This lightweight",making them handy to bring on hikes and camping trips,"Two-Pack"",""Collapsed or extended","""1,CC-2828,$79.36,""Camp Light",23:00,"ventilated version of the best-selling trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions."",""https://www.example.com/product/HK_9973.html"",
21/06/2018,23:15,1,CC-5815,$13.57,Field Watch,""Inspired by watches worn by World War II infantrymen"
"form-fitting men's chino socks offer all-day comfort at home or work."",""https://www.example.com/product/YY_1894.html"",
26/06/2018,00:30,0,BH-1861,$82.12,Women's Socks,""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly."",""https://www.example.com/product/BH_1861.html"",
27/06/2018,17:15,1,RI-7731,$65.13,""Ceramic Lamp","both indoor and outdoor."",""https://www.example.com/product/CC_5815.html"",
22/06/2018,23:30,1,YY-2632,$27.84,Women's Capris,""These great cargo capris pants for women are designed for performance",perfect for camp,"Two-Pack"",""Made of moisture-wicking merino wool with nylon for durability and spandex for shape-retaining stretch","sports and play."",""https://www.example.com/product/YY_1196.html"",
24/06/2018,00:00,0,YY-1894,$13.52,""Men's Socks","and protected from the sun while you're out enjoying it."",""https://www.example.com/product/YY_2632.html"",
23/06/2018,23:45,0,YY-1196,$90.15,Girls' Tee,""This girls' fitness tee controls moisture and odor: all at a great price",dry,with built-in UPF 50+ to keep you cool,these soft
"this hydration pack measures up to your kids' trail hydration needs and your highest expectations."",""https://www.example.com/product/RI_7676.html"",
16/07/2018,17:00,3,RI-5314,$76.26,Fishing Sunglasses,""These sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection","Stripe"",""Bring light","rugged coastline."",""https://www.example.com/product/GN_1306.html"",
13/07/2018,10:30,1,GN-7767,$25.88,Men's Versatile Tote,""We combined details with your everyday needs to create this: an exceptional quality tote with a laptop compartment and enough room for all your other essentials."",""https://www.example.com/product/GN_7767.html"",
14/07/2018,10:45,0,GN-4624,$24.52,Summer Slip-On Sneakers,""Run a 5K",window shop in town - these summer slip-on sneakers do it all. They're breathable,rock hop at the shore,featuring an embroidered scene of a breathtaking,"wet weather out."",""https://www.example.com/product/ZN_7072.html"",
30/06/2018,10:15,2,GN-1306,$78.95,National Park Patch,""Were proud to offer the National Park collectible patch","texture and classic style to any space with this coast-inspired striped ceramic table lamp."",""https://www.example.com/product/RI_7731.html"",
29/06/2018,10:00,1,ZN-7072,$88.21,Kids' High Handles Boots,""Parents and little ones alike swear by this warm weatherproofing. Just pull these kids' handle boots on and seal the cold","quick drying and comfortably cushioned for whatever your day has in store."",""https://www.example.com/product/GN_4624.html"",
15/07/2018,16:45,20,RI-7676,$7.49,Kids' Hydration Pack,""Designed after the most popular adult hydration pack"
"to avoid sweating and freezing."",""https://www.example.com/product/BH_1085.html"",
24/07/2018,16:00,6,GN-2043,$23.25,""Men's Boots","great for fishermen who spend a lot of time on the water."",""https://www.example.com/product/RI_5314.html"",
17/07/2018,16:30,0,YY-7734,$73.42,Havana Hat,""The perfect complement to any summertime style: this fedora hat offers UPF 50+ protection and won't crunch or bend during your travels."",""https://www.example.com/product/YY_7734.html"",
18/07/2018,17:30,1,BH-7744,$56.76,Headlamp,""With proprietary construction",fleece-lined earband,remote-controlled heated insoles features thermal technology engineered to keep your feet warm,"staying warm on the slopes has never looked cooler."",""https://www.example.com/product/BH_7918.html"",
22/07/2018,18:30,1,BH-1085,$85.07,Heated Insoles,""This pair of water-resistant","Print"",""Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer: for comfort as the days and months get colder."",""https://www.example.com/product/YY_8580.html"",
20/07/2018,18:00,1,BH-7918,$63.7,Kids' Jumper Hat,""With ski-inspired style and a toasty","this bright headlamp sits comfortably on your forehead without bouncing or slipping."",""https://www.example.com/product/BH_7744.html"",
19/07/2018,17:45,1,YY-8580,$6.31,""Underwear",a front profile of only 9mm and weighing only 2.4 oz.,not hot
,"10"""" Shearling-Lined"",""With waterproof leather outside and soft",,,,"warmest boots ever. Handcrafted right here."",""https://www.example.com/product/GN_2043.html"",
",our lined Boots are very possibly the coolest,plush shearling inside,
