Id,Title,Author,Abstract,DOI,Kw,qry-heter,qry-n,qry-ieee-1,qry-ieee-2,qry-ieee-3
,A comparison of RESTful vs. SOAP web services in actuator networks,S. Malik; D. Kim,"RESTful and SOAP-based services are the two main Web provisioning services nowadays. RESTful services are becoming widely popular with the passage of time and are replacing SOAP-based Web services in many fields due to ease of use, deployment and light weightiness. Hence, a vital question of interest arises regarding better performance between RESTful and SOAP-based services. In this paper, we present the control system architecture using RESTful and SOAP-based protocol an indoor actuator networks. And, we aim to compare both the services by designing an indoor actuator networks based on SOAP and REST architectural styles.",10.1109/ICUFN.2017.7993893,REST (Representational state transfer);SOAP (Simple Object Access Protocol);Internet of Things (IoT); Simple object access protocol;Actuators;Protocols;Computer architecture;Performance evaluation; actuators;protocols;Web services; SOAP Web services;SOAP-based services;Web provisioning services;RESTful services;control system architecture;SOAP-based protocol;indoor actuator networks;REST architectural styles,,1,1,,
,Sharing service semantics using SOAP-based and REST Web services,Xuan Shi,This paper describes a method that combines the attributes from both SOAP-based and REST Web services in the same semantic service description framework and create a bridge between Web services and the Semantic Web under the same Internet Protocol (HTTP) without using any extra framework such as WSDL or SOAP. This method allows users to access the functional components of any software located in a remote machine while using distributed computing's power through an easy and understandable process,10.1109/MITP.2006.48,Web services;SOAP-based Web services;REST Web services; Web services;Simple object access protocol;Software systems;XML;Libraries;Distributed computing;Authentication;Software design;Representational state transfer;Web and internet services; object-oriented programming;semantic Web;transport protocols;XML; SOAP-based Web services;REST Web services;semantic service description framework;Semantic Web;Internet Protocol,,1,1,,
,Hierarchical RNN Networks for Structured Semantic Web API Model Learning and Extraction,S. Liu; Y. Li; G. Sun; B. Fan; S. Deng,"RESTful Web APIs have no description files like WSDL in traditional Web service. Although some REST API definition models have been arising recently, there is still lacking in structured description format for existing large mounts of Web APIs. Almost all Web APIs are documented in semi-structured web pages, and these documentation formats are various for different sites. It's hard for machine to read the semantics of Web APIs. In this paper, we have proposed a novel hierarchical recurrent neural network to convert REST API documentation to structured machine-readable description format -- the Swagger REST API specification. The network extracts the Swagger defined attributes of a REST API from HTML web pages without any feature engineering. With the extracted API specifications, we built an API repository to index, search and compose Web APIs. Experiment showed that the hierarchical RNN model performed well even with only a few training samples.",10.1109/ICWS.2017.85,Web API Extraction;Swagger;RNN; Web pages;Logic gates;Recurrent neural networks;HTML;Documentation;Semantics;Data mining; application program interfaces;learning (artificial intelligence);recurrent neural nets;semantic Web;Web services; hierarchical RNN networks;structured semantic Web API model learning;RESTful Web APIs;traditional Web service;REST API definition models;structured description format;semistructured web pages;REST API documentation;structured machine-readable description;Swagger REST API specification;HTML web pages;extracted API specifications;API repository;hierarchical RNN model;recurrent neural network;Swagger,,1,1,,
,A Case Study of Web API Evolution,"Sohan, S M and Anslow, C and Maurer, F","When applications are integrated using web APIs, changes on a web API may break the dependent applications. This problem exists because old versions of the APIs may no longer be supported, a lack of adequate documentation to upgrade to a newer version, and insufficient communication of changes. In this paper we conducted a case study of evolving Web APIs to investigate what changes are made between versions and how the changes are documented and communicated to the API users. The findings are a list of recommendations for practitioners and researchers based on API change profiles, versioning, documentation and communication approaches that are observed in practice. This study will help inform developers of evolving Web APIs to make decision about versioning, documentation and communication methods. © 2015 IEEE.",10.1109/SERVICES.2015.43,Case Study;RESTful;SOAP;Web API Evolution;WSDL; Google;Documentation;Facebook;Business;Simple object access protocol;Industries;XML; application program interfaces;Internet;software maintenance;system documentation; API change profiles;Web API versioning;Web API documentation;Web API communication,,1,1,,
,Mashup service release based on SOAP and REST,"Su, H and Cheng, B and Wu, T and Li, Huijie Su; Bo Cheng; Tong Wu; Xiaofeng","In recent years,with more and more Mashup services appering, this paper proposed the solution to Mashup service release based on SOAP and REST. This paper introduces the Mashup service architecture of three layer system, discusses the function of each layer, and supports the rapid generation of Mashup services and service management. At the same time, in this architecture the paper introducts the details of the SOAP and the REST Web service design and implementation, completes the registration, operation, updation and delete of the Mashup service in a variety of ways, and enhances the compatibility. © 2011 IEEE.",10.1109/ICCSNT.2011.6182150,SOAP Web Service;REST Web Service;Mashup; Mashups;Simple object access protocol;XML;Computer architecture;Instruction sets; Web services; mashup service release;SOAP;mashup service architecture;three layer system;service management;REST Web service design,,1,1,,
,"A Framework for Composing SOAP, Non-SOAP and Non-Web Services","Lee, J and Lee, S -J and Wang, P -F","Recently, there is a trend on developing mobile applications based on service-oriented architecture in numerous application domains, such as telematics and smart home. Although efforts have been made on developing composite SOAP services, little emphasis has been put on invoking and composing a combination of SOAP, non-SOAP, and non-web services into a composite process to execute complex tasks on various mobile devices. Main challenges are two-fold: one is how to invoke and compose heterogeneous web services with various protocols and content types, including SOAP, RESTful, and OSGi services; and the other is how to integrate non-web services, like web contents and mobile applications, into a composite service process. In this work, we propose an approach to invoking and composing SOAP, non-SOAP, and non-web services with two key features: an extended BPEL engine bundled with adapters to enable direct invocation and composition of SOAP, RESTful and OSGi services based on Adapter pattern; and two transformation mechanisms devised to enable conversion of web contents and Android activities into OSGi services. In the experimental evaluations, we demonstrate network traffic and turnaround time of our approach are better than those of the traditional ones. © 2008-2012 IEEE.",10.1109/TSC.2014.2310213,Heterogeneous service composition;web service;service composition engine; Simple object access protocol;Engines;Androids;Humanoid robots;Protocols;Mobile communication; Android (operating system);mobile computing;service-oriented architecture;Web services;Web Services Business Process Execution Language; SOAP service composition;nonSOAP service composition;nonWeb service composition;mobile applications;service-oriented architecture;composite SOAP service development;composite process;complex task execution;mobile devices;heterogeneous Web service composition;heterogeneous Web service invoking;RESTful service;OSGi service;nonWeb service integration;Web contents;composite service process;extended BPEL engine;Adapter pattern;transformation mechanisms;Android activities;network traffic;turnaround time,,1,1,,
,Towards a Reversible BPEL Debugger,L. Bao; S. Chen; X. Liu; S. Hu; P. Chen,"Despite the great momentum gained about the testing, analysis and verification of BPEL process, little attention has paid to the debugging issues, especially about the building of ad hoc debuggers. In this paper, we propose and implement RBDB (reversible BPEL debugger), a specially made reversible debugger for BPEL process. RBDB is built on the abstract debugging APIs to fulfill its functionality. A reversible concurrent debugging model and three strategies to handle different type of external Web services are introduced later. Finally, a comprehensive analysis of experiment data are presented. Evaluation results demonstrate that RBDB can improve users' efficiency significantly and decrease the invoking times of external services substantially.",10.1109/ICWS.2008.48,BPEL;Reversible Debugging;Debugging Model;Web Services; Debugging;Web services;History;Service oriented architecture;Switches;Software engineering;Software testing;Data analysis;Kernel;Control systems; application program interfaces;business data processing;program debugging;specification languages;Web services; reversible BPEL debugger;BPEL process testing;BPEL process verification;BPEL process analysis;abstract debugging API;reversible concurrent debugging model;Web service,,1,1,,
,Investigating Web APIs on the World Wide Web,"Maleshkova, M and Pedrinaci, C and Domingue, J","The world of services on the Web, thus far limited to ""classical"" Web services based on WSDL and SOAP, has been increasingly marked by the domination of Web APIs, characterised by their relative simplicity and their natural suitability for the Web. Currently, the development of Web APIs is rather autonomous, guided by no established standards or rules, and Web API documentation is commonly not based on an interface description language such as WSDL, but is rather given directly in HTML as part of a webpage. As a result, the use of Web APIs requires extensive manual effort and the wealth of existing work on supporting common service tasks, including discovery, composition and invocation, can hardly be reused or adapted to APIs. Before we can achieve a higher level of automation and can make any significant improvement to current practices and technologies, we need to reach a deeper understanding of these. Therefore, in this paper we present a thorough analysis of the current landscape of Web API forms and descriptions, which has up-to-date remained unexplored. We base our findings on manually examining a body of publicly available APIs and, as a result, provide conclusions about common description forms, output types, usage of API parameters, invocation support, level of reusability, API granularity and authentication details. The collected data provides a solid basis for identifying deficiencies and realising how we can overcome existing limitations. More importantly, our analysis can be used as a basis for devising common standards and guidelines for Web API development. © 2010 IEEE.",10.1109/ECOWS.2010.9,Web APIs;RESTful services;Web services; Mashups;XML;Documentation;Authentication;Correlation;Manuals; application program interfaces;hypermedia markup languages;service-oriented architecture;Web services; Web API;World Wide Web;Web services;WSDL;SOAP;interface description language;HTML;Webpage;authentication,,1,1,,
,From Open API to Semantic Specifications and Code Adapters,"Schwichtenberg, S and Gerth, C and Engels, G","Today, modern IT-systems are often an interplay of third-party web services. Developers in their role as requesters integrate existing services of different providers into new IT-systems. Providers use frameworks like Open API to create syntactic service specifications from which requesters generate code to integrate services. Proper service discovery is crucial to identify usable services in the growing plethora of third-party services. Most advanced service discovery approaches rely on semantic specifications, e.g., OWL-S. While semantic specifications are crucial for a precise discovery, syntactical specification are needed for service invocation. To close the gap between semantic and syntactic specifications, service grounding establishes links between the semantic and syntactic specifications. However, for a large number of web services still no semantic specification or grounding exists. In this paper, we present an approach that semi-automates the semantic specification of web services for service providers and additionally helps service requesters to leverage semantic web services. Our approach enables a higher degree of automation than other approaches. This includes the creation of semantic specifications and service groundings for service providers as well as the integration of services for requesters by using our code generator. As proof-of-concept, we provide a case study, where we derive a sophisticated semantic OWL-S specification from a syntactic Open API specification. © 2017 IEEE.",10.1109/ICWS.2017.56,Open API;RESTful;Grounding;Semantic Web Services;Lifting;Lowering;Adapter Generation;Service Invocation; Semantics;Syntactics;Ontologies;Web services;Grounding;Java;Generators; application program interfaces;knowledge representation languages;semantic Web;Web services; third-party web services;syntactic service specifications;service invocation;service grounding;service providers;service requesters;syntactic Open API specification;semantic OWL-S specification;code adapters;semantic Web services;service discovery,,1,1,,
,Migration of SOAP-based services to RESTful services,"Upadhyaya, B and Zou, Y and Xiao, H and Ng, J and Lau, A","Web services are designed to provide rich functionality for organizations and support interoperable interactions over a network. Web services are mainly realized in two ways: 1) SOAP-based services and 2) RESTful services. For the service providers, RESTful services can improve system flexibility, scalability, and performance as compared to the SOAP-based Web services. It is equally attractive to end users as it is consume less resources (i.e., battery, processor speed, and memory). Additionally, REST-based services do not include complex standards and heterogeneous operations; and hence are easier to consume and compose as compared to SOAP-based Web services. We provide an approach to migrate SOAP-based services to RESTful services. We identify resources from a SOAP-based Web service by analyzing its service description and mapping the contained operations to resources and HTTP methods. To demonstrate the effectiveness of our approach, we conduct a case study on a set of publicly available SOAP-based Web services. The results of our case study show that our approach can achieve high accuracy of identifying RESTful services from the interfaces of SOAP-based services. Our approach can improve the performance for invoking Web services after SOAP-based services are migrated to RESTful services. © 2011 IEEE.",10.1109/WSE.2011.6081828,Service Migration;RESTful Services;SOAP Services;Thin Clients; Cities and towns;Semantics;Simple object access protocol;Protocols;Mobile communication;XML; Web services; SOAP-based services;RESTful services;service providers;SOAP-based Web services;service description;HTTP method,,1,1,,
,Web services SOAP optimization techniques,A. W. Mohamed; A. M. Zeki,"SOAP is a web service mostly used by enterprise web applications, it provides simplicity, ease of use, easy extensibility, security and standardization. SOAP's poor performance is putting its usefulness into jeopardy especially where high performance cannot be compromised, for instance in the portable devices and scientific applications. Proper configuration and conversion of messages during web communication are one of the main bottlenecks. This paper describes the concept of SOAP and different ways to configure it based on the scenario needs. SOAP optimization techniques that can help in boosting in the performance and bypassing the bottlenecks are studied in this research. These techniques do not change the SOAP technology. The implementation and performance study show that the techniques widely improve the performance of SOAP web services. Several factors that improve the proper utilization of SOAP functionalities, enabling only those required and proper differential serialization of XML messages will be explored. This improvement can increase its capabilities and use in a wider scope.",10.1109/ICETAS.2017.8277881,component;Web Services;Optimization;SOAP;REST;WSDL; Simple object access protocol;Testing;Optimization;Tools;XML;Standards; business data processing;optimisation;service-oriented architecture;Web services; web communication;SOAP web services;web service;enterprise web applications;SOAP optimization techniques;Simple Object Access Protocol,,1,1,,
,Latencies of Service Invocation and Processing of the REST and SOAP Web Service Interfaces,T. Aihkisalo; T. Paaso,"This paper studies the latencies experienced by the Web service client invoking a proprietary multimedia messaging service with both REST and SOAP interfaces implemented. This study has been made utilising XML, JSON, MTOM/XOP and Google Protostuff message and message content encodings where available. We study the overall round trip time from the start of the request to the response returning to the client. Furthermore, we measure and analyse the phases the request travels through to the server and the return of an associated response. The results of the overall round trip time and distribution of the delays along the service invocation path is presented to ultimately aid and justify a selection of the better performing interface implementation and associated message encoding scheme for the solution. Both interfaces implement the same functionality of registering a client, sending and receiving a message and finally unregistering. Therefore, the results are highly comparable which show differences not only between REST and SOAP but also between XML and JSON and how it can be further improved.",10.1109/SERVICES.2012.55,REST;SOAP;WS;HTTP; Simple object access protocol;Delay;Servers;Message service;Encoding;XML; client-server systems;electronic messaging;multimedia communication;protocols;Web services;XML; REST Web service interface processing;SOAP Web service interface processing;service invocation latencies;multimedia messaging service;XML;JSON;MTOM/XOP;Google Protostuff message;message content encodings;overall round trip time;delay distribution;service invocation path;client registration,,1,1,,
,QoS-Aware Selection of Web APIs Based on ε-Pareto Genetic Algorithm,"Ma, S -P and Lan, C -W and Ho, C -T and Ye, J -H","Web API is the lightweight version to the SOAP (Simple Object Access Protocol) service and usually applies REST (Representational State Transfer) as the architectural style. Nowadays, the service-oriented computing paradigm is shifting from the SOAP services to the Web APIs, i.e., RESTful services. Rather than hard coding from scratch, the methodology of service-oriented computing emphasizes identifying the granularity services and composing services into executable applications. Quality of Service (QoS) is always an important concern in the selection of services. The QoS driven service selection problem for service composition has been proven as NP-Complete since there are nm combinations for a given composite service involving m tasks with n candidate services for each task. To address this issue, this study proposes a methodology based on Genetic Algorithms for the selection of Web APIs. The proposed approach in this research provide several features: 1) ϵ-Pareto dominance relations are introduced to help the discrimination of composite QoS, 2) the ϵ value for each dimension is determined by the AHP-based method (AHP: Analytic Hierarchy Process), and 3) the Genetic Algorithm is employed to find out the optimal combinations of Web APIs. Experimental results demonstrate that the proposed approach can effectively locate the combination of Web APIs based on the user-preferred QoS indicators without sacrificing other kinds of service quality. © 2016 IEEE.",10.1109/ICS.2016.0122,Service Selection;Service Composition;Service Optimization;Web API;Genetic Algorithm; Quality of service;Genetic algorithms;Optimization;Time factors;Simple object access protocol;Linear programming;Hypercubes; access protocols;analytic hierarchy process;application program interfaces;computational complexity;genetic algorithms;quality of service;service-oriented architecture; QoS-aware selection;Web API;ε-Pareto genetic algorithm;SOAP;simple object access protocol;REST;representational state transfer;service-oriented computing paradigm;quality of service;QoS;NP-complete problem;AHP;analytic hierarchy process,,1,1,,
,RESTful web services composition &amp; performance evaluation with different databases,"Sakthivel, U and Singhal, N and Raj, P","Service composition is a popular mechanism to orchestrate different and distributed services to produce composite services. Composed services are typically businesscentric, and process-aware. There are a variety of use cases mandating such kinds of service compositions. With services emerging as the most appropriate building block and the unit of deployment, finding, composing, binding and leveraging services turns out to be an important job for software architects and developers. However, service composition is not an easy affair. There are several methods proposed by various researchers and scholars across the globe. Several parameters and considerations are being made in order to simplify and streamline service composition. Predominantly there are SOAP and RESTful services. There are markup languages to describe and define the distinct capabilities of participating services. In the recent past, a new architectural style (Microservices architecture (MSA)) is emerging and evolving fast. Microservices are lightweight, autonomous, self-defined, horizontally scalable, interoperable, and composable. In this paper, we have leveraged different databases for different services and evaluated the service performance individually and collectively. That is, multiple services are used and each service uses a database instance. © 2017 IEEE.",10.1109/ICEECCOT.2017.8284608,SOAP;RESTful;Composition of services; Databases;Simple object access protocol;Business;Standards;Hospitals; database management systems;distributed processing;software architecture;Web services; databases;distributed services;RESTful web services composition;performance evaluation;SOAP services;multiple services;service performance;participating services;RESTful services;composed services;composite services;service composition,,1,1,,
,Service-Level Interoperability Issues of Platform as a Service,"Andročec, D and Vrček, N and Küngas, P","The numerous heterogeneities among different providers make platform as a service interoperability an interesting and complex research and practical problem. For example, each provider offers its own remote application programming interfaces (APIs). The main aim of this paper is to identify and address service-level interoperability issues when using APIs from different commercial providers of platform as a service. First, we define use case to add current user information from one platform as a service offer to the application hosted on another offer. To address interoperability problems, the ontology driven data mediation will be used and tested in this use case. Remote vendors' APIs are implemented as web services. Resulting web operations and their inputs/outputs are semantically annotated using cross-PaaS concepts from the developed platform as a service OWL ontology. Next, SAWSDL and XSLT are used to define service type mappings. Actual composition of platform as a service APIs is implemented by means of AI planner and developed Java web application. Testing and validation was performed on a case where current Sales force's user is added to data container in Vosao content management system deployed on Google App Engine. Novelty of the paper is a specific application domain (composition of operations defined in PaaS APIs) and new algorithm for identification of interoperability problems. © 2015 IEEE.",10.1109/SERVICES.2015.60,platform as a service;interoperability;service composition;cloud APIs;ontology driven mediation; Platform as a service;Ontologies;Interoperability;Mediation;Java;Semantics; application program interfaces;ontologies (artificial intelligence);open systems;Web services; service-level interoperability issues;platform-as-a-service;application programming interface;API;user information;ontology driven data mediation;Web services;service OWL ontology;Web ontology language;SAWSDL;XSLT;cross-PaaS concepts;Java Web application;Vosao content management system;Google App Engine,1,1,1,,
