"Departmental Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Vat Registration Num"
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","COUNTY DURHAM PCT","HAFS-10503",82483000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","COVENTRY TEACHING PCT","HAFS-10504",5.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CROYDON PCT","HAFS-10505",5e+07,""
"Department of Health","Department of Health",2011-04-01,"CFH Prepay & accrue inc (ST)","More than one directorate","CSC COMPUTER SCIENCES LTD","CHAPS1/4/11",2e+08,""
"Department of Health","Department of Health",2011-04-01,"Addition Clearing - IT","NHS Chief Information Officer","CSC COMPUTER SCIENCES LTD","CHAPS1/4/11.",316317.01,""
"Department of Health","Department of Health",2011-04-01,"Addition Clearing - IT","NHS Chief Information Officer","CSC COMPUTER SCIENCES LTD","CHAPS1/4/11.",4548371.01,""
"Department of Health","Department of Health",2011-04-01,"Addition Clearing - IT","NHS Chief Information Officer","CSC COMPUTER SCIENCES LTD","CHAPS1/4/11.",5800971.98,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","CUMBRIA PCT","HAFS-10506",9e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","DARLINGTON PCT","HAFS-10507",15671000,""
"Department of Health","Department of Health",2011-04-01,"Service charge","NHS FINANCE PERFORMANCE & OPERATIONS","DEAN CLOUGH LTD","10982",30937.48,""
"Department of Health","Department of Health",2011-04-01,"Rent of Land & Buildings (non-PFI operating lease)","NHS FINANCE PERFORMANCE & OPERATIONS","DEAN CLOUGH LTD","10791",210200.33,""
"Department of Health","Department of Health",2011-04-01,"Other programme expenditure","HEALTH PROTECTION AND IMPROVEMENT","DEPARTMENT FOR TRANSPORT (DFT)","9300099002",5e+06,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","DERBY CITY PCT","HAFS-10508",3.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","DERBYSHIRE COUNTY PCT","HAFS-10509",9.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","DEVON PCT","HAFS-10510",92500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","DONCASTER PCT","HAFS-10511",4.6e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","DORSET PCT","HAFS-10512",5.8e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","DUDLEY PCT","HAFS-10513",4.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","EALING PCT","HAFS-10514",4.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","EAST LANCASHIRE PCT","HAFS-10515",4.6e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","EAST MIDLANDS SHA","HAFS-10516",3.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","EAST OF ENGLAND SHA","HAFS-10517",6.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","EAST RIDING OF YORKSHIRE PCT","HAFS-10518",32500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","EAST SUSSEX DOWNS & WEALD PCT","HAFS-10519",4.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","EASTERN & COASTAL KENT PCT","HAFS-10520",1e+08,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","ENFIELD PCT","HAFS-10521",2.6e+07,""
"Department of Health","Department of Health",2011-04-01,"Computer Software/License","INFORMATICS","ERNST & YOUNG LLP","12707084",65000,""
"Department of Health","Department of Health",2011-04-01,"External Consultancy Fees","INFORMATICS","ERNST & YOUNG LLP","12707084",530240.89,""
"Department of Health","Department of Health",2011-04-01,"Travel & subsistence staff","FINANCE & OPERATIONS (DM)","EXPOTEL HOTEL RESERVATIONS LTD","702278",-113158.23,""
"Department of Health","Department of Health",2011-04-01,"Travel & subsistence staff","FINANCE & OPERATIONS (DM)","EXPOTEL HOTEL RESERVATIONS LTD","702278",92.16,""
"Department of Health","Department of Health",2011-04-01,"Conferences & seminars","FINANCE & OPERATIONS (DM)","EXPOTEL HOTEL RESERVATIONS LTD","702278",80827.31,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","GATESHEAD PCT","HAFS-10522",24600000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","GLOUCESTERSHIRE PCT","HAFS-10523",8.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","GREAT YARMOUTH AND WAVENY PCT","HAFS-10524",26800000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","GREENWICH TEACHING PCT","HAFS-10525",3.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HALTON & ST HELENS PCT","HAFS-10526",5.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HAMMERSMITH AND FULHAM PCT","HAFS-10527",34500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HAMPSHIRE PCT","HAFS-10528",1.42e+08,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HARINGEY TEACHING PCT","HAFS-10529",5.1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HARROW PCT","HAFS-10530",3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HARTLEPOOL PCT","HAFS-10531",13400000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HASTINGS & ROTHER PCT","HAFS-10532",25500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HAVERING PCT COMMISSIONING","HAFS-10533",4.8e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HEALTH AND SOCIAL CARE INFORMATION CENTRE","HAFS-10366",4e+06,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HEART OF BIRMINGHAM TEACHING PCT","HAFS-10367",4.6e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HEREFORDSHIRE PCT","HAFS-10368",2.9e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HERTFORDSHIRE PCT","HAFS-10369",1.35e+08,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HEYWOOD MIDDLETON & ROCHDALE PCT","HAFS-10370",27500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HILLINGDON PCT","HAFS-10371",29300000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HOUNSLOW PCT","HAFS-10372",3.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","HULL PCT","HAFS-10373",3.7e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","ISLE OF WIGHT NHS PCT","HAFS-10374",1.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","ISLINGTON PCT","HAFS-10375",40514000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","KENSINGTON AND CHELSEA PCT","HAFS-10376",2.8e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","KINGSTON PCT","HAFS-10377",2.1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","KIRKLEES PCT","HAFS-10378",4.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","KNOWSLEY PCT","HAFS-10379",2.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LAMBETH PCT","HAFS-10380",5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LEEDS PCT","HAFS-10381",120256000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LEICESTER CITY PCT","HAFS-10382",3.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LEICESTERSHIRE COUNTY & RUTLAND PCT","HAFS-10383",5.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LEWISHAM PCT","HAFS-10384",3.9e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LINCOLNSHIRE PCT","HAFS-10385",9e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LIVERPOOL PCT","HAFS-10386",65615000,""
"Department of Health","Department of Health",2011-04-01,"Contactor/ Staff Subsitution","COMMISSIONING","LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE","50019330",-68295.5,""
"Department of Health","Department of Health",2011-04-01,"Contactor/ Staff Subsitution","COMMISSIONING","LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE","50019330",68295.5,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LONDON SHA","HAFS-10387",1.5e+08,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","LUTON TEACHING PCT","HAFS-10388",23200000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","MANCHESTER PCT","HAFS-10389",7.5e+07,""
"Department of Health","Department of Health",2011-04-01,"Professional fees","COMMISSIONING","MARKET AND OPINION RESEARCH INTERNATIONAL LTD","11000360",153916,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","MEDWAY TEACHING PCT","HAFS-10390",3.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","MID ESSEX PCT","HAFS-10391",3.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","MIDDLESBOROUGH PCT","HAFS-10392",2.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","MILTON KEYNES PCT","HAFS-10393",2.6e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE)","HAFS-10394",5e+06,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA)","HAFS-10395",1693000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NEWCASTLE PCT","HAFS-10396",3.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NEWHAM PCT","HAFS-10397",5.1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NHS BUSINESS SERVICES AUTHORITY (NHSBSA)","HAFS-10398",47010000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev ND In RAB","FINANCE & OPERATIONS (DM)","NHS BUSINESS SERVICES AUTHORITY (NHSBSA)","HAFS-10399",1.671e+09,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT","HAFS-10400",3500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NHS LITIGATION AUTHORITY","HAFS-10401",7e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORFOLK PCT","HAFS-10402",9e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH EAST ESSEX PCT","HAFS-10403",3.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH EAST LINCOLNSHIRE CARE TRUST PLUS","HAFS-10404",25100000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH EAST SHA","HAFS-10405",2.6e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH LANCASHIRE PCT","HAFS-10406",40144000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH LINCOLNSHIRE PCT","HAFS-10407",20100000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH SOMERSET PCT","HAFS-10408",3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH STAFFORDSHIRE PCT","HAFS-10409",22250000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH TYNESIDE PCT","HAFS-10410",30100000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH WEST SHA","HAFS-10411",59400000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTH YORKSHIRE & YORK PCT","HAFS-10412",9.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTHAMPTONSHIRE PCT","HAFS-10413",7.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NORTHUMBERLAND CARE TRUST","HAFS-10414",41500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NOTTINGHAM CITY PCT","HAFS-10415",3.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","NOTTINGHAMSHIRE COUNTY TEACHING PCT","HAFS-10416",7.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","OLDHAM PCT","HAFS-10417",2.9e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","OXFORDSHIRE PCT","HAFS-10418",7.8e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","PETERBOROUGH PCT","HAFS-10419",2.1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","PLYMOUTH TEACHING PCT","HAFS-10420",3.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","PORTSMOUTH CITY TEACHING PCT","HAFS-10421",2.9e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","REDBRIDGE PCT","HAFS-10422",3.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","REDCAR AND CLEVELAND PCT","HAFS-10423",20300000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","RICHMOND AND TWICKENHAM PCT","HAFS-10424",2.1e+07,""
"Department of Health","Department of Health",2011-04-01,"Other programme expenditure","HEALTH PROTECTION AND IMPROVEMENT","ROSLIN INSTITUTE","Z0020627",43299,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","ROTHERHAM PCT","HAFS-10425",33500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SALFORD PCT","HAFS-10426",3.1e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SANDWELL PCT","HAFS-10427",4.3e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SEFTON PCT","HAFS-10428",4.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SHEFFIELD PCT","HAFS-10429",6.5e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SHROPSHIRE COUNTY PCT","HAFS-10430",34230000,""
"Department of Health","Department of Health",2011-04-01,"Raw materials & consumables","NHS MEDICAL DIRECTOR","SIGMA PHARMACEUTICALS PLC","I107435",171998.95,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SOLIHULL PCT","HAFS-10431",2.7e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SOMERSET PCT","HAFS-10432",5.7e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SOUTH BIRMINGHAM PCT","HAFS-10433",48500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SOUTH CENTRAL SHA","HAFS-10434",2.8e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SOUTH EAST COAST SHA","HAFS-10435",3.2e+07,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SOUTH EAST ESSEX PCT","HAFS-10436",38500000,""
"Department of Health","Department of Health",2011-04-01,"CASH FUNDING Rev Inside RAB","FINANCE & OPERATIONS (DM)","SOUTH GLOUCESTERSHIRE PCT","HAFS-10437",32500000,""
"Department of Health","Department of Health",2011-04-01,"Contactor/ Staff Subsitution","HEALTH PROTECTION AND IMPROVEMENT","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","M0054166",264138.75,""
"Department of Health","Department of Health",2011-04-01,"Professional fees","HEALTH PROTECTION AND IMPROVEMENT","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","M0054166",-264138.75,""
