"time[s]","posx[m]","posy[m]","pospathx[m]","pospathy[m]","vel[km/h]","accx[m/ss]","yaw[rad]"
3.3,433.868,-101.435,434.665,-103.276,0,0,-1.162216
3.4,433.868,-101.435,434.665,-103.276,0,0,-1.162195
3.5,433.868,-101.435,434.665,-103.276,0,0,-1.162166
3.6,433.868,-101.435,434.665,-103.276,0,0,-1.162134
3.7,433.868,-101.435,434.665,-103.276,0,0,-1.162092
3.8,433.868,-101.435,434.665,-103.276,0,0,-1.162034
3.9,433.868,-101.435,434.665,-103.276,0,0,-1.161964
4,433.8685,-101.436,434.665,-103.277,0.04,0.11,-1.161885
4.1,433.87,-101.438,434.667,-103.279,0.15,0.31,-1.161794
4.2,433.872,-101.4445,434.669,-103.285,0.34,0.51,-1.161691
4.3,433.878,-101.4565,434.675,-103.297,0.6,0.71,-1.161571
4.4,433.886,-101.476,434.683,-103.317,0.92,0.91,-1.161447
4.5,433.8985,-101.5045,434.696,-103.345,1.33,1.11,-1.161303
4.6,433.9165,-101.5445,434.714,-103.385,1.8,1.31,-1.161142
4.7,433.939,-101.5975,434.737,-103.438,2.34,1.51,-1.160981
4.8,433.9685,-101.6645,434.767,-103.505,2.92,1.61,-1.160799
4.9,434.0045,-101.747,434.803,-103.587,3.55,1.76,-1.160617
5,434.048,-101.846,434.847,-103.686,4.21,1.82,-1.160423
5.1,434.099,-101.962,434.899,-103.802,4.88,1.88,-1.160221
5.2,434.1575,-102.0955,434.958,-103.935,5.58,1.94,-1.160006
5.3,434.224,-102.2475,435.025,-104.087,6.3,2,-1.159787
5.4,434.2985,-102.418,435.1,-104.257,7.05,2.07,-1.159555
5.5,434.382,-102.6075,435.184,-104.446,7.82,2.14,-1.159324
5.6,434.474,-102.8175,435.277,-104.656,8.61,2.2,-1.159096
5.7,434.575,-103.047,435.378,-104.885,9.41,2.22,-1.15886
5.8,434.685,-103.2975,435.489,-105.135,10.21,2.22,-1.15862
5.9,434.804,-103.5685,435.609,-105.406,11.01,2.22,-1.158388
6,434.932,-103.8595,435.737,-105.697,11.8,2.21,-1.158148
6.1,435.069,-104.171,435.875,-106.008,12.6,2.2,-1.157917
6.2,435.215,-104.502,436.021,-106.339,13.39,2.2,-1.157693
6.3,435.3695,-104.8535,436.176,-106.69,14.17,2.19,-1.15747
6.4,435.533,-105.2255,436.34,-107.062,14.96,2.18,-1.157942
6.5,435.7055,-105.617,436.513,-107.453,15.74,2.17,-1.159524
6.6,435.887,-106.0285,436.695,-107.865,16.52,2.16,-1.161969
6.7,436.077,-106.46,436.885,-108.296,17.3,2.16,-1.163604
6.8,436.2765,-106.911,437.085,-108.747,18.07,2.15,-1.164473
6.9,436.4835,-107.382,437.292,-109.218,18.84,2.14,-1.164726
7,436.7,-107.872,437.509,-109.708,19.61,2.13,-1.164482
7.1,436.925,-108.382,437.734,-110.218,20.37,2.12,-1.163222
7.2,437.158,-108.9115,437.967,-110.747,21.13,2.11,-1.159033
7.3,437.4005,-109.4605,438.21,-111.296,21.89,2.09,-1.15253
7.4,437.6505,-110.0275,438.46,-111.863,22.63,2.07,-1.144178
7.5,437.9095,-110.6145,438.719,-112.45,23.37,2.06,-1.134367
7.6,438.1765,-111.22,438.986,-113.055,24.1,2.04,-1.121604
7.7,438.4265,-111.877,439.202,-113.727,24.83,2.02,-1.106607
7.8,438.6575,-112.583,439.378,-114.455,25.55,2,-1.089925
7.9,438.8875,-113.3135,439.565,-115.202,26.27,1.98,-1.071976
8,439.09,-113.762,439.809,-115.635,26.97,1.96,-1.052417
8.1,439.363,-114.359,440.121,-116.216,27.67,1.95,-1.031603
8.2,439.6485,-114.97,440.438,-116.814,28.37,1.93,-1.00989
8.3,439.946,-115.594,440.761,-117.427,29.06,1.91,-0.987514
8.4,440.279,-116.2085,441.144,-118.018,29.74,1.89,-0.965026
8.5,440.7175,-116.7595,441.724,-118.495,30.41,1.88,-0.94248
8.6,441.1875,-117.3175,442.301,-118.986,31.08,1.86,-0.919896
8.7,441.6855,-117.881,442.881,-119.492,31.75,1.85,-0.897689
8.8,442.2095,-118.4485,443.468,-120.01,32.41,1.84,-0.87705
8.9,442.8535,-118.979,444.233,-120.436,33.07,1.82,-0.857498
9,443.533,-119.5075,444.998,-120.878,33.72,1.81,-0.838684
9.1,444.242,-120.034,445.768,-121.336,34.37,1.8,-0.820969
9.2,444.976,-120.5605,446.546,-121.809,35.01,1.78,-0.80345
9.3,445.787,-121.08,447.41,-122.259,35.65,1.77,-0.785963
9.4,446.63,-121.597,448.292,-122.72,36.28,1.76,-0.769895
9.5,447.495,-122.113,449.184,-123.195,36.91,1.75,-0.755009
9.6,448.38,-122.6305,450.088,-123.682,37.53,1.73,-0.741027
9.7,449.3115,-123.195,451.023,-124.241,38.15,1.72,-0.727747
9.8,450.2615,-123.7715,451.975,-124.815,38.76,1.71,-0.715604
9.9,451.2265,-124.3555,452.941,-125.397,39.38,1.7,-0.706502
10,452.195,-124.9725,453.899,-126.031,39.98,1.68,-0.699784
