"Department family","Entity","Date","Expense type","Expense area","Supplier","Transaction number","Amount"
"HMRC","HMRC",2011-01-12,"Dept forms Stock","Commercial Directorate","St Ives Direct",5100082718,4089
"HMRC","HMRC",2011-01-12,"Legal Service Sol's","Specialist Investigations (SI)","Howes Percival Solicitors",5100082736,111207.83
"HMRC","HMRC",2011-01-12,"Legal Serv's Credit","Specialist Investigations (SI)","Howes Percival Solicitors",5100082736,26998.38
"HMRC","HMRC",2011-01-12,"Legal Service Sol's","Specialist Investigations (SI)","Howes Percival Solicitors",5100082740,113904.34
"HMRC","HMRC",2011-01-12,"Legal Serv's Credit","Specialist Investigations (SI)","Howes Percival Solicitors",5100082740,28847.1
"HMRC","HMRC",2011-01-12,"Postal delivery serv","Commercial Directorate","Royal Mail Wholesale",5100082797,2648280.32
"HMRC","HMRC",2011-01-12,"Postal delivery serv","Commercial Directorate","Royal Mail Wholesale",5100082799,-193301.17
"HMRC","HMRC",2011-01-12,"Vehicle servicing ma","Commercial Directorate","Inchcape Fleet Solutions",5100082805,50282.89
"HMRC","HMRC",2011-01-12,"Vehicle servicing ma","Commercial Directorate","Inchcape Fleet Solutions",5100082805,5481.24
"HMRC","HMRC",2011-01-12,"Vehicle servicing ma","Commercial Directorate","Inchcape Fleet Solutions",5100082805,900.97
"HMRC","HMRC",2011-01-13,"Mail delivery/pickup","Commercial Directorate","DWP",5100082816,40209.18
"HMRC","HMRC",2011-01-13,"Oth PFI unitary chrg","Estates & Support Services","Haymarket SPV Ltd",5100082818,163735.51
"HMRC","HMRC",2011-01-13,"Oth PFI unitary chrg","Estates & Support Services","LR (Manchester) Limited",5100082821,845381.3
"HMRC","HMRC",2011-01-13,"Filtered Mains Drinking Water","Estates & Support Services","Mapeley Steps Limited",5100082822,31786.1
"HMRC","HMRC",2011-01-13,"Oth PFI unitary chrg","Estates & Support Services","LR Stockport Ltd",5100082824,167228
"HMRC","HMRC",2011-01-13,"Oth PFI unitary chrg","Estates & Support Services","Cochrane Square S P V LTD",5100082825,167320.42
"HMRC","HMRC",2011-01-13,"Filtered Mains Drinking Water","Estates & Support Services","Mapeley Steps Limited",5100082897,32670.29
"HMRC","HMRC",2011-01-13,"Min AW non-struc VAT","Estates & Support Services","Mapeley Steps Limited",5100083102,460026.5
"HMRC","HMRC",2011-01-13,"Bank Charges CSH/CHQ","Finance & Internal Audit","Alliance and Leicester",5100083184,45052.04
"HMRC","HMRC",2011-01-13,"Bank Charges CSH/CHQ","Finance & Internal Audit","Alliance and Leicester",5100083185,115792.04
"HMRC","HMRC",2011-01-13,"Research (VAT rec)","Knowledge, Analysis & Intelligence","TNS-BMRB",5100083194,68551.85
"HMRC","HMRC",2011-01-14,"Seized Goods Cont","Specialist Investigations (SI)","Veolia Environmental Services Plc",5100083604,47205.11
"HMRC","HMRC",2011-01-14,"Commission Fees","Debt Management & Banking","Fairfax Solicitors Limited",5100083668,257547.18
"HMRC","HMRC",2011-01-14,"OHS","People Function","Capita Health Solutions Limited",5100083705,146689.95
"HMRC","HMRC",2011-01-14,"Commission Fees","Debt Management & Banking","iQor holdings Limited",5100083724,208938.55
"HMRC","HMRC",2011-01-14,"Commission Fees","Debt Management & Banking","Credit Solutions",5100083728,180064
"HMRC","HMRC",2011-01-14,"Court Fees","Debt Management & Banking","The Insolvency Service",5100083830,302260
"HMRC","HMRC",2011-01-14,"STEPS VAT Indemnity","Estates & Support Services","Mapeley Steps Limited",5100083831,3988041.73
"HMRC","HMRC",2011-01-14,"Gov Bank Serv Charge","Finance & Internal Audit","RBS - Natwest",5100083845,105855.12
"HMRC","HMRC",2011-01-17,"Employee education","People Function","Geoff Hart Training and Development",5100084092,70499.99
"HMRC","HMRC",2011-01-17,"Employee education","Estates & Support Services","Geoff Hart Training and Development",5100084092,27594.15
"HMRC","HMRC",2011-01-17,"Rent","Estates & Support Services","BTW Shiells",5100084149,70770
"HMRC","HMRC",2011-01-17,"Landlord Charges","Estates & Support Services","BTW Shiells",5100084149,14599.2
"HMRC","HMRC",2011-01-17,"Vehicle leasing","Commercial Directorate","Inchcape Fleet Solutions",5100084166,36136.78
"HMRC","HMRC",2011-01-17,"Vehicle servicing ma","Commercial Directorate","Inchcape Fleet Solutions",5100084167,55019.75
"HMRC","HMRC",2011-01-17,"Vehicle servicing ma","Commercial Directorate","Inchcape Fleet Solutions",5100084176,81305.66
"HMRC","HMRC",2011-01-17,"Mail and Fulfilment","Commercial Directorate","BSS Scotland Ltd",5100084177,62555.06
"HMRC","HMRC",2011-01-17,"Specialty envelopes","Commercial Directorate","Banner Business Services Ltd",5100084236,44100
"HMRC","HMRC",2011-01-17,"Payroll services","People Function","Department for Work & Pension",5100084311,155755.2
"HMRC","HMRC",2011-01-18,"STEPS FUP","Estates & Support Services","Mapeley Steps Limited",1700105117,-49889.98
"HMRC","HMRC",2011-01-18,"Gas","Estates & Support Services","Corona Energy",5100084330,56456.2
"HMRC","HMRC",2011-01-18,"Crown Sol's Off NI","Debt Management & Banking","Crown Solicitors Office",5100084516,40231
"HMRC","HMRC",2011-01-18,"Govt dept services","People Function","Right Corecare",5100084527,116740.43
"HMRC","HMRC",2011-01-18,"Business Consultancy","People Function","Deloitte M C S Ltd",5100084591,111008.65
"HMRC","HMRC",2011-01-18,"STEPS FUP VAT recvbl","Estates & Support Services","Mapeley Steps Limited",5100084629,465900.52
"HMRC","HMRC",2011-01-18,"Security services","Estates & Support Services","Mapeley Steps Limited",5100084629,214166.6
"HMRC","HMRC",2011-01-18,"Security services","Estates & Support Services","Mapeley Steps Limited",5100084632,79435.5
"HMRC","HMRC",2011-01-18,"CHURN","Estates & Support Services","Exchequer Partnership Plc",5100084636,25782.5
"HMRC","HMRC",2011-01-18,"Marketing Promotion","Communications & Marketing","COI - COI Trading Fund/GNN",5100084683,1228226.61
"HMRC","HMRC",2011-01-18,"Marketing Promotion","Communications & Marketing","COI - COI Trading Fund/GNN",5100084693,35489.92
"HMRC","HMRC",2011-01-18,"Storage Seized Goods","Specialist Investigations (SI)","TNT UK Limited",5100084698,102148.45
"HMRC","HMRC",2011-01-18,"Rent","Estates & Support Services","NB Real Estate Property",5100084737,133928.68
"HMRC","HMRC",2011-01-19,"HR Consultancy","People Function","Corven Consulting Ltd",5100084905,32651.92
"HMRC","HMRC",2011-01-19,"Interpretation","Customer Contact","Thebigword Interpreting Services Lt",5100084910,44443.37
"HMRC","HMRC",2011-01-19,"Interpretation","Customer Contact","Thebigword Interpreting Services Lt",5100084914,76787.12
"HMRC","HMRC",2011-01-19,"Interpretation","Customer Contact","Thebigword Interpreting Services Lt",5100084918,48870.44
"HMRC","HMRC",2011-01-19,"Interpretation","Customer Contact","Thebigword Interpreting Services Lt",5100084920,37202.68
"HMRC","HMRC",2011-01-19,"Interpretation","Customer Contact","Thebigword Interpreting Services Lt",5100084937,28023.78
"HMRC","HMRC",2011-01-19,"Rent","Estates & Support Services","Eddisons",5100085038,231555.19
"HMRC","HMRC",2011-01-19,"Court Fees","Debt Management & Banking","The Insolvency Service",5100085081,27030
"HMRC","HMRC",2011-01-19,"Legal Service Sol's","Solicitors Office","Howes Percival Solicitors",5100085087,55410.83
"HMRC","HMRC",2011-01-19,"Scottish Fee Notes","Solicitors Office","Edwards Angell Palmer & Dodge",5100085095,26317.47
"HMRC","HMRC",2011-01-20,"Subscriptions to Publications","Excise Customs Stamps & Money","IOTA",1900188357,38613.96
"HMRC","HMRC",2011-01-20,"Fixed Telephony Service to HMRC and VOA","Information Management Solutions","OGC Buying Solutions",5100082384,-47000
"HMRC","HMRC",2011-01-20,"Fixed Telephony Service to HMRC and VOA","Information Management Solutions","OGC Buying Solutions",5100082408,-44297.72
"HMRC","HMRC",2011-01-20,"Electricity","Estates & Support Services","OGC Buying Solutions",5100084708,112752.92
"HMRC","HMRC",2011-01-20,"Mail and Fulfilment","Business Customer Unit","BSS Scotland Ltd",5100085541,37962.65
"HMRC","HMRC",2011-01-20,"Travel agencies","Commercial Directorate","OGC Buying Solutions",5100085629,44062.5
"HMRC","HMRC",2011-01-20,"Govt dept services","Risk & Intelligence","Foreign and Commonwealth Office",5100085666,25700.95
"HMRC","HMRC",2011-01-20,"Valuation Services","Risk & Intelligence","Valuation Office Agency",5100085694,878085
"HMRC","HMRC",2011-01-20,"Electricity","Estates & Support Services","EDF Energy",5100085702,263934.65
"HMRC","HMRC",2011-01-20,"Non PFI serv VAT","Estates & Support Services","MacLellan International Limited",5100085720,423050.09
"HMRC","HMRC",2011-01-21,"Research (VAT rec)","Business Customer Unit","GFK NOP Ltd",5100085745,34114.8
"HMRC","HMRC",2011-01-21,"Research (VAT rec)","Knowledge, Analysis & Intelligence","National Centre for Social Research",5100085963,1e+05
"HMRC","HMRC",2011-01-21,"Govt finance service","Finance & Internal Audit","PricewaterhouseCoopers LLP",5100085968,65905.75
"HMRC","HMRC",2011-01-21,"Diesel fuel","Commercial Directorate","Arval BNP Paribas Group",5100085970,27781.84
"HMRC","HMRC",2011-01-21,"Diesel fuel","Commercial Directorate","Arval BNP Paribas Group",5100085976,41051.25
"HMRC","HMRC",2011-01-24,"STEPS FUP VAT recvbl","Estates & Support Services","Mapeley Steps Limited",1700105129,-2107.33
"HMRC","HMRC",2011-01-24,"STEPS FUP VAT recvbl","Estates & Support Services","Mapeley Steps Limited",1700105129,-84554.63
"HMRC","HMRC",2011-01-24,"High Court Costs","Debt Management & Banking","RBSG Central",1900192581,40000
"HMRC","HMRC",2011-01-24,"Data Purchases","Risk & Intelligence","National Policing Improvement Agenc",5100086469,41015.61
"HMRC","HMRC",2011-01-24,"Maj AW struc non-VAT","Estates & Support Services","Mapeley Steps Limited",5100086494,175808
"HMRC","HMRC",2011-01-24,"Business Rates","Estates & Support Services","NORTH LINCOLNSHIRE COUNCIL",5100086495,70115.24
"HMRC","HMRC",2011-01-25,"Maj AW non-struc VAT","Estates & Support Services","Mapeley Steps Limited",5100086579,25956.51
"HMRC","HMRC",2011-01-25,"Maj AW struc non-VAT","Estates & Support Services","Mapeley Steps Limited",5100086579,7310.97
"HMRC","HMRC",2011-01-25,"Forensic Services","Criminal Investigations","Forensic Science Service",5100086670,45617.51
"HMRC","HMRC",2011-01-25,"PRIME costs","Estates & Support Services","DWP",5100086708,926488.39
"HMRC","HMRC",2011-01-25,"Scottish Fee Notes","Solicitors Office","expert witness",5100086722,55296
"HMRC","HMRC",2011-01-25,"STEPS FUP","Estates & Support Services","Mapeley Steps Limited",5100086773,17183005.62
"HMRC","HMRC",2011-01-26,"STEPS VAT Indemnity","Estates & Support Services","Mapeley Steps Limited",1700108193,-28038.89
"HMRC","HMRC",2011-01-26,"Samplng & Analytical","Specialist Investigations (SI)","L G C Ltd",5100086798,58393.86
"HMRC","HMRC",2011-01-26,"Crown Sol's Off NI","Debt Management & Banking","Crown Solicitors Office",5100087135,60813.74
"HMRC","HMRC",2011-01-26,"Landlord Charges","Estates & Support Services","Mapeley Steps Limited",5100087222,25470.65
"HMRC","HMRC",2011-01-26,"Marketing Promotion","Communications & Marketing","COI - COI Trading Fund/GNN",5100087291,29375
"HMRC","HMRC",2011-01-26,"Marketing Promotion","Communications & Marketing","COI - COI Trading Fund/GNN",5100087292,47994.7
"HMRC","HMRC",2011-01-26,"Bank Charges PO Card","Finance & Internal Audit","Post Office Limited",5100087373,841770.84
"HMRC","HMRC",2011-01-27,"Mail delivery/pickup","Commercial Directorate","DWP",5100087473,32009.9
"HMRC","HMRC",2011-01-27,"Business Consultancy","Finance & Internal Audit","Citibank N.A.",5100087728,38775
"HMRC","HMRC",2011-01-27,"Research (VAT rec)","Knowledge, Analysis & Intelligence","Market & Opinion Research Int",5100087827,26400
"HMRC","HMRC",2011-01-27,"Maj AW non-struc VAT","Estates & Support Services","Mapeley Steps Limited",5100087934,34929.73
"HMRC","HMRC",2011-01-27,"Govt dept services","Risk & Intelligence","Foreign and Commonwealth Office",5100087959,138817.41
"HMRC","HMRC",2011-01-27,"Min AW non-struc VAT","Estates & Support Services","Mapeley Steps Limited",5100087961,43240.86
"HMRC","HMRC",2011-01-27,"Gas","Estates & Support Services","Corona Energy",5100087991,50621
"HMRC","HMRC",2011-01-27,"TNT Documented Servi","Commercial Directorate","TNT UK Limited",5100088030,796438.31
"HMRC","HMRC",2011-01-28,"Photographic Consum","Criminal Investigations","Clearview Communications Ltd",5100088358,31719.13
"HMRC","HMRC",2011-01-28,"Website Development","Business Customer Unit","Serco Assurance",5100088367,44222.7
"HMRC","HMRC",2011-01-28,"Website Development","Business Customer Unit","Serco Assurance",5100088371,31620.78
"HMRC","HMRC",2011-01-28,"Website Development","Business Customer Unit","Serco Assurance",5100088374,341724.94
"HMRC","HMRC",2011-01-28,"Website Development","Business Customer Unit","Serco Assurance",5100088376,129422.39
"HMRC","HMRC",2011-01-28,"Govt dept services","Risk & Intelligence","Foreign and Commonwealth Office",5100088407,157851.03
"HMRC","HMRC",2011-01-28,"Website Development","Business Customer Unit","Serco Assurance",5100088429,3127825.67
"HMRC","HMRC",2011-01-28,"Research (VAT rec)","Individuals Customer Directorate","TNS-BMRB",5100088435,38234.5
"HMRC","HMRC",2011-01-31,"Radio Infrastructure","Commercial Directorate","British Telecommunications plc.",5100088702,106753.82
"HMRC","HMRC",2011-01-31,"Radio Infrastructure","Commercial Directorate","British Telecommunications plc.",5100088703,-59985.95
"HMRC","HMRC",2011-01-31,"Govt auditing serv","Central Compliance","Home Office Immigration & Nationali",5100088794,73437.5
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","Borough of Telford & Wrekin",5100088811,292755
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","South Lanarkshire Council",5100088827,89010
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","South Lanarkshire Council",5100088828,27903.6
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","Dundee City Council",5100088832,29932
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","Glasgow City Council",5100088841,35190
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","Glasgow City Council",5100088842,28980
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","West Lothian Council",5100088848,39703
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","Winchester City Council",5100088851,31941
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","North Lanarkshire Council",5100088856,61893
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","City Of Edinburgh Council",5100088865,26620
"HMRC","HMRC",2011-01-31,"Business Rates","Estates & Support Services","City Of Edinburgh Council",5100088866,32872
