# energy (MeV), n (cm2 g-1)
16.9,1.12E-07
17,1.12E-07
17.1,1.13E-07
17.2,1.13E-07
17.3,1.14E-07
17.4,1.14E-07
17.5,1.14E-07
17.6,1.16E-07
17.7,1.17E-07
17.8,1.18E-07
17.9,1.19E-07
18,1.20E-07
18.1,1.22E-07
18.2,1.24E-07
18.3,1.26E-07
18.4,1.28E-07
18.5,1.30E-07
18.6,1.31E-07
18.7,1.32E-07
18.8,1.32E-07
18.9,1.33E-07
19,1.33E-07
19.1,1.35E-07
19.2,1.36E-07
19.3,1.38E-07
19.4,1.39E-07
19.5,1.40E-07
19.6,1.42E-07
19.7,1.45E-07
19.8,1.47E-07
19.9,1.49E-07
20,1.51E-07
20.1,1.54E-07
20.2,1.57E-07
20.3,1.60E-07
20.4,1.63E-07
20.5,1.66E-07
20.6,1.70E-07
20.7,1.73E-07
20.8,1.77E-07
20.9,1.81E-07
21,1.84E-07
21.1,1.89E-07
21.2,1.93E-07
21.3,1.98E-07
21.4,2.02E-07
21.5,2.07E-07
21.6,2.12E-07
21.7,2.17E-07
21.8,2.22E-07
21.9,2.26E-07
22,2.31E-07
22.1,2.37E-07
22.2,2.42E-07
22.3,2.47E-07
22.4,2.53E-07
22.5,2.58E-07
22.6,2.67E-07
22.7,2.76E-07
22.8,2.85E-07
22.9,2.94E-07
23,3.03E-07
23.1,3.14E-07
23.2,3.24E-07
23.3,3.35E-07
23.4,3.45E-07
23.5,3.55E-07
23.6,3.64E-07
23.7,3.73E-07
23.8,3.56E-07
23.9,3.40E-07
24,3.24E-07
24.1,3.04E-07
24.2,2.84E-07
24.3,2.64E-07
24.4,2.45E-07
24.5,2.25E-07
24.6,2.26E-07
24.7,2.27E-07
24.8,2.29E-07
24.9,2.30E-07
25,2.31E-07
25.1,2.35E-07
25.2,2.38E-07
25.3,2.41E-07
25.4,2.44E-07
25.5,2.47E-07
25.6,2.51E-07
25.7,2.54E-07
25.8,2.57E-07
25.9,2.61E-07
26,2.64E-07
26.1,2.66E-07
26.2,2.68E-07
26.3,2.70E-07
26.4,2.72E-07
26.5,2.74E-07
26.6,2.76E-07
26.7,2.79E-07
26.8,2.81E-07
26.9,2.83E-07
27,2.85E-07
27.1,2.86E-07
27.2,2.86E-07
27.3,2.87E-07
27.4,2.88E-07
27.5,2.88E-07
27.6,2.89E-07
27.7,2.89E-07
27.8,2.90E-07
27.9,2.91E-07
28,2.91E-07
28.1,2.89E-07
28.2,2.86E-07
28.3,2.84E-07
28.4,2.81E-07
28.5,2.78E-07
28.6,2.76E-07
28.7,2.73E-07
28.8,2.70E-07
28.9,2.67E-07
29,2.64E-07
29.1,2.62E-07
29.2,2.60E-07
29.3,2.58E-07
29.4,2.55E-07
29.5,2.53E-07
29.6,2.50E-07
29.7,2.48E-07
29.8,2.46E-07
29.9,2.43E-07
30,2.41E-07
30.1,2.38E-07
30.2,2.36E-07
30.3,2.34E-07
30.4,2.32E-07
30.5,2.30E-07
30.6,2.27E-07
30.7,2.25E-07
30.8,2.23E-07
30.9,2.21E-07
31,2.18E-07
31.1,2.17E-07
31.2,2.15E-07
31.3,2.13E-07
31.4,2.12E-07
31.5,2.10E-07
31.6,2.08E-07
31.7,2.06E-07
31.8,2.05E-07
31.9,2.03E-07
32,2.01E-07
32.1,2.00E-07
32.2,1.98E-07
32.3,1.97E-07
32.4,1.95E-07
32.5,1.94E-07
32.6,1.93E-07
32.7,1.91E-07
32.8,1.90E-07
32.9,1.88E-07
33,1.87E-07
33.1,1.85E-07
33.2,1.84E-07
33.3,1.83E-07
33.4,1.82E-07
33.5,1.80E-07
33.6,1.79E-07
33.7,1.78E-07
33.8,1.77E-07
33.9,1.75E-07
34,1.74E-07
34.1,1.73E-07
34.2,1.72E-07
34.3,1.71E-07
34.4,1.70E-07
34.5,1.69E-07
34.6,1.67E-07
34.7,1.66E-07
34.8,1.65E-07
34.9,1.64E-07
35,1.63E-07
35.1,1.62E-07
35.2,1.61E-07
35.3,1.60E-07
35.4,1.59E-07
35.5,1.58E-07
35.6,1.57E-07
35.7,1.56E-07
35.8,1.55E-07
35.9,1.54E-07
36,1.53E-07
36.1,1.52E-07
36.2,1.52E-07
36.3,1.51E-07
36.4,1.50E-07
36.5,1.49E-07
36.6,1.48E-07
36.7,1.47E-07
36.8,1.46E-07
36.9,1.45E-07
37,1.45E-07
37.1,1.44E-07
37.2,1.43E-07
37.3,1.42E-07
37.4,1.42E-07
37.5,1.41E-07
37.6,1.40E-07
37.7,1.39E-07
37.8,1.38E-07
37.9,1.38E-07
38,1.37E-07
38.1,1.36E-07
38.2,1.35E-07
38.3,1.35E-07
38.4,1.34E-07
38.5,1.33E-07
38.6,1.33E-07
38.7,1.32E-07
38.8,1.31E-07
38.9,1.31E-07
39,1.30E-07
39.1,1.29E-07
39.2,1.29E-07
39.3,1.28E-07
39.4,1.27E-07
39.5,1.27E-07
39.6,1.26E-07
39.7,1.25E-07
39.8,1.25E-07
39.9,1.24E-07
40,1.24E-07
40.1,1.23E-07
40.2,1.23E-07
40.3,1.22E-07
40.4,1.21E-07
40.5,1.21E-07
40.6,1.20E-07
40.7,1.20E-07
40.8,1.19E-07
40.9,1.19E-07
41,1.18E-07
41.1,1.18E-07
41.2,1.17E-07
41.3,1.17E-07
41.4,1.16E-07
41.5,1.15E-07
41.6,1.15E-07
41.7,1.14E-07
41.8,1.14E-07
41.9,1.13E-07
42,1.13E-07
42.1,1.12E-07
42.2,1.12E-07
42.3,1.11E-07
42.4,1.11E-07
42.5,1.10E-07
42.6,1.10E-07
42.7,1.10E-07
42.8,1.09E-07
42.9,1.09E-07
43,1.08E-07
43.1,1.08E-07
43.2,1.07E-07
43.3,1.07E-07
43.4,1.06E-07
43.5,1.06E-07
43.6,1.05E-07
43.7,1.05E-07
43.8,1.04E-07
43.9,1.04E-07
44,1.04E-07
44.1,1.03E-07
44.2,1.03E-07
44.3,1.02E-07
44.4,1.02E-07
44.5,1.02E-07
44.6,1.01E-07
44.7,1.01E-07
44.8,1.00E-07
44.9,1.00E-07
45,9.97E-08
45.1,9.93E-08
45.2,9.89E-08
45.3,9.85E-08
45.4,9.81E-08
45.5,9.77E-08
45.6,9.73E-08
45.7,9.69E-08
45.8,9.65E-08
45.9,9.61E-08
46,9.57E-08
46.1,9.54E-08
46.2,9.51E-08
46.3,9.48E-08
46.4,9.44E-08
46.5,9.41E-08
46.6,9.38E-08
46.7,9.35E-08
46.8,9.31E-08
46.9,9.28E-08
47,9.25E-08
47.1,9.21E-08
47.2,9.18E-08
47.3,9.15E-08
47.4,9.11E-08
47.5,9.08E-08
47.6,9.05E-08
47.7,9.01E-08
47.8,8.98E-08
47.9,8.94E-08
48,8.91E-08
48.1,8.88E-08
48.2,8.85E-08
48.3,8.83E-08
48.4,8.80E-08
48.5,8.77E-08
48.6,8.74E-08
48.7,8.71E-08
48.8,8.68E-08
48.9,8.65E-08
49,8.63E-08
49.1,8.60E-08
49.2,8.57E-08
49.3,8.54E-08
49.4,8.51E-08
49.5,8.48E-08
49.6,8.45E-08
49.7,8.42E-08
49.8,8.39E-08
49.9,8.36E-08
50,8.33E-08
50.1,8.31E-08
50.2,8.29E-08
50.3,8.26E-08
50.4,8.24E-08
50.5,8.21E-08
50.6,8.19E-08
50.7,8.16E-08
50.8,8.14E-08
50.9,8.12E-08
51,8.09E-08
51.1,8.07E-08
51.2,8.04E-08
51.3,8.02E-08
51.4,7.99E-08
51.5,7.97E-08
51.6,7.94E-08
51.7,7.92E-08
51.8,7.89E-08
51.9,7.87E-08
52,7.84E-08
52.1,7.82E-08
52.2,7.80E-08
52.3,7.78E-08
52.4,7.75E-08
52.5,7.73E-08
52.6,7.71E-08
52.7,7.69E-08
52.8,7.66E-08
52.9,7.64E-08
53,7.62E-08
53.1,7.60E-08
53.2,7.57E-08
53.3,7.55E-08
53.4,7.53E-08
53.5,7.50E-08
53.6,7.48E-08
53.7,7.46E-08
53.8,7.43E-08
53.9,7.41E-08
54,7.39E-08
54.1,7.37E-08
54.2,7.35E-08
54.3,7.32E-08
54.4,7.30E-08
54.5,7.28E-08
54.6,7.26E-08
54.7,7.24E-08
54.8,7.22E-08
54.9,7.20E-08
55,7.17E-08
55.1,7.15E-08
55.2,7.13E-08
55.3,7.11E-08
55.4,7.09E-08
55.5,7.06E-08
55.6,7.04E-08
55.7,7.02E-08
55.8,7.00E-08
55.9,6.98E-08
56,6.95E-08
56.1,6.94E-08
56.2,6.92E-08
56.3,6.91E-08
56.4,6.89E-08
56.5,6.88E-08
56.6,6.86E-08
56.7,6.85E-08
56.8,6.83E-08
56.9,6.82E-08
57,6.80E-08
57.1,6.78E-08
57.2,6.77E-08
57.3,6.75E-08
57.4,6.74E-08
57.5,6.72E-08
57.6,6.70E-08
57.7,6.69E-08
57.8,6.67E-08
57.9,6.66E-08
58,6.64E-08
58.1,6.63E-08
58.2,6.62E-08
58.3,6.62E-08
58.4,6.61E-08
58.5,6.60E-08
58.6,6.59E-08
58.7,6.58E-08
58.8,6.57E-08
58.9,6.57E-08
59,6.56E-08
59.1,6.55E-08
59.2,6.54E-08
59.3,6.53E-08
59.4,6.52E-08
59.5,6.52E-08
59.6,6.51E-08
59.7,6.50E-08
59.8,6.49E-08
59.9,6.48E-08
60,6.47E-08
60.1,6.47E-08
60.2,6.46E-08
60.3,6.46E-08
60.4,6.46E-08
60.5,6.45E-08
60.6,6.45E-08
60.7,6.44E-08
60.8,6.44E-08
60.9,6.44E-08
61,6.43E-08
61.1,6.43E-08
61.2,6.42E-08
61.3,6.42E-08
61.4,6.41E-08
61.5,6.41E-08
61.6,6.41E-08
61.7,6.40E-08
61.8,6.40E-08
61.9,6.39E-08
62,6.39E-08
62.1,6.39E-08
62.2,6.39E-08
62.3,6.39E-08
62.4,6.39E-08
62.5,6.38E-08
62.6,6.38E-08
62.7,6.38E-08
62.8,6.38E-08
62.9,6.38E-08
63,6.38E-08
63.1,6.38E-08
63.2,6.38E-08
63.3,6.38E-08
63.4,6.38E-08
63.5,6.38E-08
63.6,6.38E-08
63.7,6.38E-08
63.8,6.38E-08
63.9,6.37E-08
64,6.37E-08
64.1,6.38E-08
64.2,6.38E-08
64.3,6.38E-08
64.4,6.38E-08
64.5,6.38E-08
64.6,6.39E-08
64.7,6.39E-08
64.8,6.39E-08
64.9,6.39E-08
65,6.39E-08
65.1,6.39E-08
65.2,6.40E-08
65.3,6.40E-08
65.4,6.40E-08
65.5,6.40E-08
65.6,6.40E-08
65.7,6.41E-08
65.8,6.41E-08
65.9,6.41E-08
66,6.41E-08
66.1,6.41E-08
66.2,6.41E-08
66.3,6.42E-08
66.4,6.42E-08
66.5,6.42E-08
66.6,6.42E-08
66.7,6.42E-08
66.8,6.43E-08
66.9,6.43E-08
67,6.43E-08
67.1,6.43E-08
67.2,6.43E-08
67.3,6.44E-08
67.4,6.44E-08
67.5,6.44E-08
67.6,6.44E-08
67.7,6.44E-08
67.8,6.45E-08
67.9,6.45E-08
68,6.45E-08
68.1,6.45E-08
68.2,6.45E-08
68.3,6.46E-08
68.4,6.46E-08
68.5,6.46E-08
68.6,6.46E-08
68.7,6.46E-08
68.8,6.46E-08
68.9,6.46E-08
69,6.47E-08
69.1,6.47E-08
69.2,6.47E-08
69.3,6.47E-08
69.4,6.47E-08
69.5,6.47E-08
69.6,6.47E-08
69.7,6.48E-08
69.8,6.48E-08
69.9,6.48E-08
70,6.48E-08
70.1,6.48E-08
70.2,6.48E-08
70.3,6.48E-08
70.4,6.48E-08
70.5,6.48E-08
70.6,6.49E-08
70.7,6.49E-08
70.8,6.49E-08
70.9,6.49E-08
71,6.49E-08
71.1,6.49E-08
71.2,6.49E-08
71.3,6.49E-08
71.4,6.49E-08
71.5,6.49E-08
71.6,6.49E-08
71.7,6.49E-08
71.8,6.49E-08
71.9,6.50E-08
72,6.50E-08
72.1,6.50E-08
72.2,6.50E-08
72.3,6.50E-08
72.4,6.50E-08
72.5,6.50E-08
72.6,6.50E-08
72.7,6.50E-08
72.8,6.50E-08
72.9,6.50E-08
73,6.50E-08
73.1,6.50E-08
73.2,6.50E-08
73.3,6.51E-08
73.4,6.51E-08
73.5,6.51E-08
73.6,6.51E-08
73.7,6.51E-08
73.8,6.51E-08
73.9,6.51E-08
74,6.51E-08
74.1,6.51E-08
74.2,6.51E-08
74.3,6.51E-08
74.4,6.51E-08
74.5,6.51E-08
74.6,6.51E-08
74.7,6.51E-08
74.8,6.52E-08
74.9,6.52E-08
75,6.52E-08
75.1,6.52E-08
75.2,6.52E-08
75.3,6.52E-08
75.4,6.52E-08
75.5,6.51E-08
75.6,6.51E-08
75.7,6.51E-08
75.8,6.51E-08
75.9,6.51E-08
76,6.51E-08
76.1,6.51E-08
76.2,6.51E-08
76.3,6.51E-08
76.4,6.51E-08
76.5,6.51E-08
76.6,6.51E-08
76.7,6.51E-08
76.8,6.51E-08
76.9,6.51E-08
77,6.51E-08
77.1,6.51E-08
77.2,6.51E-08
77.3,6.51E-08
77.4,6.51E-08
77.5,6.51E-08
77.6,6.51E-08
77.7,6.51E-08
77.8,6.51E-08
77.9,6.51E-08
78,6.51E-08
78.1,6.51E-08
78.2,6.51E-08
78.3,6.50E-08
78.4,6.50E-08
78.5,6.50E-08
78.6,6.50E-08
78.7,6.50E-08
78.8,6.50E-08
78.9,6.50E-08
79,6.50E-08
79.1,6.50E-08
79.2,6.50E-08
79.3,6.50E-08
79.4,6.50E-08
79.5,6.50E-08
79.6,6.50E-08
79.7,6.50E-08
79.8,6.50E-08
79.9,6.50E-08
80,6.50E-08
80.1,6.50E-08
80.2,6.49E-08
80.3,6.49E-08
80.4,6.49E-08
80.5,6.49E-08
80.6,6.49E-08
80.7,6.49E-08
80.8,6.49E-08
80.9,6.49E-08
81,6.48E-08
81.1,6.48E-08
81.2,6.48E-08
81.3,6.48E-08
81.4,6.48E-08
81.5,6.48E-08
81.6,6.48E-08
81.7,6.47E-08
81.8,6.47E-08
81.9,6.47E-08
82,6.47E-08
82.1,6.47E-08
82.2,6.47E-08
82.3,6.47E-08
82.4,6.47E-08
82.5,6.46E-08
82.6,6.46E-08
82.7,6.46E-08
82.8,6.46E-08
82.9,6.46E-08
83,6.46E-08
83.1,6.46E-08
83.2,6.45E-08
83.3,6.45E-08
83.4,6.45E-08
83.5,6.45E-08
83.6,6.45E-08
83.7,6.45E-08
83.8,6.45E-08
83.9,6.44E-08
84,6.44E-08
84.1,6.44E-08
84.2,6.44E-08
84.3,6.44E-08
84.4,6.44E-08
84.5,6.44E-08
84.6,6.43E-08
84.7,6.43E-08
84.8,6.43E-08
84.9,6.43E-08
85,6.43E-08
85.1,6.44E-08
85.2,6.45E-08
85.3,6.45E-08
85.4,6.46E-08
85.5,6.47E-08
85.6,6.48E-08
85.7,6.49E-08
85.8,6.50E-08
85.9,6.51E-08
86,6.52E-08
86.1,6.53E-08
86.2,6.53E-08
86.3,6.54E-08
86.4,6.55E-08
86.5,6.56E-08
86.6,6.57E-08
86.7,6.58E-08
86.8,6.59E-08
86.9,6.60E-08
87,6.61E-08
87.1,6.61E-08
87.2,6.62E-08
87.3,6.63E-08
87.4,6.64E-08
87.5,6.65E-08
87.6,6.66E-08
87.7,6.67E-08
87.8,6.68E-08
87.9,6.69E-08
88,6.70E-08
88.1,6.70E-08
88.2,6.71E-08
88.3,6.72E-08
88.4,6.73E-08
88.5,6.74E-08
88.6,6.75E-08
88.7,6.76E-08
88.8,6.77E-08
88.9,6.78E-08
89,6.79E-08
89.1,6.79E-08
89.2,6.80E-08
89.3,6.81E-08
89.4,6.82E-08
89.5,6.83E-08
89.6,6.84E-08
89.7,6.85E-08
89.8,6.86E-08
89.9,6.87E-08
90,6.88E-08
90.1,6.87E-08
90.2,6.87E-08
90.3,6.86E-08
90.4,6.86E-08
90.5,6.86E-08
90.6,6.85E-08
90.7,6.85E-08
90.8,6.84E-08
90.9,6.84E-08
91,6.83E-08
91.1,6.83E-08
91.2,6.83E-08
91.3,6.82E-08
91.4,6.82E-08
91.5,6.81E-08
91.6,6.81E-08
91.7,6.80E-08
91.8,6.80E-08
91.9,6.80E-08
92,6.79E-08
92.1,6.79E-08
92.2,6.78E-08
92.3,6.78E-08
92.4,6.78E-08
92.5,6.77E-08
92.6,6.77E-08
92.7,6.76E-08
92.8,6.76E-08
92.9,6.75E-08
93,6.75E-08
93.1,6.75E-08
93.2,6.74E-08
93.3,6.74E-08
93.4,6.73E-08
93.5,6.73E-08
93.6,6.72E-08
93.7,6.72E-08
93.8,6.72E-08
93.9,6.71E-08
94,6.71E-08
94.1,6.70E-08
94.2,6.70E-08
94.3,6.69E-08
94.4,6.69E-08
94.5,6.69E-08
94.6,6.68E-08
94.7,6.68E-08
94.8,6.67E-08
94.9,6.67E-08
95,6.66E-08
95.1,6.66E-08
95.2,6.66E-08
95.3,6.65E-08
95.4,6.65E-08
95.5,6.64E-08
95.6,6.64E-08
95.7,6.63E-08
95.8,6.63E-08
95.9,6.62E-08
96,6.62E-08
96.1,6.62E-08
96.2,6.61E-08
96.3,6.61E-08
96.4,6.60E-08
96.5,6.60E-08
96.6,6.59E-08
96.7,6.59E-08
96.8,6.58E-08
96.9,6.58E-08
97,6.58E-08
97.1,6.57E-08
97.2,6.57E-08
97.3,6.56E-08
97.4,6.56E-08
97.5,6.55E-08
97.6,6.55E-08
97.7,6.54E-08
97.8,6.54E-08
97.9,6.54E-08
98,6.53E-08
98.1,6.53E-08
98.2,6.52E-08
98.3,6.52E-08
98.4,6.51E-08
98.5,6.51E-08
98.6,6.50E-08
98.7,6.50E-08
98.8,6.49E-08
98.9,6.49E-08
99,6.49E-08
99.1,6.48E-08
99.2,6.48E-08
99.3,6.47E-08
99.4,6.47E-08
99.5,6.46E-08
99.6,6.46E-08
99.7,6.45E-08
99.8,6.45E-08
99.9,6.44E-08
100,6.44E-08
