x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Dim.  9,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.005987497,0.976510337,0.967743098,0.942866983,0.930440332,1.006790863,0.928774018,1.031548454,0.971382101,0.977308439,1.064056089,0.997313859,0.999666319,0.996205087,0.999085011,0.987261146,1.041003009,0.998406467,0.99604004,1.055489466,0.983292888,42050,FALSE,OPTIMAL,1.84029007
Dim.  10,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.020339878,0.980009653,0.986556621,0.971223022,0.993379068,0.96669935,0.933807374,1.04942742,0.949773458,0.931601812,1.076484882,1.010870478,0.969134515,0.995236173,0.995300283,0.981138278,1.022106319,0.983442808,0.997433359,0.98622357,0.969105843,42027,FALSE,OPTIMAL,2.500990868
Dim.  11,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1.032402923,1.017295471,0.986772868,0.981555181,0.986678366,0.982423648,0.958814365,0.986828407,0.992913294,0.930307792,0.999083775,1.060857886,0.999457769,0.9994348,0.959241391,0.970166427,1.043490471,0.962454818,0.994940051,1.003568825,0.991366436,41982,FALSE,OPTIMAL,1.532856941
Dim.  12,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1.008276834,1.028718526,1.041807828,0.960546456,0.998923101,0.998692668,0.958614629,0.986330512,0.977733029,0.908494316,0.99294905,0.983421472,0.98535975,0.998748486,0.980951589,0.997493322,1.036268806,1.010960395,0.999816668,1.011819333,0.996266567,41889,FALSE,OPTIMAL,9.636309862
Dim.  13,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0.997314432,0.995736465,1.01492107,1.016875861,0.962029355,0.959000617,0.975032956,0.974652605,0.975332068,0.958683797,0.998526073,0.976622177,0.998248175,0.997577715,0.997837298,0.984014794,1.054684052,0.995491469,0.999413339,0.990252888,0.965279074,41845,FALSE,OPTIMAL,5.808820009
Dim.  14,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0.967332922,1.016692141,0.989403878,1.030078065,0.981971921,0.987798235,0.959972836,0.998325261,0.990977036,0.992513171,0.973110784,0.998740871,0.997956204,0.998546629,0.99804525,0.951756729,0.995626881,0.968362548,0.990613427,1.030507694,0.966865783,41741,FALSE,OPTIMAL,13.11308908
Dim.  15,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1.023597781,0.956841767,0.996936495,1.022003674,0.985322272,1.011584414,0.959253785,0.990358937,0.980985943,0.948793789,0.997809027,0.993200705,0.995703858,0.996083973,0.953044419,0.974933224,0.994383149,0.994908469,0.990356763,0.991711117,0.994773194,41712,FALSE,OPTIMAL,24.39373016
Dim.  16,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1.029585278,0.999195559,1.036978303,1.028356039,0.984883535,0.951410829,0.96400751,0.965283121,0.985052085,0.977493299,0.980759272,0.998363133,0.99987487,0.998829229,0.993137581,0.939305527,0.995867603,0.97077228,0.99197008,0.994435704,0.92985813,41664,FALSE,OPTIMAL,44.43421507
Dim.  17,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0.982565818,0.990306492,0.993656743,1.006199296,0.997327696,0.991429713,0.983302041,1.031503191,0.976300197,0.987475737,0.996693622,0.992571141,0.998957247,0.998223658,0.989768757,0.98997329,0.989287864,0.982898675,0.99761669,0.988679535,0.94861863,41622,FALSE,OPTIMAL,58.93278503
Dim.  18,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1.031698512,0.988416057,0.992935919,1.027858564,0.995253669,0.959654283,0.970399073,0.979722084,0.960151803,0.951289398,0.999681313,0.983085705,0.990656934,0.996972144,0.975877558,0.992479967,0.979257773,0.969450814,0.987130129,0.999501132,0.992953145,41591,FALSE,OPTIMAL,74.65938902
Dim.  19,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0.994584838,0.969592149,0.991998847,1.002678708,0.987914805,0.97810219,0.938321416,0.983071561,0.941060295,0.998659765,0.997888699,0.996348527,0.998790407,0.997739201,0.971261021,0.978795973,0.979458375,1.008900463,0.990796759,0.996584673,0.988986373,41583,FALSE,OPTIMAL,69.13575697
Dim.  20,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0.975961962,0.968747486,0.979312333,0.991810807,0.995891832,0.988052439,0.975752007,0.996650523,0.999031871,0.983547463,0.99362626,0.963946949,0.99983316,0.996366572,0.987564465,0.985247586,0.995426279,0.968362548,0.990540095,0.997735907,0.979932798,41528,TRUE,OPTIMAL,84.02463508
Dim.  21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
