Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,04/09/2018,Proprietry sys maint,Information Management Services,ATOS IT SERVICES UK LTD,5100039236,"223,232.62",Government Gateway Core Services,WV10 6UH,,,,
HMRC,HMRC,04/09/2018,Rent,Estates,LAMBERT SMITH HAMPTON GROUP LTD,5100039250,"2,615.04",Quarterly Rent for Southampton Compass House (29/09/18 - 24/12/18),W1D 1NN,,,,
HMRC,HMRC,04/09/2018,Landlord Charges,Estates,LAMBERT SMITH HAMPTON GROUP LTD,5100039250,"3,055.26",Quarterly Landlord's Service Charge for Southampton Compass House (29/09/18 - 24/12/18),W1D 1NN,,,,
HMRC,HMRC,04/09/2018,Rent,Estates,LAMBERT SMITH HAMPTON GROUP LTD,5100039250,"106,344.96",Quarterly Rent for Southampton Compass House (29/09/18 - 24/12/18),W1D 1NN,,,,
HMRC,HMRC,04/09/2018,Landlord Charges,Estates,LAMBERT SMITH HAMPTON GROUP LTD,5100039250,"124,246.99",Quarterly Landlord's Service Charge for Southampton Compass House (29/09/18 - 24/12/18),W1D 1NN,,,,
HMRC,HMRC,04/09/2018,OGD costs,Estates,THE SCOTTISH POLICE AUTHORITY,5100039253,"8,851.00",Rent (OGD) for Glasgow Scottish Crime Campus (01/04/18 - 30/06/18),G40 4EH,,,,
HMRC,HMRC,04/09/2018,OGD costs,Estates,THE SCOTTISH POLICE AUTHORITY,5100039253,"125,255.00",Rent (OGD) for Glasgow Scottish Crime Campus (01/04/18 - 30/06/18),G40 4EH,,,,
HMRC,HMRC,04/09/2018,Rent,Estates,SAVILLS - KAMES PROPERTY INCOME,5100039256,"11,986.32",Quarterly Rent for Edinburgh Elgin House (29/09/18 - 24/12/18),M2 4AW,,,,
HMRC,HMRC,04/09/2018,Rent,Estates,SAVILLS - KAMES PROPERTY INCOME,5100039256,"243,041.82",Quarterly Rent for Edinburgh Elgin House (29/09/18 - 24/12/18),M2 4AW,,,,
HMRC,HMRC,04/09/2018,Landlord Charges,Estates,SAVILLS COMMERCIAL LTD,5100039257,"3,929.53",Quarterly Landlord's Service Charge for Cardiff Brunel House (29/09/18 - 24/12/18),M2 4AW,,,,
HMRC,HMRC,04/09/2018,Rent,Estates,SAVILLS COMMERCIAL LTD,5100039257,"5,305.86",Quarterly Rent for Cardiff Brunel House (29/09/18 - 24/12/18),M2 4AW,,,,
HMRC,HMRC,04/09/2018,Landlord Charges,Estates,SAVILLS COMMERCIAL LTD,5100039257,102274.07,Quarterly Landlord's Service Charge for Cardiff Brunel House (29/09/18 - 24/12/18),M2 4AW,,,,
HMRC,HMRC,04/09/2018,Rent,Estates,SAVILLS COMMERCIAL LTD,5100039257,"191,207.34",Quarterly Rent for Cardiff Brunel House (29/09/18 - 24/12/18),M2 4AW,,,,
HMRC,HMRC,04/09/2018,Consultancy  PPM,Border Coordination,PA CONSULTING GROUP,5100039264,"193,108.70",Project/Programme Delivery,SW1E 5DN,,,,
HMRC,HMRC,04/09/2018,Consultancy  PPM,Border Coordination,PA CONSULTING GROUP,5100039265,"216,702.75",Project/Programme Delivery,SW1E 5DN,,,,
HMRC,HMRC,04/09/2018,Consultancy - Techni,MTDB Transformation Programmes,BAE SYSTEMS APPLIED INTELLIGENCE,5100039287,"46,899.38",Consultancy - Techni,GU2 7YP,,,,
HMRC,HMRC,04/09/2018,Govt dept services,Estates,HERMES WELLINGTON PLACE GP LTD,5100039293,"217,592.40",Professional Services to provide expert support on the design of Leeds EU Exit site,OX14 4RY,,,,
HMRC,HMRC,05/09/2018,Marketing Promotion,Corporate Communications,CARAT,5100039311,"91,999.79",Marketing Promotion,NW1 3BF,,,,
HMRC,HMRC,05/09/2018,Legal Expert Witness,Solicitors Office,Redshaw Advisers,5100039331,"35,430.00",Legal Expert Witness,SE10 8RY,,,,
HMRC,HMRC,05/09/2018,Rent,Estates,COLLIERS INT PROPERTY  CONSULT LTD,5100039333,"54,054.00",Quarterly Rent for Salford Trinity Bridge House (29/09/18 - 24/12/18),W1U 7GA,,,,
HMRC,HMRC,05/09/2018,Rent,Estates,COLLIERS INT PROPERTY  CONSULT LTD,5100039333,"764,946.00",Quarterly Rent for Salford Trinity Bridge House (29/09/18 - 24/12/18),W1U 7GA,,,,
HMRC,HMRC,05/09/2018,Consultancy  PPM,Border Coordination,PA CONSULTING GROUP,5100039353,"33,185.00",Project/Programme Delivery,SW1E 5DN,,,,
HMRC,HMRC,05/09/2018,Consultancy  PPM,Border Coordination,PA CONSULTING GROUP,5100039354,"209,746.10",Project/Programme Delivery,SW1E 5DN,,,,
HMRC,HMRC,05/09/2018,Consultancy  PPM,Border Coordination,PA CONSULTING GROUP,5100039356,"163,537.85",Project/Programme Delivery,SW1E 5DN,,,,
HMRC,HMRC,05/09/2018,Consultancy  PPM,Border Coordination,PA CONSULTING GROUP,5100039373,"74,115.00",Project/Programme Delivery,SW1E 5DN,,,,
HMRC,HMRC,05/09/2018,Proprietry sys maint,Information Management Services,ATOS IT SERVICES UK LTD,5100039414,"173,885.88",Government Gateway Core Services,WV10 6UH,,,,
HMRC,HMRC,05/09/2018,Proprietry sys maint,Information Management Services,ATOS IT SERVICES UK LTD,5100039417,"216,729.45",Government Gateway Development Services,WV10 6UH,,,,
HMRC,HMRC,05/09/2018,Network Voice Serv,Information Management Services,FUJITSU SERVICES LTD,5100039423,"517,245.26",Network Voice Services,W1U 3BW,,,,
HMRC,HMRC,05/09/2018,Clerical training,Information Management Services,CAPITA BUSINESS SERVICES LTD,5100039469,"26,522.56",Clerical training,DL1 9HN,,,,
HMRC,HMRC,05/09/2018,Rent,Estates,FI REAL ESTATE MANAGEMENT LTD,5100039470,"4,539.16",Quarterly Rent for Peterlee Emerald Court (29/09/18 - 24/12/18),PR6 9AF,,,,
HMRC,HMRC,05/09/2018,Rent,Estates,FI REAL ESTATE MANAGEMENT LTD,5100039470,"133,010.85",Quarterly Rent for Peterlee Emerald Court (29/09/18 - 24/12/18),PR6 9AF,,,,
HMRC,HMRC,05/09/2018,P04 Rate IT Serv Res,Customs Transformation,SOFTCAT LTD,5100039497,"67,500.00",Customs Declaration Services Tariff Help Desk,SL7 1LW,,,,
HMRC,HMRC,05/09/2018,P04 Rate IT Serv Res,Customs Transformation,SOFTCAT LTD,5100039497,"161,844.00",Customs Declaration Service Tariff CRs 124125.127 ,SL7 1LW,,,,
HMRC,HMRC,06/09/2018,Prof membership,HR,BUSINESS IN THE COMMUNITY,5100037592,25200,Prof membership,N1 7RQ,,,,
HMRC,HMRC,06/09/2018,Maintenance fees,Information Management Services,UKCLOUD LTD,5100039507,"41,400.59",Hosting charges,SN13 0RP,,,,
HMRC,HMRC,06/09/2018,Rent,Estates,A & J MUCKLOW (INVESTMENTS) LTD,5100039513,"43,133.10",Quarterly Rent for Coleshill Roman Park (29/09/18 - 24/12/18),B63 3JS,,,,
HMRC,HMRC,06/09/2018,Rent,Estates,KNIGHT FRANK LLP,5100039516,"112,807.90",Monthly Rent for London Jubilee House (01/09/18 - 30/09/18),W1U 8AN,,,,
HMRC,HMRC,06/09/2018,Gov Bank Serv Charge,Corporate Finance,BARCLAYS BANK PLC T/A BARCLAYCARD,5100039527,"38,760.15",Gov Bank Serv Charge,E14 5HP,,,,
HMRC,HMRC,06/09/2018,Gov Bank Serv Charge,Corporate Finance,BARCLAYS BANK PLC T/A BARCLAYCARD,5100039528,"58,556.70",Gov Bank Serv Charge,E14 5HP,,,,
HMRC,HMRC,06/09/2018,Gov Bank Serv Charge,Corporate Finance,BARCLAYS BANK PLC T/A BARCLAYCARD,5100039533,"174,585.73",Gov Bank Serv Charge,E14 5HP,,,,
HMRC,HMRC,06/09/2018,Gov Bank Serv Charge,Corporate Finance,BARCLAYS BANK PLC T/A BARCLAYCARD,5100039535,"242,395.93",Gov Bank Serv Charge,E14 5HP,,,,
HMRC,HMRC,06/09/2018,Gov Bank Serv Charge,Corporate Finance,BARCLAYS BANK PLC T/A BARCLAYCARD,5100039537,"184,897.35",Gov Bank Serv Charge,E14 5HP,,,,
HMRC,HMRC,06/09/2018,Gov Bank Serv Charge,Corporate Finance,BARCLAYS BANK PLC T/A BARCLAYCARD,5100039538,"184,680.75",Gov Bank Serv Charge,E14 5HP,,,,
HMRC,HMRC,06/09/2018,Contract Besp SW Dev,Customs Transformation,SPECIALIST COMPUTER CTR,5100039666,"204,546.69",Customs Declaration Service - Inventory Linking,B11 2LE,,,,
HMRC,HMRC,06/09/2018,Contract Besp SW Dev,Customs Transformation,SPECIALIST COMPUTER CTR,5100039669,"419,632.12",Customs Declaration Service - Call Off costs,B11 2LE,,,,
HMRC,HMRC,06/09/2018,Maintenance fees,Information Management Services,KCOM GROUP PLC,5100039694,"27,548.15",System Maintenance fees,HU1 3RE,,,,
HMRC,HMRC,06/09/2018,Contin Labor Build,Digital,CX PARTNERS LTD,5100039712,"21,045.00",Contractor user research,BS1 5UE,,,,
HMRC,HMRC,06/09/2018,Telephone Support,Operational Excellence & Output Mgmt,KCOM GROUP PLC,5100040137,"175,454.25",Telephone Support,HU1 3RE,,,,
HMRC,HMRC,07/09/2018,Gov Gateway RFC,Information Management Services,MMGRP LTD,5100040253,147556.77,MMG SMS and voicemail costs,EC1V 4PW,,,,
HMRC,HMRC,07/09/2018,Disposal Seized Gds,Individuals & Small Business Compliance,SHRED STATION LTD,5100040274,"43,440.00",Disposal Seized Gds,NR13 6LH,,,,
HMRC,HMRC,07/09/2018,Nat Pst Del Ser(VAT),Operational Excellence & Output Mgmt,UK MAIL,5100040278,50552.82,Monthly Royal Mail charges,SL1 4LZ,,,,
HMRC,HMRC,07/09/2018,Nat Pst Del Ser(VAT),Operational Excellence & Output Mgmt,ROYAL MAIL,5100040282,"239,247.77",Monthly Royal Mail charges,PE4 5BR,,,,
HMRC,HMRC,07/09/2018,Nat Pst Del Ser(VAT),Operational Excellence & Output Mgmt,G3 WORLDWIDE (UK) LTD,5100040294,"78,251.29",Monthly Royal Mail charges,UB2 5LF,,,,
HMRC,HMRC,07/09/2018,Haulage Seized Goods,Fraud Investigation Service,ENVA NORTHERN IRELAND LTD,5100040337,"124,800.00",Haulage Seized Goods,BT30 6LJ,,,,
HMRC,HMRC,07/09/2018,Samplng & Analytical,Fraud Investigation Service,EUROFINS FORENSIC SERVICES LTD,5100040374,"139,549.50",Samplng & Analytical,WV9 5GB,,,,
HMRC,HMRC,07/09/2018,Research (VAT rec),Centre for Data Exploitation,KANTAR UK LTD,5100040452,"33,874.00",Research Services,W5 1UA,,,,
HMRC,HMRC,10/09/2018,Document destruction,Estates,DATA SOLUTIONS 2016 LTD,5100040471,21713.25,Confidential Waste costs (August 2018),RH1 5DY,,,,
HMRC,HMRC,10/09/2018,Document destruction,Estates,DATA SOLUTIONS 2016 LTD,5100040471,"24,485.16",Confidential Waste costs (August 2018),RH1 5DY,,,,
HMRC,HMRC,10/09/2018,Consultancy - Techni,MTDB Transformation Programmes,BAE SYSTEMS APPLIED INTELLIGENCE,5100040478,64786.9,Consultancy - Techni,GU2 7YP,,,,
HMRC,HMRC,10/09/2018,Next Day Del. Closed,Estates,TNT UK LTD,5100040527,"199,969.82",Courier Services,BL0 9AR,,,,
HMRC,HMRC,10/09/2018,Valuation Services,Risk & Intelligence,VALUATION OFFICE AGENCY,5100040634,"629,681.33",Valuation Services,W1D 5BU,,,,
HMRC,HMRC,10/09/2018,Soft Licen Integral,Information Management Services,IBM UNITED KINGDOM LTD,5100040669,"327,234.76",Soft Licen Integral,PO6 3AU,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100036546,101923.52,Desktop Managed Service - Switch Refresh,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Proprietry sys maint,Information Management Services,ATOS IT SERVICES UK LTD,5100040732,"164,266.11",Government Gateway Hosting Services,WV10 6UH,,,,
HMRC,HMRC,11/09/2018,System Support,Government Banking Service,HSBC BANK PLC,5100040982,"59,844.00",System Support (Banking data services),E14 5HQ,,,,
HMRC,HMRC,11/09/2018,Mail and Fulfilment,Operational Excellence & Output Mgmt,COMMUNISIS UK LTD,5100040999,84432.88,Monthly Output Management bulk charges ,NE12 8EW,,,,
HMRC,HMRC,11/09/2018,Maintenance (build),Estates,COMPASS GROUP (UK) LTD,5100041007,"48,749.89",Facilities Management - Soft FM costs for Lincoln Lawress Hall (July 2018),B45 9PZ,,,,
HMRC,HMRC,11/09/2018,Business Rates,Estates,LONDON BOROUGH OF NEWHAM,5100041068,"469,395.00",Business Rates for London Jubilee House Grd - 5th Floors (01/04/18 - 31/03/19),E16 2QU,,,,
HMRC,HMRC,11/09/2018,Business Rates,Estates,LIVERPOOL CITY COUNCIL,5100041080,"20,884.58",Business Rates for Liverpool Graeme House Car Parking and 3rd-6th Floors (29/09/18 - 24/12/18),L69 2DQ,,,,
HMRC,HMRC,11/09/2018,Business Rates,Estates,LIVERPOOL CITY COUNCIL,5100041080,"42,402.03",Business Rates for Liverpool Graeme House Car Parking and 3rd-6th Floors (29/09/18 - 24/12/18),L69 2DQ,,,,
HMRC,HMRC,11/09/2018,Contin Labor Build,Digital,AMBERLIGHT PARTNERS LTD,5100041096,"36,707.50",Contractor software development,WC1N 1NN,,,,
HMRC,HMRC,11/09/2018,Contin Labor Build,Digital,ATELIER7,5100041097,"109,126.98",Contractor software development,RH7 6EP,,,,
HMRC,HMRC,11/09/2018,Legal Service Sol's,Estates,GOWLING WLG (UK) LLP,5100041099,"11,019.31",Professional Services relating to Legal advice,SE1 2AU,,,,
HMRC,HMRC,11/09/2018,Legal Service Sol's,Estates,GOWLING WLG (UK) LLP,5100041099,"55,120.59",Professional Services relating to Legal advice,SE1 2AU,,,,
HMRC,HMRC,11/09/2018,Hardware maintenance,Information Management Services,UKCLOUD LTD,5100041131,"73,075.32",Hardware maintenance,SN13 0RP,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041132,"334,135.11",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041135,"6,500.00",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041135,"19,393.98",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041136,"129,165.00",Desktop Managed Service - Switch Refresh,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Court Fees,Debt Management,THE INSOLVENCY SERVICE,5100041215,"202,340.00",Court Fees,B4 6FD,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,REAL ESTATE INCOME TRUST LIMITED,5100041218,83025,Quarterly Rent for Blackpool Ryscar House (29/09/18 - 24/12/18),LE10 1QU,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,LEGAT OWEN,5100041219,"-11,443.58",Quarterly Rent Correction for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Landlord Charges,Estates,LEGAT OWEN,5100041219,"-6,197.33",Quarterly Landlord's Service Charge Correction for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,LEGAT OWEN,5100041219,-353.93,Quarterly Rent Correction for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Landlord Charges,Estates,LEGAT OWEN,5100041219,-126.48,Quarterly Landlord's Service Charge Correction for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Landlord Charges,Estates,LEGAT OWEN,5100041219,758.86,Quarterly Landlord's Service Charge for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,LEGAT OWEN,5100041219,"2,123.56",Quarterly Rent for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Landlord Charges,Estates,LEGAT OWEN,5100041219,"37,184.01",Quarterly Landlord's Service Charge for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,LEGAT OWEN,5100041219,"68,661.45",Quarterly Rent for Bootle Litherland House (29/09/18 - 24/12/18),CH1 1RQ,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,WESTMORELAND INVESTMENTS LTD,5100041220,871.5,Quarterly Rent for Leeds Windsor House (29/09/18 - 24/12/18),LE4 8PH,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,WESTMORELAND INVESTMENTS LTD,5100041220,"123,628.50",Quarterly Rent for Leeds Windsor House (29/09/18 - 24/12/18),LE4 8PH,,,,
HMRC,HMRC,11/09/2018,Landlord Charges,Estates,INTU,5100041221,150.04,Quarterly Landlord's Service Charge for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),SW1H 0BU,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,INTU,5100041221,4161.78,Quarterly Rent for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),SW1H 0BU,,,,
HMRC,HMRC,11/09/2018,Landlord Charges,Estates,INTU,5100041221,"4,851.26",Quarterly Landlord's Service Charge for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),SW1H 0BU,,,,
HMRC,HMRC,11/09/2018,Rent,Estates,INTU,5100041221,"114,746.22",Quarterly Rent for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),SW1H 0BU,,,,
HMRC,HMRC,11/09/2018,Computer Equipment a,Information Management Services,RCDTS LTD,5100041223,"1,083,437.21",Computer Equipment a,SW1A 2BQ,,,,
HMRC,HMRC,11/09/2018,RCDTS (Rec VAT),Information Management Services,RCDTS LTD,5100041223,"7,312,040.14",RCDTS (Rec VAT),SW1A 2BQ,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041224,"102,918.62",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041226,"186,550.70",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041227,23523.57,Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,11/09/2018,Govt dept services,Change Portfolio,NATIONAL SAVINGS & INVESTMENTS,5100041229,602484.59,Govt dept services,SW1V 2QX,,,,
HMRC,HMRC,12/09/2018,Soft Licen Off shelf,Information Management Services,SOFTCAT LTD,5100041420,"1,568,894.33",Perpetual software licence and support and maintenance,SL7 1LW,,,,
HMRC,HMRC,12/09/2018,Data Purchases,Benefits & Credits Delivery,INTEGRATED DEBT SERVICES LTD T/AS,5100041452,"70,099.15",Credit Reference Agency charges used in compliance activities for the detection and prevention of fraud,LS1 4AP,,,,
HMRC,HMRC,12/09/2018,Govt dept services,CS Transformation Programmes,NATIONAL SAVINGS & INVESTMENTS,5100041471,"1,207,160.83",Govt dept services,SW1V 2QX,,,,
HMRC,HMRC,12/09/2018,Contin Labor Build,Customs Transformation,CAPITA BUSINESS SERVICES LTD,5100041478,"25,799.50",Customs Declaration IT Services - Bakare,DL1 9HN,,,,
HMRC,HMRC,12/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041481,"41,316.18",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,12/09/2018,Samplng & Analytical,Fraud Investigation Service,IMA LTD,5100041502,"37,632.00",Samplng & Analytical,LS20 8BH,,,,
HMRC,HMRC,12/09/2018,OHS,HR,RIGHT CORECARE LTD T/AS WORKPLACE,5100041507,"25,110.00",OHS,IP33 1UZ,,,,
HMRC,HMRC,12/09/2018,Employee education,HR,CSL - KPMG LLP,5100041510,"201,105.62",Employee education,E14 5GL,,,,
HMRC,HMRC,12/09/2018,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100041529,"50,072.52",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,12/09/2018,OHS,HR,RIGHT CORECARE LTD T/AS WORKPLACE,5100041536,"25,235.00",OHS,IP33 1UZ,,,,
HMRC,HMRC,12/09/2018,Rent,Estates,KNIGHT FRANK LLP,5100041543,"112,807.90",Monthly Rent for London Jubilee House (01/10/18 - 31/10/18),W1U 8AN,,,,
HMRC,HMRC,12/09/2018,Security printing,Customs & Indirect Tax Policy,COMMUNISIS UK LTD,5100041552,"51,738.95",Security printing,NE12 8EW,,,,
HMRC,HMRC,12/09/2018,Contin Labor Run,CSIR,FINYX CONSULTING LTD,5100041559,"162,018.84",Clustering - Funded by NCSP Programme approved by Cabinet Office,YO10 5DG,,,,
HMRC,HMRC,13/09/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100041935,"121,228.03",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,13/09/2018,Rent,Estates,BERKLEY ESTATES LONDON LTD,5100041946,"2,814.00",Quarterly Rent for Sunderland Waterside House (29/09/18 - 24/12/18),W1U 1QY,,,,
HMRC,HMRC,13/09/2018,Rent,Estates,BERKLEY ESTATES LONDON LTD,5100041946,"97,686.00",Quarterly Rent for Sunderland Waterside House (29/09/18 - 24/12/18),W1U 1QY,,,,
HMRC,HMRC,13/09/2018,Landlord Charges,Estates,JONES LANG LASALLE LTD,5100041958,993.17,Quarterly Landlord's Service Charge for Croydon Ruskin Square (29/09/18 - 24/12/18),NR3 1YF,,,,
HMRC,HMRC,13/09/2018,Rent,Estates,JONES LANG LASALLE LTD,5100041958,19950,Quarterly Rent for Croydon Ruskin Square Main Car Park (29/09/18 - 24/12/18),NR3 1YF,,,,
HMRC,HMRC,13/09/2018,Landlord Charges,Estates,JONES LANG LASALLE LTD,5100041958,"26,594.83",Quarterly Landlord's Service Charge for Croydon Ruskin Square (29/09/18 - 24/12/18),NR3 1YF,,,,
HMRC,HMRC,13/09/2018,Rent,Estates,JONES LANG LASALLE LTD,5100041958,"1,853,939.22",Quarterly Rent for Croydon Ruskin Square Office (29/09/18 - 24/12/18),NR3 1YF,,,,
HMRC,HMRC,13/09/2018,Rent,Estates,JONES LANG LASALLE LTD,5100041962,"35,175.00",Quarterly Rent for Croydon Ruskin Square Additional Car Parking (29/09/18 - 24/12/18),NR3 1YF,,,,
HMRC,HMRC,13/09/2018,Contin Labor Build,Digital,MERCATOR IT SOLUTIONS LTD,5100042023,"148,070.00",Contractor software development,TN6 2TT,,,,
HMRC,HMRC,13/09/2018,Non PFI serv VAT,Estates,SERVEST GROUP LTD,5100042149,"38,314.97",Facilities Management - Soft FM costs for the Newcastle Estate (August 2018),IP28 6LG,,,,
HMRC,HMRC,13/09/2018,Non PFI serv VAT,Estates,SERVEST GROUP LTD,5100042149,"387,406.94",Facilities Management - Soft FM costs for the Newcastle Estate (August 2018),IP28 6LG,,,,
HMRC,HMRC,13/09/2018,Data input or prep,Information Management Services,EDM GROUP LTD,5100042150,35041.75,EDM Scanning and Data Input Aug-18,EC4N 1SP,,,,
HMRC,HMRC,13/09/2018,Rent,Individuals & Small Business Compliance,DAC Beachcroft LLP,5100042224,"30,161.20",Rent,BS1 9HS,,,,
HMRC,HMRC,14/09/2018,Chairs,Estates,WAGSTAFF BROS LTD,5100041009,"57,105.33",Purchase of furniture for Birmingham City Centre House (July 2018),EC1V 4JR,,,,
HMRC,HMRC,14/09/2018,Debt coll serv (DEL),Debt Management,INTEGRATED DEBT SERVICES LTD T/AS,5100042217,"2,074,216.57",Debt Collection Services,LS1 4AP,,,,
HMRC,HMRC,14/09/2018,Debt coll serv (DEL),Debt Management,INTEGRATED DEBT SERVICES LTD T/AS,5100042218,"515,361.23",Debt Collection Services,LS1 4AP,,,,
HMRC,HMRC,14/09/2018,Debt coll serv (DEL),Debt Management,INTEGRATED DEBT SERVICES LTD T/AS,5100042221,"26,181.63",Debt Collection Services,LS1 4AP,,,,
