Date,Department Family,Entity,Expense Area,Expense Type,Supplier,Transaction Number,Value
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Capital,Cap Exp Works Building,Chiel Construction Ltd,873289,98654.4
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Capital,Cap Exp Works Building,Allhands Ltd T/A Harrold-Jones Services,874137,69029.68
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Serv.Recd-Miscellaneous,Clinical Pathology Services Llp,874934,34875
11/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Emergency Division,Serv.Recd-Miscellaneous,Warwick Radiology Limited,874947,36598.3
14/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Business Rates,Stratford District Council,DD,53053
15/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Alloga Uk Ltd,301017,32400
15/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Biotest (Uk) Ltd,301691,37400
15/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Phone-Rent - Smartphones,Vodafone Corporate,873380,85676.77
15/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Wheelchair-New Manual,Invacare (Uk) Ltd,873720,25268.05
15/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Blood/Products-Blood,Nhs Blood And Transplant,DD,64779.92
15/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Scheme Contribution,NHS Litigation Authority,DD,531735.8
17/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Consumables,Nhs Supply Chain,37005,57928.18
17/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Abena Uk Limited,66244,57259.1
17/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Novartis Pharmaceuticals Uk Ltd,302159,53424
17/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Novartis Pharmaceuticals Uk Ltd,302160,106848
17/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Novartis Pharmaceuticals Uk Ltd,302161,53433.59
17/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Emergency Division,M&S-Other General Consumables,Abbott Laboratories Ltd,873576,39600
22/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Computer H/Ware Maint.Contract,Convergence Group Ltd,874061,28618.4
24/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Income Clinical Commissioning,Inc Non Sla Comm Other Adjusts,Nhs Warwickshire North Ccg,36923,-91336
24/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Bristol Myers Squibb Pharm Ltd,302696,51723.72
24/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Corporate Division,Computer Software,Advanced Business Solutions,867409,71766
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Abena Uk Limited,67460,56509.31
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Alloga Uk Ltd,303168,27000
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Janssen-Cilag Ltd,303173,26428.56
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,Aah Hospital Service,303192,32349.12
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,M&S-Other General Equipment,Arjo Ltd,839079,28653.6
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Serv.Recd-Miscellaneous,Clinical Pathology Services Llp,874936,47975
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Engineering External Contracts,Steris Solutions Ltd,875474,37632
29/01/2019,Department of Health,South Warwickshire NHS Foundation Trust,Support Services Division,Engineering External Contracts,Bmm Weston Ltd,875627,26280
,Department of Health,South Warwickshire NHS Foundation Trust,Pharmacy,Drugs,AAH Pharmacautical,FP,43395
