Accomodation/Meals,Booked through,Class of travel,Destination,Duration of Visit (Days),Mode of transport,Name,Other (including hospitality given),Purpose of trip,Start date of trip,Total Cost of Use of Official Secure Car,"Total cost, including all visas, accommodation, travel, meals etc. ()"
,,,,,Taxis,"Arnott, Dr. Robert Henry",,Coventry Stn to Ryton (planning day),14/10/2016,,19
,,,,,Taxis,"Arnott, Dr. Robert Henry",,Ryton to Coventry Stn (Ryton planning day),14/10/2016,,18.5
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Duffy, Mr. Philip",,Rail ticket to attend Heathrow View point,14/10/2016,,9
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Travel to View point Heathrow,14/10/2016,,6.5
,Redfern,Standard,Liverpool Lime Street,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,14/10/2016,,7.1
,Redfern,Standard,London Euston,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,14/10/2016,,27
,Redfern,Standard,Manchester Piccadilly,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,14/10/2016,,37
,,,,,T&S - Hotels,"Montgomery, Sir Charles Percival",,Tube journey to HO Charity Event,14/10/2016,,2.4
,Redfern,Standard,London Blackfriars,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,14/10/2016,,11.6
,Redfern,Standard,St Albans Station,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,14/10/2016,,11.6
,,Standard/Economy,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,travel back from heathrow,14/10/2016,,22
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,"Travel back from Workshop in Amadeus House, Heathrow",14/10/2016,,4.9
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,Travel to Workshop at Amadeus House,14/10/2016,,36
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,Travel to Heathrow for workshop,14/10/2016,,5.9
,Redfern,Standard,St Albans Station,,Rail,"Sedwill, Mr. Mark",,External Meeting,14/10/2016,,12.1
,Redfern,Standard,East Croydon,,Rail,"Dottridge, Mr. Adrian Yme",,External Meeting,17/10/2016,,5.9
Hotel Room,Redfern,,London Heathrow,,,"Eastaugh, Mr. Tony",,External Meeting,17/10/2016,,444.6
,Redfern,Business,Delhi,,Air Tickets,"Hills, Mr. Gareth David",,External Meeting,17/10/2016,,115
,,,,,Taxis,"Ind, Mr. Hugh Timothy",,Taxi Fare from International Conference at Kia Oval to Westminister,17/10/2016,,8
,,,,,"T&S - Planes, Trains and Automobiles","Ind, Mr. Hugh Timothy",,Travel to International Directorate Conference at Kia Oval,17/10/2016,,1.5
,,,,,Taxis,"Morrison, Mr. Paul Noble Wilson",,travel to a govt training event,17/10/2016,,12
,Redfern,Standard,Dorking Station,,Rail,"Morrison, Mr. Paul Noble Wilson",,External Meeting,17/10/2016,,24.5
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,travel from external dinner with Polaris to 2 Marsham Street.,17/10/2016,,11.66
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,travel to home following external dinner with Polaris (after 21:00).,17/10/2016,,41.14
,,,,,"Canteens, Lunches, Vending","Oppenheim, Mr. Jeremy",,"Dinner with officials from Polaris a US non profit organisation who are working with MSU on a new helpline for vicitms,Colleague Offer Stern-Weiner also attended",17/10/2016,,208.96
,Redfern,Standard,Cardiff Central,,Rail,"Tribe, Mr. Lee Kelvin",,External Meeting,17/10/2016,,183.5
,Redfern,Economy,Bristol,,Web Transaction,"Williams, Ms. Wendy",,External Meeting,17/10/2016,,18
,Redfern,Economy,Bristol,,Web Transaction,"Williams, Ms. Wendy",,External Meeting,17/10/2016,,45.24
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,18/10/2016,,345
Hotel Standard- One- King Size,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,18/10/2016,,129.6
,Redfern,Standard,Solihull,,Rail,"Eastaugh, Mr. Tony",,External Meeting,18/10/2016,,29.2
,,,,,Taxis,"Lloyd, Ms. Myrtle",,taxi from home to railway station. No suitable public transport.,18/10/2016,,8
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare.,18/10/2016,,2.4
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight stay in London - Dinner.,18/10/2016,,26
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,18/10/2016,,110
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,18/10/2016,,136
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,taxi home following return from officisal visit to Liverpool.,18/10/2016,,23.98
,Redfern,Standard,Folkestone Central,,Rail,"Duffy, Mr. Philip",,External Meeting,19/10/2016,,5
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Dinner (Overnight stay in London),19/10/2016,,26
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare,19/10/2016,,2.4
,Redfern,Standard,East Croydon,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,19/10/2016,,16.6
,Redfern,Standard,Fareham,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,19/10/2016,,8.5
,Redfern,Standard,Winchester,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,19/10/2016,,8.5
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","O'brien, Mr. John",,Meeting at Darlington- last minute travel,19/10/2016,,133.5
,,,,,Taxis,"O'brien, Mr. John",,Taxi to Kings Cross,19/10/2016,,26
,,,,,Taxis,"O'brien, Mr. John",,Taxi from Station to Hotel. No public transport,19/10/2016,,19
,,,,,T&S - Subsistence,"O'brien, Mr. John",,External meeting,19/10/2016,,26
,,,,,Taxis,"Eastaugh, Mr. Tony",,Taxi need from Horley station to venue (Roffey Park),20/10/2016,,29
,Redfern,Standard,Gatwick Airport,,Rail,"Eastaugh, Mr. Tony",,External Meeting,20/10/2016,,46.4
,,,,,Taxis,"Greaves, Mr. Daniel Paul",,Moreton-in-Marsh - Fire services Council,20/10/2016,,9
,Redfern,Standard,Leeds,,Rail,"Hills, Mr. Gareth David",,External Meeting,20/10/2016,,66
,Redfern,Economy,London Heathrow,,Air Tickets,"Hills, Mr. Gareth David",,External Meeting,20/10/2016,,0
,Redfern,Standard,London Kings Cross,,Rail,"Hills, Mr. Gareth David",,External Meeting,20/10/2016,,41
,,,,,Taxis,"Ind, Mr. Hugh Timothy",,Transformation Steering Group Away Day - taxi from Gatwick to Roffey Park,20/10/2016,,30
,,,,,"T&S - Planes, Trains and Automobiles","Ind, Mr. Hugh Timothy",,Fares - visits to teams based in Fleetbank House.,20/10/2016,,6.3
,Redfern,Standard,Gatwick Airport,,Rail,"Ind, Mr. Hugh Timothy",,External Meeting,20/10/2016,,15.5
,,,,,Taxis,"Lloyd, Ms. Myrtle",,taxi from Peterborough train station to Peterborough Passport Office,20/10/2016,,4.8
,,,,,Taxis,"Lloyd, Ms. Myrtle",,taxi from railway station to home. No suitable public transport.,20/10/2016,,7.5
,,,,,Taxis,"Lloyd, Ms. Myrtle",,taxi from Peterborough Passport Office to train station,20/10/2016,,5
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare,20/10/2016,,2.4
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,"Early start, late finish, No time for breakfast",20/10/2016,,4.43
,Redfern,Standard,Chester,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,20/10/2016,,83.3
,Redfern,Standard,Peterborough,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,20/10/2016,,53.5
,,,,,Taxis,"O'brien, Mr. John",,Hotel to Stephenson House. No public transport,20/10/2016,,24
,,,,,Taxis,"O'brien, Mr. John",,Taxi Stephenson House to Darlington station. No public transport,20/10/2016,,7
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","O'brien, Mr. John",,Last minute travel,20/10/2016,,49
,,,,,"T&S - Planes, Trains and Automobiles","O'brien, Mr. John",,Underground to Kings cross,20/10/2016,,2.4
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,Travel to Croydon for Ralon Conference,20/10/2016,,3.6
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,Travel back from meeting in Croydon,20/10/2016,,4.2
,,,,,Taxis,"Parsons, Mr. Michael John",,Travel from meeting in Liverpool,20/10/2016,,6
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from Pimlico station to King's Cross station enroute to HMPO Peterborough,20/10/2016,,5
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from King's Cross Station to 2 Marsham St after visit to HMPO Peterborough,20/10/2016,,16
,Redfern,Standard,Peterborough,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,20/10/2016,,60.7
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,20/10/2016,,46
,,,,,Taxis,"Ind, Mr. Hugh Timothy",,Transformation Steering Group Away Day - Roffey Park to Horsham Station,21/10/2016,,9
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Ind, Mr. Hugh Timothy",,Return fare from Horsham - attendance at Transformation Sterring Group Awayday.,21/10/2016,,16
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,Travel to Croydon for Leadership event,21/10/2016,,4.2
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Owen, Mr. Marc",,travel back to 2MS from leadership event in Croydon,21/10/2016,,6.1
,Redfern,Standard,Liverpool Lime Street,,Rail,"Parsons, Mr. Michael John",,External Meeting,21/10/2016,,78.2
,Redfern,Standard,London Zones 1-6,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,21/10/2016,,18.2
,Redfern,Standard,Woking (Main),,Rail,"Sutton, Mr. Kenneth David",,External Meeting,21/10/2016,,26
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from 2 Marsham St to Pall Mall for FCO Board meeting,21/10/2016,,6.4
,,,,,Taxis,"Wilkinson, Ms. Patsy",,Taxi from Pall Mall to 2 Marsham St,21/10/2016,,7
,,,,,Taxis,"Clarke, Mr. Richard William John",,Taxi to airport from Home,23/10/2016,,45
,,,,,T&S - Overseas Expenses,"Clarke, Mr. Richard William John",,Taxi from Airport to Hotel,23/10/2016,,53.2
,,,,,T&S - Overseas Expenses,"Clarke, Mr. Richard William John",,Pay for Hotel in Washington DC,23/10/2016,,514.36
,Redfern,Economy,W'Ington Dulles,,Air Tickets,"Clarke, Mr. Richard William John",,External Meeting,23/10/2016,,1454.05
,Redfern,,,,Billback Fee,"Clarke, Mr. Richard William John",,External Meeting,23/10/2016,,0.6
,,,,,T&S - Overseas Expenses,"Clarke, Mr. Richard William John",,From Hotel to British Embassy,24/10/2016,,6.56
,,,,,Miscellaneous,"Lloyd, Ms. Myrtle",,Participated in 5 Nations Call obo DG  - cost of 45 minutes call to Canada 24,24/10/2016,,24
,,,,,T&S - Hotels,"Sedwill, Mr. Mark",,Early morning travel from airport following work visit overseas,24/10/2016,,28.7
