Billing Address,Liability Start Date,Property Address,Ratepayer,Net Debit,Property Reference,RV
,30/07/2000,"Rooms 1 & 2, 47 Bethel Street, Brighouse, HD6 1JR",,0,29048710,3400
,01/04/1990,"Adj 111 Towngate, Clifton, Brighouse, HD6 4HP",,883.3,29588703,1825
,01/04/1997,"Moorlea Garage, Albert Road, Halifax, HX2 0DF",,0,64040705,3050
"Robin Hood Works, Wakefield Rd, Brighouse, HD6 1PG",01/04/1990,"Widex Works, Wakefield Road, Brighouse, HD6 1PE",Owram Estates Ltd,835.66,29608715,7400
,01/04/1990,"Ashday Lane, Southowram, Halifax, HX3 9TR",,526.82,64088702,5300
,12/11/2001,"95 Ovenden Road, Ovenden, Halifax, HX3 5RQ",,0,64096095,3950
,30/01/1998,"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",Transaxle Services Ltd,171.82,64148700,355
,01/04/2000,"Bankhouse Lane, Salterhebble, Halifax, HX3 0QL",,0,64148701,1775
"Unit 5 Grantham Works, Grantham Road, Halifax, HX3 6PL",01/04/1998,"1a Brooke Street, Brighouse, HD6 3DT",Calderdale Engineering Services Ltd,1234.2,29108700,2550
,01/04/1990,"Longroyde Surgery, 38 Castle Avenue, Brighouse, HD6 3HT",,2904,29140038,6000
"Whitehouse Industrial Estate, Rivington Road, Preston Brook, Runcorn, WA7 3DJ",06/05/1991,"35 Church Lane, Brighouse, HD6 1AT",L Rowland & Co [Retail] Ltd,4961,29156705,10250
,03/10/2001,"Elland Library, Coronation Street, Elland, HX5 0DF",,0,56052709,5300
,01/04/1990,"Bedford Street Works, Bedford Street, Halifax, HX1 5DL",,0,64188702,5800
,01/04/1997,"Bedford Street Garage, 16a Bedford Street, Halifax, HX1 5DL",,0,64188706,2325
,01/04/1990,"Clay House Mills, Clay House Lane, Greetland, Halifax             HX4 8AW",C N C Services Ltd,2682.61,64596702,9500
,10/12/1996,"Railway Arch No. 3, Bridge End, Brighouse, HD6 3DH",,0,29092703,2850
,24/07/1995,"1 Bridge Road, Brighouse, HD6 1EP",,0,29096001,10750
,21/06/1999,"Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,262.16,56076710,6500
,01/04/1992,"Caravan Site (No 1), Plane Trees Farm, Northowram, Halifax             HX3 7SA",,0,64656703,1000
,13/12/1993,"4 Church Street, Brighouse, HD6 3NF",,152.46,29160004,6300
,01/04/1990,"Scout Meeting Rooms, Coach Road, Brighouse, HD6 2LN",,0,29188700,4000
,07/06/1998,"5A Commercial Street, Brighouse, HD6 1AF",,5445,29196005,11250
,01/04/1990,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",,4162.4,56084709,8600
,01/04/1990,"Quebec Works, Elland Lane, Elland, HX5 9DU",,2178,56084714,9000
,01/04/1990,"53 Commercial Street, Halifax, HX1 1BE",,1056.06,64660053,7700
,01/04/1990,"72 Commercial Street, Halifax, HX1 2JE",,0,64660072,3050
,01/04/1990,"Bankfield House, Huddersfield Road, Elland, HX5 9DW",,5687,56132725,11750
,01/04/1992,"Market Stall 13-14, Market Hall, Borough Market, Halifax             HX1 1DZ",,0,64288713,4850
"Unit 2, 565 Duttons Way, Shadsworth, Blackburn, BB1 2PT",01/04/1992,"Market Stall 61-62, Market Hall, Borough Market, Halifax             HX1 1DZ",Ellmac Ltd,3146,64288734,6500
,01/04/1992,"Market Stall 125, 125A 126A, Market Hall, Borough Market, Halifax              HX1 1DZ",,0,64288765,3950
"Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",01/04/1993,"Cousin Lane, Halifax, HX2 8AD",Calderdale Mbc Children & Young People's Services,1669.8,64696700,3450
,25/08/1990,"R/O Orange Tree, Cross Street, Halifax, HX1 1XB",,2420,64728702,5000
"C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",01/04/1999,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",Vodafone Ltd,4307.6,65788714,8900
,01/09/1996,"28 Union Street, Halifax, HX1 1PR",,0,69144028,10750
,01/04/1990,"31 Union Street, Halifax, HX1 1PR",,3513.48,69144031,10250
,01/04/1990,"9 Wade House Road, Shelf, Halifax, HX3 7PF",,0,69216009,5100
,01/04/1990,"Shelf Youth Centre, Wade House Road, Shelf, Halifax             HX3 7PF",,487.06,69216706,4900
,01/04/1990,"West Vale Garage, Saddleworth Road, Greetland, Halifax             HX4 8BA",,0,68444717,2500
,01/03/1998,"Garage Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8PE",,0,68444732,1625
"Suite One, 500 Pavilion Drive, Northampton Business Park, Brackmills Northampton, NN4 7YJ",01/04/1998,"Adj Copley Motors Ltd, Wakefield Road, Copley, Halifax             HX3 0UA",Perrys Motor Sales Ltd,1573,69240706,3250
"Parking Services, Mulcture House, Mulcture Hall Road, Halifax, HX1 1SP",01/04/1990,"Opp 6 Wakefield Road, Hipperholme, Halifax, HX3 8AA",Regeneration And Development,968,69244703,2000
,01/02/1999,"1 Wards End, Halifax, HX1 1DD",,765.57,69264718,7300
,01/04/1990,"Atlas Garage, Old Lane, Halifax, HX3 6TF",,0,68132704,2225
,01/04/1990,"Broad Fold Park, Dean House Lane, Luddenden, Halifax              HX2 6TP",,0,64792701,2550
,01/04/1990,"Denholmegate Road, Hipperholme, Halifax, HX3 8JR",,0,64812704,2250
,01/04/1990,"Lower New Yard, Dog Lane, Stainland, Halifax             HX4 9QD",,0,64836704,3300
"Lloyds Banking Group, C/O Cbre Corporate Outsourcing Ltd, Cornwall Court, 19 Cornwall Street, Birmingham, B3 2DT",01/04/2001,"A T M, Calderdale Royal Hospital, Dryclough Lane, Halifax              HX3 0PE",Bank Of Scotland Plc,4017.2,64840706,8300
,01/04/1990,"300 Huddersfield Road, Halifax, HX3 0PF",,0,65412300,2900
,01/04/1990,"Siddal Ex Servicemans Club, Siddal Lane, Halifax, HX3 9JS",,3226.68,68568701,10000
,01/04/1990,"Keighley Road, Halifax, HX2 8AR",,697.79,65484700,7800
,13/10/1990,"46 Parkinson Lane, Halifax, HX1 3XL",,0,68224046,3650
,01/04/1990,"198 King Cross Road, Halifax, HX1 3JP",,2662,65516198,5500
,01/10/1994,"14 South Parade, Halifax, HX1 2LY",,230.61,68632710,5800
"Simpson Street, Boothtown, Halifax, HX3 6PA",01/04/1999,"Opp 82 Fern Street, Boothtown, Halifax, HX3 6NP",Cosmadent Dental Laboratory Ltd,203.28,65080702,420
"Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",01/04/1990,"Lower Ground Floor Unit 5, Phoebe Lane Industrial Est., Halifax, HX3 9EX",Hawkhead Bray & Son Ltd,271.04,68248721,560
,01/04/2000,"Unit 16, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,0,68248732,4050
,01/04/1990,"9 Square, Bradford Road, Northowram, Halifax              HX3 7HW",,0,68704009,2750
,04/11/2001,"Adj Whitehall Hotel, Leeds Road, Hipperholme, Halifax             HX3 8ND",,0,65616708,4400
,01/04/1990,"36/38 Stirling Street, Halifax, HX1 2TN",,0,68844038,4600
,01/04/1990,"Gordon Street, Boothtown, Halifax, HX3 6NU",,0,65188701,4850
,01/04/1990,"Centenary Works, Ramsden Street, Wheatley, Halifax             HX3 5JB",,0,68324700,2700
,07/06/2002,"Unit 4, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",C & S Electrical Wholesalers Ltd,1987.51,65752706,8800
,01/04/1990,"52 Towngate, Northowram, Halifax, HX3 7DX",,0,69084052,4100
"Fao Pam Smithies, Westgate House, Westgate, Halifax, HX1 1PS",24/05/2002,"Brighouse Cemetery, 132 Lightcliffe Road, Brighouse, HD6 2HY",Calderdale Mbc Director Of Leisure Services,3533.2,29384132,7300
,01/04/1990,"Canal Works, Hebble End, Hebden Bridge, HX7 6HJ",,0,76256702,4300
,01/04/1990,"Yard Caravan & Premises, Mearclough Road, Sowerby Bridge, HX6 3LF",,0,77340723,1600
,01/06/2001,"Fielden Centre, Ewood Lane, Todmorden, OL14 7DD",,0,78152709,3150
,01/04/1997,"Unit 6, Dancroft Industrial Units, Gauxholme Fold, Todmorden           OL14 7PW",,0,78176706,2125
"Netherwood Road, Burnley, BB10 2AN",01/04/1990,"15 Halifax Road, Todmorden, OL14 5AG",Althams Travel Services Ltd,3388,78192015,7000
,01/04/2003,"Castle Avenue Fisheries, Castle Avenue, Brighouse, HD6 3HT",,0,29140003,2650
"C/O Ctil, Rate A/C Management, Colliers Int Rating Uk Llp, 12th Floor, 11 Brindley Place, 2 Brunswick Square, Brindley Place, Birmingham, B1 2LP",01/01/1998,"Gr 40172 425510, Top Land Country Business Pk, Mytholmroyd, Hebden Bridge        HX7 5RU",Vodafone Ltd,2710.4,76242702,5600
,01/04/1990,"117 Halifax Road, Todmorden, OL14 5BE",,0,78192117,2850
,05/04/2003,"38 Burnley Road, Todmorden, OL14 5EZ",,0,78076038,2400
"Castle Quarry, Nursery Lane, Ripponden, Sowerby Bridge, HX6 4PD",01/04/1990,"Castle Quarry, Nursery Lane, Ripponden, Sowerby Bridge      HX6 4PD",O & W Crawshaw Ltd,5324,77396700,11000
,01/11/1994,"19 Oldham Road, Ripponden, Sowerby Bridge, HX6 4DN",,0,77408019,1900
,01/04/1990,"28 Market Street, Hebden Bridge, HX7 6AA",,0,76360028,5300
"C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",01/09/1998,"Telecommunication Mast, Site Ref W Y K 0157, Sparkhouse Lane, Sowerby Bridge       HX6 3QU",Everything Everywhere Ltd,1815,77520701,3750
,01/04/1991,"Longfield Stables, Middle Longfield Farm, Longfield Road, Todmorden           OL14 6LX",,4436.65,78286700,11000
,01/04/1990,"Caldervale Mill, Pudsey Road, Todmorden, OL14 8NJ",R J M Todmorden Ltd,262.16,78368700,6500
,08/12/1995,"4 Waterhouse Street, Halifax, HX1 1UQ",,0,69304004,5900
,01/08/1993,"22 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,0,76408020,1075
,01/04/1993,"2a New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,0,76408706,3850
,01/04/1990,"Banksfield Clothing Works, Mytholmroyd, Hebden Bridge, HX7 5NR",Sutcliffe Farrar And Co Ltd,0,76444700,5900
"14 Town Hall Street, Sowerby Bridge, HX6 2EA",01/04/1990,"14 Town Hall Street, Sowerby Bridge, HX6 2EA",Simprint Ltd,0,77600721,4200
,01/04/1990,"21 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",,0,77604021,2650
,22/02/2000,"Tuel Lane Fisheries, Tuel Lane, Sowerby Bridge, HX6 2EL",,0,77612702,1275
,17/09/1994,"Angus Firth Ltd, Hollins Mill, Rochdale Road, Todmorden           OL14 6SA",,4119.58,78400708,10750
,01/04/1990,"Clifton House, West Parade, Halifax, HX1 2EQ",,3115.5,69360703,9900
,01/01/1997,"Units 1 & 2, Bridge Gate Shopping Centre, 46 Bridge Gate, Hebden Bridge        HX7 7ET",,0,76508719,7900
,15/07/1991,"Walker Lane, Sowerby Bridge, HX6 2AR",,0,77632703,4200
,22/07/2002,"32 Stansfield Road, Todmorden, OL14 5DL",,4840,78444706,10000
,13/03/2000,"10 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",,0,69420010,2800
,01/04/1990,"Windsor Garage, Victoria Road, Hebden Bridge, HX7 8JX",,0,76560707,4000
,01/04/1990,"Acres Lane, Heptonstall, Hebden Bridge, HX7 7LT",,675.92,76004700,6800
,12/11/1994,"13 West End, Hebden Bridge, HX7 8JP",,0,76576705,2300
"8A Willow Street, Sowerby Bridge, HX6 2BU",01/04/1990,"8a Willow Street, Sowerby Bridge, HX6 2BU",Joseph Sutcliffe & Son Ltd,2952.4,77664700,6100
"P O Box 6079, Wolverhampton, WV1 9RA",01/01/2002,"Transmitter Station, Site Ref 49308, Ashenhurst Road, Todmorden           OL14 5PQ",Arqiva Ltd,2952.4,78012702,6100
,01/04/1990,"R/O Norland School, Berry Moor Road, Norland, Sowerby Bridge      HX6 3RN",,176.44,77060701,1775
,31/10/1997,"Gatelands Farm Caravan Site, Bowood Lane, Triangle, Sowerby Bridge      HX6 3DU",,217.8,77082700,450
,01/04/1990,"Unit 4 Hill Crest Garage, Burnley Road, Sowerby Bridge, HX6 2TL",,0,77108704,2175
,11/03/1995,"Roebuck Inn, Burnley Road, Todmorden, OL14 8PY",,1984.4,78076728,4100
"University Way, Cranfield, Bedfordshire, MK43 0TR",01/04/1998,"Trafficmaster 6446, Burnley Road, Hebden Bridge, HX7 8AZ",Trafficmaster Plc,67.76,76084702,140
"Calder High School, Midgley Road, Mytholmroyd, Hebden Bridge, HX7 5QN",01/04/2002,"Ewood Holmes, Mytholmroyd, Hebden Bridge, HX7 5QN",Calder High School,1573,76088717,3250
,15/01/1998,"Corporation Mill, Corporation Street, Sowerby Bridge, HX6 2QQ",J & S Taylor Ltd,0,77160720,1100
,01/04/1998,"Waggon & Horses Inn, 752 Burnley Road, Todmorden, OL14 8LF",,0,78076767,8100
,01/04/1990,"801 Burnley Road, Todmorden, OL14 7EF",,0,78076772,2325
,11/07/2000,"Manchester House, 107 Halifax Road, Ripponden, Sowerby Bridge      HX6 4DA",,0,77240710,2800
,01/04/1990,"Dalton Street, Todmorden, OL14 5HJ",,0,78120703,1925
,01/04/1990,"Dale View, Mytholmroyd, Hebden Bridge, HX7 5DU",,0,76180700,640
,01/04/1990,"7 Hollins Mill Lane, Sowerby Bridge, HX6 2QG",,2613.6,77276007,5400
,05/08/2002,"Holme Iron Works, Holmes Road, Sowerby Bridge, HX6 3LE",Packaging World Ltd,0,77284702,6500
,24/09/2005,"109 Savile Park Road, Halifax, HX1 2XR",,2374.81,68472109,9200
,20/11/2002,"31 Hanson Lane, Halifax, HX1 5NX",,0,65264762,1450
"Greycourt House, 160 King Cross Road, Halifax, HX1 3LN",01/04/2004,"Greycourt House, 160 King Cross Road, Halifax, HX1 3LN",Second Halifax Housing Ltd,0,65516160,1175
,01/04/2001,"Dog Lane Mills, Dog Lane, Stainland, Halifax              HX4 9PZ",,1913.45,64836702,3850
"320 Regent Street, London, W1B 3BE",01/04/2004,"B/D No 2427-2433 E/Bound M62, Hartshead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX",Admedia Ltd,1718.2,29308715,3550
,01/03/2005,"Drakes Industrial Estate, Shay Lane, Halifax, HX3 6RL",Davley Fabrications Ltd,1355.2,68536707,2800
,02/02/2005,"Unit 3 Brier Hey, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5PF",,1210.78,76088710,7900
"Fao Shabbir Suleman, Westgate House, Westgate, Halifax, HX1 1PS",01/04/2004,"Mill Fold Playing Fields, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ",Calderdale Mbc Leisure Services,220.22,77348754,455
"Taylors Hair Studio, 12 Bethel Street, Brighouse, HD6 1JN",28/06/2005,"12 Bethel Street, Brighouse, HD6 1JN",Taylors & Co [Hairdressers] Ltd,3436.4,29048727,7100
,27/11/2003,"Lord Nelson Inn, 15 High Street, Luddenden, Halifax             HX2 6PX",,2186.8,65328704,8800
"164 Halifax Road, Ripponden, Halifax, HX6 4AH",01/08/2004,"Haulage Yard, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",G Goulden Property,0,77644727,4000
,01/04/2005,"Lee Hill Equestrian Centre, Lee Hill Farm, Swan Lane, Outlane              HD3 3YH",,0,79046701,2750
,01/04/2000,"359/361 Queens Road, Halifax, HX1 4PY",Motorist Discount Centre Ltd,3630,68308780,7500
,01/04/2005,"Unit 7, Mill Lane, Halifax, HX3 6TR",,0,65808715,4650
,01/04/2005,"Market Stall 1-4, Market Hall, Borough Market, Halifax             HX1 1DZ",,0,64288707,4100
,09/08/2004,"Ground Floor, Mytholmroyd Medical Centre, Burnley Road, Mytholmroyd          HX7 5LF",The Langhorne Pharmacy Ltd,2468.4,76088804,5100
"Fao Mr David Turner, 3b Bonegate Road, Brighouse, HD6 1TQ",19/11/2005,"3b Bonegate Road, Brighouse, HD6 1TQ",Nature Cameras Ltd,0,29064702,5800
,29/02/2004,"41 Wakefield Road, Hipperholme, Halifax, HX3 8AQ",,0,69244704,2900
,01/04/2003,"30 Woolshops, Halifax, HX1 1RU",,5445,69536030,11250
,01/04/2005,"Balcony Store 11, Borough Market, Halifax, HX1 1DZ",,319.44,64288783,660
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",11/10/2004,"29 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252727,2500
,24/05/2003,"Clough Moor Farm, New Clough Road, Norland, Sowerby Bridge      HX6 3RD",,0,77378700,1500
"2-5 Stedham Place, (Off New Oxford Street), London, WC1A 1HU",09/06/2003,"4 Crown Yard, Southgate, Elland, HX5 0DQ",The Association Of Colleges,2516.8,56224729,5200
,01/05/2003,"Unit E Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,0,56076712,3650
,01/04/2004,"5a Old Lane, Halifax, HX3 6TD",,0,68080702,500
,01/04/2001,"11 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,0,76088762,1375
,14/02/2004,"627 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,0,29084627,3900
,05/01/2004,"10 Pellon Lane, Halifax, HX1 5SP",,3533.2,68236010,7300
"Fao Wendy Backhouse, Northgate House, Northgate, Halifax, HX1 1UN",01/04/2003,"Public Convenience, Brook Street, Todmorden, OL14 5DS",Chief Environmental Health Officer,1790.8,78076832,3700
"Fao Marjorie Binns, The Estate Office, Ashgrove House, Elland Road, Elland, HX5 9JB",01/04/2001,"7 Crossley Street, Halifax, HX1 1UG",Landowne Ltd,0,64748007,9700
,07/07/2003,"349 Salterhebble Hill, Halifax, HX3 0QA",,0,68452349,4900
,01/07/2003,"West View Garage, Boothtown, Halifax, HX3 6PG",,2311.05,69372701,4650
,26/05/2003,"65 Commercial Street, Halifax, HX1 1BE",,1714.18,64660065,8500
,01/09/2003,"136 Claremount Road, Halifax, HX3 6JQ",,0,64592136,2950
,01/04/2004,"23 Square Road, Halifax, HX1 1QG",,3226.68,68708023,10000
,16/06/2005,"197A Gibbet Street &, Halifax, HX1 5JN",,0,65104702,3900
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",01/04/2003,"Office Suite D160, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,1500.4,64788833,3100
,04/03/2003,"Unit 2 Mount Street, Halifax, HX1 5DD",D Hall Electrical Services Ltd,1987.51,65164032,8800
,15/03/2004,"16 Borough Market, Halifax, HX1 1DY",,0,64288016,2125
"Mr Ian Baxter, 14B Newlands Road, Warley, Halifax, HX2 7RE",01/12/2002,"Units 1 & 7 Arden Works, Fenton Road, Halifax, HX1 3PP",Fenton Road Garage Ltd,0,65072713,4400
,01/11/2004,"6 Borough Market, Halifax, HX1 1DY",,2081.2,64288006,4300
,30/07/2005,"38 Boothtown Road, Halifax, HX3 6NE",,0,64284710,1925
,27/02/2003,"Unit B1A, Dean Clough Industrial Park, Halifax, HX3 5AX",,0,64784885,3500
"Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",01/11/2002,"Unit 19A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",Hawkhead Bray & Son Ltd,0,68248736,570
"Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01/04/2005,"Advertising Right, Adj Undercliffe Service Stn, Godley Lane, Shibden              HX3 6XG",Primesight Ltd,116.16,65180707,240
"Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD",01/07/2004,"Dryclough Lane Garage, Dryclough Lane, Halifax, HX3 0LD",Dryclough Lane Garage Ltd,3513.48,64840708,10250
,20/12/2003,"237 Queens Road, Halifax, HX1 4NJ",,0,68308237,3400
,01/05/2004,"2 Hope Street, Hebden Bridge, HX7 8AG",,0,76300002,4450
"P O Box 6079, Wolverhampton, WV1 9RA",01/04/2004,"Telecommunications Mast, Ref 10468 Tinker Hey Farm, North Dean Road, Greetland            HX4 8QA",Arqiva Ltd,5324,68926701,11000
,17/05/2004,"Unit A, 1ST Floor, Salt Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",C.M.S Training Services Ltd,3812.47,77128715,10500
"Office Suite E 213/219, Dean Clough Mills, Halifax, HX3 5AX",01/07/2004,"Office Suite E 213/219, Dean Clough Mills, Halifax, HX3 5AX",Veni Vidi (Ophth) Ltd,4961,64778784,10250
"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",01/09/2005,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",Heathleigh Ltd,0,56220770,335
"The Melting Pot, White Hart Fold, Todmorden, Lancashire, OL14 7BD",02/09/2005,"Melting Pot Glass Works, White Hart Fold, Todmorden, OL14 7BD",Harmsworth Townley & Co Ltd,1290.65,78524703,8000
,01/05/2004,"38 Market Street, Hebden Bridge, HX7 6AA",,0,76360038,3300
,19/07/2004,"Unit 35, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,0,68248745,4100
,26/11/2004,"51 Boothtown Road, Halifax, HX3 6NE",,0,64284051,6000
"11 Owler Ings Road, Brighouse, HD6 1EJ",11/06/2005,"Office 12 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ",Chiropody Express Ltd,0,29452729,2225
"Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",06/12/2003,"Mezzanine Office 6 & 7, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",Cullingworth Commercials & Freight Services Ltd,1694,69388707,3500
,26/05/2004,"8 Market Street, Brighouse, HD6 1AP",,0,29404008,5600
,01/01/2005,"33 Willow Mount, Shelf, Halifax, HX3 7QH",,0,69470033,3550
,12/01/2005,"80 Huddersfield Road, Elland, HX5 9AA",,0,56132080,4050
,14/08/2005,"2 Market Street, Brighouse, HD6 1AP",,1718.2,29404002,3550
"Office Suite E135, Dean Clough Office Park, Dean Clough, Halifax, HX3 5AX",01/04/2004,"Office Suite E 112, Dean Clough Mills, Halifax, HX3 5AX",Northern Broadsides Theatre Company,283.29,64788814,2850
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",27/01/2007,"19 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252757,2550
"P O Box 6079, Wolverhampton, WV1 9RA",01/04/2005,"02, Telecommunication Mast, Site Ref WY0169A, Height Road, Hebden Bridge        HX7 8PH",Airwave Solutions Ltd,3920.4,76260704,8100
"C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",01/04/2005,"Orange Telecommunication, Mast, Ref  Wyk 7056, Kebs Road, Todmorden           OL14 8SD",Everything Everywhere Ltd,2710.4,78248707,5600
"P O Box 6079, Wolverhampton, WV1 9RA",01/04/2005,"02  Telecommunication Mast, Site Ref  WY040A, Walshaw Lane, Hebden Bridge        HX7 7AX",Airwave Solutions Ltd,2613.6,76572703,5400
,01/09/2007,"2 Sandbed, Halifax Road, Hebden Bridge, HX7 6PT",Eco Heat & Power Ltd,0,76456002,5400
,21/12/2007,"Unit 11A Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DA",,0,78416711,4450
