Country/Region,Product name,Consumption April 2014 - March 2015,Vintage
BORDEAUX (RED),Château Pichon Longueville Comtesse de Lalande 2001,1,2001
BORDEAUX (RED),Château Pichon-Longueville Baron 2001,1,2001
BORDEAUX (RED),Château Pontet Canet 2001,1,2001
BORDEAUX (RED),Château Bahans Haut-Brion 2003,1,2003
BORDEAUX (RED),Château Beausejour-Duffau- Lagarrosse 2003,1,2003
BORDEAUX (RED),Château dArmailhac 2003,1,2003
BORDEAUX (RED),Château Haut Bailly 2003,1,2003
BORDEAUX (RED),Château La Lagune 2003,1,2003
BORDEAUX (RED),Château La Mission Haut-Brion 2003,1,2003
BORDEAUX (RED),Château Les Grands Chenes 2003,1,2003
BORDEAUX (RED),Château Lynch Bages 2003,1,2003
BORDEAUX (RED),Château Plince 2003,1,2003
BORDEAUX (RED),Château Rauzan-Segla 2003,1,2003
BORDEAUX (RED),Pavillon Rouge du Château Margaux 2003,1,2003
BORDEAUX (RED),Château Clos Fourtet 2004,1,2004
BORDEAUX (RED),Château dAngludet 2004,1,2004
BORDEAUX (RED),Château Gazin 2004,1,2004
BORDEAUX (RED),Château Grand Puy Lacoste 2004,1,2004
BORDEAUX (RED),Château Gruaud-Larose 2004,1,2004
BORDEAUX (RED),Château La Conseillante 2004,1,2004
BORDEAUX (RED),Château La Mission Haut-Brion 2004,1,2004
BORDEAUX (RED),Château Lynch Bages 2004,2,2004
BORDEAUX (RED),"Château Pichon-Longueville, Comtesse de Lalande 2004",1,2004
BORDEAUX (RED),Château Talbot 2004,1,2004
BORDEAUX (RED),Domaine de Chevalier 2004,1,2004
BORDEAUX (RED),Vieux Château Certan 2004,1,2004
BORDEAUX ( WHITE),Chateau La Tour Blanche 1997,1,1997
BORDEAUX ( WHITE),Chateau Lafaurie-Peyraguey 1997,6,1997
BORDEAUX ( WHITE),Chateau Suduiraut 1997,26,1997
BORDEAUX ( WHITE),Chateau Doisy-Daene 2001,5,2001
BORDEAUX ( WHITE),Chateau La Tour Blanche (½ bottles) 2001,9,2001
BORDEAUX ( WHITE),Chateau Doisy-Vedrines (½ bottle) 2007,1,2007
BURGUNDY (RED),Corton Bressandes Chandon de Briailles 1990,10,1990
BURGUNDY (RED),Gevrey Chambertin Clos Prieur 1993,10,1993
BURGUNDY (RED),Clos de Vougeot Dom. Drouhin Larose 1995,9,1995
BURGUNDY (RED),Chambolle Musigny Dom. Joseph Drouhin 1996,36,1996
BURGUNDY (RED),Clos de Vougeot Joseph Drouhin 1996,8,1996
BURGUNDY (RED),Corton Clos du Roi Domaine Chandon de Briailles 1996,6,1996
BURGUNDY (RED),Echezeaux Champ Pere & Cie 1996,6,1996
BURGUNDY (RED),Nuits St Georges Clos des Forets St Georges 1996,4,1996
BURGUNDY (RED),Pommard Clos des Epenots 1996,37,1996
BURGUNDY (RED),Savigny Lavieres Tollot-Beaut 1996,4,1996
BURGUNDY (RED),Aloxe Corton Les Fournieres 1999,2,1999
BURGUNDY (RED),Nuits St Georges Les Pruliers 1999,21,1999
BURGUNDY (RED),Vosne-Romanee Les Malconsorts Dom.Hudelot-Noellat 1999,47,1999
BURGUNDY (RED),Vosne Romanee Aux Malconsorts N.Potel 2002,4,1999
BURGUNDY (RED),Corton Pougets Louis Jadot 2003,1,1999
BURGUNDY (RED),Gevrey Chambertin Clos du Fonteny Dom. Bruno Clair 2003,1,1999
BURGUNDY (RED),Nuits Saint Georges Les Saint Georges Dom. Thibault Liget Belair 2003,1,1999
BURGUNDY ( WHITE),Chassagne Montrachet Les Chaumees 1999,11,1999
BURGUNDY ( WHITE),Pouilly Fuisse Les Crays Vieilles Vignes 1999,3,1999
BURGUNDY ( WHITE),Puligny-Montrachet Champ Canet 1999,4,1999
BURGUNDY ( WHITE),Corton Charlemagne Grand Cru Dom. Vincent Girardin 2000,7,2000
BURGUNDY ( WHITE),Pouilly Fuisse Terroir de Vergisson 2000,7,2000
BURGUNDY ( WHITE),Puligny-Montrachet Les Champ Gains 2000,10,2000
BURGUNDY ( WHITE),Batard-Montrachet Blain-Gagnard 2001,1,2001
BURGUNDY ( WHITE),Chassagne-Montrachet Dom. Fontaine-Gagnard 2001,6,2001
BURGUNDY ( WHITE),Chassagne-Montrachet Morgeot Duc de Magenta 2002,4,2002
BURGUNDY ( WHITE),Chassagne-Montrachet Virondot 2002,21,2002
BURGUNDY ( WHITE),Puligny-Montrachet Referts 2002,3,2002
BURGUNDY ( WHITE),Chassagne-Montrachet La Grande Montagne Dom. Gagnard 2004,33,2004
BURGUNDY ( WHITE),Chassagne-Montrachet Les Caillerets 2004,2,2004
BURGUNDY ( WHITE),Chassagne-Montrachet Morgeot Dom. J.Noel Gagnard 2004,49,2004
BURGUNDY ( WHITE),Corton Charlemagne Champy Pere & Cie. 2004,12,2004
BURGUNDY ( WHITE),Pouilly Fuisse La Roche Bret Bros 2004,3,2004
BURGUNDY ( WHITE),Puligny-Montrachet Champ Gain Dom. Gagey L.Jadot 2004,34,2004
BURGUNDY ( WHITE),Puligny-Montrachet Hameau de Blagny 2004,12,2004
BURGUNDY ( WHITE),Corton Charlemagne Grand Cru Bonneau du Martray 2005,5,2005
BURGUNDY ( WHITE),Meursault Les Grand Charrons Dom. M. Bouzereau et Fils 2005,18,2005
BURGUNDY ( WHITE),Meursault Perrieres 2005,40,2005
BURGUNDY ( WHITE),Puligny-Montrachet Les Garennes 2005,46,2005
BURGUNDY ( WHITE),Puligny-Montrachet Les Champs Gain Mischief & Mayhem 2005,36,2005
BURGUNDY ( WHITE),Corton Charlemagne Dom. Rapet Pere et Fils 2006,17,2006
BURGUNDY ( WHITE),Meaursault Charmes Dom. Henri Germain et Fils 2006,9,2006
BURGUNDY ( WHITE),"Meursault Charmes, Louis Jadot 2006",2,2006
BURGUNDY ( WHITE),Puligny-Montrachet Les Folatieres Dom. L. Jadot 2006,50,2006
BURGUNDY ( WHITE),Puligny-Montrachet Les Referts Remoissenet 2006,29,2006
BURGUNDY ( WHITE),Puligny-Montrachet Chateau de Puligny-Montrachet 2006,33,2006
BURGUNDY ( WHITE),Chassagne-Montrachet Morgeot Vigne Blanche Ch.de la Maltroye 2007,1,2007
BURGUNDY ( WHITE),Chassagne-Montrachet Morgeot Les Fairendes 2007,15,2007
BURGUNDY ( WHITE),Meursault Santenots Dom. Marquis dAngerville 2007,5,2007
BURGUNDY ( WHITE),Monthelie Blanc Chateau de Puligny-Montrachet 2007,53,2007
BURGUNDY ( WHITE),Pouilly Fuisse Les Vieilles Vignes Ch. de Fuisse JJ Vincent 2007,1,2007
BURGUNDY ( WHITE),Puligny-Montrachet La Clavoillon Dom.Leflaive 2007,6,2007
BURGUNDY ( WHITE),Chablis Vaillon Cuvee Guy Moreau Dom. C Moreau 2008,76,2008
BURGUNDY ( WHITE),Corton Charlemagne Dom. Bonneau du Martray 2008,1,2008
BURGUNDY ( WHITE),Meursault en Luraule Joseph Drouhin 2008,13,2008
BURGUNDY ( WHITE),"Puligny-Montrachet Clos de la Garenne, Duc de Magenta Jadot 2008",1,2008
CHAMPAGNE,Berry Brothers Brut NV,107,
CHAMPAGNE,Heidsieck Heritage Brut NV,28,
CHAMPAGNE,Louis Roederer Carte Blanche NV,50,
CHAMPAGNE,Pol Roger NV,15,
CHAMPAGNE,Veuve Clicquot NV,4,
CHAMPAGNE,Taittinger Comtes de Champagne 1998,1,1998
COGNAC,Frapin FLB Grande Champagne Cognac,1,
COGNAC,Hine 1924,0.25,1924
COGNAC,Christophers 1934,1,1934
COGNAC,Martell 1921,0.5,1921
ENGLAND  / WALES,Nyetimber Demi Sec NV,69,
ENGLAND  / WALES,Breaky Bottom 1999,9,1999
ENGLAND  / WALES,Chapel Down Pinot Reserve 2001,5,2001
ENGLAND  / WALES,Denbies Cubitt Reserve 2006,44,2006
ENGLAND  / WALES,Nyetimber Classic Cuvee 2007,39,2007
ENGLAND  / WALES,Camel Valley Pinot Noir Brut 2008,37,2008
ENGLAND  / WALES,Ridgeview Merret Grosvenor 2009,95,2009
ENGLAND  / WALES,Ancre Hill Estate Blanc de Noirs 2010,136,2010
ENGLAND  / WALES,Camel Valley Rose Brut 2010,84,2010
ENGLAND  / WALES,Denbies Schonburger 2006,20,2006
ENGLAND  / WALES,Chapel Down Bacchus Reserve 2007,4,2007
ENGLAND  / WALES,Chapel Down Chardonnay 2009,2,2009
ENGLAND  / WALES,Chapel Down Pinot Blanc 2009,2,2009
ENGLAND  / WALES,Three Choirs Willow Brook 2009,53,2009
ENGLAND  / WALES,Camel Valley Atlantic Dry 2010,34,2010
ENGLAND  / WALES,Three Choirs Annum 2011,144,2011
ITALY,Masseto Tenuta DelOrnellaia 1994,3,1994
ITALY,Barolo Claudio Alario 1995,8,1995
LIQUEURS,Creme de Menthe,,
LIQUEURS,Cointreau (½ bottles),,
LOIRE,Sancerre Terre de Maimbray 2007,3,2007
LOIRE,Sancerre Domaine Vacheron 2010,12,2010
LOIRE,Sancerre Nuance Vincent Pinard 2010,11,2010
LOIRE,Vouvray Le Mont Sec Dom. Huet 2010,16,2010
MOSEL,Graacher Himmelrich Reisling Spatlese JJ Prum 2001,8,2001
MOSEL,Bernkasteler Badstube Riesling Kabinett JJ Prum 2007,15,2007
MOSEL,Wehlener Sonnenuhr Spatlese JJ Prum 2007,1,2007
NEW ZEALAND,Fromm Clayvin Vineyard Chardonnay 2006,11,2006
NEW ZEALAND,Felton Road Chardonnay Central Otago 2008,38,2008
PORT,Dow 1977,1,1977
PORT,Taylor 1977,24,1977
PORT,Warre 1977,16,1977
PORT,Dow 1983,7,1983
PORT,Fonseca 1983,4,1983
PORT,Graham 1983,6,1983
PORT,Warre 1983,3,1983
PORT,Churchill 1985,11,1985
PORT,Cockburn 1985,2,1985
PORT,Fonseca 1985,2,1985
PORT,Graham 1985,1,1985
PORT,Quarles Harris 1994,1,1994
PORT,Fonseca 2000,1,2000
RECEPTION WINES,Berry Brothers Good Ordinary Claret 2012,187,2012
RECEPTION WINES,Chapel Down Bacchus 2012-13,1637,
RECEPTION WINES,Concha Y Toro Merlot 2011-13,699,
RHINE,Forster Jesuitengarten Riesling Kabinett Bassermann-Jordan 2001,6,2001
RHINE,Schloss Johannisberger Riesling Spatlese Grunlack 2001,8,2001
RHONE,Cote-Rotie Burgaud 1986,1,1986
RHONE,Hermitage Bernard Faurie 1988,1,1988
RHONE,"Hermitage La Chapelle, Paul Jaboulet Aine 1990",3,1990
RHONE,Crozes Hermitage Dom. de Thalabert 1995,36,1995
RHONE,Crozes Hermitage La Petite Ruche M. Chapoutier 1995,1,1995
RHONE,Chateauneuf-du-Pape Clos des Papes 1998,4,1998
RHONE,Cotes du Rhone-Villages Notre Dame de Celletes 1998 Dom. St Anne,12,1998
SOUTH AFRICA,Wellington Cape Mont du Toit 2002,6,2002
SOUTH AFRICA,Hamilton Russell Pinot Noir 2003 Walker Bay,7,2003
SOUTH AFRICA,Hamilton Russell Chardonnay 2008 Walker Bay,6,2008
SPIRITS,Black Label Whisky,,
SPIRITS,Caol Ila 18year Single Malt Whisky,,
SPIRITS,Dalwhinnie Single Malt Whisky,,
SPIRITS,Gin,,
UNITED STATES OF AMERICA,Ridge Zinfandel Geyserville 1996,2,1996
UNITED STATES OF AMERICA,Newton Merlot Napa Valley 1997,44,1997
WINES SOLD,Chateau Latour 1961,6,1961
WINES SOLD,Chateau Margaux 1961,12,1961
WINES SOLD,Le Pin 1986,12,1986
WINES SOLD,Chateau Haut Brion 1989,12,1989
WINES SOLD,Chateau Lafite 1990,12,1990
WINES SOLD,Chateau Margaux 1990,12,1990
WINES SOLD,Chateau Le Tertre Roteboeuf 1993,120,1993
WINES SOLD,Château Lynch Bages 1994,120,1994
