Generic Job Title,Grade,Organisation,Parent Department,Professional/Occupational Group,Reporting Senior Post,Unit,Number of Posts in FTE,Payscale Maximum (£),Payscale Minimum (£)
Assistant Planner,D,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,29097,21826
PA to Director of Operations & Finance,D,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,0.81,29097,21826
Commercial Team Leader,D,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,29097,21826
Operations Officer,E,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,6,36026,27016
Design Manager,E,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,36026,27016
Assistant Design Engineer,E,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,36026,27016
Senior Technician,E,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,7,36026,27016
Light House Support Team Leader,E,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,36026,27016
Buoy Yard Supervisor,E,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,2,36026,27016
Planning Assistant,E,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,36026,27016
Senior Project Engineer,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,3,47985,33590
Project Manager,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,47985,33590
Operations Systems Manager,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,47985,33590
Design & Support Engineer,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,47985,33590
Project Engineer,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,6,47985,33590
Technical Manager,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,3,47985,33590
CDM Co-ordinator & Installation Supervisor,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,47985,33590
Senior Planner,F,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,47985,33590
Commercial Manager,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Programme Manager,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Engineering Manager,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Technical Superintendent,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Planning Manager,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Technical Services Manager,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Buoy Operations Manager,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Lighthouse Manager,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Engineering Superintendent,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Marine Superintendent,SM1,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,56150,39306
Engineering & Operations Manager,SM2,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,70000,45721
Marine Operations Manager,SM2,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,70000,45721
Engineering & Project Delivery Manager,SM2,Trinity House,Department for Transport,Operational Delivery,TH03,Operations Directorate,1,70000,45721
Local Aids To Navigation Officer,E,Trinity House,Department for Transport,Other,TH02,Navigation Directorate,1,36026,27016
Navigation Support Officer,E,Trinity House,Department for Transport,Other,TH02,Navigation Directorate,1,36026,27016
Hydrography & Charting Officer,E,Trinity House,Department for Transport,Other,TH02,Navigation Directorate,1,36026,27016
Local Seamarks Auditor,F,Trinity House,Department for Transport,Other,TH02,Navigation Directorate,1,47985,33590
Navigation Services Officer,F,Trinity House,Department for Transport,Other,TH02,Navigation Directorate,1,47985,33590
Inspector of Seamarks,SM1,Trinity House,Department for Transport,Other,TH02,Navigation Directorate,1,56150,39306
Navigation Manager,SM2,Trinity House,Department for Transport,Other,TH02,Navigation Directorate,1,70000,45721
Lights Techinician,C,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,26035,19541
Receptionist/Administrator,C,Trinity House,Department for Transport,Policy,TH01,Chief Executive,2,26035,19541
Management Systems Support Officer,C,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,26035,19541
Public Relations & Records Assistant,C,Trinity House,Department for Transport,Policy,TH01,Chief Executive,0.6,26035,19541
Secretary and PA,D,Trinity House,Department for Transport,Policy,TH01,Chief Executive,0.76,29097,21826
Team Administrator,D,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,29097,21826
Assistant to Health & Safety Manager,D,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1.6,29097,21826
PA to Executive Chairman,E,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,36026,27016
Legal & Support Team Leader,E,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,36026,27016
Development Engineer,E,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,36026,27016
Principal Development Engineer (Systems),F,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,47985,33590
Health & Safety Manager,F,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,47985,33590
Estates & Property Manager,F,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,47985,33590
Project Manager,F,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,47985,33590
Research & Development Engineer,F,Trinity House,Department for Transport,Policy,TH01,Chief Executive,2,47985,33590
Public Relations & Records Manager,F,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,47985,33590
Audit & Performance Manager,F,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,47985,33590
Principal Development Engineer,SM1,Trinity House,Department for Transport,Policy,TH01,Chief Executive,3,56150,39306
Legal Advisor,SM1,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,56150,39306
Risk Manager,SM1,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,56150,39306
Legal & Risk Manager,SM2,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,70000,45721
Research Director,SM2,Trinity House,Department for Transport,Policy,TH01,Chief Executive,0.5,70000,45721
RRNAV Manager,SM2,Trinity House,Department for Transport,Policy,TH01,Chief Executive,1,70000,45721
