Species,Latitude,Longitude
Ginkgo biloba L,32.671659,114.401207
Ginkgo biloba L,32.581791,118.488048
Ginkgo biloba L,32.395863,119.440101
Ginkgo biloba L,32.352598,110.187018
Ginkgo biloba L,32.321708,118.175225
Ginkgo biloba L,32.315336,106.099163
Ginkgo biloba L,32.307658,112.806373
Ginkgo biloba L,32.271707,118.544767
Ginkgo biloba L,32.265667,118.826821
Ginkgo biloba L,32.229859,120.316382
Ginkgo biloba L,32.164106,118.989616
Ginkgo biloba L,32.149254,120.701443
Ginkgo biloba L,32.111554,109.06973
Ginkgo biloba L,32.102182,118.521044
Ginkgo biloba L,32.008375,120.900842
Ginkgo biloba L,31.950195,111.658393
Ginkgo biloba L,31.923108,107.248353
Ginkgo biloba L,31.864425,114.831249
Ginkgo biloba L,31.818172,114.323144
Ginkgo biloba L,31.694496,115.138856
Ginkgo biloba L,31.691714,104.672259
Ginkgo biloba L,31.586377,114.724651
Ginkgo biloba L,31.47471,112.999413
Ginkgo biloba L,31.440989,120.010396
Ginkgo biloba L,31.390298,113.38288
Ginkgo biloba L,31.366349,115.442905
Ginkgo biloba L,31.317249,121.258127
Ginkgo biloba L,31.277465,120.457028
Ginkgo biloba L,31.21205,115.591854
Ginkgo biloba L,31.208124,115.920988
Ginkgo biloba L,31.089032,105.470981
Ginkgo biloba L,31.076001,121.150662
Ginkgo biloba L,31.072032,119.703739
Ginkgo biloba L,31.055276,120.366858
Ginkgo biloba L,31.023915,119.9128
Ginkgo biloba L,30.997869,103.450078
Ginkgo biloba L,30.964812,116.487236
Ginkgo biloba L,30.950772,120.903093
Ginkgo biloba L,30.945887,109.827864
Ginkgo biloba L,30.943738,103.698147
Ginkgo biloba L,30.777301,104.997067
Ginkgo biloba L,30.754544,120.494407
Ginkgo biloba L,30.722719,120.067139
Ginkgo biloba L,30.693375,121.231575
Ginkgo biloba L,30.68477,118.87318
Ginkgo biloba L,30.662355,104.050045
Ginkgo biloba L,30.648476,116.300445
Ginkgo biloba L,30.645092,110.209497
Ginkgo biloba L,30.607722,119.844997
Ginkgo biloba L,30.582544,119.230278
Ginkgo biloba L,30.572706,103.743792
Ginkgo biloba L,30.55456,114.27678
Ginkgo biloba L,30.547405,115.621876
Ginkgo biloba L,30.487043,117.811393
Ginkgo biloba L,30.380432,104.225364
Ginkgo biloba L,30.355631,109.34833
Ginkgo biloba L,30.316817,119.024045
Ginkgo biloba L,30.309983,118.411845
Ginkgo biloba L,30.30947,114.212333
Ginkgo biloba L,30.202876,119.499708
Ginkgo biloba L,30.201814,120.106526
Ginkgo biloba L,30.123794,109.405099
Ginkgo biloba L,30.111505,118.177883
Ginkgo biloba L,30.085357,103.0542
Ginkgo biloba L,30.008858,120.123923
Ginkgo biloba L,29.991108,122.393451
Ginkgo biloba L,29.958514,109.518999
Ginkgo biloba L,29.953238,119.340249
Ginkgo biloba L,29.938629,115.01541
Ginkgo biloba L,29.922226,109.039109
Ginkgo biloba L,29.906692,108.883823
Ginkgo biloba L,29.89436,118.548962
Ginkgo biloba L,29.88349,116.550249
Ginkgo biloba L,29.874671,118.342878
Ginkgo biloba L,29.863591,110.536445
Ginkgo biloba L,29.832467,117.500848
Ginkgo biloba L,29.796949,121.19752
Ginkgo biloba L,29.792951,102.234088
Ginkgo biloba L,29.706258,118.964682
Ginkgo biloba L,29.69369,120.501037
Ginkgo biloba L,29.668245,111.441411
Ginkgo biloba L,29.634075,120.278719
Ginkgo biloba L,29.608465,119.51222
Ginkgo biloba L,29.594067,118.752978
Ginkgo biloba L,29.556365,115.974762
Ginkgo biloba L,29.534389,117.995811
Ginkgo biloba L,29.506942,120.897454
Ginkgo biloba L,29.45057,110.220174
Ginkgo biloba L,29.439365,120.333425
Ginkgo biloba L,29.396265,114.571237
Ginkgo biloba L,29.311251,110.437454
Ginkgo biloba L,29.282177,108.40655
Ginkgo biloba L,29.268462,107.355892
Ginkgo biloba L,29.224941,120.680486
Ginkgo biloba L,29.159317,118.766345
Ginkgo biloba L,29.107954,119.662089
Ginkgo biloba L,29.097687,115.591501
Ginkgo biloba L,29.055362,107.134485
Ginkgo biloba L,29.050914,118.376581
Ginkgo biloba L,29.043527,110.699531
Ginkgo biloba L,29.022956,121.53636
Ginkgo biloba L,29.021712,119.41107
Ginkgo biloba L,28.84639,115.768774
Ginkgo biloba L,28.831293,121.529388
Ginkgo biloba L,28.743055,119.759044
Ginkgo biloba L,28.701214,108.089933
Ginkgo biloba L,28.68942,120.937108
Ginkgo biloba L,28.575733,117.864742
Ginkgo biloba L,28.56738,120.356548
Ginkgo biloba L,28.444424,107.896759
Ginkgo biloba L,28.437199,110.864271
Ginkgo biloba L,28.42413,109.031585
Ginkgo biloba L,28.413488,114.53375
Ginkgo biloba L,28.317897,114.271817
Ginkgo biloba L,28.307696,107.629132
Ginkgo biloba L,28.185434,118.411529
Ginkgo biloba L,28.126151,114.346783
Ginkgo biloba L,28.071034,108.727652
Ginkgo biloba L,27.915601,113.104353
Ginkgo biloba L,27.898503,120.43995
Ginkgo biloba L,27.886181,112.619284
Ginkgo biloba L,27.850744,118.13846
Ginkgo biloba L,27.78688,108.540847
Ginkgo biloba L,27.64382,117.929737
Ginkgo biloba L,27.60035,120.036784
Ginkgo biloba L,27.45363,114.203809
Ginkgo biloba L,27.377123,112.342377
Ginkgo biloba L,27.269641,112.709789
Ginkgo biloba L,27.269403,110.620077
Ginkgo biloba L,27.224607,114.333764
Ginkgo biloba L,27.22447,116.347611
Ginkgo biloba L,27.107236,110.23609
Ginkgo biloba L,26.936013,117.749149
Ginkgo biloba L,26.906039,116.224097
Ginkgo biloba L,26.858543,114.285989
Ginkgo biloba L,26.839291,111.476354
Ginkgo biloba L,26.658027,111.128697
Ginkgo biloba L,26.65793,117.854685
Ginkgo biloba L,26.648812,114.033256
Ginkgo biloba L,26.542156,115.181478
Ginkgo biloba L,26.500428,107.588937
Ginkgo biloba L,26.497356,116.709014
Ginkgo biloba L,26.472435,116.481828
Ginkgo biloba L,26.385814,118.219286
Ginkgo biloba L,26.351695,114.783646
Ginkgo biloba L,26.256132,107.317264
Ginkgo biloba L,26.169925,112.023608
Ginkgo biloba L,26.120157,110.70253
Ginkgo biloba L,26.104974,106.823648
Ginkgo biloba L,25.787277,117.370562
Ginkgo biloba L,25.617998,104.557984
Ginkgo biloba L,25.61195,117.550565
Ginkgo biloba L,25.510674,112.716204
Ginkgo biloba L,25.458875,110.810114
Ginkgo biloba L,25.437939,98.695542
Ginkgo biloba L,25.317029,110.586695
Ginkgo biloba L,25.29,114.53
Ginkgo biloba L,25.062653,117.313657
Ginkgo biloba L,25.053142,116.294619
Ginkgo biloba L,25.021838,101.405804
Ginkgo biloba L,24.777444,110.374591
Ginkgo biloba L,24.765718,111.111111
Ginkgo biloba L,25.306,98.518
Ginkgo biloba L,25.144,102.741
Ginkgo biloba L,26.099,102.919
Ginkgo biloba L,25.027,102.672
Ginkgo biloba L,24.862,102.843
Ginkgo biloba L,25.025,102.682
Ginkgo biloba L,25.049,102.701
Ginkgo biloba L,25.337,110.612
Ginkgo biloba L,29.916,102.25
Ginkgo biloba L,26.666,107.5
Ginkgo biloba L,34.15,108.133
Ginkgo biloba L,32.116,114.083
Ginkgo biloba L,29.4,111.133
Ginkgo biloba L,35.6,118.866
Ginkgo biloba L,23.631,113.762
Ginkgo biloba L,24.915,113.077
Ginkgo biloba L,25.966,118.319
Ginkgo biloba L,27.358,118.953
Ginkgo biloba L,26.651,118.286
Ginkgo biloba L,26.1,119.307
Ginkgo biloba L,31.02,119.784
Ginkgo biloba L,30.096,119.483
Ginkgo biloba L,29.019,120.454
Ginkgo biloba L,28.369,116.003
Ginkgo biloba L,28.682,115.892
Ginkgo biloba L,25.795,112.795
Ginkgo biloba L,26.046,111.851
Ginkgo biloba L,25.615,104.548
Ginkgo biloba L,27.843,107.784
Ginkgo biloba L,30.659,104.055
Ginkgo biloba L,30.659,104.055
Ginkgo biloba L,30.676,104.101
Ginkgo biloba L,31.441,113.296
Ginkgo biloba L,31.374,113.343
Ginkgo biloba L,33.182,118.178
Ginkgo biloba L,34.526,116.509
Ginkgo biloba L,31.763,116.478
Ginkgo biloba L,32.044,118.832
Ginkgo biloba L,32.059,118.77
Ginkgo biloba L,32.382,119.825
Ginkgo biloba L,32.307,119.952
Ginkgo biloba L,34.988,118.421
Ginkgo biloba L,34.762,113.661
Ginkgo biloba L,34.79,113.668
Ginkgo biloba L,33.537,111.784
Ginkgo biloba L,34.257,108.451
Ginkgo biloba L,34.253,108.983
Ginkgo biloba L,39.912,116.328
Ginkgo biloba L,39.942,116.45
Ginkgo biloba L,40.19,116.279
Ginkgo biloba L,45.544,131.405
Ginkgo biloba L,36.616,114.483
Ginkgo biloba L,22.566,114.166
Ginkgo biloba L,22.566,114.166
Ginkgo biloba L,22.566,114.166
Ginkgo biloba L,40.85,89.183
Ginkgo biloba L,45.51,126.633
Ginkgo biloba L,43.866,125.35
Ginkgo biloba L,41.783,123.415
Ginkgo biloba L,40.8,111.683
Ginkgo biloba L,38.466,107.366
Ginkgo biloba L,37.833,110.011
Ginkgo biloba L,37.833,110.011
Ginkgo biloba L,36.06,109.516
Ginkgo biloba L,36.06,109.516
Ginkgo biloba L,40.5,124.333
Ginkgo biloba L,36.066,120.333
Ginkgo biloba L,29.566,121.7
Ginkgo biloba L,38.05,103.883
Ginkgo biloba L,25.116,98.483
Ginkgo biloba L,21.05,101.416
Ginkgo biloba L,25.033,121.516
Ginkgo biloba L,36.616,101.766
Ginkgo biloba L,38.566,102.966
