# energy (MeV),N (Cm2 G-1)
15.6,1.080439652e-07
15.7,1.085211319e-07
15.8,1.089982989e-07
15.9,1.094754662e-07
16,1.099526338e-07
16.1,1.103851302e-07
16.2,1.108176257e-07
16.3,1.112501202e-07
16.4,1.116826138e-07
16.5,1.121151064e-07
16.6,1.121245376e-07
16.7,1.121339688e-07
16.8,1.121434000e-07
16.9,1.121528311e-07
17,1.121622623e-07
17.1,1.126118672e-07
17.2,1.130611444e-07
17.3,1.135100939e-07
17.4,1.139587155e-07
17.5,1.144070094e-07
17.6,1.155228185e-07
17.7,1.166299449e-07
17.8,1.177283886e-07
17.9,1.188181497e-07
18,1.198992280e-07
18.1,1.219867506e-07
18.2,1.240585589e-07
18.3,1.261146528e-07
18.4,1.281550324e-07
18.5,1.301796976e-07
18.6,1.308580450e-07
18.7,1.315250856e-07
18.8,1.321808195e-07
18.9,1.328252467e-07
19,1.334583671e-07
19.1,1.348631961e-07
19.2,1.362528409e-07
19.3,1.376273015e-07
19.4,1.389865778e-07
19.5,1.403306698e-07
19.6,1.424969843e-07
19.7,1.446442496e-07
19.8,1.467724656e-07
19.9,1.488816324e-07
20,1.509717499e-07
20.1,1.539896612e-07
20.2,1.569865742e-07
20.3,1.599624888e-07
20.4,1.629174051e-07
20.5,1.658513231e-07
20.6,1.695787470e-07
20.7,1.732745360e-07
20.8,1.769386900e-07
20.9,1.805712090e-07
21,1.841720930e-07
21.1,1.887312394e-07
21.2,1.932563575e-07
21.3,1.977474472e-07
21.4,2.022045088e-07
21.5,2.066275420e-07
21.6,2.116477723e-07
21.7,2.166189988e-07
21.8,2.215412216e-07
21.9,2.264144407e-07
22,2.312386561e-07
22.1,2.366565205e-07
22.2,2.420272449e-07
22.3,2.473508295e-07
22.4,2.526272741e-07
22.5,2.578565789e-07
22.6,2.670743057e-07
22.7,2.762213324e-07
22.8,2.852976589e-07
22.9,2.943032853e-07
23,3.032382114e-07
23.1,3.137564728e-07
23.2,3.242283487e-07
23.3,3.346538390e-07
23.4,3.450329438e-07
23.5,3.553656631e-07
23.6,3.640208898e-07
23.7,3.726104602e-07
23.8,3.564239129e-07
23.9,3.402230070e-07
24,3.240077418e-07
24.1,3.041991146e-07
24.2,2.843613133e-07
24.3,2.644943379e-07
24.4,2.445981882e-07
24.5,2.246728645e-07
24.6,2.259970358e-07
24.7,2.273226937e-07
24.8,2.286498383e-07
24.9,2.299784696e-07
25,2.313085876e-07
25.1,2.345151588e-07
25.2,2.377357217e-07
25.3,2.409702765e-07
25.4,2.442188231e-07
25.5,2.474813614e-07
25.6,2.507578916e-07
25.7,2.540484135e-07
25.8,2.573529273e-07
25.9,2.606714328e-07
26,2.640039302e-07
26.1,2.660599042e-07
26.2,2.681238521e-07
26.3,2.701957736e-07
26.4,2.722756690e-07
26.5,2.743635380e-07
26.6,2.764593809e-07
26.7,2.785631974e-07
26.8,2.806749878e-07
26.9,2.827947519e-07
27,2.849224897e-07
27.1,2.855883665e-07
27.2,2.862491588e-07
27.3,2.869048665e-07
27.4,2.875554896e-07
27.5,2.882010281e-07
27.6,2.888414820e-07
27.7,2.894768514e-07
27.8,2.901071362e-07
27.9,2.907323364e-07
28,2.913524521e-07
28.1,2.888074621e-07
28.2,2.862289181e-07
28.3,2.836168199e-07
28.4,2.809711675e-07
28.5,2.782919610e-07
28.6,2.755792004e-07
28.7,2.728328856e-07
28.8,2.700530167e-07
28.9,2.672395937e-07
29,2.643926165e-07
29.1,2.621356950e-07
29.2,2.598507709e-07
29.3,2.575378442e-07
29.4,2.551969149e-07
29.5,2.528279830e-07
29.6,2.504310485e-07
29.7,2.480061113e-07
29.8,2.455531715e-07
29.9,2.430722291e-07
30,2.405632841e-07
30.1,2.384012414e-07
30.2,2.362225399e-07
30.3,2.340271797e-07
30.4,2.318151606e-07
30.5,2.295864828e-07
30.6,2.273411462e-07
30.7,2.250791508e-07
30.8,2.228004966e-07
30.9,2.205051836e-07
31,2.181932119e-07
31.1,2.165648315e-07
31.2,2.149194119e-07
31.3,2.132569531e-07
31.4,2.115774552e-07
31.5,2.098809182e-07
31.6,2.081673419e-07
31.7,2.064367265e-07
31.8,2.046890720e-07
31.9,2.029243782e-07
32,2.011426453e-07
32.1,1.997413093e-07
32.2,1.983270368e-07
32.3,1.968998276e-07
32.4,1.954596819e-07
32.5,1.940065997e-07
32.6,1.925405808e-07
32.7,1.910616254e-07
32.8,1.895697334e-07
32.9,1.880649049e-07
33,1.865471398e-07
33.1,1.853301286e-07
33.2,1.841033212e-07
33.3,1.828667175e-07
33.4,1.816203174e-07
33.5,1.803641210e-07
33.6,1.790981283e-07
33.7,1.778223392e-07
33.8,1.765367538e-07
33.9,1.752413721e-07
34,1.739361941e-07
34.1,1.728681519e-07
34.2,1.717926670e-07
34.3,1.707097393e-07
34.4,1.696193690e-07
34.5,1.685215560e-07
34.6,1.674163003e-07
34.7,1.663036020e-07
34.8,1.651834609e-07
34.9,1.640558771e-07
35,1.629208507e-07
35.1,1.619750182e-07
35.2,1.610234834e-07
35.3,1.600662461e-07
35.4,1.591033064e-07
35.5,1.581346642e-07
35.6,1.571603195e-07
35.7,1.561802725e-07
35.8,1.551945229e-07
35.9,1.542030710e-07
36,1.532059166e-07
36.1,1.523618698e-07
36.2,1.515134160e-07
36.3,1.506605554e-07
36.4,1.498032878e-07
36.5,1.489416132e-07
36.6,1.480755317e-07
36.7,1.472050433e-07
36.8,1.463301480e-07
36.9,1.454508457e-07
37,1.445671364e-07
37.1,1.438093122e-07
37.2,1.430480301e-07
37.3,1.422832903e-07
37.4,1.415150926e-07
37.5,1.407434371e-07
37.6,1.399683238e-07
37.7,1.391897527e-07
37.8,1.384077238e-07
37.9,1.376222371e-07
38,1.368332926e-07
38.1,1.361491397e-07
38.2,1.354622289e-07
38.3,1.347725602e-07
38.4,1.340801335e-07
38.5,1.333849489e-07
38.6,1.326870064e-07
38.7,1.319863060e-07
38.8,1.312828476e-07
38.9,1.305766313e-07
39,1.298676570e-07
39.1,1.292483989e-07
39.2,1.286268984e-07
39.3,1.280031557e-07
39.4,1.273771706e-07
39.5,1.267489432e-07
39.6,1.261184735e-07
39.7,1.254857615e-07
39.8,1.248508072e-07
39.9,1.242136106e-07
40,1.235741717e-07
40.1,1.230441061e-07
40.2,1.225123317e-07
40.3,1.219788485e-07
40.4,1.214436566e-07
40.5,1.209067559e-07
40.6,1.203681464e-07
40.7,1.198278282e-07
40.8,1.192858011e-07
40.9,1.187420653e-07
41,1.181966207e-07
41.1,1.176494673e-07
41.2,1.171006052e-07
41.3,1.165500342e-07
41.4,1.159977545e-07
41.5,1.154437660e-07
41.6,1.148880687e-07
41.7,1.143306627e-07
41.8,1.137715479e-07
41.9,1.132107242e-07
42,1.126481919e-07
42.1,1.122028706e-07
42.2,1.117562983e-07
42.3,1.113084749e-07
42.4,1.108594005e-07
42.5,1.104090751e-07
42.6,1.099574986e-07
42.7,1.095046711e-07
42.8,1.090505925e-07
42.9,1.085952628e-07
43,1.081386821e-07
43.1,1.076808504e-07
43.2,1.072217676e-07
43.3,1.067614338e-07
43.4,1.062998489e-07
43.5,1.058370130e-07
43.6,1.053729260e-07
43.7,1.049075880e-07
43.8,1.044409989e-07
43.9,1.039731588e-07
44,1.035040677e-07
44.1,1.031255036e-07
44.2,1.027459704e-07
44.3,1.023654680e-07
44.4,1.019839963e-07
44.5,1.016015555e-07
44.6,1.012181455e-07
44.7,1.008337662e-07
44.8,1.004484178e-07
44.9,1.000621002e-07
45,9.967481333e-08
45.1,9.928655730e-08
45.2,9.889733207e-08
45.3,9.850713763e-08
45.4,9.811597400e-08
45.5,9.772384117e-08
45.6,9.733073914e-08
45.7,9.693666791e-08
45.8,9.654162748e-08
45.9,9.614561785e-08
46,9.574863902e-08
46.1,9.542369172e-08
46.2,9.509795264e-08
46.3,9.477142176e-08
46.4,9.444409910e-08
46.5,9.411598465e-08
46.6,9.378707841e-08
46.7,9.345738038e-08
46.8,9.312689056e-08
46.9,9.279560895e-08
47,9.246353555e-08
47.1,9.213067036e-08
47.2,9.179701338e-08
47.3,9.146256461e-08
47.4,9.112732405e-08
47.5,9.079129171e-08
47.6,9.045446757e-08
47.7,9.011685164e-08
47.8,8.977844393e-08
47.9,8.943924442e-08
48,8.909925313e-08
48.1,8.881783411e-08
48.2,8.853574322e-08
48.3,8.825298046e-08
48.4,8.796954583e-08
48.5,8.768543934e-08
48.6,8.740066097e-08
48.7,8.711521074e-08
48.8,8.682908864e-08
48.9,8.654229467e-08
49,8.625482883e-08
49.1,8.596669112e-08
49.2,8.567788155e-08
49.3,8.538840010e-08
49.4,8.509824679e-08
49.5,8.480742161e-08
49.6,8.451592456e-08
49.7,8.422375564e-08
49.8,8.393091485e-08
49.9,8.363740219e-08
50,8.334321767e-08
50.1,8.310299232e-08
50.2,8.286219279e-08
50.3,8.262081908e-08
50.4,8.237887119e-08
50.5,8.213634912e-08
50.6,8.189325287e-08
50.7,8.164958243e-08
50.8,8.140533782e-08
50.9,8.116051902e-08
51,8.091512605e-08
51.1,8.066915889e-08
51.2,8.042261755e-08
51.3,8.017550203e-08
51.4,7.992781233e-08
51.5,7.967954845e-08
51.6,7.943071038e-08
51.7,7.918129814e-08
51.8,7.893131171e-08
51.9,7.868075111e-08
52,7.842961632e-08
52.1,7.820703409e-08
52.2,7.798392151e-08
52.3,7.776027858e-08
52.4,7.753610531e-08
52.5,7.731140169e-08
52.6,7.708616772e-08
52.7,7.686040340e-08
52.8,7.663410874e-08
52.9,7.640728373e-08
53,7.617992837e-08
53.1,7.595204266e-08
53.2,7.572362660e-08
53.3,7.549468020e-08
53.4,7.526520345e-08
53.5,7.503519635e-08
53.6,7.480465890e-08
53.7,7.457359111e-08
53.8,7.434199297e-08
53.9,7.410986448e-08
54,7.387720564e-08
54.1,7.366549960e-08
54.2,7.345329116e-08
54.3,7.324058032e-08
54.4,7.302736707e-08
54.5,7.281365142e-08
54.6,7.259943337e-08
54.7,7.238471292e-08
54.8,7.216949007e-08
54.9,7.195376481e-08
55,7.173753715e-08
55.1,7.152080709e-08
55.2,7.130357463e-08
55.3,7.108583976e-08
55.4,7.086760249e-08
55.5,7.064886282e-08
55.6,7.042962075e-08
55.7,7.020987627e-08
55.8,6.998962939e-08
55.9,6.976888011e-08
56,6.954762843e-08
56.1,6.939418894e-08
56.2,6.924036118e-08
56.3,6.908614516e-08
56.4,6.893154089e-08
56.5,6.877654835e-08
56.6,6.862116754e-08
56.7,6.846539848e-08
56.8,6.830924116e-08
56.9,6.815269557e-08
57,6.799576173e-08
57.1,6.783843962e-08
57.2,6.768072925e-08
57.3,6.752263062e-08
57.4,6.736414373e-08
57.5,6.720526857e-08
57.6,6.704600516e-08
57.7,6.688635348e-08
57.8,6.672631355e-08
57.9,6.656588535e-08
58,6.640506889e-08
58.1,6.632349507e-08
58.2,6.624167064e-08
58.3,6.615959559e-08
58.4,6.607726993e-08
58.5,6.599469365e-08
58.6,6.591186675e-08
58.7,6.582878923e-08
58.8,6.574546110e-08
58.9,6.566188235e-08
59,6.557805298e-08
59.1,6.549397300e-08
59.2,6.540964240e-08
59.3,6.532506118e-08
59.4,6.524022934e-08
59.5,6.515514689e-08
59.6,6.506981382e-08
59.7,6.498423013e-08
59.8,6.489839583e-08
59.9,6.481231090e-08
60,6.472597537e-08
60.1,6.468534008e-08
60.2,6.464453380e-08
60.3,6.460355652e-08
60.4,6.456240825e-08
60.5,6.452108899e-08
60.6,6.447959873e-08
60.7,6.443793749e-08
60.8,6.439610524e-08
60.9,6.435410201e-08
61,6.431192778e-08
61.1,6.426958256e-08
61.2,6.422706634e-08
61.3,6.418437913e-08
61.4,6.414152093e-08
61.5,6.409849173e-08
61.6,6.405529154e-08
61.7,6.401192036e-08
61.8,6.396837818e-08
61.9,6.392466501e-08
62,6.388078085e-08
62.1,6.387475641e-08
62.2,6.386862707e-08
62.3,6.386239282e-08
62.4,6.385605368e-08
62.5,6.384960964e-08
62.6,6.384306070e-08
62.7,6.383640685e-08
62.8,6.382964811e-08
62.9,6.382278447e-08
63,6.381581593e-08
63.1,6.380874249e-08
63.2,6.380156414e-08
63.3,6.379428090e-08
63.4,6.378689276e-08
63.5,6.377939972e-08
63.6,6.377180178e-08
63.7,6.376409893e-08
63.8,6.375629119e-08
63.9,6.374837855e-08
64,6.374036101e-08
64.1,6.375927315e-08
64.2,6.377812872e-08
64.3,6.379692770e-08
64.4,6.381567011e-08
64.5,6.383435593e-08
64.6,6.385298518e-08
64.7,6.387155785e-08
64.8,6.389007393e-08
64.9,6.390853344e-08
65,6.392693636e-08
65.1,6.394528271e-08
65.2,6.396357247e-08
65.3,6.398180566e-08
65.4,6.399998226e-08
65.5,6.401810229e-08
65.6,6.403616574e-08
65.7,6.405417260e-08
65.8,6.407212289e-08
65.9,6.409001659e-08
66,6.410785372e-08
66.1,6.412815452e-08
66.2,6.414840831e-08
66.3,6.416861509e-08
66.4,6.418877486e-08
66.5,6.420888762e-08
66.6,6.422895336e-08
66.7,6.424897210e-08
66.8,6.426894383e-08
66.9,6.428886854e-08
67,6.430874625e-08
67.1,6.432857695e-08
67.2,6.434836063e-08
67.3,6.436809730e-08
67.4,6.438778697e-08
67.5,6.440742962e-08
67.6,6.442702526e-08
67.7,6.444657390e-08
67.8,6.446607552e-08
67.9,6.448553013e-08
68,6.450493773e-08
68.1,6.452048664e-08
68.2,6.453598930e-08
68.3,6.455144571e-08
68.4,6.456685586e-08
68.5,6.458221976e-08
68.6,6.459753740e-08
68.7,6.461280879e-08
68.8,6.462803393e-08
68.9,6.464321281e-08
69,6.465834544e-08
69.1,6.467343181e-08
69.2,6.468847193e-08
69.3,6.470346580e-08
69.4,6.471841341e-08
69.5,6.473331477e-08
69.6,6.474816987e-08
69.7,6.476297872e-08
69.8,6.477774132e-08
69.9,6.479245766e-08
70,6.480712775e-08
70.1,6.481530633e-08
70.2,6.482344131e-08
70.3,6.483153269e-08
70.4,6.483958047e-08
70.5,6.484758464e-08
70.6,6.485554521e-08
70.7,6.486346218e-08
70.8,6.487133554e-08
70.9,6.487916530e-08
71,6.488695146e-08
71.1,6.489469401e-08
71.2,6.490239296e-08
71.3,6.491004831e-08
71.4,6.491766005e-08
71.5,6.492522819e-08
71.6,6.493275273e-08
71.7,6.494023367e-08
71.8,6.494767100e-08
71.9,6.495506473e-08
72,6.496241485e-08
72.1,6.496972137e-08
72.2,6.497698429e-08
72.3,6.498420360e-08
72.4,6.499137932e-08
72.5,6.499851143e-08
72.6,6.500559993e-08
72.7,6.501264483e-08
72.8,6.501964613e-08
72.9,6.502660383e-08
73,6.503351792e-08
73.1,6.504038841e-08
73.2,6.504721530e-08
73.3,6.505399858e-08
73.4,6.506073826e-08
73.5,6.506743433e-08
73.6,6.507408681e-08
73.7,6.508069568e-08
73.8,6.508726094e-08
73.9,6.509378261e-08
74,6.510026067e-08
74.1,6.510669513e-08
74.2,6.511308598e-08
74.3,6.511943323e-08
74.4,6.512573688e-08
74.5,6.513199692e-08
74.6,6.513821336e-08
74.7,6.514438620e-08
74.8,6.515051544e-08
74.9,6.515660107e-08
75,6.516264310e-08
75.1,6.515973054e-08
75.2,6.515677901e-08
75.3,6.515378853e-08
75.4,6.515075908e-08
75.5,6.514769067e-08
75.6,6.514458330e-08
75.7,6.514143696e-08
75.8,6.513825166e-08
75.9,6.513502740e-08
76,6.513176418e-08
76.1,6.512846199e-08
76.2,6.512512084e-08
76.3,6.512174073e-08
76.4,6.511832165e-08
76.5,6.511486362e-08
76.6,6.511136662e-08
76.7,6.510783065e-08
76.8,6.510425573e-08
76.9,6.510064184e-08
77,6.509698899e-08
77.1,6.509329717e-08
77.2,6.508956640e-08
77.3,6.508579666e-08
77.4,6.508198796e-08
77.5,6.507814029e-08
77.6,6.507425366e-08
77.7,6.507032807e-08
77.8,6.506636352e-08
77.9,6.506236001e-08
78,6.505831753e-08
78.1,6.505423609e-08
78.2,6.505011568e-08
78.3,6.504595632e-08
78.4,6.504175799e-08
78.5,6.503752070e-08
78.6,6.503324444e-08
78.7,6.502892923e-08
78.8,6.502457505e-08
78.9,6.502018190e-08
79,6.501574980e-08
79.1,6.501127873e-08
79.2,6.500676870e-08
79.3,6.500221971e-08
79.4,6.499763175e-08
79.5,6.499300483e-08
79.6,6.498833895e-08
79.7,6.498363411e-08
79.8,6.497889030e-08
79.9,6.497410753e-08
80,6.496928580e-08
80.1,6.495640142e-08
80.2,6.494348270e-08
80.3,6.493052964e-08
80.4,6.491754225e-08
80.5,6.490452052e-08
80.6,6.489146445e-08
80.7,6.487837405e-08
80.8,6.486524931e-08
80.9,6.485209023e-08
81,6.483889682e-08
81.1,6.482566907e-08
81.2,6.481240698e-08
81.3,6.479911056e-08
81.4,6.478577980e-08
81.5,6.477241470e-08
81.6,6.475901527e-08
81.7,6.474558150e-08
81.8,6.473211339e-08
81.9,6.471861095e-08
82,6.470507417e-08
82.1,6.469150305e-08
82.2,6.467789760e-08
82.3,6.466425781e-08
82.4,6.465058368e-08
82.5,6.463687522e-08
82.6,6.462313242e-08
82.7,6.460935528e-08
82.8,6.459554381e-08
82.9,6.458169800e-08
83,6.456781785e-08
83.1,6.455390337e-08
83.2,6.453995454e-08
83.3,6.452597139e-08
83.4,6.451195389e-08
83.5,6.449790206e-08
83.6,6.448381590e-08
83.7,6.446969539e-08
83.8,6.445554055e-08
83.9,6.444135137e-08
84,6.442712786e-08
84.1,6.441287001e-08
84.2,6.439857782e-08
84.3,6.438425130e-08
84.4,6.436989044e-08
84.5,6.435549524e-08
84.6,6.434106570e-08
84.7,6.432660183e-08
84.8,6.431210362e-08
84.9,6.429757108e-08
85,6.428300420e-08
85.1,6.437137929e-08
85.2,6.445979985e-08
85.3,6.454826587e-08
85.4,6.463677737e-08
85.5,6.472533433e-08
85.6,6.481393675e-08
85.7,6.490258465e-08
85.8,6.499127801e-08
85.9,6.508001684e-08
86,6.516880114e-08
86.1,6.525763090e-08
86.2,6.534650613e-08
86.3,6.543542683e-08
86.4,6.552439300e-08
86.5,6.561340463e-08
86.6,6.570246173e-08
86.7,6.579156430e-08
86.8,6.588071233e-08
86.9,6.596990583e-08
87,6.605914480e-08
87.1,6.614842924e-08
87.2,6.623775915e-08
87.3,6.632713452e-08
87.4,6.641655536e-08
87.5,6.650602166e-08
87.6,6.659553344e-08
87.7,6.668509068e-08
87.8,6.677469339e-08
87.9,6.686434156e-08
88,6.695403521e-08
88.1,6.704377432e-08
88.2,6.713355890e-08
88.3,6.722338894e-08
88.4,6.731326445e-08
88.5,6.740318543e-08
88.6,6.749315188e-08
88.7,6.758316380e-08
88.8,6.767322118e-08
88.9,6.776332403e-08
89,6.785347234e-08
89.1,6.794366613e-08
89.2,6.803390538e-08
89.3,6.812419010e-08
89.4,6.821452028e-08
89.5,6.830489594e-08
89.6,6.839531706e-08
89.7,6.848578364e-08
89.8,6.857629570e-08
89.9,6.866685322e-08
90,6.875745621e-08
90.1,6.871609182e-08
90.2,6.867469408e-08
90.3,6.863326300e-08
90.4,6.859179858e-08
90.5,6.855030081e-08
90.6,6.850876970e-08
90.7,6.846720525e-08
90.8,6.842560745e-08
90.9,6.838397631e-08
91,6.834231182e-08
91.1,6.830061400e-08
91.2,6.825888283e-08
91.3,6.821711831e-08
91.4,6.817532046e-08
91.5,6.813348926e-08
91.6,6.809162471e-08
91.7,6.804972683e-08
91.8,6.800779560e-08
91.9,6.796583102e-08
92,6.792383311e-08
92.1,6.788180185e-08
92.2,6.783973724e-08
92.3,6.779763930e-08
92.4,6.775550801e-08
92.5,6.771334338e-08
92.6,6.767114540e-08
92.7,6.762891408e-08
92.8,6.758664942e-08
92.9,6.754435141e-08
93,6.750202006e-08
93.1,6.745965537e-08
93.2,6.741725733e-08
93.3,6.737482595e-08
93.4,6.733236123e-08
93.5,6.728986316e-08
93.6,6.724733175e-08
93.7,6.720476700e-08
93.8,6.716216891e-08
93.9,6.711953747e-08
94,6.707687268e-08
94.1,6.703417456e-08
94.2,6.699144309e-08
94.3,6.694867828e-08
94.4,6.690588012e-08
94.5,6.686304862e-08
94.6,6.682018378e-08
94.7,6.677728560e-08
94.8,6.673435407e-08
94.9,6.669138919e-08
95,6.664839098e-08
95.1,6.660399017e-08
95.2,6.655956299e-08
95.3,6.651510946e-08
95.4,6.647062956e-08
95.5,6.642612330e-08
95.6,6.638159067e-08
95.7,6.633703169e-08
95.8,6.629244633e-08
95.9,6.624783462e-08
96,6.620319655e-08
96.1,6.615853211e-08
96.2,6.611384130e-08
96.3,6.606912414e-08
96.4,6.602438061e-08
96.5,6.597961072e-08
96.6,6.593481447e-08
96.7,6.588999185e-08
96.8,6.584514287e-08
96.9,6.580026753e-08
97,6.575536583e-08
97.1,6.571043776e-08
97.2,6.566548333e-08
97.3,6.562050254e-08
97.4,6.557549538e-08
97.5,6.553046186e-08
97.6,6.548540198e-08
97.7,6.544031574e-08
97.8,6.539520313e-08
97.9,6.535006416e-08
98,6.530489883e-08
98.1,6.525970713e-08
98.2,6.521448907e-08
98.3,6.516924465e-08
98.4,6.512397387e-08
98.5,6.507867672e-08
98.6,6.503335321e-08
98.7,6.498800334e-08
98.8,6.494262710e-08
98.9,6.489722451e-08
99,6.485179554e-08
99.1,6.480634022e-08
99.2,6.476085853e-08
99.3,6.471535048e-08
99.4,6.466981607e-08
99.5,6.462425530e-08
99.6,6.457866816e-08
99.7,6.453305466e-08
99.8,6.448741479e-08
99.9,6.444174857e-08
100,6.439605598e-08
