Contract Number,Date,Department family,Description,Entity,Expenditure Type,Expense area,Expense type,Project Code,Supplier,Supplier Postcode,Supplier Type,Transaction number,Amount
,14/09/2018,HMRC,Quarterly Landlord's Service Charge for Leeds Munroe Court (24/10/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,MUNROE K,WC2E 9DH,,5100042252,33214.75
,14/09/2018,HMRC,Quarterly Rent for Leeds Munroe Court (24/10/18 - 24/12/18),HMRC,,Estates,Rent,,MUNROE K,WC2E 9DH,,5100042252,107995.95
,14/09/2018,HMRC,Hardware maintenance,HMRC,,Information Management Services,Hardware maintenance,,FUJITSU SERVICES LTD,W1U 3BW,,5100042305,463806.28
,14/09/2018,HMRC,High Court Costs,HMRC,,Debt Management,Crown Sol's Off NI,,CROWN SOLICITORS OFFICE,BT1 3JY,,5100042348,-8674.2
,14/09/2018,HMRC,High Court Costs,HMRC,,Debt Management,Crown Sol's Off NI,,CROWN SOLICITORS OFFICE,BT1 3JY,,5100042348,52045.2
,14/09/2018,HMRC,Monthly oil payment covering various buildings (September 2018),HMRC,,Estates,Oil,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,3589.02
,14/09/2018,HMRC,Monthly water payment covering various buildings (September 2018),HMRC,,Estates,Water,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,13595.17
,14/09/2018,HMRC,Monthly gas payment covering various buildings (September 2018),HMRC,,Estates,Gas,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,18446.28
,14/09/2018,HMRC,Monthly oil payment covering various buildings (September 2018),HMRC,,Estates,Oil,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,26319.43
,14/09/2018,HMRC,Monthly water payment covering various buildings (September 2018),HMRC,,Estates,Water,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,99697.91
,14/09/2018,HMRC,Monthly gas payment covering various buildings (September 2018),HMRC,,Estates,Gas,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,135272.69
,14/09/2018,HMRC,Monthly electricity payment covering various buildings (September 2018),HMRC,,Estates,Electricity,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,176934.88
,14/09/2018,HMRC,Monthly electricity payment covering various buildings (September 2018),HMRC,,Estates,Electricity,,MAPELEY STEPS CONTRACTOR LTD,WD17 1HN,,5100042450,1297522.44
,17/09/2018,HMRC,Amazon Web Services Hosting Jul-18,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,198.65
,17/09/2018,HMRC,Amazon Web Services T&R Hosting Jul-18,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,208.63
,17/09/2018,HMRC,System Maintenance,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,532.67
,17/09/2018,HMRC,System Maintenance,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,1231.01
,17/09/2018,HMRC,Amazon Web services cloud hosting charges,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,2514.57
,17/09/2018,HMRC,System Maintenance fees,HMRC,,CDIO Transformation Programmes,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,3805.15
,17/09/2018,HMRC,Amazon Web services cloud hosting charges,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,10221.43
,17/09/2018,HMRC,System Maintenance,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,11179.68
,17/09/2018,HMRC,System Maintenance for Cloud Hosting services,HMRC,,Digital,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,16091.29
,17/09/2018,HMRC,Amazon Web Services CM Hosting Jul-18,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,16204.77
,17/09/2018,HMRC,System Maintenance for Cloud Hosting services,HMRC,,Digital,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,17260.26
,17/09/2018,HMRC,System Maintenance,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,82238.79
,17/09/2018,HMRC,Amazon Web Services - Jul-18  - Cloud DG,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,109931.77
,17/09/2018,HMRC,Amazon Web Services Hosting Jul-18,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,278925.34
,17/09/2018,HMRC,Cloud Hosting charges,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,406140.13
,17/09/2018,HMRC,System Maintenance,HMRC,,Information Management Services,System Maintenance,,AMAZON WEB SERVICES,98109-5210,,1900251987,928137.26
,17/09/2018,HMRC,Archive Services Correction on June 2018 payment,HMRC,,Estates,Storage (non enfmnt),,IRON MOUNTAIN (UK) LTD,EH54 7DF,,5100039239,-101125.39
,17/09/2018,HMRC,Archive Services Correction on June 2018 payment,HMRC,,Estates,Storage (non enfmnt),,IRON MOUNTAIN (UK) LTD,EH54 7DF,,5100039239,-86143.85
,17/09/2018,HMRC,Archive Services (July 2018),HMRC,,Estates,Storage (non enfmnt),,IRON MOUNTAIN (UK) LTD,EH54 7DF,,5100039330,35819.54
,17/09/2018,HMRC,Archive Services (July 2018),HMRC,,Estates,Storage (non enfmnt),,IRON MOUNTAIN (UK) LTD,EH54 7DF,,5100039330,42049.02
,17/09/2018,HMRC,Shared Technical Services Charges,HMRC,,Information Management Services,Data output prod,,CAPGEMINI,TF3 3BD,,5100042045,785.72
,17/09/2018,HMRC,Soft Licen Off shelf,HMRC,,Information Management Services,Soft Licen Off shelf,,CAPGEMINI,TF3 3BD,,5100042045,802.97
,17/09/2018,HMRC,Sys Software Maint,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,2348.82
,17/09/2018,HMRC,Sys Software Maint,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,9721.05
,17/09/2018,HMRC,Capgemini CM ASU Application Support Aug-18,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,10941.42
,17/09/2018,HMRC,Shared Technical Services Charges,HMRC,,Information Management Services,Data output prod,,CAPGEMINI,TF3 3BD,,5100042045,13054.76
,17/09/2018,HMRC,TCPP Disaster recovery,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,24898.73
,17/09/2018,HMRC,CAP ASU Service Management charge,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,30481.72
,17/09/2018,HMRC,Sys Software Maint,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,43014.79
,17/09/2018,HMRC,Capgemini Support Charges Aug-18,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,106418.4
,17/09/2018,HMRC,System Maintenance fees,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,125811.1
,17/09/2018,HMRC,Capgemini Service Management Charges Aug-18,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,165276.63
,17/09/2018,HMRC,Capgemini S12 Charges Aug-18,HMRC,,Information Management Services,Database analysis,,CAPGEMINI,TF3 3BD,,5100042045,222805.9
,17/09/2018,HMRC,Sys Software Maint,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,325119.01
,17/09/2018,HMRC,CAP Service Management charges,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,455854.98
,17/09/2018,HMRC,Capgemini ASU Application Support Aug-18,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,790674.22
,17/09/2018,HMRC,Capgemini ASU Application Support Aug-18,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,921391.45
,17/09/2018,HMRC,These are Application Support and Maintenance costs,HMRC,,Information Management Services,Sys Software Maint,,CAPGEMINI,TF3 3BD,,5100042045,1464869.58
,17/09/2018,HMRC,Fujitsu Aug-18 FAST-DB hosting charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,721.2
,17/09/2018,HMRC,Cloud Hosting charges,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,1925.8
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,2469.78
,17/09/2018,HMRC,Fujitsu T&R FAST P Cloud Services  Aug-18,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,2766.9
,17/09/2018,HMRC,Fujitsu T&R S04 Data Ops Aug-18,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,4515.72
,17/09/2018,HMRC,Fujitsu Aug-18 invoice for FAST-P hosting charges - Cloud DG,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,5174.18
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,5924.25
,17/09/2018,HMRC,Maintenance fees,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,12160.9
,17/09/2018,HMRC,Fujitsu Aug-18 Solaris 10 Extended Support,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,15395.03
,17/09/2018,HMRC,Contact Centre Telephony,HMRC,,Information Management Services,Telephone Support,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,29712.92
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,34951.82
,17/09/2018,HMRC,Disaster recovery,HMRC,,Information Management Services,Disaster recovery,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,35402.67
,17/09/2018,HMRC,Maintenance fees,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,35432.4
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,39348.56
,17/09/2018,HMRC,Fujitsu Aug-18 FAST-A&S hosting charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,39401.99
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,53603.71
,17/09/2018,HMRC,Fujitsu CM FAST A&S Cloud Services Aug-18,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,65848
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,82331.78
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,101725.28
,17/09/2018,HMRC,Fujitsu Aug-18 invoice for S04 Data Centre charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,111800.98
,17/09/2018,HMRC,Fujitsu FAST DB hosting charges,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,125219.69
,17/09/2018,HMRC,Fujitsu CM FAST P Cloud Services Aug-18,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,133714.98
,17/09/2018,HMRC,Fujitsu Aug-18 invoice for FAST-P hosting charges,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,133882.52
,17/09/2018,HMRC,Fujitsu Aug-18 invoice for FAST-P hosting charges,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,135116.06
,17/09/2018,HMRC,System Maintenance fees,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,135826.38
,17/09/2018,HMRC,Maintenance fees,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,142412.11
,17/09/2018,HMRC,Fujitsu CM S26 Tower and FEAST Aug-18,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,147330.93
,17/09/2018,HMRC,Fujitsu CM FAST DB Cloud Services Aug-18,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,150995.12
,17/09/2018,HMRC,Fujitsu Aug-18 FAST-DB hosting charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,162448.53
,17/09/2018,HMRC,Sys Software Maint,HMRC,,Information Management Services,Sys Software Maint,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,171485.54
,17/09/2018,HMRC,Fujitsu CM S04 Data Ops Aug-18,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,180031.23
,17/09/2018,HMRC,Fujitsu FAST P hosting charges,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,191065.61
,17/09/2018,HMRC,Fujitsu FAST A & S Hosting charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,205072.93
,17/09/2018,HMRC,Maintenance fees,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,258441.5
,17/09/2018,HMRC,Fujitsu Aug-18 invoice for Oracle Baseline Shelved Value charges - Cloud DG,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,307592.9
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,408343.2
,17/09/2018,HMRC,Fujitsu Aug-18 FAST-A&S hosting charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,418579.33
,17/09/2018,HMRC,Fujitsu Aug-18 invoice for S04 Data Centre charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,439898.43
,17/09/2018,HMRC,Management Agreement,HMRC,,Information Management Services,Management Agreement,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,501362.07
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,516555.14
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,564611.97
,17/09/2018,HMRC,Fujitsu FAST DA Aug-18,HMRC,,Information Management Services,Maintenance fees,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,757366.29
,17/09/2018,HMRC,Fujitsu Aug-18 invoice for S04 Data Centre charges - Cloud DG,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,1040429.64
,17/09/2018,HMRC,Fujitsu FAST S04 Hosting charges,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,1397029.04
,17/09/2018,HMRC,Data Storage Service,HMRC,,Information Management Services,Data storage service,,FUJITSU SERVICES LTD,W1U 3BW,,5100042065,1409211.82
,17/09/2018,HMRC,Contractor Bespoke Software Development,HMRC,,Information Management Services,Contract Besp SW Dev,,EQUAL EXPERTS UK LTD,WC1H 9BB,,5100042474,164756.25
,17/09/2018,HMRC,Contractor Bespoke Software Development,HMRC,,Information Management Services,Contract Besp SW Dev,,EQUAL EXPERTS UK LTD,WC1H 9BB,,5100042474,212968.75
,17/09/2018,HMRC,Contractor Bespoke Software Development,HMRC,,Information Management Services,Contract Besp SW Dev,,EQUAL EXPERTS UK LTD,WC1H 9BB,,5100042474,434062.5
,17/09/2018,HMRC,Project/Programme Delivery,HMRC,,Border Coordination,Consultancy  PPM,,PA CONSULTING GROUP,SW1E 5DN,,5100042475,93213.75
,17/09/2018,HMRC,Project/Programme Delivery,HMRC,,Border Coordination,Consultancy  PPM,,PA CONSULTING GROUP,SW1E 5DN,,5100042477,96715
,17/09/2018,HMRC,Project/Programme Delivery,HMRC,,Border Coordination,Consultancy  PPM,,PA CONSULTING GROUP,SW1E 5DN,,5100042478,114645
,17/09/2018,HMRC,Phones - LL Rental,HMRC,,CS Transformation Programmes,Phones - LL Rental,,KCOM GROUP PLC,HU1 3RE,,5100042479,95377.87
,17/09/2018,HMRC,Contractor Bespoke Software Development,HMRC,,Information Management Services,Contract Besp SW Dev,,ESYNERGY SOLUTIONS LTD,EC3M 3JY,,5100042492,25625
,17/09/2018,HMRC,Contractor Bespoke Software Development,HMRC,,Information Management Services,Contract Besp SW Dev,,ESYNERGY SOLUTIONS LTD,EC3M 3JY,,5100042492,152550
,17/09/2018,HMRC,This is the Accenture Service Management charge,HMRC,,Information Management Services,Sys Software Maint,,ACCENTURE (UK) LTD,EC3M 3BD,,5100042496,511677.85
,17/09/2018,HMRC,Haulage Storage & Disposal,HMRC,,Fraud Investigation Service,Disposal Seized Gds,,SHRED STATION LTD,NR13 6LH,,5100042504,138740.59
,17/09/2018,HMRC,Archive Services Destruction Costs April- July 2018 (Permanent Withdrawals Project),HMRC,,Estates,Storage (non enfmnt),,IRON MOUNTAIN (UK) LTD,EH54 7DF,,5100042506,68030.4
,17/09/2018,HMRC,Archive Services Destruction Costs April- July 2018 (Permanent Withdrawals Project),HMRC,,Estates,Storage (non enfmnt),,IRON MOUNTAIN (UK) LTD,EH54 7DF,,5100042506,79861.77
,17/09/2018,HMRC,Monthly Royal Mail charges,HMRC,,Operational Excellence & Output Mgmt,Nat Pst Del Ser(VAT),,ROYAL MAIL WHOLESALE,EC4Y 0HQ,,5100042527,2783416.56
,17/09/2018,HMRC,Govt bank service,HMRC,,Corporate Finance,Govt bank service,,EXELA TECHNOLOGIES LTD,TW20 9AB,,5100042537,41364.77
,17/09/2018,HMRC,Expenditure relates to the provision of services by the Commercial Delivery Team - 'BuyingTeam Ltd trading as Proxima' during the month of August 2018.,HMRC,,Commercial Directorate,Temp clerical/admin,,BUYINGTEAM LTD t/a Proxima,EC2V 6DN,,5100042539,27500
,17/09/2018,HMRC,Vehicle Fleet Services,HMRC,,Fraud Investigation Service,Diesel fuel,,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,,5100042547,47846.57
,17/09/2018,HMRC,Costs for officers stationed abroad,HMRC,,Risk & Intelligence,GovDept Serv(VAT Ex),,FOREIGN AND COMMONWEALTH OFFICE,MK10 1PX,,5100042583,35067
,17/09/2018,HMRC,Data output prod,HMRC,,Information Management Services,Data output prod,,CAPGEMINI,TF3 3BD,,5100043114,17265919.8
,17/09/2018,HMRC,Data output prod,HMRC,,Information Management Services,Data output prod,,FUJITSU SERVICES LTD,W1U 3BW,,5100043137,353843.58
,17/09/2018,HMRC,Data output prod,HMRC,,Information Management Services,Data output prod,,ACCENTURE (UK) LTD,EC3M 3BD,,5100043156,3223888.49
,18/09/2018,HMRC,Contractor - Security Programme WE: 02092018,HMRC,,CSIR,Contracted Services,,ALEXANDER MANN SOLUTIONS LTD,EC2N 3AQ,,1900262618,2726.98
,18/09/2018,HMRC,Contractor -  Security Programme WE: 26082018,HMRC,,CSIR,Contracted Services,,ALEXANDER MANN SOLUTIONS LTD,EC2N 3AQ,,1900262618,4090.46
,18/09/2018,HMRC,Contractor - Security Programme WE: 09092018,HMRC,,CSIR,Contracted Services,,ALEXANDER MANN SOLUTIONS LTD,EC2N 3AQ,,1900262618,6817.44
,18/09/2018,HMRC,Contractor - Security Programme WE: 12082018,HMRC,,CSIR,Contracted Services,,ALEXANDER MANN SOLUTIONS LTD,EC2N 3AQ,,1900262618,6817.44
,18/09/2018,HMRC,Contractor - Security Programme WE: 19082018,HMRC,,CSIR,Contracted Services,,ALEXANDER MANN SOLUTIONS LTD,EC2N 3AQ,,1900262618,6817.44
,18/09/2018,HMRC,EDM Scanning and Data Input Aug-18,HMRC,,Information Management Services,Data input or prep,,EDM GROUP LTD,EC4N 1SP,,5100042626,117620.5
,18/09/2018,HMRC,IT Contractor - Output Project,HMRC,,Information Management Services,IT Contractors CDIO,,FINYX CONSULTING LTD,YO10 5DG,,5100042637,30529.2
,18/09/2018,HMRC,Samplng & Analytical,HMRC,,Fraud Investigation Service,Samplng & Analytical,,ADLER AND ALLAN LTD,HG1 1HQ,,5100042655,58277.58
,18/09/2018,HMRC,EDM Scanning and Data Input Aug-18,HMRC,,Information Management Services,Data input or prep,,EDM GROUP LTD,EC4N 1SP,,5100042668,130600.7
,18/09/2018,HMRC,Gov Bank Serv Charge,HMRC,,Corporate Finance,Gov Bank Serv Charge,,POST OFFICE LTD,PE4 5PG,,5100043105,296195.08
,18/09/2018,HMRC,Contingent Labr-Mang,HMRC,,Information Management Services,Contingent Labr-Mang,,CAPITA BUSINESS SERVICES LTD,DL1 9HN,,5100043122,32036.49
,18/09/2018,HMRC,Quarterly Rent for Bradford The Interchange (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,CUSHMAN & WAKEFIELD LLP,G2 2ND,,5100043128,5753.15
,18/09/2018,HMRC,Quarterly Rent for Bradford The Interchange (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,CUSHMAN & WAKEFIELD LLP,G2 2ND,,5100043128,207326.35
,18/09/2018,HMRC,Haulage Seized Goods,HMRC,,Individuals & Small Business Compliance,Haulage Seized Goods,,KUEHNE & NAGEL LTD,UB11 1FG,,5100043133,409733
,18/09/2018,HMRC,OHS,HMRC,,HR,OHS,,DURADIMOND HEALTHCARE LTD,TN22 1QL,,5100043182,157811.92
,18/09/2018,HMRC,Govt dept services,HMRC,,CS Transformation Programmes,Govt dept services,,NATIONAL SAVINGS & INVESTMENTS,SW1V 2QX,,5100043222,2490759.21
,19/09/2018,HMRC,IT Delivery Charges,HMRC,,Information Management Services,IT Delivery Charges,,EOL IT SERVICES LTD,CM9 4LQ,,5100042607,52458.14
,19/09/2018,HMRC,Facilities Management - Soft FM costs for the Croydon Ruskin Square (August 2018),HMRC,,Estates,Soft FM Services,,COMPASS GROUP (UK) LTD,B45 9PZ,,5100043224,86280.32
,19/09/2018,HMRC,Research Services,HMRC,,Centre for Data Exploitation,Research (VAT rec),,NATIONAL CENTRE FOR SOCIAL RESEARCH,EC1V 0AX,,5100043270,31945
,19/09/2018,HMRC,System Maintenance fees,HMRC,,Information Management Services,Maintenance fees,,KCOM GROUP PLC,HU1 3RE,,5100043284,94252
,19/09/2018,HMRC,Computer Equipment a,HMRC,,Information Management Services,Computer Equipment a,,RCDTS LTD,SW1A 2BQ,,5100043331,4737205.59
,19/09/2018,HMRC,Costs for officers stationed abroad,HMRC,,Risk & Intelligence,GovDept Serv(VAT Ex),,FOREIGN AND COMMONWEALTH OFFICE,MK10 1PX,,5100043369,28143.8
,19/09/2018,HMRC,Purchase of furniture for London 100 Parliament Street (August 2018),HMRC,,CFO Transformation Programmes,Chairs,,SENATOR INTERNATIONAL LTD,BB5 5YE,,5100043429,50397.78
,19/09/2018,HMRC,Research Services,HMRC,,Centre for Data Exploitation,Research (VAT rec),,KANTAR UK LTD,W5 1UA,,5100043436,64304
,20/09/2018,HMRC,Samplng & Analytical,HMRC,,Fraud Investigation Service,Samplng & Analytical,,IMA LTD,LS20 8BH,,5100043515,41468
,20/09/2018,HMRC,Facilities Management - Hard FM costs at Salford Trinity Bridge House (August 2018),HMRC,,Estates,Hard FM Services,,G4S INTEGRATED SERVICES (UK) LTD,S81 7QF,,5100043527,37537.08
,20/09/2018,HMRC,Facilities Management - Hard FM costs at Salford Trinity Bridge House (August 2018),HMRC,,Estates,Hard FM Services,,G4S INTEGRATED SERVICES (UK) LTD,S81 7QF,,5100043527,45878.65
,20/09/2018,HMRC,Facilities Management - Hard FM costs at Glasgow Cotton House Glasgow (August 2018),HMRC,,Estates,Hard FM Services,,G4S INTEGRATED SERVICES (UK) LTD,S81 7QF,,5100043542,3470.31
,20/09/2018,HMRC,Facilities Management - Hard FM costs at Glasgow Cotton House Glasgow (August 2018),HMRC,,Estates,Hard FM Services,,G4S INTEGRATED SERVICES (UK) LTD,S81 7QF,,5100043542,23224.37
,20/09/2018,HMRC,Facilities Management - Hard FM costs for Edinburgh Elgin House (August 2018),HMRC,,Estates,Hard FM Services,,G4S INTEGRATED SERVICES (UK) LTD,S81 7QF,,5100043544,8415.17
,20/09/2018,HMRC,Facilities Management - Hard FM costs for Edinburgh Elgin House (August 2018),HMRC,,Estates,Hard FM Services,,G4S INTEGRATED SERVICES (UK) LTD,S81 7QF,,5100043544,14328.54
,20/09/2018,HMRC,BCS SFIA Plus Role Model System,HMRC,,Information Management Services,Soft Licen Off shelf,,CAPITA BUSINESS SERVICES LTD,DL1 9HN,,5100043623,100837.8
,20/09/2018,HMRC,Translation,HMRC,,Fraud Investigation Service,Translation services,,K INTERNATIONAL PLC,MK5 8PL,,5100043670,26792.8
,20/09/2018,HMRC,WAN Maintenance & Support,HMRC,,Information Management Services,WAN maint or supp,,HIGHSPEED OFFICE LTD,E1 8HQ,,5100043671,592192.75
,20/09/2018,HMRC,Monthly Output Management bulk charges,HMRC,,Operational Excellence & Output Mgmt,Mail and Fulfilment,,COMMUNISIS UK LTD,NE12 8EW,,5100043692,28769.53
,21/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,ORANGE BUS LTD,NE136DS,,5100043724,77907.5
,21/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,ORANGE BUS LTD,NE136DS,,5100043726,49400.68
,21/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,ORANGE BUS LTD,NE136DS,,5100043726,67999.32
,21/09/2018,HMRC,Monthly Royal Mail charges,HMRC,,Operational Excellence & Output Mgmt,Nat Pst Del Ser(VAT),,DEPARTMENT FOR WORK & PENSIONS,FY5 3TA,,5100043727,57067.65
,21/09/2018,HMRC,Monthly Royal Mail charges,HMRC,,Operational Excellence & Output Mgmt,Nat Pst Del Ser(VAT),,DEPARTMENT FOR WORK & PENSIONS,FY5 3TA,,5100043728,21338.42
,21/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,ORANGE BUS LTD,NE136DS,,5100043735,87860
,21/09/2018,HMRC,Monthly Royal Mail charges,HMRC,,Operational Excellence & Output Mgmt,Nat Pst Del Ser(VAT),,DEPARTMENT FOR WORK & PENSIONS,FY5 3TA,,5100043750,58034.7
,21/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100043752,6500
,21/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100043752,19393.98
,21/09/2018,HMRC,Forensic Services,HMRC,,Fraud Investigation Service,Forensic Services,,DISKLABS LTD,B77 4AS,,5100043759,25971.99
