Amount,Date,Entity,Expense Area,Expense Type,Supplier,Transaction Number
"£31,216.15",25/03/2011,HMCS,GZ999-North West Region,222151-Security,MITIE SECURITY LTD,1540333
"£26,212.84",30/03/2011,HMCS,HZ999-North East and Yorkshire,222151-Security,MITIE SECURITY LTD,1547561
"£40,366.07",31/03/2011,HMCS,BZ999-London Region,222151-Security,HM PRISON SERVICE,1548435
"£328,211.32",02/03/2011,HMCS,BZ999-London Region,222152-Cleaning (excl Waste Collctn),MACLELLAN INTERNATIONAL LTD,1512039
"£68,203.60",02/03/2011,HMCS,IZ999-RCJ Group,222152-Cleaning (excl Waste Collctn),VICTORIA GENERAL CLEANING SERVICES LTD,1512952
"£137,894.30",09/03/2011,HMCS,HZ999-North East and Yorkshire,222152-Cleaning (excl Waste Collctn),ELITE CLEANING & ENV SERVICES LTD,1520037
"£178,103.07",09/03/2011,HMCS,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),ELITE CLEANING & ENV SERVICES LTD,1520037
"£260,412.31",09/03/2011,HMCS,CZ999-South East Region,222152-Cleaning (excl Waste Collctn),HI-SPEC FACILITIES SUPPORT CO PLC,1520174
"£56,049.50",09/03/2011,HMCS,HZ999-North East and Yorkshire,222152-Cleaning (excl Waste Collctn),RENTOKIL INITIAL UK LIMITED,1521461
"£58,605.74",09/03/2011,HMCS,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),RENTOKIL INITIAL UK LIMITED,1521462
"£136,182.06",11/03/2011,HMCS,DZ999-South West Region,222152-Cleaning (excl Waste Collctn),REGENT OFFICE CARE LTD,1523671
"£28,078.37",16/03/2011,HMCS,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),"OCS GROUP UK LTD, OCS ENGINEERING",1529312
"£258,244.12",16/03/2011,HMCS,FZ999-Midlands Region,222152-Cleaning (excl Waste Collctn),REGENT OFFICE CARE LTD,1529423
"£89,847.32",16/03/2011,HMCS,EZ999-Wales Region,222152-Cleaning (excl Waste Collctn),OCS SUPPORT SERVICES LTD,1529313
"£328,211.32",30/03/2011,HMCS,BZ999-London Region,222152-Cleaning (excl Waste Collctn),MACLELLAN INTERNATIONAL LTD,1547462
"£68,203.60",30/03/2011,HMCS,IZ999-RCJ Group,222152-Cleaning (excl Waste Collctn),VICTORIA GENERAL CLEANING SERVICES LTD,1548076
"£28,511.59",11/03/2011,HMCS,FZ999-Midlands Region,222154-Equipment Maintenance,1ST CLASS HYGIENE LTD,1523095
"£42,000.00",16/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222163-Judicial - Hirings non VAT,LEICESTERSHIRE COUNTY COUNCIL,1529117
"£96,547.46",02/03/2011,HMCS,FZ999-Midlands Region,222181-Managing Agents Fees,EC HARRIS LLP,1511706
"£67,392.56",02/03/2011,HMCS,GZ999-North West Region,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1511695
"£153,000.00",04/03/2011,HMCS,CZ999-South East Region,222181-Managing Agents Fees,EC HARRIS LLP,1514670
"£97,127.29",04/03/2011,HMCS,BZ999-London Region,222181-Managing Agents Fees,EC HARRIS LLP,1514670
"£32,400.00",04/03/2011,HMCS,IZ999-RCJ Group,222181-Managing Agents Fees,EC HARRIS LLP,1514670
"£115,955.70",09/03/2011,HMCS,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1519758
"£59,401.88",09/03/2011,HMCS,HZ999-North East and Yorkshire,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1520018
"£115,955.70",16/03/2011,HMCS,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1528504
"£115,955.70",16/03/2011,HMCS,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1528504
"£34,010.94",23/03/2011,HMCS,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1538309
"£36,000.00",23/03/2011,HMCS,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1538309
"£38,214.00",30/03/2011,HMCS,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1548197
"£67,392.56",30/03/2011,HMCS,GZ999-North West Region,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1546995
"£31,655.65",16/03/2011,HMCS,DZ999-South West Region,222182-Mechanical & Electrical,PHS COMPLIANCE,1529368
"£79,592.40",31/03/2011,HMCS,FZ999-Midlands Region,222183-Building & Civil Engineering,REIRSE RYAN LTD,1549335
"£119,782.03",02/03/2011,HMCS,BZ999-London Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1512109
"£59,891.75",02/03/2011,HMCS,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1511426
"£123,149.78",04/03/2011,HMCS,BZ999-London Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1514974
"£85,049.30",09/03/2011,HMCS,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1520414
"£38,512.06",09/03/2011,HMCS,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1520414
"£65,976.30",09/03/2011,HMCS,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1519893
"£56,431.53",09/03/2011,HMCS,HZ999-North East and Yorkshire,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1519769
"£37,403.26",09/03/2011,HMCS,HZ999-North East and Yorkshire,222192-CIS Labour Mechanical & Electric,HONEYWELL CONTROL SYSTEMS LTD,1520202
"£42,200.54",16/03/2011,HMCS,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1529231
"£32,857.08",16/03/2011,HMCS,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1529283
"£41,380.22",16/03/2011,HMCS,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1529283
"£27,075.60",16/03/2011,HMCS,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1528524
"£25,273.80",16/03/2011,HMCS,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1528524
"£119,782.03",18/03/2011,HMCS,BZ999-London Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1531854
"£194,348.36",18/03/2011,HMCS,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1531520
"£41,361.29",18/03/2011,HMCS,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1531443
"£123,149.78",25/03/2011,HMCS,BZ999-London Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1540368
"£65,976.30",30/03/2011,HMCS,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1546815
"£28,945.44",30/03/2011,HMCS,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1546815
"£38,512.06",30/03/2011,HMCS,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547562
"£125,793.29",30/03/2011,HMCS,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,EMCOR FACILITIES SERVICES LTD,1547030
"£120,000.00",31/03/2011,HMCS,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1548281
"£37,440.60",04/03/2011,HMCS,IZ999-RCJ Group,222193-CIS Labour B & CE,SYKES & SON LTD,1515200
"£29,201.86",30/03/2011,HMCS,FZ999-Midlands Region,222193-CIS Labour B & CE,WILLMOTT DIXON PARTNERSHIPS LTD,1548162
"£238,968.13",02/03/2011,HMCS,IZ999-RCJ Group,223326-SCA Accommodation,IRON MOUNTAIN UK LTD,1511916
"£463,579.28",02/03/2011,HMCS,FZ999-Midlands Region,223326-SCA Accommodation,DERBYSHIRE COURTS LTD,1511669
"£426,675.44",09/03/2011,HMCS,CZ999-South East Region,223326-SCA Accommodation,MODERN COURTS (EAST ANGLIA) LTD,1520417
"£292,524.85",11/03/2011,HMCS,DZ999-South West Region,223326-SCA Accommodation,ENTERPRISE CIVIC BUILDINGS LIMITED,1523315
"£784,250.66",11/03/2011,HMCS,DZ999-South West Region,223326-SCA Accommodation,SERVICES SUPPORT (AVON & SOMERSET) LTD,1523715
"£373,880.09",16/03/2011,HMCS,HZ999-North East and Yorkshire,223326-SCA Accommodation,MODERN COURTS (HUMBERSIDE) LTD,1529235
"£106,744.09",16/03/2011,HMCS,HZ999-North East and Yorkshire,223326-SCA Accommodation,PALECASTLE LTD,1529336
"£545,721.88",23/03/2011,HMCS,GZ999-North West Region,223326-SCA Accommodation,UK COURT SERVICES LTD,1538199
"£482,892.38",30/03/2011,HMCS,FZ999-Midlands Region,223326-SCA Accommodation,DERBYSHIRE COURTS LTD,1546973
"£32,422.28",04/03/2011,HMCS,HZ999-North East and Yorkshire,223513-Design/Print/Reprographic Services,HM PRISON SERVICE,1514794
"£82,892.72",04/03/2011,HMCS,HZ999-North East and Yorkshire,223513-Design/Print/Reprographic Services,HM PRISON SERVICE,1514794
"£26,415.94",25/03/2011,HMCS,DZ999-South West Region,223513-Design/Print/Reprographic Services,XEROX (UK) LTD,1540668
"£37,396.71",30/03/2011,HMCS,BZ999-London Region,223513-Design/Print/Reprographic Services,XEROX (UK) LTD,1548199
"£36,447.05",04/03/2011,HMCS,DZ999-South West Region,223515-Postage & Distribution - Royal Mail,ROYAL MAIL,1515111
"£26,224.07",09/03/2011,HMCS,CZ999-South East Region,223515-Postage & Distribution - Royal Mail,ROYAL MAIL,1521491
"£167,405.22",30/03/2011,HMCS,HZ999-North East and Yorkshire,223525-Furniture - under capitalisation threshold,HM PRISON SERVICE,1547240
"£25,555.92",11/03/2011,HMCS,AR999-HMCS Central Budgets,223532-Pension advice & administration,GOVERNMENT ACTUARY'S DEPARTMENT,1523369
"£36,274.33",23/03/2011,HMCS,FZ999-Midlands Region,223533-Catering - Contracted services only,EUREST SERVICES,1537413
"£26,393.44",23/03/2011,HMCS,FZ999-Midlands Region,223533-Catering - Contracted services only,EUREST SERVICES,1537413
"£128,469.60",25/03/2011,HMCS,IZ999-RCJ Group,223536-IT Services incl Web Hosting,ATOS ORIGIN IT SERVICES UK LTD,1539809
"£25,740.00",16/03/2011,HMCS,FZ999-Midlands Region,223537-IT Servs maj contr Libra Apps & Int,CASTLE COMPUTER SERVICES LTD,336706
"£33,330.00",18/03/2011,HMCS,IZ999-RCJ Group,223537-IT Servs maj contr Libra Apps & Int,ATOS ORIGIN IT SERVICES UK LTD,1531437
"£28,059.60",25/03/2011,HMCS,HZ999-North East and Yorkshire,223537-IT Servs maj contr Libra Apps & Int,SPECIALIST COMPUTING,1540549
"£59,995.20",30/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,223537-IT Servs maj contr Libra Apps & Int,HP INFORMATION SECURITY,1547269
"£29,400.85",02/03/2011,HMCS,CZ999-South East Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1511538
"£25,811.49",02/03/2011,HMCS,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1511538
"£57,425.55",09/03/2011,HMCS,CZ999-South East Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1519853
"£139,322.22",09/03/2011,HMCS,BZ999-London Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1519853
"£28,346.08",11/03/2011,HMCS,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1523178
"£26,600.97",30/03/2011,HMCS,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1546798
"£34,713.60",04/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1514880
"£83,110.80",09/03/2011,HMCS,AV322-CP Change Management SUPS,223560-DISC IT Application Costs,LOGICA UK LTD,1520327
"£135,073.20",09/03/2011,HMCS,AA499-HMCS Change Programme,223560-DISC IT Application Costs,LOGICA UK LTD,1520327
"£285,626.40",09/03/2011,HMCS,AV322-CP Change Management SUPS,223560-DISC IT Application Costs,LOGICA UK LTD,1520327
"£27,679.20",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703
"£35,751.77",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703
"£47,019.60",23/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703
"£30,240.00",30/03/2011,HMCS,AV332-CBMP Civil Bus Mod Programme,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642
"£52,038.58",30/03/2011,HMCS,AA499-HMCS Change Programme,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642
"£35,310.00",30/03/2011,HMCS,FZ999-Midlands Region,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642
"£35,038.63",31/03/2011,HMCS,BZ999-London Region,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1548225
"£75,939.20",02/03/2011,HMCS,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1512025
"£71,223.31",23/03/2011,HMCS,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1537703
"£135,272.66",23/03/2011,HMCS,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1537703
"£120,000.00",30/03/2011,HMCS,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,SOFTWARE RELIABILITY INSPECTORATE LTD,1547917
"£120,000.00",30/03/2011,HMCS,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,SOFTWARE RELIABILITY INSPECTORATE LTD,1547917
"£74,082.67",31/03/2011,HMCS,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1548493
"£34,939.19",09/03/2011,HMCS,GZ999-North West Region,226106-Jurors Catering Costs,EUREST SERVICES,1520051
"£25,981.63",18/03/2011,HMCS,HZ999-North East and Yorkshire,226106-Jurors Catering Costs,EUREST SERVICES,1531630
"£25,126.82",23/03/2011,HMCS,FZ999-Midlands Region,226106-Jurors Catering Costs,EUREST SERVICES,1537413
"£45,441.73",16/03/2011,HMCS,DZ999-South West Region,226202-Court Reporters Loggers,MERRILL LEGAL SOLUTIONS,1529213
"£49,755.80",23/03/2011,HMCS,BZ999-London Region,226202-Court Reporters Loggers,SELLERS LEGAL SERVICES LTD,1538041
"£31,177.96",31/03/2011,HMCS,BZ999-London Region,226202-Court Reporters Loggers,MERRILL LEGAL SOLUTIONS,1548520
"£75,859.62",09/03/2011,HMCS,GZ999-North West Region,226203-Court Reporters Cap Writers,CATER WALSH REPORTING LTD,331129
"£26,014.89",09/03/2011,HMCS,BZ999-London Region,226203-Court Reporters Cap Writers,MERRILL LEGAL SOLUTIONS,1520399
"£28,063.23",07/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS BSB#DX 37905,328750
"£30,049.73",07/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS IRWIN MITCHELL#DX 14368,328946
"£508,281.12",07/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS HOGAN LOVELLS INTERNATIONAL LLP#EC1A 2FG,328929
"£51,134.67",07/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,CRICK & MARDLING#DX 23402,328612
"£301,659.89",07/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS KIRKLAND & ELLIS INTERNATIONAL LLP#EC3A 8AF,328986
"£54,829.05",07/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS EDWARD FAIL BRADSHAW &  WATERSON#DX 300701,328842
"£502,305.13",21/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS PETERS & PETERS#DX 407,1532365
"£848,128.65",21/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS PETERS & PETERS#DX 407,1532365
"£79,150.50",21/03/2011,HMCS,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS MIKE NORTHERN LEGAL#DA11 0LH,340761
"£44,359.63",09/03/2011,HMCS,AW999-Operations & Performance Dir.,226406-Interpreters Fees (VAT recoverable),SIGN SOLUTIONS,1521536
"£33,199.01",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS FREEDMAN SHARMAN & COMPANY#DX 45603,1515438
"£140,343.99",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS CHARTWELL & SADLERS#SE15 2LB,328769
"£31,582.98",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS STRATFORD SOLICITORS#B14 7QA,329179
"£63,179.95",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS PETERS & PETERS# DX 407,1515521
"£80,355.08",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,FORBES & PARTNERS#DX 710059,1515347
"£36,493.80",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS VLS SOLICITORS#N17 0DH,1515577
"£29,887.69",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,RILEY HAYES & CO#DX 10432,1515739
"£116,274.43",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS SHEARMAN BOWEN LTD#DX 218,1515539
"£147,726.61",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS SAKHI SOLICITORS#DX 10814,329139
"£127,075.37",07/03/2011,HMCS,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS RIAZ SOLICITORS#BD3 8JB,329119
"£69,744.55",16/03/2011,HMCS,IZ999-RCJ Group,532301-TA GBV - Add- IT- Computers,ATOS ORIGIN IT SERVICES UK LTD,1528511
"£31,689.72",04/03/2011,HMCS,GZ999-North West Region,532401-TA GBV - Add- P&M- Equipment,CARILLION PLANNED MAINTENANCE,1514565
"£31,885.44",09/03/2011,HMCS,HZ999-North East and Yorkshire,532401-TA GBV - Add- P&M- Equipment,BROADCAST SOUND SYSTEMS LTD,1519838
"£133,516.80",09/03/2011,HMCS,GZ999-North West Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1521422
"£75,543.60",11/03/2011,HMCS,GZ999-North West Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1523646
"£26,826.67",16/03/2011,HMCS,HZ999-North East and Yorkshire,532401-TA GBV - Add- P&M- Equipment,BROADCAST SOUND SYSTEMS LTD,1528593
"£62,027.54",25/03/2011,HMCS,HZ999-North East and Yorkshire,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1540433
"£97,352.75",25/03/2011,HMCS,BZ999-London Region,532401-TA GBV - Add- P&M- Equipment,DH FATHERS LTD,1540005
"£65,572.20",30/03/2011,HMCS,FZ999-Midlands Region,532401-TA GBV - Add- P&M- Equipment,ZICAM INTEGRATED SECURITY LIMITED,1548205
