F3,F4,F5,F1,F2,F6,F7,F8
ma3-iN.wav,ma,i,7,270,3,3,0.929358437
mi1-aN.wav,mi,a,7,271,1,2,0.735287769
ma4-iN.wav,ma,i,7,272,4,4,1.033658502
bu3-aN.wav,bu,a,7,273,3,3,0.823762485
mi2-aN.wav,mi,a,7,274,2,2,0.836852719
mi3-aN.wav,mi,a,7,275,3,3,1.098699837
mi3-iN.wav,mi,i,7,276,3,3,0.729806592
di3-iN.wav,di,i,7,277,3,3,1.235726174
mi2-iN.wav,mi,i,7,278,2,2,0.681223156
bu1-aN.wav,bu,a,7,279,1,1,1.044165516
lu4-aN.wav,lu,a,7,280,4,4,0.942776749
