F9,accx(m/ss),pospathx(m),pospathy(m),posx(m),posy(m),time(s),vel(km/h),yaw(rad)
,-1.68,421.617,-59.453,421.224,-57.486,3.2,37.7,-1.378202
,-1.71,421.82,-60.472,421.427,-58.505,3.3,37.09,-1.379254
,-1.74,422.02,-61.474,421.6275,-59.507,3.4,36.46,-1.380342
,-1.77,422.217,-62.458,421.824,-60.491,3.5,35.82,-1.381451
,-1.81,422.41,-63.425,422.017,-61.458,3.6,35.17,-1.382578
,-1.84,422.6,-64.374,422.207,-62.407,3.7,34.51,-1.383725
,-1.88,422.786,-65.305,422.393,-63.338,3.8,33.83,-1.384878
,-1.91,422.96,-66.22,422.571,-64.252,3.9,33.15,-1.386042
,-1.95,423.104,-67.122,422.7305,-65.151,4,32.44,-1.387178
,-1.99,423.246,-68.004,422.884,-66.031,4.1,31.73,-1.38773
,-2.03,423.386,-68.866,423.0325,-66.8915,4.2,31,-1.387826
,-2.07,423.523,-69.708,423.176,-67.732,4.3,30.25,-1.387562
,-2.11,423.658,-70.529,423.3155,-68.5525,4.4,29.49,-1.387006
,-2.16,423.79,-71.329,423.4505,-69.3515,4.5,28.71,-1.386215
,-2.2,423.918,-72.107,423.581,-70.1295,4.6,27.92,-1.38494
,-2.25,424.043,-72.863,423.708,-70.885,4.7,27.11,-1.382933
,-2.3,424.165,-73.596,423.831,-71.618,4.8,26.28,-1.380317
,-2.35,424.283,-74.307,423.95,-72.3285,4.9,25.44,-1.377211
,-2.39,424.397,-74.994,424.065,-73.0155,5,24.58,-1.37369
,-2.44,424.507,-75.657,424.1755,-73.6785,5.1,23.7,-1.369821
,-2.49,424.613,-76.296,424.282,-74.3175,5.2,22.8,-1.365664
,-2.42,424.706,-76.832,424.3735,-74.854,5.3,21.93,-1.361164
,-2.35,424.858,-77.376,424.4945,-75.4035,5.4,21.08,-1.356123
,-2.28,425.003,-77.9,424.615,-75.9315,5.5,20.26,-1.35064
,-2.21,425.14,-78.403,424.733,-76.4385,5.6,19.47,-1.344824
,-2.13,425.271,-78.887,424.8485,-76.926,5.7,18.7,-1.338738
,-1.93,425.396,-79.352,424.961,-77.3935,5.8,18.01,-1.332432
,-1.73,425.545,-79.797,425.0845,-77.8445,5.9,17.39,-1.32596
,-1.53,425.722,-80.224,425.223,-78.281,6,16.84,-1.319352
,-1.33,425.891,-80.638,425.3605,-78.703,6.1,16.36,-1.31263
,-1.32,426.053,-81.04,425.4965,-79.1125,6.2,15.88,-1.305832
,-1.34,426.209,-81.431,425.631,-79.51,6.3,15.4,-1.299031
,-1.35,426.36,-81.81,425.764,-79.8945,6.4,14.92,-1.292253
,-1.37,426.504,-82.177,425.893,-80.266,6.5,14.42,-1.285495
,-1.38,426.647,-82.537,426.0225,-80.631,6.6,13.93,-1.278748
,-1.39,426.79,-82.892,426.1525,-80.99,6.7,13.42,-1.272048
,-1.41,426.927,-83.233,426.278,-81.335,6.8,12.92,-1.26595
,-1.42,427.058,-83.562,426.4,-81.667,6.9,12.41,-1.26033
,-1.43,427.183,-83.878,426.5175,-81.9855,7,11.89,-1.255086
,-1.43,427.303,-84.18,426.6305,-82.29,7.1,11.38,-1.250147
,-1.44,427.417,-84.469,426.739,-82.581,7.2,10.86,-1.245461
,-1.44,427.525,-84.744,426.8425,-82.858,7.3,10.35,-1.24127
,-1.43,427.628,-85.007,426.9415,-83.122,7.4,9.83,-1.23782
,-1.41,427.733,-85.277,427.0435,-83.393,7.5,9.32,-1.234982
,-1.39,427.817,-85.513,427.1285,-83.629,7.6,8.82,-1.232652
,-1.25,427.895,-85.738,427.2085,-83.853,7.7,8.38,-1.230746
,-1.05,427.97,-85.951,427.285,-84.0655,7.8,8,-1.229195
,-0.85,428.042,-86.156,427.358,-84.27,7.9,7.7,-1.227937
,-0.65,428.112,-86.353,427.429,-84.467,8,7.46,-1.226962
,-0.45,428.18,-86.546,427.498,-84.6595,8.1,7.3,-1.226238
,-0.08,428.247,-86.736,427.566,-84.849,8.2,7.28,-1.22575
,-0.07,428.313,-86.925,427.633,-85.038,8.3,7.25,-1.225447
,-0.08,428.38,-87.114,427.7005,-85.2265,8.4,7.22,-1.225298
,-0.08,428.446,-87.302,427.7675,-85.4145,8.5,7.2,-1.225289
,-0.07,428.512,-87.489,427.834,-85.601,8.6,7.17,-1.225397
,-0.06,428.578,-87.676,427.9005,-85.788,8.7,7.15,-1.225596
,-0.05,428.644,-87.862,427.967,-85.9735,8.8,7.13,-1.225879
,-0.03,428.71,-88.048,428.0335,-86.1595,8.9,7.12,-1.226221
,-0.01,428.775,-88.233,428.099,-86.3445,9,7.12,-1.226548
,0.19,428.841,-88.419,428.1655,-86.5305,9.1,7.18,-1.226843
,0.39,428.908,-88.609,428.2325,-86.72,9.2,7.32,-1.227109
,0.59,428.976,-88.802,428.3015,-86.913,9.3,7.54,-1.227362
,0.79,429.047,-89.002,428.3725,-87.113,9.4,7.82,-1.227599
,1.03,429.121,-89.211,428.447,-87.3215,9.5,8.19,-1.227824
,1.28,429.198,-89.43,428.5245,-87.5405,9.6,8.65,-1.228031
,1.48,429.28,-89.663,428.607,-87.7735,9.7,9.18,-1.228218
,1.68,429.368,-89.91,428.695,-88.02,9.8,9.79,-1.228393
,1.88,429.461,-90.174,428.7885,-88.284,9.9,10.46,-1.228551
,2.08,429.561,-90.456,428.8885,-88.566,10,11.21,-1.2287
