Date,Departmental Family,Entity,Expense Area,Expense Type,Supplier,Transaction Number,Vat Registration Num,Amount
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BLACKPOOL PCT,HAFS-10486,,26974000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BOLTON PCT,HAFS-10487,,31000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BOURNEMOUTH & POOLE PCT,HAFS-10488,,45000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BRADFORD AND AIREDALE PCT,HAFS-10489,,70000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BRENT TEACHING PCT,HAFS-10490,,39000000
01/04/2011,Department of Health,Department of Health,COMMISSIONING,Secondees in invoiced costs,BRIGHTON & HOVE CITY TEACHING PCT,13431949,,30060.27
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BRIGHTON & HOVE CITY TEACHING PCT,HAFS-10491,,32500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BRISTOL PCT,HAFS-10492,,77000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BROMLEY PCT,HAFS-10493,,39500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BUCKINGHAMSHIRE PCT,HAFS-10494,,55000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BURY PCT,HAFS-10495,,22000000
01/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,CALDERDALE METROPOLITAN BOROUGH COUNCIL,25201190631583,,58022
01/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,CALDERDALE METROPOLITAN BOROUGH COUNCIL,25201190374118,,151550
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CALDERDALE PCT,HAFS-10496,,25000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CAMBRIDGESHIRE PCT,HAFS-10497,,50000000
01/04/2011,Department of Health,Department of Health,More than one directorate,Other creditors (ST),CAMDEN PCT,PAYMENT MADE IN ERROR TO DH,,10000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CAMDEN PCT,HAFS-10498,,40000000
01/04/2011,Department of Health,Department of Health,COMMISSIONING,Outsourcing Contract,CAPGEMINI UK PLC,26020080709710,,97954.62
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CENTRAL & EASTERN CHESHIRE PCT,HAFS-10499,,50000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CENTRAL LANCASHIRE PCT,HAFS-10500,,54000000
01/04/2011,Department of Health,Department of Health,COMMUNICATIONS,Professional fees,CENTRAL OFFICE OF INFORMATION (COI),732013,,18000
01/04/2011,Department of Health,Department of Health,COMMUNICATIONS,Publicity & advertising,CENTRAL OFFICE OF INFORMATION (COI),732013,,25925
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CITY AND HACKNEY TEACHING PCT,HAFS-10501,,38000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CORNWALL & ISLES OF SCILLY PCT,HAFS-10502,,82200000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,COUNTY DURHAM PCT,HAFS-10503,,82483000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,COVENTRY TEACHING PCT,HAFS-10504,,55000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CROYDON PCT,HAFS-10505,,50000000
01/04/2011,Department of Health,Department of Health,More than one directorate,CFH Prepay & accrue inc (ST),CSC COMPUTER SCIENCES LTD,CHAPS1/4/11,,200000000
01/04/2011,Department of Health,Department of Health,NHS Chief Information Officer,Addition Clearing - IT,CSC COMPUTER SCIENCES LTD,CHAPS1/4/11.,,316317.01
01/04/2011,Department of Health,Department of Health,NHS Chief Information Officer,Addition Clearing - IT,CSC COMPUTER SCIENCES LTD,CHAPS1/4/11.,,4548371.01
01/04/2011,Department of Health,Department of Health,NHS Chief Information Officer,Addition Clearing - IT,CSC COMPUTER SCIENCES LTD,CHAPS1/4/11.,,5800971.98
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,CUMBRIA PCT,HAFS-10506,,90000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,DARLINGTON PCT,HAFS-10507,,15671000
01/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Service charge,DEAN CLOUGH LTD,10982,,30937.48
01/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rent of Land & Buildings (non-PFI operating lease),DEAN CLOUGH LTD,10791,,210200.33
01/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Other programme expenditure,DEPARTMENT FOR TRANSPORT (DFT),9300099002,,5000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,DERBY CITY PCT,HAFS-10508,,35000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,DERBYSHIRE COUNTY PCT,HAFS-10509,,93000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,DEVON PCT,HAFS-10510,,92500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,DONCASTER PCT,HAFS-10511,,46000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,DORSET PCT,HAFS-10512,,58000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,DUDLEY PCT,HAFS-10513,,42000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EALING PCT,HAFS-10514,,42000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EAST LANCASHIRE PCT,HAFS-10515,,46000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EAST MIDLANDS SHA,HAFS-10516,,35000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EAST OF ENGLAND SHA,HAFS-10517,,62000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EAST RIDING OF YORKSHIRE PCT,HAFS-10518,,32500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EAST SUSSEX DOWNS & WEALD PCT,HAFS-10519,,42000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,EASTERN & COASTAL KENT PCT,HAFS-10520,,100000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,ENFIELD PCT,HAFS-10521,,26000000
01/04/2011,Department of Health,Department of Health,INFORMATICS,Computer Software/License,ERNST & YOUNG LLP,12707084,,65000
01/04/2011,Department of Health,Department of Health,INFORMATICS,External Consultancy Fees,ERNST & YOUNG LLP,12707084,,530240.89
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Travel & subsistence staff,EXPOTEL HOTEL RESERVATIONS LTD,702278,,-113158.23
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Travel & subsistence staff,EXPOTEL HOTEL RESERVATIONS LTD,702278,,92.16
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Conferences & seminars,EXPOTEL HOTEL RESERVATIONS LTD,702278,,80827.31
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,GATESHEAD PCT,HAFS-10522,,24600000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,GLOUCESTERSHIRE PCT,HAFS-10523,,82000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,GREAT YARMOUTH AND WAVENY PCT,HAFS-10524,,26800000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,GREENWICH TEACHING PCT,HAFS-10525,,33000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HALTON & ST HELENS PCT,HAFS-10526,,52000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HAMMERSMITH AND FULHAM PCT,HAFS-10527,,34500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HAMPSHIRE PCT,HAFS-10528,,142000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HARINGEY TEACHING PCT,HAFS-10529,,51000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HARROW PCT,HAFS-10530,,30000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HARTLEPOOL PCT,HAFS-10531,,13400000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HASTINGS & ROTHER PCT,HAFS-10532,,25500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HAVERING PCT COMMISSIONING,HAFS-10533,,48000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-10366,,4000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HEART OF BIRMINGHAM TEACHING PCT,HAFS-10367,,46000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HEREFORDSHIRE PCT,HAFS-10368,,29000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HERTFORDSHIRE PCT,HAFS-10369,,135000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-10370,,27500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HILLINGDON PCT,HAFS-10371,,29300000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HOUNSLOW PCT,HAFS-10372,,35000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,HULL PCT,HAFS-10373,,37000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,ISLE OF WIGHT NHS PCT,HAFS-10374,,15000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,ISLINGTON PCT,HAFS-10375,,40514000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,KENSINGTON AND CHELSEA PCT,HAFS-10376,,28000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,KINGSTON PCT,HAFS-10377,,21000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,KIRKLEES PCT,HAFS-10378,,43000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,KNOWSLEY PCT,HAFS-10379,,25000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LAMBETH PCT,HAFS-10380,,50000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LEEDS PCT,HAFS-10381,,120256000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LEICESTER CITY PCT,HAFS-10382,,33000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LEICESTERSHIRE COUNTY & RUTLAND PCT,HAFS-10383,,55000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LEWISHAM PCT,HAFS-10384,,39000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LINCOLNSHIRE PCT,HAFS-10385,,90000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LIVERPOOL PCT,HAFS-10386,,65615000
01/04/2011,Department of Health,Department of Health,COMMISSIONING,Contactor/ Staff Subsitution,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,50019330,,-68295.5
01/04/2011,Department of Health,Department of Health,COMMISSIONING,Contactor/ Staff Subsitution,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,50019330,,68295.5
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LONDON SHA,HAFS-10387,,150000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,LUTON TEACHING PCT,HAFS-10388,,23200000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,MANCHESTER PCT,HAFS-10389,,75000000
01/04/2011,Department of Health,Department of Health,COMMISSIONING,Professional fees,MARKET AND OPINION RESEARCH INTERNATIONAL LTD,11000360,,153916
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,MEDWAY TEACHING PCT,HAFS-10390,,32000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,MID ESSEX PCT,HAFS-10391,,35000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,MIDDLESBOROUGH PCT,HAFS-10392,,22000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,MILTON KEYNES PCT,HAFS-10393,,26000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-10394,,5000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),HAFS-10395,,1693000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NEWCASTLE PCT,HAFS-10396,,35000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NEWHAM PCT,HAFS-10397,,51000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-10398,,47010000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev ND In RAB,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-10399,,1671000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,HAFS-10400,,3500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NHS LITIGATION AUTHORITY,HAFS-10401,,70000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORFOLK PCT,HAFS-10402,,90000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH EAST ESSEX PCT,HAFS-10403,,32000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-10404,,25100000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH EAST SHA,HAFS-10405,,26000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH LANCASHIRE PCT,HAFS-10406,,40144000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH LINCOLNSHIRE PCT,HAFS-10407,,20100000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH SOMERSET PCT,HAFS-10408,,30000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH STAFFORDSHIRE PCT,HAFS-10409,,22250000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH TYNESIDE PCT,HAFS-10410,,30100000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH WEST SHA,HAFS-10411,,59400000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTH YORKSHIRE & YORK PCT,HAFS-10412,,93000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTHAMPTONSHIRE PCT,HAFS-10413,,75000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NORTHUMBERLAND CARE TRUST,HAFS-10414,,41500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NOTTINGHAM CITY PCT,HAFS-10415,,35000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,NOTTINGHAMSHIRE COUNTY TEACHING PCT,HAFS-10416,,75000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,OLDHAM PCT,HAFS-10417,,29000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,OXFORDSHIRE PCT,HAFS-10418,,78000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,PETERBOROUGH PCT,HAFS-10419,,21000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,PLYMOUTH TEACHING PCT,HAFS-10420,,33000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,PORTSMOUTH CITY TEACHING PCT,HAFS-10421,,29000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,REDBRIDGE PCT,HAFS-10422,,35000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,REDCAR AND CLEVELAND PCT,HAFS-10423,,20300000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,RICHMOND AND TWICKENHAM PCT,HAFS-10424,,21000000
01/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Other programme expenditure,ROSLIN INSTITUTE,Z0020627,,43299
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,ROTHERHAM PCT,HAFS-10425,,33500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SALFORD PCT,HAFS-10426,,31000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SANDWELL PCT,HAFS-10427,,43000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SEFTON PCT,HAFS-10428,,42000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SHEFFIELD PCT,HAFS-10429,,65000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SHROPSHIRE COUNTY PCT,HAFS-10430,,34230000
01/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Raw materials & consumables,SIGMA PHARMACEUTICALS PLC,I107435,,171998.95
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOLIHULL PCT,HAFS-10431,,27000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOMERSET PCT,HAFS-10432,,57000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH BIRMINGHAM PCT,HAFS-10433,,48500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH CENTRAL SHA,HAFS-10434,,28000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH EAST COAST SHA,HAFS-10435,,32000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH EAST ESSEX PCT,HAFS-10436,,38500000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH GLOUCESTERSHIRE PCT,HAFS-10437,,32500000
01/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Contactor/ Staff Subsitution,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0054166,,264138.75
01/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Professional fees,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0054166,,-264138.75
01/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Professional fees,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0055618,,-172078.93
01/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Contactor/ Staff Subsitution,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0055618,,172078.93
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH STAFFORDSHIRE PCT,HAFS-10438,,77800000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH TYNESIDE PCT,HAFS-10439,,21000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH WEST ESSEX PCT,HAFS-10440,,44000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTH WEST SHA,HAFS-10441,,30000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTHAMPTON CITY PCT,HAFS-10442,,32000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,SOUTHWARK PCT,HAFS-10443,,40000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,STOCKPORT PCT,HAFS-10444,,34000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,STOCKTON-ON-TEES TEACHING PCT,HAFS-10445,,22500000
