F1,F11,F2,F3,F4,F5,F7,F8,F9,F10,F6
Adult and Culture,,Library Admin,Capital Expenditure,42174,3M UNITED KINGDOM PLC,Capital,2EJ99,Budgeted Savings,7071.03,6601194
Adult and Culture,,Library Admin,Capital Expenditure,42174,3M UNITED KINGDOM PLC,Capital,2EJ99,Budgeted Savings,14142.06,6602093
Adult and Culture,,Library Admin,Capital Expenditure,42174,3M UNITED KINGDOM PLC,Capital,2EJ99,Budgeted Savings,14142.06,6610934
Adult and Culture,,Library Admin,Capital Expenditure,42178,3M UNITED KINGDOM PLC,Capital,2EJ99,Budgeted Savings,7071.03,6612516
Environment & Regeneration,,NS: Capital Works,Supplies & Services,19/06/2015,A&J KEITH LTD,Revenue,1KEYU,Solar PV YHN Buildings,415,6609410
Environment & Regeneration,,NS: Capital Works,Supplies & Services,19/06/2015,A&J KEITH LTD,Revenue,1KVEE,Electrical Stand Alone Works,3414.51,6614708
Environment & Regeneration,,NS: Capital Works,Supplies & Services,19/06/2015,A&J KEITH LTD,Revenue,1KVEE,Electrical Stand Alone Works,1389.76,6614709
Environment & Regeneration,,NS: D&CS Support Services,Supplies & Services,10/06/2015,A&J KEITH LTD,Revenue,1KBRM,Sub Contractors R & M,222222.98,6606360
Environment & Regeneration,,NS: D&CS Support Services,Supplies & Services,26/06/2015,A&J KEITH LTD,Revenue,1KEYW,Solar Panels Public Buildings,415,6621103
Environment & Regeneration,,NS: D&CS Support Services,Supplies & Services,19/06/2015,A&J KEITH LTD,Revenue,1KVEE,Electrical Stand Alone Works,5907.3,6614707
Environment & Regeneration,,Cityworks Parks & C/side,Premises,11/06/2015,A&S LOCKSMITHS,Revenue,1KL75,Allottments,259.7,6607104
Chief Executive's,,CD-Communications and Marketing,Supplies & Services,23/06/2015,AA GLOBAL LANGUAGES SERVICES LTD,Revenue,1FT08,Translation Unit,251,6617822
Environment & Regeneration,,Cityworks Elswick,Supplies & Services,22/06/2015,AAA CHEMICALS LTD,Revenue,1KL1E,Elswick Pool,349.3,6614623
Environment & Regeneration,,Fleet Management System,Supplies & Services,17/06/2015,AAA CHEMICALS LTD,Revenue,3KES1,Fleetmaster Stores Account,1015.22,6612421
Environment & Regeneration,,NS: District Heating,Supplies & Services,22/06/2015,AAA CHEMICALS LTD,Revenue,1KR8L,Wide District Heating,340,6614624
HRA,,HRA Planning QS,Capital Expenditure,09/06/2015,AARAN BUILDERS (NE) LTD,Capital,2HE01,Capital Citywide,4548,6605026
HRA,,HRA Planning QS,Capital Expenditure,09/06/2015,AARAN BUILDERS (NE) LTD,Capital,2HE8W,Capital Cont 8-West City,4300.8,6605026
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ABBEYFIELD CASTLE FARM,Revenue,1MG20,Residential Care OP,-1617.08,6611156
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ABBEYFIELD CASTLE FARM,Revenue,1MG20,Residential Care OP,5907.84,6611156
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ABBEYFIELD THE GROVE,Revenue,1MG20,Residential Care OP,-1481.68,6611144
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ABBEYFIELD THE GROVE,Revenue,1MG20,Residential Care OP,1969.28,6611144
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ABBEYMOOR,Revenue,1MM10,Nursing Care MH,-397.2,6611157
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ABBEYMOOR,Revenue,1MM10,Nursing Care MH,2010.56,6611157
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ABBEYMOOR,Revenue,1MM20,Residential Care MH,4000,6611157
Adult and Culture,,AS - Westgate AE,Supplies & Services,05/06/2015,ABC AWARDS,Revenue,1EA15,Newcastle City Learning Main,266,6602000
Adult and Culture,,AS - Westgate AE,Supplies & Services,30/06/2015,ABC AWARDS,Revenue,1EA15,Newcastle City Learning Main,256,6612783
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ABIGAIL HOUSE,Revenue,1MG20,Residential Care OP,-4323.5,6611158
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ABIGAIL HOUSE,Revenue,1MG20,Residential Care OP,20945.23,6611158
Environment & Regeneration,,E&R Parking Services,Supplies & Services,08/06/2015,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,Revenue,1V123,Blue Badge Applications,807.6,6600922
Environment & Regeneration,,E&R Parking Services,Supplies & Services,30/06/2015,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,Revenue,1V213,Pay by Phone Parking Income,561,6613472
HRA,,HRA Furniture,Premises,24/06/2015,ABLECARE CLEANING SERVICES,Revenue,1HT01,HRA Newcastle Furniture SVS-C,274,6611353
Adult and Culture,,Social Services-Care Support,Supplies & Services,42173,ABOUT TURN VETERANS SUPPORT SERVICE,Revenue,1MX19,Domestic Violence,4374,6613930
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MH50,Home Care PD,716.95,6604463
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,369.74,6604465
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,328.04,6604466
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,683.88,6604467
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,1229.8,6604468
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,375.3,6604469
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,411.08,6604470
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,577.31,6604472
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MH50,Home Care PD,2063.83,6604476
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MG50,Home Care-Spot Purchased OP,517.08,6604477
Adult and Culture,,Social Services-Carefirst,Third Party Payments,17/06/2015,ABSOLUTE QUALITY CARE,Revenue,1MH50,Home Care PD,1153.5,6612664
Chief Executive's,,CD - IT Mgmt & Networks,Supplies & Services,01/06/2015,ACCEPTUS IT LTD,Revenue,1CX50,Technical Refresh,3482.95,6597447
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ACCOUNTABILITY,Revenue,1MH40,Direct Payments PD,2782,6610422
Adult and Culture,,Social Services,Supplies & Services,22/06/2015,ACE CLEANING EQUIPMENT,Revenue,1MR58,Transport Function,269.33,6613437
Environment & Regeneration,,Fleet Management System,Supplies & Services,25/06/2015,ACP,Revenue,1KESG,Light Workshop Code 5 Repairs,580.53,6601953
Environment & Regeneration,,NS: Capital Works,Premises,19/06/2015,ACROL AIR CONDITIONING CO LTD,Revenue,1KL1D,East End Pool,926.95,6585379
Chief Executive's,,CD - Revenues & Benefits,Employees,08/06/2015,ACS LTD,Revenue,1CR01,Revenues & Benefits Managemnt,2085,6596589
Chief Executive's,,CD - Revenues & Benefits,Supplies & Services,12/06/2015,ACS LTD,Revenue,1CR01,Revenues & Benefits Managemnt,650,6596592
Environment & Regeneration,,NS: Capital Works,Supplies & Services,04/06/2015,ACTION BUILDING MAINTENANCE LTD,Revenue,1KBAA,Building Contracts,363.78,6601275
Adult and Culture,,Social Services-Care Support,Supplies & Services,42173,ACTION FOR CHILDREN,Revenue,1MD72,Troubled Families Funding,6441.82,6613909
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ACTION FOR CHILDREN,Revenue,1MC22,IND Sector Foster Carer Costs,7896,6599035
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ACTION FOR CHILDREN,Revenue,1MC22,IND Sector Foster Carer Costs,7896,6624158
Children's Services,,Int Childhood Services,Third Party Payments,24/06/2015,ACTION FOR CHILDREN,Revenue,1EEK1,Fenham Childrens Centre,54265.25,6618394
Children's Services,,West Riverside S/Start,Third Party Payments,24/06/2015,ACTION FOR CHILDREN,Revenue,1EEG1,W River CC Central Costs,27733.25,6611216
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",02/06/2015,ACTIVE HORIZONS LTD,Revenue,1MG20,Residential Care OP,-495.8,6598885
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",30/06/2015,ACTIVE HORIZONS LTD,Revenue,1MG20,Residential Care OP,-495.8,6625167
Adult and Culture,,Social Services-Carefirst,Third Party Payments,02/06/2015,ACTIVE HORIZONS LTD,Revenue,1MG20,Residential Care OP,1724,6598885
Adult and Culture,,Social Services-Carefirst,Third Party Payments,02/06/2015,ACTIVE HORIZONS LTD,Revenue,1MK20,Residential Care LD,1724,6598885
Adult and Culture,,Social Services-Carefirst,Third Party Payments,30/06/2015,ACTIVE HORIZONS LTD,Revenue,1MG20,Residential Care OP,1802,6625167
Adult and Culture,,Social Services-Carefirst,Third Party Payments,30/06/2015,ACTIVE HORIZONS LTD,Revenue,1MK20,Residential Care LD,1802,6625167
Environment & Regeneration,,E&R-Highway&Traffic Management,Capital Expenditure,22/06/2015,AD ARCHAEOLOGY LTD,Capital,2KE01,Environmental Services,553.1,6615943
Chief Executive's,,CD - Electoral Reg,Supplies & Services,03/06/2015,ADARE LTD,Revenue,1FL02,IndividualElectoralRegistrn,392.74,6600510
Chief Executive's,,CD - Electoral Reg,Supplies & Services,03/06/2015,ADARE LTD,Revenue,1FK03,Municipal Elections,57934.15,6600512
Environment & Regeneration,,NS: D&CS Support Services,Supplies & Services,12/06/2015,ADC ELECTRICAL CO LTD(F),Revenue,1KR01,Responsive Maintenance,271.5,6608011
Adult and Culture,,Adult Serv Occ Therapy,Capital Expenditure,42178,ADL SMARTCARE LTD,Capital,2WW01,Adult And Culture Capital,39939,6613953
Environment & Regeneration,,CW Security Services,Premises,03/06/2015,ADT FIRE & SECURITY,Revenue,1KJ94,Security Services Delegated,1099.75,6600494
Environment & Regeneration,,CW Security Services,Premises,03/06/2015,ADT FIRE & SECURITY,Revenue,1KJ94,Security Services Delegated,536.18,6600526
Environment & Regeneration,,NS: Asset Man,Premises,11/06/2015,ADT FIRE & SECURITY,Revenue,1VH22,Temporary Accommodation Prem,1218.2,6607018
Environment & Regeneration,,NS: Asset Man,Premises,10/06/2015,ADT FIRE & SECURITY,Revenue,1KL17,Leisure Comm Building R&M,457.13,6606399
Chief Executive's,,CD - Accountancy,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,Revenue,1RB16,Transformation Costs,850,6580658
Chief Executive's,,CD - Exchequer Payroll Prep,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,Revenue,1CG30,Accounts Payable,850,6580661
Children's Services,,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,Revenue,1FF51,Finance,5100,6580664
Children's Services,,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,Revenue,1FF51,Finance,850,6580665
Children's Services,,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,Revenue,1RB16,Transformation Costs,328.77,6586748
Children's Services,,Invoice,Supplies & Services,05/06/2015,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,Revenue,1CG30,Accounts Payable,167.12,6586748
Environment & Regeneration,,NS: Capital Works,Supplies & Services,08/06/2015,ADVANCED CALIBRATIONS LTD,Revenue,1KR01,Responsive Maintenance,318,6599852
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ADVANCED CHILDCARE GROUP,Revenue,1MC02,Ind Sector Placements,12540,6599049
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ADVANCED CHILDCARE GROUP,Revenue,1MC12,Section 31A High Care Needs,12540,6599050
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,ADVANCED CHILDCARE GROUP,Revenue,1MC02,Ind Sector Placements,12000,6599051
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ADVANCED CHILDCARE GROUP,Revenue,1MC02,Ind Sector Placements,12540,6624169
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ADVANCED CHILDCARE GROUP,Revenue,1MC12,Section 31A High Care Needs,12540,6624170
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,ADVANCED CHILDCARE GROUP,Revenue,1MC02,Ind Sector Placements,12000,6624171
HRA,,HRA Outer West CSC,Premises,05/06/2015,ADVANCED CLEANING & MAINTENANCE LTD,Revenue,1HA01,R&M Gen - Citywide,830,6599205
HRA,,HRA West End CSC,Premises,04/06/2015,ADVANCED CLEANING & MAINTENANCE LTD,Revenue,1HA01,R&M Gen - Citywide,966,6601306
Chief Executive's,,CD - Legal Services,Supplies & Services,22/06/2015,ADVANCED LEGAL LTD,Revenue,1FA51,Coroner,1050,6614783
Environment & Regeneration,,NS: District Heating,Premises,01/06/2015,ADVANCED WATER TECHNOLOGIES,Revenue,1KR05,District Heating,1365,6597182
HRA,,HRA Property Maint,Premises,18/06/2015,ADVANTAGE UTILTITIES LTD,Revenue,1HBTC,Planned Tech Maintenance,800,6599203
HRA,,HRA Property Maint,Premises,19/06/2015,ADVANTAGE UTILTITIES LTD,Revenue,1HBTC,Planned Tech Maintenance,700,6572686
Chief Executive's,,CD - Finance & Resources NOR,Capital Expenditure,17/06/2015,ADVANTEX NETWORK SOLUTIONS LTD,Capital,2N401,Capital General,2875,6612792
Chief Executive's,,CD - Finance & Resources NOR,Capital Expenditure,24/06/2015,ADVANTEX NETWORK SOLUTIONS LTD,Capital,2N401,Capital General,2870,6616375
Environment & Regeneration,,Fleet Management System,Supplies & Services,18/06/2015,AEBI SCHMIDT UK LTD,Revenue,3KES1,Fleetmaster Stores Account,570.72,6602002
Environment & Regeneration,,Fleet Management System,Supplies & Services,29/06/2015,AEBI SCHMIDT UK LTD,Revenue,3KES1,Fleetmaster Stores Account,945.57,6608594
Environment & Regeneration,,E&R Trans P&D,Capital Expenditure,24/06/2015,AECOM,Capital,2DP02,Devt Capital CC,13724,6618458
Environment & Regeneration,,E&R Trans P&D,Capital Expenditure,24/06/2015,AECOM,Capital,2DP02,Devt Capital CC,3648,6618459
Environment & Regeneration,,E&R Trans P&D,Capital Expenditure,23/06/2015,AECOM,Capital,2DP02,Devt Capital CC,12954.25,6607370
Adult and Culture,,Social Services,Third Party Payments,42170,AGE UK NEWCASTLE,Revenue,1MG55,Extra Care Housing,6252.22,6609559
Adult and Culture,,Social Services-Care Support,Supplies & Services,42166,AGE UK NEWCASTLE,Revenue,1MG60,Day Care OP,16338.24,6607192
Adult and Culture,,Social Services-Care Support,Supplies & Services,42166,AGE UK NEWCASTLE,Revenue,1FA23,Cost Centre not Found,13029.8,6607192
Adult and Culture,,Social Services-Care Support,Supplies & Services,42173,AGE UK NEWCASTLE,Revenue,1MG91,VCS Commissioning OP,4916.36,6613876
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MG50,Home Care-Spot Purchased OP,1180,6604314
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,7811.6,6604314
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,273.84,6604343
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,1369.2,6604344
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,1665.88,6604345
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,6937.28,6604346
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,1780.08,6604347
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,6321.16,6604348
Adult and Culture,,Social Services-Carefirst,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,Revenue,1MG51,Home Care-Personal OP,56973.61,6608085
Adult and Culture,,Social Services-Carefirst,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,Revenue,1MH50,Home Care PD,4000.22,6608085
Adult and Culture,,Social Services-Carefirst,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,Revenue,1MK51,Home Care LD,887.96,6608085
Adult and Culture,,Social Services-Carefirst,Third Party Payments,12/06/2015,AGE UK NEWCASTLE,Revenue,1MM50,Home Care MH,1273.08,6608085
Environment & Regeneration,,NS: Asset Man,Premises,18/06/2015,AIR TECHNIQUE,Revenue,1HP01,Comm. Centres - Citywide,415,6613521
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,525.7,6586409
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,339.21,6586411
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,330.93,6586412
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,330.93,6586413
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,339.21,6586570
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,309.66,6586575
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,277.37,6586596
Environment & Regeneration,,Allendale Rd,Supplies & Services,01/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,580.75,6586756
Environment & Regeneration,,Allendale Rd,Supplies & Services,22/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,533.98,6614761
Environment & Regeneration,,Allendale Rd,Supplies & Services,22/06/2015,AKW MEDI-CARE LTD,Revenue,1KBAA,Building Contracts,285.65,6614805
Environment & Regeneration,,Blacksmiths,Supplies & Services,16/06/2015,ALAN CARR DESIGN & PRINT,Revenue,1KEMV,Blacksmiths,1980,6600993
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ALBANY HOUSE  (WHITLEY BAY),Revenue,1MM20,Residential Care MH,4855.8,6611159
Environment & Regeneration,,Fleet Management System,Supplies & Services,10/06/2015,ALBANY MOTORS,Revenue,1KESA,Heavy Workshop Routine Repair,560,6598527
Chief Executive's,,CD - Customer Service Centres,Supplies & Services,26/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,Revenue,1CC51,Civic Centre CSC,1615,6621942
Chief Executive's,,CD - SPAM Trading Account,Capital Expenditure,25/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,Capital,2FT14,Property Services,1560,6586483
Chief Executive's,,CD - SPAM Trading Account,Capital Expenditure,26/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,Capital,2FT14,Property Services,5997.5,6621920
Chief Executive's,,CD - SPAM Trading Account,Capital Expenditure,29/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,Capital,2FT14,Property Services,3127,6621919
Chief Executive's,,CD - SPAM Trading Account,Capital Expenditure,29/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,Capital,2FT14,Property Services,7851,6622788
Children's Services,,Childrens Services Support,Supplies & Services,25/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,Revenue,1MX08,Out of Hrs Soc Care Duty Team,529,6606382
Environment & Regeneration,,E&R Environmental Crime,Capital Expenditure,25/06/2015,ALBANY OFFICE FURNITURE SOLUTIONS,Capital,2FT14,Property Services,7851,6570823
Environment & Regeneration,,Fleet Management System,Supplies & Services,02/06/2015,ALEXANDER DENNIS LTD,Revenue,1KESH,Light Workshop Routine Repair,251.44,6598616
Adult and Culture,,Social Services,Third Party Payments,42177,ALLAN COURT RESIDENTIAL HOME,Revenue,1MG01,Care Management OP,741.34,6614593
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MG10,Nursing Care OP,-3439.55,6610994
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MG20,Residential Care OP,-2633.92,6610994
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MK20,Residential Care LD,-397.2,6610994
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MM20,Residential Care MH,-2033.59,6610994
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MG10,Nursing Care OP,51024.07,6610994
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MG20,Residential Care OP,11816.08,6610994
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MK20,Residential Care LD,3000,6610994
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MM20,Residential Care MH,12195.93,6610994
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,ALLAN COURT RESIDENTIAL HOME,Revenue,1MG10,Nursing Care OP,448,6611009
Adult and Culture,,Social Services,Third Party Payments,42157,ALLIED HEALTHCARE,Revenue,1MG53,Supporting People Eld,833.34,6594650
Adult and Culture,,Adult Serv Finance,Third Party Payments,42177,ALLIED HEALTHCARE GROUP,Revenue,1MG53,Supporting People Eld,823.65,6615701
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ALLIED HEALTHCARE GROUP,Revenue,1MG51,Home Care-Personal OP,47770.35,6604313
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ALLIED HEALTHCARE GROUP,Revenue,1MH50,Home Care PD,10381.43,6604313
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ALLIED HEALTHCARE GROUP,Revenue,1MK51,Home Care LD,3297.03,6604313
Adult and Culture,,Social Services-Carefirst,Third Party Payments,09/06/2015,ALLIED HEALTHCARE GROUP,Revenue,1MM50,Home Care MH,611.23,6604313
HRA,,HRA Income,Supplies & Services,26/06/2015,ALLPAY.NET LIMITED,Revenue,1HEIG,Income General,59.52,6605003
HRA,,HRA Income,Supplies & Services,26/06/2015,ALLPAY.NET LIMITED,Revenue,1HEIG,Income General,519.7,6605009
HRA,,HRA Income,Supplies & Services,26/06/2015,ALLPAY.NET LIMITED,Revenue,1HEIG,Income General,87.01,6605055
HRA,,HRA Income,Third Party Payments,26/06/2015,ALLPAY.NET LIMITED,Revenue,1HEIG,Income General,407.12,6605003
HRA,,HRA Income,Third Party Payments,26/06/2015,ALLPAY.NET LIMITED,Revenue,1HEIG,Income General,3449.55,6605009
HRA,,HRA Income,Third Party Payments,26/06/2015,ALLPAY.NET LIMITED,Revenue,1HEIG,Income General,438.28,6605055
Environment & Regeneration,,E&R Parking Services,Supplies & Services,11/06/2015,ALTONAIDS MOBILITY,Revenue,1V206,Shop Mobility,354,6606959
Environment & Regeneration,,Highways,Supplies & Services,15/06/2015,AL-VAC LTD,Revenue,1KEMC,Highways,477.53,6586767
