Address,Case Date,Case Reference,Case Text,Classification,Codetext,Decision,Decision Date,Decision Target Date,Geo X,Public Consultation End Date,Public Consultation Start Date,Service Type,Ward,Appeal Decision Date,Decision Notice Date,Decision Type,Geo Y,Status
,,Luddenden,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX2 6NQ,,,,,,,,,,,,,,,,
426191,27/02/2017,"""",403919,40,DEL,17/02/2017,,24/02/2017,24/02/2017,,,40,,,,7,,40
"""103 Northgate",17/01/2017,17/00075/COU,Change of use of ground floor from residential (C1) to Cafe (A3),Q20,,,,,,,,COU,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1XF,,,,,,,,,,,,,,,,
425585,14/03/2017,"""",409314,1,DEL,03/03/2017,,14/03/2017,14/03/2017,,,1,,,,16,,1
"""103 Northgate",17/01/2017,17/00076/LBC,Change of use of ground floor from residential (C1) to Cafe (A3) (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1XF,,,,,,,,,,,,,,,,
425585,03/04/2017,"""",409314,3,DEL,17/03/2017,,14/03/2017,14/03/2017,,,3,,,,16,,3
"""1 Redcar Street",02/02/2017,17/00152/HSE,Two dormer windows,Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX1 4QZ,,,,,,,,,,,,,,,,
425454,30/03/2017,"""",407597,1,DEL,03/03/2017,10/02/2017,22/03/2017,22/03/2017,,,1,,,,17,,1
"""14 Field Top",13/02/2017,17/00170/HSE,Single storey study to front elevation,Q21,,,,,,,,HSE,,,,,,
,,Bailiff Bridge,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 4EQ,,,,,,,,,,,,,,,,
425444,25/04/2017,"""",414911,1,DTA,13/04/2017,16/03/2017,18/04/2017,18/04/2017,,,1,,,,5,,1
"""4 Ashlea Avenue",20/02/2017,17/00208/HSE,Single Storey Side and Rear Extension,Q21,,,,,,,,HSE,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 3SR,,,,,,,,,,,,,,,,
421893,17/04/2017,"""",414877,1,DEL,17/04/2017,07/03/2017,10/04/2017,10/04/2017,,,1,,,,11,,1
"""46 Salisbury Place",22/02/2017,17/00181/HSE,Single storey rear extension,,,,,,,,,HSE,,,,,,
,,Boothtown,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 6ND,,,,,,,,,,,,,,,,
426465,,"""",408809,APPRET,,,,,,,,,,,,16,,
"""Greenleaves",05/10/2016,16/20194/TPO,Prune one tree (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,15 Marldon Road,,,,,,,,,,,,,,,,
,,Northowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 7BP,,,,,,,,,,,,,,,,
426298,30/11/2016,"""",411305,4,DEL,04/11/2016,14/10/2016,25/11/2016,28/11/2016,,,4,,,,8,,4
"""Crown Works",17/10/2016,16/01353/FUL,Extension to existing industrial building and re-cladding of existing,Q18,,,,,,,,FUL,,,,,,
,,Dewsbury Road,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX5 9BG,,,,,,,,,,,,,,,,
420817,23/01/2017,"""",411456,1,DEL,03/01/2017,07/12/2016,20/01/2017,23/01/2017,,,1,,,,3,,1
"""3 Chapel Street",17/10/2016,16/01354/HSE,Proposed extension to garden store,Q21,,,,,,,,HSE,,,,,,
,,Norwood Green,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 8QU,,,,,,,,,,,,,,,,
427008,27/12/2016,"""",413736,1,DEL,02/12/2016,11/11/2016,23/12/2016,23/12/2016,,,1,,,,5,,1
"porch and replacement windows (Listed Building Consent)""",17/10/2016,16/01355/LBC,"""Formation of new door",,,,,,,,,LBC,,,,,,
,,Shield Hall Lane,,,,,,,,,,,,,,,,
,,Sowerby,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 6JN,,,,,,,,,,,,,,,,
423903,,"""",403263,APPRET,,,,,,,,,,,,7,,
"""2 Elms Court",13/10/2016,16/01356/HSE,Extension to shed,Q21,,,,,,,,HSE,,,,,,
,,Illingworth,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 8HX,,,,,,,,,,,,,,,,
428061,20/12/2016,"""",407229,1,DEL,28/11/2016,07/11/2016,09/12/2016,12/12/2016,,,1,,,,9,,1
"""Land Opposite",07/10/2016,16/20196/TPO,Prune three trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Laurel Terrace,,,,,,,,,,,,,,,,
,,Stainland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
419600,02/12/2016,"""",407948,4,DEL,11/11/2016,18/10/2016,30/11/2016,30/11/2016,,,4,,,,4,,4
"""156 Keighley Road",17/10/2016,16/01363/HSE,Single storey rear extension and first floor side extension,Q21,,,,,,,,HSE,,,,,,
,,Illingworth,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 9DN,,,,,,,,,,,,,,,,
428596,12/12/2016,"""",407162,1,DEL,17/11/2016,27/10/2016,21/12/2016,22/12/2016,,,1,,,,6,,1
"""5 Carr House",17/10/2016,16/01364/192,Single storey extension and conversion of integral garage to form study (Lawful Development Certificate),Q26,,,,,,,,192,,,,,,
,,Dean House Lane,,,,,,,,,,,,,,,,
,,Luddenden,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 6TN,,,,,,,,,,,,,,,,
427361,12/12/2016,"""",404094,44,DEL,18/11/2016,,12/12/2016,12/12/2016,,,44,,,,7,,44
extending out by 4 metres,18/10/2016,16/42046/42DAYS,"""Prior approval application for proposed single storey extension to rear",,"""27 Shelf Moor",,,,,,,42DAYS,,,,,,
,,Shelf,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 7PW,,,,,,,,,,,,,,,,
429172,22/11/2016,"""",412314,18,,10/11/2016,18/10/2016,11/11/2016,11/11/2016,,,18,,,,8,,18
"""244 Halifax Road",11/10/2016,16/20198/TPO,Fell one tree (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HD6 2QG,,,,,,,,,,,,,,,,
424211,06/12/2016,"""",413253,14,DEL,16/11/2016,19/10/2016,02/12/2016,05/12/2016,,,14,,,,1,,14
11,09/08/2017,15/00375/NMA3,"""Non Material Amendment to Planning Application 15/00375 - Replacement of Grasscrete surfacing with permeable tarmac for parking spaces nos. 10",NMA,,,,,,,,NMA3,,,,,,
,,Village Street,,,,,,,,,,,,,,,,
,,Norwood Green,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
427032,05/09/2017,"""",413770,PCO,,30/08/2017,,,,,,,,,,5,,
"""11 St Giles Road",14/08/2017,15/00518/DISC1,Submission of information to discharge conditions on application 15/00518 - Condition 3,DISC,,,,,,,,DISC1,,,,,,
,,Lightcliffe,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 8BG,,,,,,,,,,,,,,,,
425125,16/10/2017,"""",413086,PCO,,05/09/2017,,,,,,,,,,5,,
"""8 Stonecroft Mount",23/06/2017,17/20101/TPO,Prune two trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 2SB,,,,,,,,,,,,,,,,
424514,18/08/2017,"""",406506,4,DEL,,,18/08/2017,18/08/2017,,,4,,,,14,,4
"""25 Park Place West",21/08/2017,17/01045/HSE,Proposed dormer conversion,,,,,,,,,HSE,,,,,,
,,Lightcliffe,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
425295,,"HX3 8BB""",413148,REC,,,,,,,,,,,,,,
"branches block sunlight and also some branches angle into rear garden where children play that raises concerns of safety.""",23/08/2017,17/20148/TPO,"""Two sycamore trees situated in the rear garden to be trimmed due to excessive shading and close proximity to dwelling. Due to the positioning of the trees in the rear garden",,,,,,,,,TPO,,,,,,
,,Wakefield Road,,,,,,,,,,,,,,,,
,,Lightcliffe,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,"HX3 8UH""",,REC,,,,,,,,,,,,,,
"""57 Victoria Avenue",24/08/2017,17/01058/HSE,Single storey rear extension,,,,,,,,,HSE,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX5 0AZ,,,,,,,,,,,,,,,,
420838,,"""",410399,REC,,,,,,,,,,,,3,,
"""7 - 11 Market Street",21/03/2017,17/00362/FUL,Install 1 no. external roller shutter door with heavy duty double skinned lath at bottom of shutter and 1 no. internal sliding grille.,Q18,,,,,,,,FUL,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1PB,,,,,,,,,,,,,,,,
425177,20/06/2017,"""",409428,1,DEL,09/06/2017,,15/06/2017,15/06/2017,,,1,,,,16,,1
"""43 Green Park Road",22/03/2017,17/00367/HSE,Demolition of existing garage to facilitate two storey rear extension and single storey side extension,Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 0SN,,,,,,,,,,,,,,,,
422903,05/06/2017,"""",409353,1,DEL,14/06/2017,27/04/2017,01/06/2017,01/06/2017,,,1,,,,13,,1
"""2A New Road",23/03/2017,17/00377/COU,Change of use at first floor from office accommodation(B1) to residential accommodation (C3) self contained flat.,Q20,,,,,,,,COU,,,,,,
,,Mytholmroyd,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 5DZ,,,,,,,,,,,,,,,,
425953,18/05/2017,"""",401243,1,DEL,05/05/2017,10/04/2017,18/05/2017,18/05/2017,,,1,,,,7,,1
"""Barkisland Hall",23/03/2017,17/00378/HSE,Removal of existing canopy and replacement with glazed link extension,Q21,,,,,,,,HSE,,,,,,
,,Stainland Road,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 0AG,,,,,,,,,,,,,,,,
419933,08/06/2017,"""",406070,1,DEL,16/06/2017,05/05/2017,15/08/2017,15/08/2017,,,1,,,,12,,1
"""Barkisland Hall",23/03/2017,17/00379/LBC,Removal of existing canopy and replacement with glazed link extension (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Stainland Road,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 0AG,,,,,,,,,,,,,,,,
419933,08/06/2017,"""",406070,3,DEL,16/06/2017,05/05/2017,15/08/2017,15/08/2017,,,3,,,,12,,3
"""Barkisland Hall",23/03/2017,17/00380/HSE,Internal alterations of existing cottages and reducing land levels to the rear elevation,Q21,,,,,,,,HSE,,,,,,
,,Stainland Road,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 0AG,,,,,,,,,,,,,,,,
419933,13/06/2017,"""",406070,PCO,,06/06/2017,09/05/2017,,,,,,,,,12,,
"""Barkisland Hall",23/03/2017,17/00381/LBC,Full Planning and Listed Building Application for internal alterations of existing cottages and reducing land levels to the rear elevation,Q23,,,,,,,,LBC,,,,,,
,,Stainland Road,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 0AG,,,,,,,,,,,,,,,,
419933,13/06/2017,"""",406070,PCO,,12/09/2017,09/05/2017,,,,,,,,,12,,
"""45 Kings Lea",27/03/2017,17/00402/HSE,Demolition of existing attached garage to facilitate a two storey side extension and porch to front,Q21,,,,,,,,HSE,,,,,,
,,Copley,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 0UU,,,,,,,,,,,,,,,,
422608,22/05/2017,"""",408929,1,DEL,05/06/2017,11/04/2017,19/05/2017,19/05/2017,,,1,,,,13,,1
"""Intake Farm",27/03/2017,17/00404/FUL,Conversion of Barn to dwelling,Q13,,,,,,,,FUL,,,,,,
,,Stainland Dean,,,,,,,,,,,,,,,,
,,Stainland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 9QA,,,,,,,,,,,,,,,,
418368,11/08/2017,"""",406568,PCO,,08/08/2017,21/06/2017,,,,,,,,,4,,
,24/03/2017,17/00384/COU,"""Change of use from three self contained flats to a single residential dwelling house.",Q20,,,,,,,,COU,,,,,,
,,"""",,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
424943,19/05/2017,"""",408619,1,DEL,12/05/2017,12/04/2017,15/05/2017,15/05/2017,,,1,,,,10,,1
"""Land To Side & Rear Of",20/03/2017,99/00061/NMA,Non material amendment to application 99/00061 - Amend plans to allow repositioning of facilities building,NMA,,,,,,,,NMA,,,,,,
,,Ashgrove,,,,,,,,,,,,,,,,
,,Elland Road,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
422395,10/04/2017,"""",412140,NMAR,DEL,,,24/04/2017,24/04/2017,,,NMAR,,,,1,,
"""13 New Road",28/03/2017,17/00411/FUL,Alter an existing window to create a door and install fire escape,Q18,,,,,,,,FUL,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 8AD,,,,,,,,,,,,,,,,
427105,19/06/2017,"""",399367,1,DEL,09/06/2017,11/05/2017,15/06/2017,15/06/2017,,,1,,,,2,,1
2,21/03/2017,16/00331/DISC1,"""Submission of information to Discharge Conditions on application 16/00221- conditions 1",DISC,5,,,,,,,DISC1,,,,,7,4
,,295 Willowfield Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
424600,17/05/2017,"HX2 7NF""",406631,PCOMP,,20/04/2017,,24/05/2017,24/05/2017,,,PCOMP,,,,14,,
"""28 Elmfield Terrace",08/03/2017,16/01014/DISC1,Submission of information to Discharge Conditions on application 16/01014 - Condition 2,NMA,,,,,,,,DISC1,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 3EB,,,,,,,,,,,,,,,,
424134,25/05/2017,"""",408534,PCOMP,,,,08/08/2017,08/08/2017,,,PCOMP,,,,13,,
"""Land On",27/03/2017,15/01029/NMA2,Non Material Amendment to application 15/01029 - Reduction in the scale of the Lidl store footprint resulting in a decrease in the gross and sales floorspace. Car park aisle widths and landscaping buffers have been widened as a result. Trolley Bay and pedestrian route from Halifax Road to store entrance moved. Position of Electric Vehicle Charging Points and plant compound identified. Details of surface finishes and boundary treatment providedfootprint,NMA,,,,,,,,NMA2,,,,,,
,,Hope Street,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
424153,17/04/2017,"""",394108,PCO,,18/05/2017,,,,,,,,,,2,,
"new store entrance and service door to rear""",30/03/2017,17/00425/FUL,"""Sub-division of existing retail unit",Q18,,,,,,,,FUL,,,,,,
,,Pellon Lane Retail Park,,,,,,,,,,,,,,,,
,,Pellon Lane,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX1 5HQ,,,,,,,,,,,,,,,,
425555,25/05/2017,"""",408505,1,DEL,19/05/2017,24/04/2017,26/05/2017,26/05/2017,,,1,,,,10,,1
"2  3""",03/04/2017,16/00390/DISC1,"""Submission of information to Discharge Conditions on application 16/00390 - Conditions 1",DISC,,,,,,,,DISC1,,,,,,
,,Lister Street,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HD6 2AH,,,,,,,,,,,,,,,,
423136,29/05/2017,"""",414191,PCOMP,,,,08/05/2017,08/05/2017,,,PCOMP,,,,1,,
"""Barns South Of Davey Hall",10/04/2017,17/00469/OUT,Demolition of buildings to facilitate residential development of maximum five dwellings (Outline),Q13,,,,,,,,OUT,,,,,,
,,Davey Lane,,,,,,,,,,,,,,,,
,,Blackshaw Head,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
427448,23/06/2017,"""",395684,16,DEL,26/06/2017,,14/07/2017,14/07/2017,,,16,,,,2,,16
"""46 Salisbury Place",22/02/2017,17/00184/LBC,Single storey rear extension (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Boothtown,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 6ND,,,,,,,,,,,,,,,,
426465,19/04/2017,"""",408809,3,DEL,24/04/2017,10/03/2017,25/04/2017,25/04/2017,,,3,,,,16,,3
"""Whinneyfield Close",22/02/2017,16/00241/NMA,Non Material Amendment to application 16/00241 - Alterations to south elevation forming covered balcony to bedroom and removal of pitched roof to conservatory to allow for additional window into master bedroom,,,,,,,,,NMA,,,,,,
,,Whinney Field,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 0BQ,,,,,,,,,,,,,,,,
423728,28/04/2017,"""",409317,NMAR,DEL,,,24/04/2017,24/04/2017,,,NMAR,,,,13,,
"""69 Stonelea",22/02/2017,17/00197/HSE,Two storey extension to rear and single storey extension to side (Revised Scheme to 16/00886),Q21,,,,,,,,HSE,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX4 0HD,,,,,,,,,,,,,,,,
420103,19/04/2017,"""",405401,1,DEL,04/04/2017,10/03/2017,19/04/2017,19/04/2017,,,1,,,,12,,1
"""2 Waterhouse Street",24/02/2017,17/00268/FUL,Change of use from nightclub (Sui Generis) to Bistro (A3) / fast food takeaway (A5)(Part retrospective),Q20,,,,,,,,FUL,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1UQ,,,,,,,,,,,,,,,,
425236,22/05/2017,"""",409235,1,DEL,24/05/2017,20/04/2017,25/05/2017,25/05/2017,,,1,,,,16,,1
"""69 The Grove",03/03/2017,17/00269/192,Replacement dormer to rear (Lawful Development Certificate),Q26,,,,,,,,192,,,,,,
,,Hipperholme,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 8JN,,,,,,,,,,,,,,,,
426090,28/04/2017,"""",412624,44,DEL,14/04/2017,,25/04/2017,25/04/2017,,,44,,,,5,,44
"""39 Blackley Road",03/03/2017,17/00271/HSE,Two storey extension and raised patio to rear,Q21,,,,,,,,HSE,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX5 0TB,,,,,,,,,,,,,,,,
420235,16/05/2017,"""",409971,1,DEL,24/04/2017,10/04/2017,09/05/2017,10/05/2017,,,1,,,,3,,1
"""462 Bradford Road",03/03/2017,17/00272/192,Single storey extension to rear (Lawful Development Certificate),Q26,,,,,,,,192,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
