Diffusion tube,Year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
C16,2004,,,,,,,,,,,,
C17,2004,37,42,44,43,50,42,37,44,42,37,40,36
C18,2004,30,38,40,38,40,34,30,34,36,36,40,29
C19,2004,,32,40,40,38,27,,30,,29,33,26
N01 (ug/m3),2004,49,,43,42,53,44,38,38,41,52,46,43
N02 (ug/m3),2004,17,12,29,29,30,24,16,31,23,29,31,23
N03 (ug/m3),2004,59,53,53,55,61,54,35,53,,60,59,51
NO4 (ug/m3),2004,33,31,37,34,36,27,19,35,22,35,33,26
HB1,2004,56,44,51,57,58,51,28,57,57,41,58,53
GH1,2004,58,51,57,28,28,60,25,27,67,34,57,53
GH2,2004,57,52,57,29,28,58,29,23,64,36,51,53
GH3,2004,67,52,58,29,30,57,46,29,63,48,61,38
AT1,2004,55,49,57,53,73,43,33,65,37,32,56,51
HTA M,2004,67,65,85,99,88,75,33,85,84,48,60,73
HTA F,2004,,,,,,,,,,,,
CB1,2004,,,,,,,,,,,,
CB2,2004,,,,,,,,,,,,
CB3,2004,,,,,,,,,,,,
HP1,2004,,,,,,,,,,,,
HP2,2004,47,44,109,60,73,48,19,57,53,39,58,51
HP3,2004,,,,,,,,,,,,
HP4,2004,,,,,,,,,,,,
HP5,2004,,,,,,,,,,,,
NB1,2004,41,42,65,65,56,33,23,58,42,45,59,41
NB2,2004,36,41,44,47,33,,20,34,34,31,41,24
KX1,2004,,50,50,52,53,36,,53,48,39,53,47
KX2,2004,,,,,,,,,,,,
HTA H,2004,59,43,52,49,22,47,44,47,64,39,55,53
KH1,2004,18,21,31,25,30,18,15,17,19,21,22,19
KH2,2004,53,57,73,85,81,62,52,52,68,49,46,50
KH3,2004,25,18,32,30,38,23,10,24,21,20,33,23
HCF1,2004,34,29,39,36,38,32,23,41,38,24,47,42
WC1,2004,29,34,38,33,37,39,33,37,35,29,39,39
HB2,2004,38,39,55,51,48,38,39,54,42,37,51,62
HB3,2004,22,,36,34,40,,46,35,22,28,35,22
HB4,2004,35,38,48,50,48,37,26,41,36,42,41,39
HB5,2004,41,36,45,45,40,33,15,39,40,34,27,37
CRH1,2004,63,44,66,67,73,55,35,64,65,43,50,64
CRH2,2004,59,66,59,,62,60,26,,68,57,64,63
CRH3,2004,61,74,74,49,72,60,42,54,70,69,46,64
CRH4,2004,31,44,50,,43,34,27,49,39,34,43,38
CRH5,2004,38,39,51,,,36,19,41,38,48,48,37
CRH6,2004,42,34,49,,51,31,27,41,40,,43,28
CRH7,2004,25,,40,43,38,,9,34,28,40,38,
CS1,2004,,51,59,50,56,40,24,62,54,44,72,18
CS2,2004,40,51,53,47,52,41,22,46,41,34,41,35
CS3,2004,38,35,47,50,47,35,20,41,44,34,49,33
CS4,2004,37,38,37,49,59,30,17,44,39,34,38,38
CS5,2004,26,,44,,45,,15,40,31,20,31,31
CS6,2004,,,,,,,,,,,,
DR1,2004,64,47,57,61,53,48,35,62,59,43,49,51
LF1,2004,59,47,51,59,57,53,26,64,62,32,,48
WR1,2004,51,53,41,75,61,55,50,56,57,43,54,50
C03,2005,38,39,55,39,29,21,41,45,41,56,44,40
C05,2005,26,,77,38,41,,35,38,36,48,51,
C07,2005,66,56,41,62,61,62,62,5,56,79,81,50
C10,2005,56,43,,49,43,38,43,52,54,,,66
C12,2005,30,18,52,38,30,22,31,29,26,43,34,27
C14,2005,29,25,,35,33,28,25,29,21,,,26
C15,2005,45,37,46,45,47,39,41,51,39,54,51,46
C17,2005,43,38,49,48,47,34,36,77,33,58,43,44
C18,2005,33,30,,42,40,32,22,39,30,,,37
C19,2005,30,25,44,39,33,26,7,27,24,57,39,32
N01 (ug/m3),2005,41,35,,45,50,36,34,38,33,37,44,39
N02 (ug/m3),2005,24,18,30,28,24,21,19,23,15,25,33,21
N03 (ug/m3),2005,51,37,52,50,49,46,49,45,34,42,61,52
NO4 (ug/m3),2005,25,18,37,34,28,22,19,,17,22,34,26
HB1,2005,42,43,51,54,58,43,53,59,43,66,60,43
HB2,2005,40,36,38,53,51,35,35,55,40,59,63,45
HB3,2005,30,53,37,27,31,,25,34,22,44,37,27
HB4,2005,33,29,27,47,41,33,36,43,34,,43,36
HB5,2005,47,38,51,41,40,,,51,34,54,49,36
GH1,2005,52,54,68,47,67,62,53,52,37,75,44,46
GH2,2005,44,58,99,77,62,59,54,64,36,82,50,46
GH3,2005,63,55,48,74,49,54,63,3,52,78,51,54
AT1,2005,53,49,,63,60,35,55,51,43,,,56
HTA M,2005,65,75,60,81,75,18,81,60,49,108,77,93
HTA H,2005,63,52,73,38,49,54,41,68,75,69,42,52
HP2,2005,52,48,64,42,59,55,50,57,39,72,57,50
KX1,2005,36,40,53,40,47,38,49,48,29,63,61,41
KH1,2005,14,22,,24,30,21,21,43,17,,,18
KH2,2005,0,64,,70,62,58,66,25,20,,59,55
KH3,2005,18,15,,26,22,19,23,24,19,,,23
HCF1,2005,25,33,,33,37,36,33,12,19,,,45
CRH1,2005,68,55,62,59,63,50,56,57,47,81,78,65
CRH2,2005,46,53,76,48,75,53,61,50,54,114,91,60
CRH3,2005,50,66,77,59,72,59,66,60,59,85,82,56
CRH4,2005,38,33,43,43,0,37,32,40,33,58,55,44
CRH5,2005,35,33,76,0,0,34,37,31,33,57,53,41
CRH6,2005,27,31,63,52,43,25,27,46,23,44,50,40
CS1,2005,53,42,,54,41,49,49,30,42,,,51
CS2,2005,48,35,,37,42,43,40,35,39,60,63,40
CS3,2005,40,34,74,35,38,41,39,32,27,47,43,34
CS4,2005,42,32,53,40,46,32,32,49,0,58,54,35
CS5,2005,28,24,,36,39,28,20,29,21,,,35
DR1,2005,48,52,71,48,59,53,56,63,47,66,50,54
LF1,2005,50,49,64,65,55,60,60,57,55,67,67,57
WR1,2005,43,42,64,54,45,46,49,52,40,74,71,58
NBS1,2005,43,20,40,34,38,23,23,30,20,44,37,25
NBS2,2005,30,19,42,31,34,20,23,37,18,43,46,30
WV1,2005,43,40,80,56,58,40,40,47,34,68,51,45
WV2,2005,38,29,55,44,43,32,37,45,32,82,55,39
WV3,2005,43,29,55,49,40,34,42,48,4,54,61,38
WV4,2005,28,22,38,4,30,23,24,36,20,41,39,27
WV5,2005,24,15,34,10,35,23,25,30,15,34,42,30
CV1,2005,,29,53,,,38,31,,34,59,63,42
CV2,2005,,12,27,,,16,22,,17,26,24,15
CV3,2005,,20,8,,,31,12,,12,42,33,28
CV4,2005,,43,57,,,40,35,,44,70,74,45
CV5,2005,,31,54,,,38,38,,30,46,54,31
BS1,2005,,55,71,,,51,36,,,89,73,56
BS2,2005,,50,64,,,59,38,,,74,72,63
BS3,2005,,51,75,,,54,39,,,56,76,66
SC1,2005,,,40,,,,,,,40,56,
SC2,2005,,,45,,,,,,,42,47,
SC3,2005,,,66,,,,,,,71,58,
SC4,2005,,,44,,,,,,,37,52,
BH1,2005,,,55,,,,,,,64,70,
BH2,2005,,,71,,,,,,,74,62,
BH3,2005,,,55,,,,,,,70,70,
BH4,2005,,,54,,,,,,,82,52,
BH5,2005,,,62,,,,,,,75,76,
LMR1,2005,,,64,,,,,,,48,,
C03,2006,,,,42,38,,,40,,,,
C05,2006,28,28,65,41,55,22,33,41,37,33,41,37
C07,2006,77,,,69,87,73,69,57,68,,,
C12,2006,,,,37,49,,,34,,,,
C15,2006,,,,50,50,,,51,,,,
C17,2006,,,,42,55,,,41,,,,
C19,2006,,,,34,47,,,37,,,,
N01 (ug/m3),2006,,,,,,,,,,,,
N02 (ug/m3),2006,,,,27,25,,,,,,,
N03 (ug/m3),2006,,,,,,,,,,,,
NO4 (ug/m3),2006,,,,32,6,,,,,,,
HB1,2006,59,46,67,63,63,52,57,60,59,63,58,51
HB2,2006,49,33,42,49,62,40,38,58,44,49,55,40
HB3,2006,23,20,37,24,46,22,23,30,24,38,32,26
HB4,2006,39,41,35,47,60,36,45,41,47,55,47,40
HB5,2006,45,37,22,45,58,34,42,44,45,49,48,38
HB6,2006,42,38,42,48,59,42,45,53,51,47,52,43
GH1,2006,62,40,45,69,72,57,51,53,58,54,61,58
GH2,2006,67,47,54,69,69,63,47,65,61,36,55,61
GH3,2006,69,46,47,74,68,54,41,71,58,40,62,48
HTA M,2006,,,,117,94,,,85,,,,
HTA H,2006,60,47,48,64,58,58,57,54,63,44,52,43
HP2,2006,51,24,63,53,72,43,48,45,50,63,67,74
KX1,2006,,,,53,62,,,55,,,,
CRH1,2006,30,58,60,73,81,68,70,81,69,73,68,62
CRH2,2006,49,52,34,62,76,46,61,66,58,75,70,64
CRH3,2006,,,,,85,,,,,,,
CRH4,2006,36,31,47,29,62,33,35,46,46,45,48,45
CRH5,2006,,,,,56,,,,,,,
CRH6,2006,,,,,61,,,,,,,
CS2,2006,38,36,46,46,51,48,43,49,49,58,55,48
CS3,2006,,,,34,57,,,47,,,,
CS4,2006,,,,40,60,,,50,,,,
DR1,2006,,,,62,74,,,63,,,,
LF1,2006,48,49,42,43,64,60,60,61,56,51,63,33
WR1,2006,52,47,56,49,79,47,44,69,56,62,64,57
WV1,2006,49,37,39,40,71,34,47,53,45,63,60,50
WV2,2006,34,,,48,56,,37,41,41,,,
WV3,2006,34,,,36,63,,43,60,47,,,
WV4,2006,23,,,34,43,,22,33,33,,,
WV5,2006,,,,37,42,,,37,,,,
CV1,2006,41,,,46,56,,,57,45,,,
CV2,2006,16,,,19,27,,,24,15,,,
CV3,2006,27,,,36,43,,27,36,33,,,
CV4,2006,46,,,49,69,51,45,57,56,,,
CV5,2006,38,,,43,54,36,31,52,42,,,
BS1,2006,,55,74,61,72,63,69,44,43,73,42,64
BS2,2006,62,59,36,57,79,66,71,53,57,62,67,67
BS3,2006,,56,53,63,79,58,73,65,23,62,68,68
SC1,2006,21,22,48,38,52,36,30,42,36,38,37,29
SC2,2006,24,,55,33,47,29,26,42,37,32,68,35
SC3,2006,54,57,52,77,82,60,75,86,68,75,89,67
SC4,2006,32,25,35,31,49,35,30,35,33,41,40,35
BH1,2006,42,46,,51,61,36,43,55,51,,,
BH2,2006,39,44,,56,65,32,48,47,50,,,
BH3,2006,49,43,54,66,72,43,51,57,75,62,65,52
BH4,2006,38,31,,48,44,34,35,53,40,,,
BH5,2006,53,46,59,62,54,39,46,44,61,59,68,
LMR1,2006,61,37,36,44,49,37,42,41,43,46,44,38
AQ1,2006,27,26,42,35,,30,30,42,33,34,39,38
AQ2,2006,20,21,39,30,,19,21,31,24,35,33,29
AQ3,2006,15,18,44,29,,21,3,33,24,27,31,10
AQ4,2006,29,25,33,51,,25,25,39,37,40,44,29
AQ5,2006,32,26,91,35,,31,30,38,37,0,38,31
AQ6,2006,57,5,56,47,,52,59,54,53,63,57,56
AQ7,2006,27,24,43,33,,21,45,34,28,41,43,28
AQ8,2006,37,39,35,49,,13,22,42,44,1,49,40
AQ9,2006,9,20,51,29,,19,20,34,27,33,34,26
AQ10,2006,50,59,41,67,,40,45,66,65,59,68,50
AQ11,2006,46,43,30,42,,38,50,44,38,55,50,47
AQ12,2006,34,31,75,44,,28,32,32,39,50,42,40
AQ13,2006,31,23,42,43,,23,24,36,29,42,39,30
AQ14,2006,58,54,52,78,,59,,67,64,71,69,71
AQ15,2006,36,28,56,39,,35,28,47,41,39,41,37
AQ16,2006,31,31,61,30,,26,28,40,34,35,38,32
AQ17,2006,33,,,37,,,,41,31,,,
AQ18,2006,33,33,41,43,,38,40,42,28,36,48,38
AT1,2006,54,41,62,,,38,61,,58,73,63,61
SB1,2006,,,81,,,,,,,73,79,69
SB2,2006,,21,50,,,24,,,,34,30,29
SB3,2006,,45,33,,,58,,,,7,66,64
SB4,2006,,,,,,,,,,,,
SB5,2006,,45,42,,,55,,,,50,60,52
SB6,2006,,46,68,,,44,,,,69,55,55
SB7,2006,,45,45,,,44,,,,50,48,42
SB8,2006,,34,47,,,,,,,47,44,36
SB9,2006,,52,47,,,47,,,,59,56,54
SB10,2006,,25,42,,,24,,,,31,31,30
SB11,2006,,36,44,,,41,,,,48,44,40
SB12,2006,,46,58,,,46,,,,52,62,52
SB13,2006,,41,45,,,25,,,,57,49,48
SB14,2006,,26,58,,,53,,,,38,38,31
SB15,2006,,45,57,,,,,,,55,60,55
SB16,2006,,40,35,,,39,,,,54,56,
SB17,2006,,42,48,,,53,,,,51,55,42
SB12A,2006,,42,45,,,40,,,,57,57,54
LF2,2006,,,71,,,,,,,51,50,47
LF3,2006,,,45,,,,,,,44,41,42
LF4,2006,,,30,,,,,,,34,28,28
LF5,2006,,,48,,,,,,,43,60,65
LF6,2006,,,55,,,,,,,41,42,
LF7,2006,,,71,,,,,,,40,58,
HQ1,2006,,,93,,,,,,,80,72,75
HQ2,2006,,,41,,,,,,,36,34,34
HQ3,2006,,,45,,,,,,,50,56,51
HQ4,2006,,,80,,,,,,,39,36,39
HQ5,2006,,,40,,,,,,,39,43,38
HQ6,2006,,,66,,,,,,,38,42,36
HQ7,2006,,,64,,,,,,,51,52,39
HQ8,2006,,,53,,,,,,,32,38,30
BE1,2006,,,37,,,,,,,37,56,61
BE2,2006,,,65,,,,,,,55,70,71
BE3,2006,,,34,,,,,,,29,36,33
BE4,2006,,,60,,,,,,,49,62,73
ER1,2006,,,41,,,,,,,45,50,57
HXR1,2006,,,44,,,,,,,62,64,64
LSL1,2006,,,53,,,,,,,62,70,70
WR2,2006,,,54,,,,,,,61,61,54
WR3,2006,,,47,,,,,,,48,59,43
BML1,2006,,,39,,,,,,,26,38,35
BG1,2006,,,49,,,,,,,44,52,47
BG2,2006,,,51,,,,,,,55,60,53
BG3,2006,,,56,,,,,,,57,58,64
SC5,2006,,,56,,,,,,,49,56,52
SB18,2006,,,45,,,,,,,57,52,36
C05,2007,42,30,57,44,34,32,33,37,35,50,53,
HB1,2007,50,48,68,71,56,52,60,60,52,64,58,
HB2,2007,48,25,56,67,51,40,36,50,35,67,52,
HB3,2007,28,20,39,35,28,18,21,30,22,37,31,
HB4,2007,41,40,48,54,44,36,34,50,44,54,51,
HB5,2007,43,36,51,48,43,35,39,41,42,49,47,
HB6,2007,43,42,58,58,43,44,47,51,47,58,58,
GH1,2007,38,36,58,64,45,29,42,54,36,43,52,34
GH2,2007,44,35,56,70,32,27,45,52,37,46,53,33
GH3,2007,44,29,53,65,31,28,42,53,34,48,52,34
HTA H,2007,59,49,51,50,41,41,48,60,52,59,60,51
HP2,2007,48,52,,72,55,47,40,62,,,,
CRH1,2007,69,54,80,67,65,67,71,68,73,78,,64
CRH2,2007,61,54,88,76,62,56,64,54,57,82,90,60
CRH4,2007,47,35,53,53,39,36,47,46,41,50,58,38
CS2,2007,44,33,67,58,44,38,41,49,43,43,63,41
WV1,2007,46,36,52,39,41,35,39,46,35,56,52,38
BS1,2007,59,57,75,52,46,55,56,62,59,72,79,62
BS2,2007,64,58,42,76,59,51,56,70,59,74,77,62
BS3,2007,63,60,76,63,54,52,57,62,54,64,80,61
SC1,2007,35,29,48,32,29,20,41,29,31,38,42,29
SC2,2007,25,26,47,47,27,20,36,33,29,36,42,28
SC3,2007,63,70,72,84,44,58,30,66,65,76,84,65
SC4,2007,36,28,47,47,36,25,34,36,27,39,42,30
SC5,2007,56,50,60,61,33,39,60,54,52,53,61,47
BH1,2007,,,,,,,,,,,,
BH2,2007,,,,,,,,,,,,
BH3,2007,62,50,69,72,62,53,46,65,59,58,62,58
BH4,2007,,,,,,,,,,,,
BH5,2007,57,53,50,62,53,53,49,65,44,62,69,54
LMR1,2007,39,38,51,51,41,35,37,49,38,51,52,43
AQ1,2007,32,27,42,46,28,23,32,37,30,40,41,29
AQ2,2007,22,21,46,44,28,20,19,31,28,37,36,24
AQ3,2007,28,21,41,30,22,18,29,27,23,29,62,
AQ4,2007,35,29,62,44,49,22,34,44,50,45,48,30
AQ5,2007,52,55,46,60,58,47,51,58,60,66,73,60
AQ6,2007,35,28,43,45,30,29,27,,,39,43,29
AQ7,2007,43,22,42,44,29,25,26,30,28,42,43,28
AQ8,2007,41,36,53,47,39,37,40,40,37,46,51,39
AQ9,2007,30,22,45,30,32,22,26,29,26,38,40,25
AQ10,2007,89,58,70,70,64,59,51,,67,78,,
AQ11,2007,41,37,55,66,53,39,38,45,45,64,111,
AQ12,2007,39,30,50,53,44,33,24,39,30,48,149,34
AQ13,2007,32,27,41,48,38,23,27,37,27,45,41,30
AQ14,2007,72,60,78,70,64,46,44,62,68,66,76,62
AQ15,2007,40,29,49,50,,28,36,37,35,41,45,30
AQ16,2007,31,29,48,46,33,24,25,38,25,42,43,28
AQ17,2007,,,,,,,,,,,,
AQ18,2007,36,33,53,43,40,30,36,43,37,50,52,38
AT1,2007,54,,,64,47,,,60,,,,
SB1,2007,65,59,70,67,61,64,72,69,65,77,85,61
SB2,2007,34,24,46,50,41,27,23,38,30,42,44,31
SB3,2007,63,47,66,67,43,44,67,60,53,62,74,49
SB4,2007,,,,,,,,,,,,
SB5,2007,58,45,65,59,45,46,54,57,53,59,73,53
SB6,2007,62,43,60,65,60,52,57,61,59,74,67,57
SB7,2007,55,37,50,56,46,46,45,53,48,57,52,47
SB8,2007,42,34,55,48,39,31,41,50,38,43,50,36
SB9,2007,59,45,66,61,54,48,51,52,59,63,58,52
SB10,2007,31,21,42,42,28,19,27,32,26,33,35,22
SB11,2007,42,39,49,46,32,36,46,42,40,51,53,39
SB12,2007,53,45,63,62,41,42,53,57,46,56,63,44
SB12A,2007,,,,59,43,,,53,,,,
SB13,2007,55,42,59,53,45,40,44,51,50,57,60,49
SB14,2007,28,25,,49,34,25,27,36,27,42,42,29
SB15,2007,46,45,66,59,43,44,45,52,47,56,53,46
SB16,2007,58,39,53,55,43,41,51,53,43,54,60,47
SB17,2007,61,41,57,59,48,43,45,53,36,59,54,44
SB18,2007,44,34,60,61,53,34,38,56,40,57,52,33
LF1,2007,70,50,69,50,50,55,68,61,60,63,67,
LF2,2007,44,41,48,55,48,41,46,50,36,55,45,
LF3,2007,38,28,37,50,37,24,32,40,38,52,47,
LF4,2007,28,20,30,37,28,20,23,29,24,30,32,
LF5,2007,,27,,66,37,31,41,,,47,52,
LF6,2007,34,,,46,35,,44,39,34,,,
LF7,2007,46,,,42,37,,45,42,45,,,
HQ1,2007,71,66,65,71,50,68,59,67,60,72,80,
HQ2,2007,33,31,,46,29,29,28,34,24,37,42,
HQ3,2007,56,40,61,58,47,24,57,,49,44,55,
HQ4,2007,92,29,59,44,27,23,35,40,33,39,34,
HQ5,2007,,,,51,38,,,41,,,,
HQ6,2007,38,27,49,48,35,27,30,36,35,40,44,
HQ7,2007,33,,,50,54,,,48,,,,
HQ8,2007,31,25,46,41,31,25,24,33,28,23,39,
BE1,2007,51,40,63,63,40,29,56,53,47,57,65,44
BE2,2007,51,46,73,53,55,46,43,59,52,60,72,50
BE3,2007,30,20,42,43,28,19,26,34,22,19,39,24
BE4,2007,58,49,75,69,56,58,64,58,59,19,81,68
ER1,2007,43,39,42,51,39,37,54,45,45,43,58,42
HXR1,2007,47,62,69,55,51,57,69,30,57,60,77,68
LSL1,2007,54,58,72,61,51,51,63,58,47,68,74,61
WR1,2007,59,47,74,76,56,47,47,66,56,81,77,56
WR2,2007,53,44,52,63,42,38,38,54,52,54,60,43
WR3,2007,50,36,57,61,38,24,46,48,40,56,55,35
BML1,2007,32,26,50,43,26,26,28,37,22,45,45,31
BG1,2007,40,36,57,54,40,35,34,43,41,51,48,
BG2,2007,,35,54,50,38,47,49,,46,64,66,49
BG3,2007,57,49,67,65,41,47,48,59,57,69,66,51
AT2,2007,,43,61,,,39,36,,46,58,62,43
BH20,2007,,51,80,,,54,,,,80,77,54
BH22,2007,,53,79,,,54,,,,68,156,
HQ9,2007,,,65,,,,,,,,,
LF8,2007,,,38,,,,,,,,,
HH1,2007,,,62,,,,,,,,,
C05,2008,,,,54,48,,,36,,,,
HB1,2008,66,48,66,68,64,50,49,57,57,62,49,62
HB2,2008,48,46,,68,59,47,39,46,37,,,27
HB3,2008,25,26,44,48,35,21,18,25,24,35,29,41
HB4,2008,44,41,59,62,50,38,34,46,29,53,46,55
HB5,2008,,,,48,47,,,38,,,,
HB6,2008,60,47,48,63,50,47,34,46,54,46,44,73
GH1,2008,,,,55,48,,,33,,,,
GH2,2008,,,,53,50,,,35,,,,
GH3,2008,,,,50,49,,,35,,,,
HTA H,2008,56,45,,59,53,42,48,51,52,55,51,49
HH1,2008,54,48,59,64,54,50,52,48,56,40,45,53
CRH1,2008,83,65,84,79,76,69,66,64,88,78,61,41
CRH2,2008,74,67,,87,80,60,57,55,63,,,41
CRH4,2008,26,39,59,57,50,36,32,40,53,45,40,27
CS2,2008,42,36,65,62,59,41,38,44,46,54,47,25
WV1,2008,,,,61,48,,,45,,,,
BS1,2008,83,57,67,79,68,54,54,62,78,50,55,66
BS2,2008,68,56,71,85,69,49,48,56,79,34,56,67
BS3,2008,69,54,54,82,70,54,42,59,79,61,51,61
BS4,2008,48,41,66,73,52,27,27,39,28,56,49,42
BS5,2008,48,41,56,82,55,27,26,45,22,53,45,43
BS6,2008,47,41,57,66,55,43,36,43,23,54,48,43
SC1,2008,,,,48,41,,,22,,,,
SC2,2008,,,,48,40,,,26,,,,
SC3,2008,66,62,,75,66,65,57,53,84,,,68
SC4,2008,32,33,39,51,46,31,25,31,35,37,33,37
SC5,2008,57,47,56,64,57,50,47,37,70,53,43,51
BH1,2008,,,,,,,,,,,,
BH2,2008,,,,,,,,,,,,
BH3,2008,74,,74,61,67,58,55,65,,63,61,51
BH4,2008,,,,,,,,,,,,
BH5,2008,,,,69,65,,,,,,,
LMR1,2008,48,38,55,34,46,40,39,47,33,46,42,43
AQ1,2008,35,26,,46,23,25,24,30,45,,,19
AQ2,2008,28,23,,40,32,20,18,27,27,,,12
AQ3,2008,28,22,,36,29,21,19,22,31,,,16
AQ4,2008,43,30,54,53,46,27,21,43,34,47,40,20
AQ5,2008,62,33,42,79,64,30,29,58,48,35,30,17
AQ6,2008,38,41,,46,37,54,62,26,37,,,34
AQ7,2008,,,,46,37,,,31,,,,
AQ8,2008,69,44,52,51,38,38,44,30,27,47,44,26
AQ9,2008,,,,47,34,,,25,,,,
AQ10,2008,56,60,82,84,69,61,63,60,61,83,71,40
AQ11,2008,58,51,,66,51,42,43,51,35,,,28
AQ12,2008,41,41,54,51,42,30,34,41,30,45,37,21
AQ13,2008,42,33,,49,40,25,29,35,22,,,17
AQ14,2008,75,63,,78,70,59,60,55,78,,,37
AQ15,2008,40,26,45,41,39,32,32,31,49,37,33,22
AQ16,2008,33,29,47,40,35,26,28,31,28,37,32,19
AQ18,2008,43,38,52,56,40,35,35,34,41,45,36,23
AT1,2008,,,,,,,,,,,,
SB1,2008,78,61,52,75,70,56,63,57,80,71,67,70
SB2,2008,,27,48,49,44,,25,36,,39,35,41
SB3,2008,68,57,,67,50,59,45,46,76,,,32
SB5,2008,63,52,61,64,64,50,46,47,64,59,53,58
SB6,2008,69,56,,65,60,40,53,40,54,,,54
SB7,2008,51,38,87,59,50,35,30,49,46,57,53,55
SB8,2008,44,39,54,53,42,32,5,35,54,50,37,44
SB9,2008,56,47,,62,53,52,50,57,41,,,47
