DATE,TIME,Qty,PRODUCTID,Price,ProductType,"""ProductDescription""","""URL""",Comments
15/03/2018,05:30,1,YY-4017,$69.52,Leather Sofa,"""Our American-made leather sofa exhibits quality craftsmanship in every detail and delivers lasting comfort through and through.""","""https://www.example.com/product/YY_4017.html"",",
17/03/2018,06:00,1,RI-9121,$9.81,Women's No-Show Socks,"""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.""","""https://www.example.com/product/RI_9121.html"",",
18/03/2018,06:15,1,RI-7338,$43.53,Kids' Hat,"""Let your kids show their spirit for adventure with our fun trucker-style hat","ready to go from trailhead to bus stop and back.""","""https://www.example.com/product/RI_7338.html"","
22/03/2018,07:15,3,BH-1732,$65.46,"""Waterproof Boots","Tall""","""Industry-leading insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional boots.""","""https://www.example.com/product/BH_1732.html"","
25/03/2018,08:00,0,BH-1061,$62.55,"""Base Layer","Pants""","""Our exclusive wool performance fabric makes these pants an ideal base layer for cool-weather sports.""","""https://www.example.com/product/BH_1061.html"","
20/04/2018,12:45,15,YY-8954,$64.19,"""Travel Lock","Combination Cable""","""This luggage lock helps keep your belongings secure while traveling. Allows your luggage to go through airport security and arrive at your destination fully locked.""","""https://www.example.com/product/YY_8954.html"","
21/04/2018,13:00,8,YY-8239,$72,Men's Boots,"""Here","when we call something good we mean it: just one touch of these soft men's boot slippers and you'll understand why.""","""https://www.example.com/product/YY_8239.html"","
23/04/2018,13:30,26,BH-2268,$43.61,Men's Shorts,"""We used performance-packed swim fabric to create board shorts that keep up during the most rigorous adventures","with enough style for heading into town afterward.""","""https://www.example.com/product/BH_2268.html"","
29/04/2018,15:00,30,AN-5829,$2.86,Women's Booties,"""Inspired by the legendary comfort of our slippers","we designed these warm slipper booties to be so cozy you'll never want to take them off. The durable knit lambswool upper is lined with toasty fleece that wraps your feet in luxury.""","""https://www.example.com/product/AN_5829.html"","
13/05/2018,18:45,24,BH-7941,$64.17,Cotton/Linen Ragg Sweater,"""An ultracozy take on the classic ragg sweater. We created this swing sweater from beautifully marled cotton with linen for amazing texture.""","""https://www.example.com/product/BH_7941.html"",",
18/05/2018,20:00,30,AN-2099,$64.14,Sandals,"""An exclusive","these colorblocked sandals are an absolutely beautiful and incredibly comfortable addition to your warm-weather wardrobe.""","""https://www.example.com/product/AN_2099.html"","
19/05/2018,20:15,33,AN-5746,$83.75,"""Flannel Tunic","Plaid""","""Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.""","""https://www.example.com/product/AN_5746.html"","
20/05/2018,20:30,16,AN-5136,$39.41,Ragg Wool Hat,"""Our traditional ragg wool hat is thickly knit from soft lambswool yarns and keeps on insulating","even when wet.""","""https://www.example.com/product/AN_5136.html"","
22/05/2018,21:00,19,ZN-4103,$68.74,Baseball Hat,"""This sun-blocking baseball hat features a rear flap for extra coverage. It provides UPF 50+ rated sun protection","the highest possible.""","""https://www.example.com/product/ZN_4103.html"","
24/05/2018,21:30,1,GN-5567,$26.87,Men's Reversible Jacket,"""Designed to be the ultimate reversible jacket with two great options. We took the cozy comfort of plush fleece and combined it with the ultralight warmth of our insulation.""","""https://www.example.com/product/GN_5567.html"",",
26/05/2018,22:00,2,YY-4147,$11.06,Women's Sandals,"""You wont find a sandal with better control or support than this. Its loaded with features like secure double-strap webbing","a podiatrist-certified footbed and a toe loop for extra forefoot stability.""","""https://www.example.com/product/YY_4147.html"","
27/05/2018,22:15,0,WH-3118,$31.06,Men's Ear Warmer,"""Designed to resist wind and water","these click-to-fit ear warmers are made with insulation for even more warmth during outdoor activities.""","""https://www.example.com/product/WH_3118.html"","
31/05/2018,15:30,3,HK-9973,$39.49,Women's Ventilated Hiking Shoes,"""This lightweight","ventilated version of the best-selling trail hiker features less volume in the forefoot for a more athletic fit. It's also equipped with a grippier outsole that excels in both wet and dry conditions.""","""https://www.example.com/product/HK_9973.html"","
26/06/2018,00:30,0,BH-1861,$82.12,Women's Socks,"""These ankle socks provide all-day comfort and no-show style. In a naturally breathable merino-wool blend that wicks moisture and dries quickly.""","""https://www.example.com/product/BH_1861.html"",",
29/06/2018,10:00,1,ZN-7072,$88.21,Kids' High Handles Boots,"""Parents and little ones alike swear by this warm weatherproofing. Just pull these kids' handle boots on and seal the cold","wet weather out.""","""https://www.example.com/product/ZN_7072.html"","
13/07/2018,10:30,1,GN-7767,$25.88,Men's Versatile Tote,"""We combined details with your everyday needs to create this: an exceptional quality tote with a laptop compartment and enough room for all your other essentials.""","""https://www.example.com/product/GN_7767.html"",",
15/07/2018,16:45,20,RI-7676,$7.49,Kids' Hydration Pack,"""Designed after the most popular adult hydration pack","this hydration pack measures up to your kids' trail hydration needs and your highest expectations.""","""https://www.example.com/product/RI_7676.html"","
16/07/2018,17:00,3,RI-5314,$76.26,Fishing Sunglasses,"""These sunglasses are made for fishermen with large faces. The taller lens shape and thicker temples provide additional sun protection","great for fishermen who spend a lot of time on the water.""","""https://www.example.com/product/RI_5314.html"","
17/07/2018,16:30,0,YY-7734,$73.42,Havana Hat,"""The perfect complement to any summertime style: this fedora hat offers UPF 50+ protection and won't crunch or bend during your travels.""","""https://www.example.com/product/YY_7734.html"",",
19/07/2018,17:45,1,YY-8580,$6.31,"""Underwear","Print""","""Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer: for comfort as the days and months get colder.""","""https://www.example.com/product/YY_8580.html"","
